elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
295,stand_to_sit,-9.294889,3.4608185,7.629722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
311,stand_to_sit,-8.555679,3.6601357,6.84203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
334,stand_to_sit,-11.707047,4.1042604,4.3185415,0.41159123,0.9973531,-0.43116546,29.585,29.401999,-29.157999,13.854814,60.75507,-18.329369,0.41159123,0.9973531,-0.43116546,-1.0441179,0.055481434,-1.6517777,-8.122559,3.0839858,4.547907,29.585,29.401999,-29.157999,stand_to_sit
350,stand_to_sit,-8.459313,2.700061,1.8543092,0.41159123,0.9973531,-0.43116546,29.8412,29.670399,-28.9872,16.163439,63.84062,-18.025911,0.41159123,0.9973531,-0.43116546,0.7196846,-0.6737571,-2.255599,-8.370127,3.034639,4.111245,29.8412,29.670399,-28.9872,stand_to_sit
366,stand_to_sit,-8.459313,2.700061,1.8543092,0.5813676,1.1062763,-0.46125916,29.9998,29.743599,-28.8652,18.333351,66.666664,-17.847813,0.5813676,1.1062763,-0.46125916,1.886447,-0.92773604,-2.6083565,-8.571267,3.005638,3.6972845,29.9998,29.743599,-28.8652,stand_to_sit
387,stand_to_sit,-7.280169,2.2535424,0.83258367,0.6627271,1.0741853,-0.5174518,30.2072,30.012,-28.5724,20.382027,69.37024,-17.775599,0.6627271,1.0741853,-0.5174518,2.524189,-1.008281,-2.4058237,-8.879315,2.954185,2.932736,30.2072,30.012,-28.5724,stand_to_sit
411,stand_to_sit,-7.855974,2.441487,0.61890113,0.6001429,0.94142675,-0.6254429,30.3414,30.1828,-28.2918,23.692625,73.76886,-17.107689,0.6001429,0.94142675,-0.6254429,2.3471494,-0.95363307,-2.135651,-8.999161,2.8848085,2.6198025,30.3414,30.1828,-28.2918,stand_to_sit
429,stand_to_sit,-7.855974,2.441487,0.61890113,0.49015445,0.7597993,-0.65447134,30.8172,30.378,-28.072199,25.034307,75.51469,-16.718735,0.49015445,0.7597993,-0.65447134,1.6194239,-0.49809265,-1.8291066,-9.09355,2.8211153,2.3492653,30.8172,30.378,-28.072199,stand_to_sit
446,stand_to_sit,-8.818443,2.7611132,0.92895025,0.3410175,0.5663208,-0.5514071,31.0124,30.365799,-27.9258,26.019936,76.80781,-16.398483,0.3410175,0.5663208,-0.5514071,0.6403189,-0.09817529,-1.2883283,-9.15946,2.7685747,2.147016,31.0124,30.365799,-27.9258,stand_to_sit
467,stand_to_sit,-9.914988,2.4390929,2.4827871,0.07523424,0.22290641,-0.28895277,31.1222,30.317,-27.7306,26.606201,77.50592,-16.10437,0.07523424,0.22290641,-0.28895277,-0.36894512,-0.3020959,0.38410902,-9.222073,2.6482186,2.02749,31.1222,30.317,-27.7306,stand_to_sit
