elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
220,upstairs,-2.5900502,1.1509501,4.6969504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
236,upstairs,-1.6020001,0.165,3.83505,-0.46805,2.6741,-0.23333749,35.4,-0.82500005,-8.043751,-89.20497,34.487286,-3.4828737,-0.46805,2.6741,-0.23333749,0.152342,-0.099886,-0.421919,-5.032811,0.967501,8.359837,35.4,-0.82500005,-8.043751,upstairs
252,upstairs,-2.36805,0.40695003,2.8579502,-0.354475,3.917925,-0.450725,35.98125,0.7875,-7.3125005,-89.14514,37.383797,-3.0507777,-0.354475,3.917925,-0.450725,0.201324,-0.153543,-0.494841,-5.296673,0.91226,8.187607,35.98125,0.7875,-7.3125005,upstairs
271,upstairs,-2.04195,0.462,1.6849501,-0.349525,4.4603624,-0.5644375,36.506252,2.4562502,-6.6937504,-88.83712,44.61326,-2.0042906,-0.349525,4.4603624,-0.5644375,0.184314,-0.175907,-0.70263,-5.530823,0.865967,8.019846,36.506252,2.4562502,-6.6937504,upstairs
291,upstairs,-2.70105,-0.82800007,-1.56105,-0.3727625,4.6839375,-0.7415375,36.675003,3.80625,-6.2250004,-88.608635,48.510788,-1.2789173,-0.3727625,4.6839375,-0.7415375,0.173718,-0.216582,-0.864339,-5.836847,0.804047,7.784224,36.675003,3.80625,-6.2250004,upstairs
309,upstairs,-2.9299502,-1.062,-1.16805,-0.6941,4.3503623,-1.4403125,36.61875,4.8562503,-5.5875,-88.35575,52.262367,-0.2619045,-0.6941,4.3503623,-1.4403125,0.141107,-0.256754,-1.047189,-6.62931,0.612741,7.101981,36.61875,4.8562503,-5.5875,upstairs
327,upstairs,-4.0030503,-2.9920502,-1.7740501,-0.956725,4.30155,-1.8594124,36.300003,6.7875004,-4.2937503,-88.10373,55.865875,1.1845655,-0.956725,4.30155,-1.8594124,-0.025218,-0.465278,-1.077773,-7.052773,0.474397,6.682278,36.300003,6.7875004,-4.2937503,upstairs
344,upstairs,-5.1880503,-4.5480003,-1.83405,-1.259775,4.2893124,-2.15875,36.075,7.7812505,-3.6375,-88.05784,62.99487,5.184281,-1.259775,4.2893124,-2.15875,-0.186275,-0.635012,-1.033433,-7.464988,0.29647,6.22301,36.075,7.7812505,-3.6375,upstairs
363,upstairs,-6.393,-6.3630004,0.25500003,-1.3721125,4.15855,-2.2955625,35.71875,8.6625,-2.68125,-88.14721,66.259605,7.3887067,-1.3721125,4.15855,-2.2955625,-0.303493,-0.761911,-0.890625,-7.849825,0.074495,5.733213,35.71875,8.6625,-2.68125,upstairs
383,upstairs,-7.188,-8.32695,0.77295005,-0.132,3.575825,-2.8122876,35.30625,9.356251,-1.3875,-87.92177,69.83863,11.583169,-0.132,3.575825,-2.8122876,-0.406923,-0.861912,-0.715472,-8.47665,-0.598091,4.686419,35.30625,9.356251,-1.3875,upstairs
402,upstairs,-8.2890005,-10.563001,-0.771,0.2564375,4.2708874,-3.1873875,34.800003,9.95625,0.0375,-86.13532,76.32438,16.462807,0.2564375,4.2708874,-3.1873875,-0.675014,-1.232844,-0.523916,-8.706829,-1.016559,4.147184,34.800003,9.95625,0.0375,upstairs
