elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
288,standing,-3.4450502,-9.02295,-1.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
307,standing,-4.2780004,-8.632951,-2.23095,0.047575,0.1329625,-0.0097624995,16.81875,3.5812502,21.09375,-127.681206,121.36017,68.39756,0.047575,0.1329625,-0.0097624995,-0.047442,0.004073,-0.020518,-3.371484,-9.018295,-1.863811,16.81875,3.5812502,21.09375,standing
327,standing,-4.24695,-8.88195,-2.29095,0.0243375,0.0144375,0.1612875,16.6875,6.24375,22.931252,-126.901566,120.648895,67.517166,0.0243375,0.0144375,0.1612875,-0.088419,0.015699,-0.020325,-3.406304,-9.002055,-1.877726,16.6875,6.24375,22.931252,standing
345,standing,-2.3100002,-9.612,-0.35895002,-0.0721875,-0.1076625,0.2187625,16.706251,8.962501,24.750002,-126.86965,120.58048,67.21309,-0.0721875,-0.1076625,0.2187625,-0.082731,-0.011733,-0.054951,-3.432902,-8.989229,-1.889878,16.706251,8.962501,24.750002,standing
364,standing,-2.0299501,-9.8539505,-0.35205,0.1428625,0.1672,-0.047575,16.6875,11.681251,26.550001,-126.15922,119.746056,67.62936,0.1428625,0.1672,-0.047575,0.117908,-0.075788,0.115208,-3.448077,-8.984466,-1.884859,16.6875,11.681251,26.550001,standing
383,standing,-2.844,-8.797951,-1.2540001,0.20019999,0.390775,-0.0952875,16.63125,14.400001,28.312502,-124.928406,118.98921,68.74658,0.20019999,0.390775,-0.0952875,0.124655,-0.042568,0.113387,-3.436923,-8.999181,-1.830715,16.63125,14.400001,28.312502,standing
400,standing,-3.5700002,-8.51595,-2.29605,0.2173875,0.3345375,-0.058575,16.462502,19.875,31.800001,-124.786514,119.19544,68.61492,0.2173875,0.3345375,-0.058575,0.067897,0.008833,0.045818,-3.425169,-9.00868,-1.8048,16.462502,19.875,31.800001,standing
417,standing,-3.1630502,-8.74995,-2.5500002,0.20019999,0.1854875,-0.036575,16.368752,22.612501,33.525,-124.96696,119.63646,68.5322,0.20019999,0.1854875,-0.036575,0.034175,0.029581,-0.016532,-3.399089,-9.022705,-1.784021,16.368752,22.612501,33.525,standing
437,standing,-3.2080503,-9.27495,-2.4540002,0.053625,0.0463375,-0.014575,16.275002,25.368752,35.11875,-125.32536,120.159744,68.55425,0.053625,0.0463375,-0.014575,0.041917,-0.010226,-0.060448,-3.357547,-9.042521,-1.764297,16.275002,25.368752,35.11875,standing
456,standing,-3.0859501,-9.318001,-2.1000001,0.0048125,0.009625,-0.0012375,15.712501,27.993752,36.28125,-125.86971,120.990036,68.67565,0.0048125,0.009625,-0.0012375,0.077826,-0.042753,-0.040381,-3.283004,-9.069815,-1.767297,15.712501,27.993752,36.28125,standing
476,standing,-3.0619502,-9.402,-1.4269501,0.0158125,-0.012375,0.01595,14.437501,29.8875,36.99375,-125.70826,120.816696,68.67537,0.0158125,-0.012375,0.01595,0.112569,-0.059708,0.002665,-3.265763,-9.070947,-1.793501,14.437501,29.8875,36.99375,standing
495,standing,-2.8590002,-9.32505,-1.71405,0.086625,0.009625,0.0171875,13.406251,30.91875,37.050003,-125.32632,120.411095,68.77168,0.086625,0.009625,0.0171875,0.045764,-0.010473,-0.004661,-3.249693,-9.072702,-1.814368,13.406251,30.91875,37.050003,standing
512,standing,-2.9020503,-9.201,-1.9540501,0.0488125,0.0584375,0.0061875,11.587501,33.54375,37.29375,-125.2329,120.389595,68.92235,0.0488125,0.0584375,0.0061875,-0.036319,0.037454,-0.113167,-3.228267,-9.078347,-1.824745,11.587501,33.54375,37.29375,standing
528,standing,-2.9950502,-9.177,-2.0059502,0.009625,0.064625,0.00495,10.875,34.78125,37.29375,-125.37126,120.60037,68.920425,0.009625,0.064625,0.00495,-0.043243,0.010661,-0.123991,-3.207001,-9.085298,-1.827723,10.875,34.78125,37.29375,standing
544,standing,-2.9659503,-9.330001,-1.9219501,-0.01595,0.05115,0.002475,10.875,34.78125,37.29375,-125.50835,120.79024,68.93189,-0.01595,0.05115,0.002475,0.008915,-0.043188,-0.058538,-3.170034,-9.099648,-1.820772,10.875,34.78125,37.29375,standing
560,standing,-3.1270502,-9.196051,-1.67295,-0.0111375,0.0364375,0.0122375,9.75,36.3375,37.36875,-125.39302,120.69798,68.91568,-0.0111375,0.0364375,0.0122375,0.02251,-0.057821,0.016595,-3.153873,-9.106807,-1.813216,9.75,36.3375,37.36875,standing
576,standing,-3.3970501,-9.13395,-1.575,0.009625,0.0463375,0.02695,8.962501,36.9375,37.631252,-125.05895,120.37827,68.84095,0.009625,0.0463375,0.02695,-0.009115,-0.03598,0.07157,-3.14197,-9.112165,-1.807183,8.962501,36.9375,37.631252,standing
592,standing,-3.3040502,-9.078,-1.6609501,0.0279125,0.0548625,0.0317625,8.962501,36.9375,37.631252,-124.72326,120.072075,68.7613,0.0279125,0.0548625,0.0317625,-0.021916,-0.006423,0.092212,-3.136489,-9.114613,-1.804466,8.962501,36.9375,37.631252,standing
608,standing,-3.2389503,-9.129001,-1.932,0.04015,0.0682,0.0342375,6.9750004,38.775,38.268753,-124.47618,119.87345,68.70765,0.04015,0.0682,0.0342375,-0.016096,0.016928,0.041477,-3.137154,-9.114886,-1.801882,6.9750004,38.775,38.268753,standing
624,standing,-3.144,-9.16905,-1.9339501,0.0279125,0.07315,0.03795,5.925,39.675003,38.68125,-124.42844,119.898415,68.63315,0.0279125,0.07315,0.03795,-0.011382,0.021295,-0.010564,-3.141759,-9.113798,-1.7993,5.925,39.675003,38.68125,standing
640,standing,-3.2029502,-9.177,-1.8580501,0.009625,0.0609125,0.0402875,5.925,39.675003,38.68125,-124.443695,119.98228,68.58187,0.009625,0.0609125,0.0402875,-0.025717,0.022462,-0.023102,-3.149135,-9.111858,-1.796236,5.925,39.675003,38.68125,standing
656,standing,-3.1699502,-9.093,-1.7380501,0.0048125,0.048675,0.044,4.425,40.78125,39.018753,-124.28455,119.92439,68.47724,0.0048125,0.048675,0.044,-0.034834,0.018878,-0.002925,-3.158903,-9.109061,-1.793354,4.425,40.78125,39.018753,standing
673,standing,-3.1030502,-9.094951,-1.6570501,-0.001375,0.0341,0.0402875,4.0125003,41.25,38.943752,-124.15523,119.822754,68.46993,-0.001375,0.0341,0.0402875,-0.027001,0.016137,0.016517,-3.168116,-9.106082,-1.792314,4.0125003,41.25,38.943752,standing
689,standing,-3.1290002,-9.14595,-1.5990001,-0.001375,0.026675,0.0367125,4.0125003,41.25,38.943752,-123.978386,119.66322,68.47911,-0.001375,0.026675,0.0367125,-0.023999,0.018806,0.031327,-3.176019,-9.103266,-1.79268,4.0125003,41.25,38.943752,standing
705,standing,-3.0619502,-9.17895,-1.6020001,0.00715,0.0133375,0.018424999,3.9750001,41.53125,38.925003,-123.849236,119.545235,68.5168,0.00715,0.0133375,0.018424999,-0.011575,0.013057,0.026587,-3.175736,-9.103708,-1.790919,3.9750001,41.53125,38.925003,standing
722,standing,-3.144,-9.189,-1.8550501,0.0169125,-0.00385,0.0037125,3.91875,41.643753,38.925003,-123.762794,119.459015,68.559074,0.0169125,-0.00385,0.0037125,0.011644,0.0021,0.010782,-3.17372,-9.105418,-1.785732,3.91875,41.643753,38.925003,standing
742,standing,-2.97405,-9.118951,-1.79295,-0.012375,-0.062425,-0.011,3.9,41.71875,38.925003,-123.796646,119.48004,68.55526,-0.012375,-0.062425,-0.011,0.028186,-0.008644,-0.013979,-3.171086,-9.107573,-1.779387,3.9,41.71875,38.925003,standing
761,standing,-2.90895,-9.106951,-1.83105,-0.0209,-0.0881375,-0.0232375,3.8625002,41.79375,38.9625,-124.065994,119.64995,68.63349,-0.0209,-0.0881375,-0.0232375,0.033141,-0.00477,-0.003035,-3.157765,-9.114482,-1.767669,3.8625002,41.79375,38.9625,standing
