elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
364,walking,-1.64205,-9.735001,4.48395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
383,walking,-1.233,-9.723001,4.431,-0.0917125,2.8122876,-1.2106875,-4.51875,20.175001,-39.206253,169.17265,17.645134,69.0374,-0.0917125,2.8122876,-1.2106875,0.047336,-0.136068,0.18228,-1.979168,-9.026272,3.282929,-4.51875,20.175001,-39.206253,walking
400,walking,-1.401,-9.262951,4.1010003,-0.15895,2.759625,-1.305975,-3.1875002,20.493752,-39.3375,171.98734,17.316898,69.210976,-0.15895,2.759625,-1.305975,0.05972,-0.070725,0.174715,-1.964617,-9.037617,3.259792,-3.1875002,20.493752,-39.3375,walking
420,walking,-1.4440501,-7.8,3.315,-0.426525,2.681525,-1.2277375,-1.81875,20.775002,-39.46875,176.98004,17.190605,69.86715,-0.426525,2.681525,-1.2277375,0.059535,0.008379,0.168099,-1.898572,-9.072804,3.198529,-1.81875,20.775002,-39.46875,walking
436,walking,-1.21605,-7.458,2.9350502,-0.658625,2.6851,-1.13245,-0.46875003,21.018751,-39.525,179.29453,17.239452,70.61097,-0.658625,2.6851,-1.13245,0.056289,0.089423,0.137619,-1.854053,-9.100011,3.14533,-0.46875003,21.018751,-39.525,walking
459,walking,-1.24995,-7.6440005,3.1189501,-1.3220625,2.9063375,-0.9871125,0.91875005,21.28125,-39.54375,-178.72925,17.624887,71.56163,-1.3220625,2.9063375,-0.9871125,0.092437,0.18207,-0.02685,-1.804172,-9.135954,3.067085,0.91875005,21.28125,-39.54375,walking
475,walking,-1.21395,-8.073,3.28695,-1.6567374,3.0993874,-0.9383,2.34375,21.6,-39.506252,-177.1408,18.474018,72.77059,-1.6567374,3.0993874,-0.9383,0.090494,0.182693,-0.090226,-1.750436,-9.17877,2.965082,2.34375,21.6,-39.506252,walking
494,walking,-1.245,-9.217051,4.362,-1.8277875,3.19825,-0.87229997,3.7875001,21.900002,-39.393753,-175.04698,21.60438,74.99463,-1.8277875,3.19825,-0.87229997,0.072214,0.15955,-0.079973,-1.649973,-9.275082,2.700806,3.7875001,21.900002,-39.393753,walking
512,walking,-1.3219501,-9.672001,4.6080003,-1.8192625,3.0492,-0.8160625,6.5625005,22.181252,-39.112503,-174.18999,23.32413,75.99307,-1.8192625,3.0492,-0.8160625,0.040761,0.103957,-0.054611,-1.609415,-9.32622,2.542485,6.5625005,22.181252,-39.112503,walking
531,walking,-1.233,-10.158001,5.037,-1.3903999,2.2869,-0.6743,7.8750005,22.44375,-38.8125,-174.25085,25.732635,77.562584,-1.3903999,2.2869,-0.6743,0.015843,0.038509,-0.004564,-1.572643,-9.380213,2.358591,7.8750005,22.44375,-38.8125,walking
552,walking,-1.21395,-10.813951,5.23995,-1.039775,1.936275,-0.571725,9.4125,22.59375,-38.5875,-174.5718,29.763542,80.018616,-1.039775,1.936275,-0.571725,0.008916,-0.052862,0.058486,-1.498166,-9.485073,1.945864,9.4125,22.59375,-38.5875,walking
575,walking,-1.2040501,-10.77795,4.467,-0.3788125,1.23255,-0.3994375,10.762501,22.518751,-38.4,-174.36157,30.988277,80.80225,-0.3788125,1.23255,-0.3994375,0.028114,-0.263916,0.14608,-1.45809,-9.529626,1.746272,10.762501,22.518751,-38.4,walking
591,walking,-1.3980001,-10.52505,3.52095,-0.205425,0.7255875,-0.30415,11.493751,22.5,-38.081253,-173.68651,31.45785,81.322815,-0.205425,0.7255875,-0.30415,0.00378,-0.33659,0.129316,-1.417729,-9.568721,1.558371,11.493751,22.5,-38.081253,walking
607,walking,-1.6879501,-9.96405,2.1730502,-0.238425,0.296725,-0.1881,13.500001,21.6,-38.362503,-173.36914,32.27126,81.40097,-0.238425,0.296725,-0.1881,-0.022262,-0.339136,0.039008,-1.345207,-9.630434,1.242222,13.500001,21.6,-38.362503,walking
