elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
161,running,4.545466,-3.914957,3.495914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
183,running,8.583653,-7.6546397,1.9806589,0.0,0.0,0.0,-23.3386,5.6974,-17.8486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.3386,5.6974,-17.8486,running
205,running,8.140681,-9.449257,3.7094734,0.0,0.0,0.0,-23.8876,5.917,-17.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.8876,5.917,-17.6656,running
224,running,8.261519,-9.7812605,3.8572302,0.0,0.0,0.0,-24.4366,6.1122,-17.4216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.4366,6.1122,-17.4216,running
243,running,7.6426754,-9.744172,3.9918263,0.0,0.0,0.0,-25.681,5.8682,-17.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.681,5.8682,-17.202,running
263,running,6.2491555,-10.923534,4.6088758,0.7218285,-0.5876092,0.40891632,11.4924,39.528,-5.4168,-27.513807,-41.434586,59.36054,0.7218285,-0.5876092,0.40891632,0.0,0.0,0.0,0.0,0.0,0.0,11.4924,39.528,-5.4168,running
284,running,4.883153,-13.6301155,6.387341,0.5611115,-0.57376117,0.3300891,10.2724,39.0156,-4.9776,-24.784983,-35.807354,59.3505,0.5611115,-0.57376117,0.3300891,-1.8401337,-4.352586,2.4624157,7.100328,-6.4164624,2.1412013,10.2724,39.0156,-4.9776,running
304,running,5.3979087,-10.916057,6.2084775,0.37150002,-0.582283,0.46537367,9.1378,38.564198,-4.575,-18.782032,-40.08017,52.136635,0.37150002,-0.582283,0.46537367,-2.1533322,-4.674202,3.1636026,6.082072,-7.196313,2.7188015,9.1378,38.564198,-4.575,running
323,running,4.759324,-9.706485,5.9712887,0.2255631,-0.6856106,0.44300377,8.3448,38.552,-4.1967998,-19.711195,-37.985104,51.91245,0.2255631,-0.6856106,0.44300377,-1.6634955,-1.8105469,2.65428,5.835735,-7.31966,2.9218411,8.3448,38.552,-4.1967998,running
339,running,4.578666,-9.42144,5.8208404,0.20851937,-0.6792192,0.42596006,8.0032,38.6252,-3.9284,-17.652725,-38.653393,51.855762,0.20851937,-0.6792192,0.42596006,-1.6634955,-1.8105469,2.65428,5.835735,-7.31966,2.9218411,8.0032,38.6252,-3.9284,running
358,running,4.586443,-9.303893,5.5683975,0.23301972,-0.62595755,0.40039447,7.4298,38.5276,-4.026,-18.979616,-38.83996,50.794437,0.23301972,-0.62595755,0.40039447,-1.9390655,-0.50127983,1.9774117,5.4771876,-7.482037,3.1921666,7.4298,38.5276,-4.026,running
374,running,4.566104,-8.968299,5.5369916,0.30758604,-0.5077167,0.27682742,6.8686,38.5032,-4.0382,-15.35767,-37.503178,49.84268,0.30758604,-0.5077167,0.27682742,-1.7459702,-0.32047367,1.6176114,5.3457932,-7.5373325,3.2835197,6.8686,38.5032,-4.0382,running
393,running,4.156333,-8.197512,5.573781,0.4258269,-0.4374113,0.1852174,6.2219996,38.3812,-3.8551998,-13.496728,-30.755283,48.4171,0.4258269,-0.4374113,0.1852174,-1.6979103,0.13014507,1.5550642,5.2437196,-7.5640316,3.3851483,6.2219996,38.3812,-3.8551998,running
413,running,2.5145576,-6.308079,5.352445,0.5643072,-0.40225863,0.21717438,6.039,38.0518,-3.7698,-14.475944,-23.16325,46.544518,0.5643072,-0.40225863,0.21717438,-2.0526347,0.8875971,1.4474964,5.1595154,-7.56638,3.507089,6.039,38.0518,-3.7698,running
430,running,2.5145576,-6.308079,5.352445,0.64513177,-0.32995594,0.25978372,5.7827997,38.0274,-3.5502,-14.21577,-18.38256,52.03753,0.64513177,-0.32995594,0.25978372,-2.7266688,1.7071161,1.214592,5.073297,-7.5581837,3.6477234,5.7827997,38.0274,-3.5502,running
449,running,1.6674982,-5.535197,4.382754,0.6951977,-0.261781,0.36417654,5.124,37.783398,-3.4404,-16.010954,-22.10915,56.798786,0.6951977,-0.261781,0.36417654,-3.8913503,2.9799414,-0.22370243,4.9757514,-7.54445,3.80704,5.124,37.783398,-3.4404,running
466,running,0.959821,-4.5544386,2.3192434,0.64513177,-0.22343263,0.36204606,4.9044,37.466198,-3.5623999,-20.001707,-21.3999,63.809216,0.64513177,-0.22343263,0.36204606,-3.8913503,2.9799414,-0.22370243,4.865033,-7.545438,3.945657,4.9044,37.466198,-3.5623999,running
486,running,0.6619146,-4.389633,1.6815561,0.6154384,-0.18508424,0.33967617,4.7824,37.271,-3.5623999,-34.743572,-19.764137,72.19235,0.6154384,-0.18508424,0.33967617,-3.9538414,3.3887172,-1.4238844,4.7625356,-7.559303,4.042967,4.7824,37.271,-3.5623999,running
505,running,0.37657046,-4.18056,0.99032944,0.53980684,-0.072169535,0.30665395,4.1114,36.8074,-3.9162,-47.50646,-19.390476,78.24668,0.53980684,-0.072169535,0.30665395,-4.074059,3.4436808,-2.704717,4.5680075,-7.6167984,4.1578937,4.1114,36.8074,-3.9162,running
525,running,0.32362926,-4.02054,0.22073789,0.34380397,0.020505736,0.23528334,4.27,36.6244,-3.8918,-10.939258,-118.18363,83.655106,0.34380397,0.020505736,0.23528334,-4.1166,3.4899778,-3.3448224,4.471015,-7.6612763,4.1815386,4.27,36.6244,-3.8918,running
