elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
199,standing,4.4225345,-8.839386,-0.29012975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
218,standing,2.675475,-7.6420774,-1.2756736,0.0,0.0,0.0,7.7348,41.601997,-50.5812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7348,41.601997,-50.5812,standing
248,standing,0.5312066,-6.4184475,0.5204389,0.0,0.0,0.0,9.076799,41.8094,-51.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.076799,41.8094,-51.301,standing
264,standing,0.15882361,-6.259624,0.5632106,0.0,0.0,0.0,10.906799,42.273,-52.032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.906799,42.273,-52.032997,standing
283,standing,0.36281174,-6.7935224,1.5104693,0.0,0.0,0.0,18.0194,43.9932,-52.8626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0194,43.9932,-52.8626,standing
299,standing,0.48275197,-8.313563,1.5149559,0.7900034,0.6371425,-0.13315412,21.2036,44.700798,-52.826,-124.180046,-16.10748,78.494934,0.7900034,0.6371425,-0.13315412,0.0,0.0,0.0,0.0,0.0,0.0,21.2036,44.700798,-52.826,standing
316,standing,0.83778703,-12.570992,3.6990047,0.755916,0.92355704,0.34074143,28.7432,46.3844,-51.179,-59.166855,-70.57316,73.65028,0.755916,0.92355704,0.34074143,-1.9884934,-0.26056623,2.2339642,2.9557004,-9.301476,-0.9574805,28.7432,46.3844,-51.179,standing
332,standing,3.932604,-16.614565,0.7322037,0.7047848,0.38574752,0.72622263,37.8932,47.8728,-47.6532,-6.1015577,-121.34031,78.61249,0.7047848,0.38574752,0.72622263,-1.5936193,-3.1818962,3.3435695,2.536099,-9.470501,-0.21956849,37.8932,47.8728,-47.6532,standing
353,standing,6.6966133,-21.361923,-1.9881365,0.09240896,-1.1062444,0.7848104,46.4454,48.8976,-43.92,-18.16604,-102.24783,65.858925,0.09240896,-1.1062444,0.7848104,1.3323953,-7.05208,1.5106283,2.3770094,-9.513436,0.12144289,46.4454,48.8976,-43.92,standing
373,standing,7.7611203,-17.799011,-2.0219352,-0.19613603,-0.5151733,0.22569625,52.874798,49.593,-40.8578,-10.978748,-109.88817,68.709274,-0.19613603,-0.5151733,0.22569625,5.596667,-8.088838,-1.7826064,2.5349455,-9.470446,-0.23477638,52.874798,49.593,-40.8578,standing
