elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
179,sit_to_stand,4.7976093,-0.88414794,-11.929418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
195,sit_to_stand,5.0309095,-0.6735796,-11.276476,-0.3665733,0.33461633,0.8977251,15.0548,2.7084,35.989998,86.921814,-155.33391,2.1792874,-0.3665733,0.33461633,0.8977251,0.0,0.0,0.0,3.91102,-0.6242301,-8.971323,15.0548,2.7084,35.989998,sit_to_stand
213,sit_to_stand,5.35424,0.025124637,-11.566905,-0.28774607,0.2356828,0.44619948,15.164599,2.5864,36.0998,84.36369,-159.26088,-0.15065023,-0.28774607,0.2356828,0.44619948,0.21384716,0.04206866,-0.3932705,3.9790716,-0.56948656,-8.945002,15.164599,2.5864,36.0998,sit_to_stand
233,sit_to_stand,3.8524444,-0.2108675,-11.559128,-0.23235396,-0.14140968,0.28108835,15.323199,2.2935998,36.221798,86.05871,-161.82024,1.055545,-0.23235396,-0.14140968,0.28108835,0.26301336,0.50928265,-0.4263153,4.0502954,-0.34836754,-8.9243555,15.323199,2.2935998,36.221798,sit_to_stand
253,sit_to_stand,3.5189447,0.0634098,-10.51825,-0.29733318,-0.40438908,0.22356579,15.689199,2.0252,36.5024,85.848404,-162.14995,-0.24933085,-0.29733318,-0.40438908,0.22356579,-0.7057681,0.12594011,-0.15571785,3.6638858,-0.24018168,-9.093328,15.689199,2.0252,36.5024,sit_to_stand
271,sit_to_stand,3.5189447,0.0634098,-10.51825,-0.33355108,-0.518369,0.12982528,15.9942,1.9397999,36.697598,86.905045,-162.2094,0.4208237,-0.33355108,-0.518369,0.12982528,-0.7057681,0.12594011,-0.15571785,3.5231407,-0.16798389,-9.150391,15.9942,1.9397999,36.697598,sit_to_stand
288,sit_to_stand,3.865306,0.19381863,-11.499906,-0.45392242,-0.60252243,0.001065233,16.518799,1.6226,36.9416,87.731,-161.48976,0.33500987,-0.45392242,-0.60252243,0.001065233,-0.6164417,0.1182112,0.16806889,3.371482,-0.101063415,-9.208327,16.518799,1.6226,36.9416,sit_to_stand
309,sit_to_stand,4.0707893,-0.15044872,-11.99851,-0.51996684,-0.7090457,-0.10758854,17.1166,1.1834,37.1246,89.39464,-159.29474,0.3663192,-0.51996684,-0.7090457,-0.10758854,-0.10581422,0.18875206,-0.22178268,3.2572408,-0.0075496477,-9.249903,17.1166,1.1834,37.1246,sit_to_stand
328,sit_to_stand,4.76082,0.13310076,-12.1815605,-0.5476629,-0.7495246,-0.5123771,17.7754,0.7686,37.319798,87.156105,-157.72647,-2.722173,-0.5476629,-0.7495246,-0.5123771,0.22186232,-0.2391547,-0.63232803,3.1521652,0.050201915,-9.286104,17.7754,0.7686,37.319798,sit_to_stand
348,sit_to_stand,4.0734816,0.8120642,-11.049457,-0.45711812,-1.0380696,-0.68481165,18.3976,0.28059998,37.637,87.329124,-161.88046,-3.6462393,-0.45711812,-1.0380696,-0.68481165,0.27398157,0.46840963,0.53601646,3.1056046,0.1403995,-9.300855,18.3976,0.28059998,37.637,sit_to_stand
