elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
220,standing,0.7606185,-0.1689931,-9.888938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
238,standing,0.68195444,-0.25812575,-10.062119,0.057256274,-0.046603944,-0.19600287,29.597198,-12.7246,46.811398,112.50594,-176.25652,1.4675963,0.057256274,-0.046603944,-0.19600287,3.3718348E-4,-0.016372085,-0.045679092,0.6813988,-0.22694954,-9.780316,29.597198,-12.7246,46.811398,standing
261,standing,0.62841505,-0.26141587,-9.928419,0.052995343,-0.021038352,-0.23967743,29.7192,-12.627,46.8236,112.82118,-176.70525,1.7736337,0.052995343,-0.021038352,-0.23967743,-0.013339937,-0.014412418,-0.014872551,0.6642537,-0.24145615,-9.781147,29.7192,-12.627,46.8236,standing
280,standing,0.5727819,-0.31046873,-9.782158,0.065778136,-0.028494984,-0.28761292,29.8778,-12.1756,46.567398,112.73216,-176.56569,1.758716,0.065778136,-0.028494984,-0.28761292,-0.038537502,-0.009032011,0.12626266,0.64991754,-0.25172824,-9.781852,29.8778,-12.1756,46.567398,standing
300,standing,0.53599226,-0.3469593,-9.955638,0.06790861,-0.04127778,-0.36324447,29.902199,-12.017,46.3234,112.076996,-177.043,2.242223,0.06790861,-0.04127778,-0.36324447,-0.06352943,-0.041621983,0.09166145,0.62353903,-0.2805133,-9.782785,29.902199,-12.017,46.3234,standing
319,standing,0.4339982,-0.38135612,-10.029516,0.05193011,-0.02742975,-0.38028818,29.9144,-11.5412,45.566998,112.743034,-177.76604,2.3255146,0.05193011,-0.02742975,-0.38028818,-0.10272193,-0.051515877,-0.060316086,0.6017064,-0.29699013,-9.783667,29.9144,-11.5412,45.566998,standing
339,standing,0.3574279,-0.39451665,-9.968499,0.021038352,-0.017842652,-0.40478855,29.9144,-11.163,45.0058,111.46276,-178.13374,2.392466,0.021038352,-0.017842652,-0.40478855,-0.15303606,-0.056707025,-0.061123848,0.55004776,-0.32253975,-9.785898,29.9144,-11.163,45.0058,standing
361,standing,0.25064817,-0.46331027,-9.94846,0.010519176,-0.031690683,-0.42076704,30.0486,-10.7726,44.4934,111.450226,-178.37639,2.8775077,0.010519176,-0.031690683,-0.42076704,-0.2025272,-0.06585035,0.006837845,0.5234838,-0.33009255,-9.787104,30.0486,-10.7726,44.4934,standing
380,standing,0.2757728,-0.48155555,-10.028918,-0.0118507175,-0.07323477,-0.44313693,30.2072,-10.613999,44.3714,111.01476,-178.94177,2.8839436,-0.0118507175,-0.07323477,-0.44313693,-0.21427634,-0.119763434,-0.029763222,0.46628466,-0.3451751,-9.7894745,30.2072,-10.613999,44.3714,standing
401,standing,0.2105684,-0.5183452,-10.150353,-0.054460037,-0.09453943,-0.4836158,30.560999,-10.187,44.0298,110.80045,-179.20314,3.0349085,-0.054460037,-0.09453943,-0.4836158,-0.17914239,-0.13285998,-0.09440422,0.43878284,-0.34885266,-9.790615,30.560999,-10.187,44.0298,standing
420,standing,0.09661021,-0.52582276,-10.089935,-0.06511237,-0.0870828,-0.4836158,31.0002,-9.5892,43.3954,111.047325,-179.84059,2.9712296,-0.06511237,-0.0870828,-0.4836158,-0.23868985,-0.17379642,-0.17653179,0.40657339,-0.35101348,-9.791928,31.0002,-9.5892,43.3954,standing
