elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
224,upstairs,-2.169692,-10.297512,-3.0284162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
243,upstairs,-1.9962122,-9.6529455,-2.9479575,0.02742975,0.19733442,0.30878443,5.3924,14.0056,-21.3866,41.222595,146.35512,69.802605,0.02742975,0.19733442,0.30878443,0.050578356,0.2446289,0.026420355,-1.949865,-9.194759,-2.7972896,5.3924,14.0056,-21.3866,upstairs
259,upstairs,-1.9597218,-9.550952,-2.8791637,-0.006524552,0.19094302,0.36098084,5.5266,14.0056,-21.3866,41.686787,145.87363,70.04587,-0.006524552,0.19094302,0.36098084,0.12531757,0.38130474,0.099306345,-1.9598529,-9.18988,-2.806326,5.5266,14.0056,-21.3866,upstairs
278,upstairs,-1.9597218,-9.550952,-2.8791637,-0.006524552,0.19094302,0.36098084,5.5875998,14.03,-21.4476,43.437073,146.0077,69.91473,-0.006524552,0.19094302,0.36098084,0.12531757,0.38130474,0.099306345,-1.9719257,-9.188546,-2.8022351,5.5875998,14.03,-21.4476,upstairs
302,upstairs,-1.986641,-9.726525,-2.94048,-0.049133874,0.19094302,0.40039447,6.0024,14.2374,-21.472,42.819656,145.31612,70.09962,-0.049133874,0.19094302,0.40039447,0.17675734,0.28055573,0.11576438,-1.9899341,-9.184218,-2.8036904,6.0024,14.2374,-21.472,upstairs
322,upstairs,-2.088336,-9.932307,-2.9682965,-0.03741631,0.19946489,0.39293784,6.3318,14.3838,-21.532999,45.875732,143.85498,70.189026,-0.03741631,0.19946489,0.39293784,0.13888073,-0.024522781,0.06034279,-2.0407872,-9.16965,-2.814798,6.3318,14.3838,-21.532999,upstairs
342,upstairs,-2.1658037,-10.2723875,-3.0717862,-0.028894445,0.23035665,0.37695932,6.6856,14.4814,-21.813599,44.70378,145.12227,69.83464,-0.028894445,0.23035665,0.37695932,0.08708668,-0.26379776,0.028604507,-2.098605,-9.155591,-2.8180482,6.6856,14.4814,-21.813599,upstairs
362,upstairs,-2.1394825,-10.243075,-3.039782,-0.02037258,0.25898477,0.35139373,7.1247997,14.505799,-22.045399,46.671448,144.87582,69.96832,-0.02037258,0.25898477,0.35139373,0.10369873,-0.38119125,-0.020681858,-2.098605,-9.155591,-2.8180482,7.1247997,14.505799,-22.045399,upstairs
382,upstairs,-2.0727825,-10.056436,-3.068496,-0.015046417,0.28028944,0.32902384,7.442,14.5302,-22.240599,46.101936,146.33228,69.22748,-0.015046417,0.28028944,0.32902384,0.14116001,-0.36134243,-0.0010008812,-2.1203623,-9.149649,-2.8210626,7.442,14.5302,-22.240599,upstairs
402,upstairs,-1.9764715,-9.520144,-2.9706893,-0.047003407,0.2983984,0.3236977,7.7103996,14.639999,-22.350399,45.799004,146.70778,69.32857,-0.047003407,0.2983984,0.3236977,0.2965989,-0.012875557,0.011538982,-2.156908,-9.132631,-2.8483644,7.7103996,14.639999,-22.350399,upstairs
