elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
199,downstairs,2.3512473,-11.161022,5.784948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
217,downstairs,-7.964211,-6.5668025,1.0133604,-2.5103548,2.5147488,0.9168993,31.049,41.2726,-12.5538,-66.1028,22.837255,47.766144,-2.5103548,2.5147488,0.9168993,0.0,0.0,0.0,0.0,0.0,0.0,31.049,41.2726,-12.5538,downstairs
233,downstairs,-4.0307097,-8.765508,9.365508,-2.4943762,1.5966512,2.535654,32.2324,40.9066,-11.0288,-67.118996,29.108791,47.06906,-2.4943762,1.5966512,2.535654,-3.2771049,-1.4989927,2.117754,-7.2216644,-6.626597,0.32582816,32.2324,40.9066,-11.0288,downstairs
253,downstairs,-1.5846468,-15.043975,14.992828,-0.31011596,1.0982553,2.859485,33.55,40.2478,-9.76,-55.379982,-6.4508085,44.77592,-0.31011596,1.0982553,2.859485,0.4494872,-3.6213539,8.012671,-7.2216644,-6.626597,0.32582816,33.55,40.2478,-9.76,downstairs
270,downstairs,2.5289145,-14.886946,12.8467655,0.50252366,0.6456644,2.1373901,35.684998,39.2108,-7.5884,-81.228065,-5.766105,78.14761,0.50252366,0.6456644,2.1373901,5.4930086,-6.8840303,8.706236,-3.0633073,-7.75821,5.1572,35.684998,39.2108,-7.5884,downstairs
287,downstairs,-1.4862419,-8.05125,-1.1270195,0.34593442,0.6158378,0.9286169,37.5638,37.9908,-6.2464,119.25535,130.45155,75.98868,0.34593442,0.6158378,0.9286169,3.7119005,-3.0574179,1.227479,-1.9134725,-8.0471945,5.2679853,37.5638,37.9908,-6.2464,downstairs
308,downstairs,-2.4284158,-4.29392,-5.7266226,-0.95657927,0.5306192,0.41850343,38.8936,37.0514,-5.2948,48.665066,169.85318,13.152532,-0.95657927,0.5306192,0.41850343,1.1824951,0.5531349,-5.2405577,-1.9691541,-8.395837,4.66934,38.8936,37.0514,-5.2948,downstairs
327,downstairs,-7.2499533,-6.558129,-3.5069807,-2.5337899,0.42942205,0.30665395,39.6134,36.3926,-4.331,-171.60783,85.51849,47.073826,-2.5337899,0.42942205,0.30665395,0.28085494,3.767552,-7.5840683,-2.1924224,-8.775165,3.7894797,39.6134,36.3926,-4.331,downstairs
347,downstairs,-4.813163,-10.334601,3.182454,-2.4570932,0.21650861,1.308772,40.2112,35.9046,-2.8669999,-75.397705,14.912799,55.814056,-2.4570932,0.21650861,1.308772,-3.8017719,2.655779,-8.324282,-2.9096105,-9.027212,2.4927878,40.2112,35.9046,-2.8669999,downstairs
367,downstairs,-1.1222339,-15.791134,10.022636,-1.5806726,1.5913249,0.7102441,40.7236,35.4166,-0.8662,-58.507004,-9.733981,59.87589,-1.5806726,1.5913249,0.7102441,1.3988994,-5.1949234,6.4265223,-3.189237,-8.990296,2.2745838,40.7236,35.4166,-0.8662,downstairs
388,downstairs,-0.747458,-14.111971,3.2656047,-0.8223599,2.7681413,-0.5017248,41.1628,35.1238,1.5982,-102.86034,29.078909,79.19844,-0.8223599,2.7681413,-0.5017248,4.2318277,-7.7496195,7.604639,-2.7162645,-9.083079,2.5079787,41.1628,35.1238,1.5982,downstairs
407,downstairs,0.61405814,-6.8042903,-8.597113,-0.71051043,2.2942457,-1.6082356,40.9432,35.440998,4.331,51.055504,178.82362,16.184353,-0.71051043,2.2942457,-1.6082356,2.3095078,-4.841916,2.149211,-2.4214194,-9.203408,2.3673575,40.9432,35.440998,4.331,downstairs
427,downstairs,-2.8974092,-5.3159547,-4.403392,-1.8670871,1.6776088,-2.5783966,40.0892,36.0998,6.832,-43.729744,95.669815,37.827377,-1.8670871,1.6776088,-2.5783966,2.5876074,1.8545628,-6.7034335,-2.121768,-9.415562,1.7365726,40.0892,36.0998,6.832,downstairs
447,downstairs,-11.334801,-8.419446,-0.47736812,-1.3985178,1.0545807,-2.5198088,38.7716,37.3442,8.9182,-49.931656,89.034386,35.5756,-1.3985178,1.0545807,-2.5198088,1.0445658,5.4214916,-8.722648,-1.7919593,-9.601581,0.87688136,38.7716,37.3442,8.9182,downstairs
466,downstairs,-2.8079774,-12.989139,5.2567325,0.07856093,-1.2319419,-0.43141937,37.3564,38.4544,10.1016,-73.66133,25.169127,66.15602,0.07856093,-1.2319419,-0.43141937,-7.978492,0.41218853,1.3230989,-2.301542,-9.511745,0.63245386,37.3564,38.4544,10.1016,downstairs
482,downstairs,0.46749774,-13.511373,5.113462,0.38534805,-1.3650961,-0.17895915,36.8196,38.9058,10.1504,-50.705994,-5.2717633,66.68295,0.38534805,-1.3650961,-0.17895915,-1.6154873,-2.335578,3.9452195,-2.301542,-9.511745,0.63245386,36.8196,38.9058,10.1504,downstairs
498,downstairs,0.46749774,-13.511373,5.113462,0.32782546,-0.50665146,-0.13528459,36.356,39.589,10.0406,-80.61746,18.848383,76.76484,0.32782546,-0.50665146,-0.13528459,2.6235535,-3.1009798,4.068727,-2.0943575,-9.502952,1.2157171,36.356,39.589,10.0406,downstairs
