elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
327,sit_to_stand,0.0,0.0,0.0,-0.16080554,-0.39414918,0.029320668,0.0,0.0,0.0,0.0,0.0,0.0,-0.16080554,-0.39414918,0.029320668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
346,sit_to_stand,0.11485548,-13.520644,-3.9098723,-0.042301174,-0.2560977,0.15882029,68.325005,64.575005,-16.95,2.2996526,-174.72403,75.29236,-0.042301174,-0.2560977,0.15882029,0.0,0.0,0.0,0.0,0.0,0.0,68.325005,64.575005,-16.95,sit_to_stand
365,sit_to_stand,0.069391854,-13.401003,-3.7567315,0.013896775,0.024892027,0.23090026,68.175,64.875,-16.2,62.41549,-178.431,73.875565,0.013896775,0.024892027,0.23090026,0.0,0.0,0.0,0.09888049,-9.434752,-2.673213,68.175,64.875,-16.2,sit_to_stand
384,sit_to_stand,-0.22492532,-12.566207,-3.505485,-0.11193776,0.20325942,0.041537613,67.5,65.025,-15.675,62.60996,-178.61967,73.88502,-0.11193776,0.20325942,0.041537613,-0.17277785,0.54942703,0.18786645,-0.028701171,-9.440065,-2.6560717,67.5,65.025,-15.675,sit_to_stand
403,sit_to_stand,-0.11246266,-11.575579,-3.522235,-0.20234315,0.300995,-0.025655584,66.975006,65.25,-15.150001,63.01493,-179.01605,73.872665,-0.20234315,0.300995,-0.025655584,-0.09541236,1.0155802,0.17318869,-0.044529825,-9.426734,-2.7027917,66.975006,65.25,-15.150001,sit_to_stand
422,sit_to_stand,0.09092726,-10.714163,-3.5772698,-0.24021569,0.3242072,-0.035429142,66.0,65.475006,-14.475,63.17484,-179.18124,73.769196,-0.24021569,0.3242072,-0.035429142,0.12105408,1.7311726,0.06844354,-0.018699005,-9.403857,-2.7816384,66.0,65.475006,-14.475,sit_to_stand
441,sit_to_stand,0.20817557,-10.048958,-3.739982,-0.27197975,0.33031565,-0.06474981,65.100006,65.325005,-14.475,62.88666,-179.05226,73.56773,-0.27197975,0.33031565,-0.06474981,0.1206312,1.8549051,0.024459839,0.022209052,-9.372632,-2.8850734,65.100006,65.325005,-14.475,sit_to_stand
462,sit_to_stand,0.13160525,-9.7043915,-3.749553,-0.23410721,0.32665056,-0.076966755,64.5,66.450005,-13.500001,62.42616,-178.71086,73.297325,-0.23410721,0.32665056,-0.076966755,-0.007454559,1.8183327,0.05186367,0.06508351,-9.338919,-2.9917781,64.5,66.450005,-13.500001,sit_to_stand
479,sit_to_stand,-0.076570325,-9.635299,-3.6849468,-0.12048962,0.34131092,-0.07330167,64.125,66.975006,-12.750001,61.753494,-178.0075,72.87514,-0.12048962,0.34131092,-0.07330167,-0.19461572,1.6510811,0.12226963,0.10320207,-9.290385,-3.1382284,64.125,66.975006,-12.750001,sit_to_stand
499,sit_to_stand,-0.39212382,-9.513265,-3.5724843,0.032222193,0.39140037,-0.061084725,63.000004,67.575005,-11.175,61.56783,-177.52663,72.67402,0.032222193,0.39140037,-0.061084725,-0.44648355,1.5689497,0.18541694,0.09217175,-9.281092,-3.1659458,63.000004,67.575005,-11.175,sit_to_stand
518,sit_to_stand,-0.47108695,-9.436694,-3.4911282,0.18249062,0.5392254,-0.05131117,62.175003,68.25,-9.75,61.548805,-177.29063,72.6154,0.18249062,0.5392254,-0.05131117,-0.5768281,1.5204201,0.21990776,0.07504348,-9.279675,-3.170553,62.175003,68.25,-9.75,sit_to_stand
538,sit_to_stand,-0.41605204,-9.372088,-3.3116665,0.2081462,0.59542334,-0.057419643,61.575,67.950005,-8.400001,61.654713,-176.79869,72.5802,0.2081462,0.59542334,-0.057419643,-0.5317564,1.4368286,0.3125043,0.06969066,-9.285002,-3.1550407,61.575,67.950005,-8.400001,sit_to_stand
556,sit_to_stand,-0.22971097,-9.48455,-3.4121652,0.2545706,0.7237013,-0.042759307,61.500004,67.575005,-7.8750005,61.72764,-176.2293,72.64033,0.2545706,0.7237013,-0.042759307,-0.43862575,1.3492947,0.29291654,0.079528406,-9.292792,-3.131785,61.500004,67.575005,-7.8750005,sit_to_stand
575,sit_to_stand,-0.0071784677,-9.701999,-3.3930225,0.2753394,0.7481352,-0.020768806,61.500004,67.425,-7.3500004,61.723415,-175.18486,72.848274,0.2753394,0.7481352,-0.020768806,-0.15855594,0.91841316,0.11577368,0.1327328,-9.310781,-3.0760577,61.500004,67.425,-7.3500004,sit_to_stand
594,sit_to_stand,0.4642076,-10.096814,-3.251846,0.33153734,0.77745587,0.019547112,61.275,67.05,-6.3750005,61.716305,-174.80475,72.94277,0.33153734,0.77745587,0.019547112,0.081473574,0.6139574,0.15714526,0.17383026,-9.3256855,-3.028494,61.275,67.05,-6.3750005,sit_to_stand
613,sit_to_stand,0.60777694,-10.0417795,-3.2542388,0.35108447,0.8018897,0.0061084726,61.350002,65.925,-6.0,61.6839,-173.99133,73.171684,0.35108447,0.8018897,0.0061084726,0.2623764,0.507946,0.11762166,0.22288926,-9.342043,-2.974383,61.350002,65.925,-6.0,sit_to_stand
632,sit_to_stand,0.715454,-9.541979,-3.2350962,0.31076854,0.8141067,-0.014660334,61.425003,65.775,-5.8500004,61.575214,-173.06429,73.44331,0.31076854,0.8141067,-0.014660334,0.34962288,1.2467928,0.12705922,0.2788912,-9.355073,-2.9283473,61.425003,65.775,-5.8500004,sit_to_stand
651,sit_to_stand,0.782453,-8.757133,-2.8570302,0.2081462,0.8263236,-0.05986303,61.500004,65.325005,-5.4750004,61.362583,-172.00507,73.709984,0.2081462,0.8263236,-0.05986303,0.3388859,1.7901373,0.45191932,0.34108064,-9.363398,-2.8949654,61.500004,65.325005,-5.4750004,sit_to_stand
671,sit_to_stand,0.8997013,-8.156534,-2.2157538,0.16294351,0.82754534,-0.0904054,61.425003,65.025,-5.4750004,61.004646,-170.77937,73.9275,0.16294351,0.82754534,-0.0904054,0.3388859,1.7901373,0.45191932,0.48200017,-9.378957,-2.8236883,61.425003,65.025,-5.4750004,sit_to_stand
