elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
301,stand_to_sit,3.7636108,-10.080065,-7.283154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
326,stand_to_sit,3.73729,-9.874282,-7.809575,-0.055739813,-1.0075926,-0.05131117,0.0,0.0,0.0,0.0,0.0,0.0,-0.055739813,-1.0075926,-0.05131117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
342,stand_to_sit,3.572185,-8.134998,-7.041778,-0.3538333,-0.5322007,-0.11728267,-44.025,-12.750001,42.75,-154.40073,-156.39008,43.095062,-0.3538333,-0.5322007,-0.11728267,0.030284882,0.6004791,0.47460365,2.823453,-6.979833,-6.2833447,-44.025,-12.750001,42.75,stand_to_sit
361,stand_to_sit,3.4381871,-8.115856,-6.8072815,-0.26831466,-0.46745086,-0.092848785,-44.25,-12.750001,42.75,-154.16112,-156.5247,43.02455,-0.26831466,-0.46745086,-0.092848785,0.030284882,0.6004791,0.47460365,2.823453,-6.979833,-6.2833447,-44.25,-12.750001,42.75,stand_to_sit
380,stand_to_sit,3.4094732,-8.209176,-7.070492,-0.19989976,-0.46867257,-0.070858285,-44.550003,-12.3,42.45,-152.96483,-157.06671,42.732086,-0.19989976,-0.46867257,-0.070858285,-0.02727294,0.2766447,0.5697546,2.8317802,-6.992514,-6.265474,-44.550003,-12.3,42.45,stand_to_sit
399,stand_to_sit,4.0387855,-7.0654073,-7.606185,-0.13392825,-0.43324342,-0.046424393,-45.15,-11.925,42.675003,-152.53627,-157.26828,42.643055,-0.13392825,-0.43324342,-0.046424393,0.19463348,0.6053562,0.17427969,2.8477228,-6.9327445,-6.3243904,-45.15,-11.925,42.675003,stand_to_sit
418,stand_to_sit,4.199105,-6.72114,-7.6947193,-0.13270657,-0.35138988,-0.07207998,-45.15,-12.675,42.75,-151.76352,-157.83206,42.36814,-0.13270657,-0.35138988,-0.07207998,0.57867694,1.119451,0.025403976,2.9208016,-6.8224626,-6.4104066,-45.15,-12.675,42.75,stand_to_sit
437,stand_to_sit,4.167998,-6.766304,-7.359724,-0.07406523,-0.26831466,-0.12216945,-45.375,-12.675,43.125,-151.55309,-157.98842,42.26992,-0.07406523,-0.26831466,-0.12216945,0.7199273,1.2597375,0.087922096,3.0641627,-6.6536226,-6.520015,-45.375,-12.675,43.125,stand_to_sit
456,stand_to_sit,3.493222,-7.228119,-7.388438,0.0749815,-0.22433366,-0.13438639,-45.225002,-12.975,43.350002,-151.35054,-158.22054,42.09437,0.0749815,-0.22433366,-0.13438639,-0.11698103,0.47752047,0.2607274,3.0641627,-6.6536226,-6.520015,-45.225002,-12.975,43.350002,stand_to_sit
475,stand_to_sit,3.1175487,-7.646863,-6.974779,0.1861557,-0.107050985,-0.08185353,-44.925003,-13.275001,43.050003,-151.33228,-158.34781,42.006622,0.1861557,-0.107050985,-0.08185353,-0.38666463,0.12934113,0.5431452,3.0371745,-6.679088,-6.506592,-44.925003,-13.275001,43.050003,stand_to_sit
494,stand_to_sit,2.734697,-7.340582,-6.663712,0.18126893,-0.048409645,-0.0452027,-44.925003,-13.425,43.125,-151.42676,-158.40114,42.038662,0.18126893,-0.048409645,-0.0452027,-0.63522935,0.28649426,0.7676406,3.007224,-6.7209125,-6.4773693,-44.925003,-13.425,43.125,stand_to_sit
514,stand_to_sit,2.696412,-6.233004,-6.7905316,0.18004723,-0.028862532,-0.041537613,-44.850002,-13.200001,42.825,-151.42322,-158.4055,42.15927,0.18004723,-0.028862532,-0.041537613,-0.7496855,0.7647085,0.6802025,2.9796383,-6.742003,-6.4681945,-44.850002,-13.200001,42.825,stand_to_sit
537,stand_to_sit,2.7897322,-5.9410796,-6.6972113,0.18126893,0.033443887,-0.0659715,-44.925003,-13.275001,42.825,-151.52094,-158.37863,42.272484,0.18126893,0.033443887,-0.0659715,-0.6653447,1.3414383,0.54054785,2.9694645,-6.7366266,-6.478466,-44.925003,-13.275001,42.825,stand_to_sit
561,stand_to_sit,2.6129622,-5.675476,-6.053542,0.24235365,0.21791977,-0.15149012,-45.15,-12.900001,43.125,-151.82956,-158.04457,42.332047,0.24235365,0.21791977,-0.15149012,-0.57197213,1.7347479,0.95503664,3.0216055,-6.7162495,-6.4755144,-45.15,-12.900001,43.125,stand_to_sit
580,stand_to_sit,2.1870399,-5.8022957,-5.9697933,0.2948865,0.28999972,-0.13927318,-45.75,-12.675,42.675003,-152.099,-157.69112,42.418777,0.2948865,0.28999972,-0.13927318,-0.93539166,1.6273179,1.0632887,3.049058,-6.7263174,-6.4521537,-45.75,-12.675,42.675003,stand_to_sit
600,stand_to_sit,1.9453648,-5.919544,-5.9410796,0.32542887,0.30466008,-0.09529217,-46.050003,-12.525001,42.75,-152.3628,-157.30101,42.588497,0.32542887,0.30466008,-0.09529217,-1.1976151,1.44413,0.9844985,3.0625212,-6.748178,-6.422885,-46.050003,-12.525001,42.75,stand_to_sit
619,stand_to_sit,1.8903298,-5.9985075,-5.81426,0.35963634,0.3657448,-0.054976255,-46.575,-11.925,42.15,-152.48903,-157.09724,42.70091,0.35963634,0.3657448,-0.054976255,-1.3572634,1.216918,0.9045477,3.0684862,-6.81393,-6.350208,-46.575,-11.925,42.15,stand_to_sit
638,stand_to_sit,2.0219352,-6.0104713,-5.811867,0.36085802,0.4512634,-0.05986303,-46.95,-12.075001,41.550003,-152.72952,-156.66849,42.971066,0.36085802,0.4512634,-0.05986303,-1.2477217,1.183414,0.80879736,3.0806434,-6.8493924,-6.306016,-46.95,-12.075001,41.550003,stand_to_sit
657,stand_to_sit,2.292324,-6.015257,-5.9267225,0.35230616,0.4989095,-0.07574506,-47.550003,-11.625,41.25,-152.96056,-156.19147,43.27958,0.35230616,0.4989095,-0.07574506,-0.8201542,1.1190972,0.45072222,3.1092865,-6.8792577,-6.2592754,-47.550003,-11.625,41.25,stand_to_sit
676,stand_to_sit,2.5339992,-6.053542,-5.921937,0.31199023,0.61863554,-0.11972606,-47.850002,-11.025001,40.425003,-153.21758,-155.60608,43.586388,0.31199023,0.61863554,-0.11972606,-0.8201542,1.1190972,0.45072222,3.1569176,-6.900187,-6.21222,-47.850002,-11.025001,40.425003,stand_to_sit
695,stand_to_sit,2.416751,-5.9674006,-5.749654,0.3193204,0.6296308,-0.11972606,-47.850002,-10.950001,39.825,-153.49033,-154.92647,43.860294,0.3193204,0.6296308,-0.11972606,-0.91613364,1.1174169,0.53825665,3.2146127,-6.918593,-6.1619573,-47.850002,-10.950001,39.825,stand_to_sit
714,stand_to_sit,2.481357,-6.120541,-5.582156,0.33764583,0.6308525,-0.10628742,-48.975002,-10.5,39.45,-153.77673,-154.17474,44.120968,0.33764583,0.6308525,-0.10628742,-0.91613364,1.1174169,0.53825665,3.327313,-6.966627,-6.04694,-48.975002,-10.5,39.45,stand_to_sit
733,stand_to_sit,2.199004,-6.0607204,-5.3715878,0.31443363,0.668725,-0.09162709,-49.050003,-9.975,39.15,-154.21132,-152.97327,44.534492,0.31443363,0.668725,-0.09162709,-1.1068323,0.94893885,0.588243,3.3780968,-6.994681,-5.986091,-49.050003,-9.975,39.15,stand_to_sit
752,stand_to_sit,2.2181466,-5.974579,-5.247161,0.27289602,0.7212579,-0.0684149,-49.425003,-9.825001,38.625,-154.47969,-152.13518,44.8077,0.27289602,0.7212579,-0.0684149,-1.2459788,1.0391941,0.6401024,3.428067,-7.0208836,-5.9267144,-49.425003,-9.825001,38.625,stand_to_sit
772,stand_to_sit,2.469393,-5.807081,-4.9719863,0.25701398,0.81899345,-0.047646087,-50.550003,-8.85,37.65,-154.71678,-151.25835,45.072235,0.25701398,0.81899345,-0.047646087,-1.158668,1.1388149,0.8089256,3.4867213,-7.0455275,-5.862909,-50.550003,-8.85,37.65,stand_to_sit
791,stand_to_sit,2.7131617,-5.4146585,-4.6824546,0.26800925,0.93749785,-0.042759307,-51.825,-7.5000005,36.375,-154.95906,-150.26764,45.320454,0.26800925,0.93749785,-0.042759307,-0.9753425,1.3353224,0.89111614,3.5620525,-7.066587,-5.7918487,-51.825,-7.5000005,36.375,stand_to_sit
811,stand_to_sit,3.6080775,-5.5725846,-4.476672,0.33398074,1.0230165,-0.015882028,-54.075,-5.625,34.275,-155.22073,-149.14992,45.57335,0.33398074,1.0230165,-0.015882028,-0.82380795,1.6239362,1.0085335,3.6523583,-7.085457,-5.712002,-54.075,-5.625,34.275,stand_to_sit
829,stand_to_sit,4.6154556,-5.9123654,-4.493422,0.23868857,1.808566,0.035429142,-56.550003,-2.9250002,30.45,-155.35658,-148.533,45.714577,0.23868857,1.808566,0.035429142,0.65599346,1.1133451,0.94602203,3.9137826,-7.1341033,-5.473323,-56.550003,-2.9250002,30.45,stand_to_sit
849,stand_to_sit,4.091428,-5.285446,-5.668298,-0.13514996,2.2019517,0.050089475,-59.250004,0.45000002,26.85,-155.70746,-146.21169,46.088524,-0.13514996,2.2019517,0.050089475,0.65762377,1.2330742,-0.50915813,4.104357,-7.1135526,-5.3592935,-59.250004,0.45000002,26.85,stand_to_sit
867,stand_to_sit,2.9572296,-5.742475,-4.2520456,-0.34894648,1.6020997,0.07574506,-61.95,3.7500002,22.650002,-155.70819,-145.3258,46.109135,-0.34894648,1.6020997,0.07574506,-0.8877368,1.4361615,0.19844055,4.34294,-7.078641,-5.215564,-61.95,3.7500002,22.650002,stand_to_sit
886,stand_to_sit,4.100999,-6.4148583,-5.1346984,0.31443363,0.8996253,0.11361759,-63.825,6.9,18.375,-155.57892,-143.71786,46.065918,0.31443363,0.8996253,0.11361759,-1.0304484,0.85368824,0.8403683,4.414144,-7.108949,-5.1135674,-63.825,6.9,18.375,stand_to_sit
905,stand_to_sit,4.6872406,-6.4124656,-5.6970115,0.51479155,1.3467655,0.16248538,-64.65,9.150001,14.325001,-155.56625,-142.28319,46.16256,0.51479155,1.3467655,0.16248538,0.025831223,0.48983192,-0.4605155,4.513887,-7.1430187,-4.9771976,-64.65,9.150001,14.325001,stand_to_sit
924,stand_to_sit,5.742176,-7.3118677,-4.1467614,0.33275905,2.360772,0.1771457,-64.425,9.975,9.675,-155.70074,-140.73216,46.427,0.33275905,2.360772,0.1771457,1.1319976,-0.21266556,0.33576727,4.659746,-7.1801085,-4.7857285,-64.425,9.975,9.675,stand_to_sit
943,stand_to_sit,11.93181,-10.654342,-1.6103697,0.33886752,3.0730197,-0.25899923,-62.250004,10.5,5.175,-155.93246,-137.61906,46.928898,0.33886752,3.0730197,-0.25899923,5.214321,-2.7042694,2.2944539,4.9441705,-7.216753,-4.4321604,-62.250004,10.5,5.175,stand_to_sit
964,stand_to_sit,10.27149,-12.011072,-6.1396837,0.37307495,2.5586865,-0.47646087,-60.45,10.200001,2.8500001,-156.06274,-136.21143,47.062744,0.37307495,2.5586865,-0.47646087,2.912788,-2.9807358,-4.4634695,5.2685103,-7.2320957,-4.013724,-60.45,10.200001,2.8500001,stand_to_sit
982,stand_to_sit,6.6562343,-8.077571,-11.573186,0.11163234,2.1824045,-0.9590302,-55.95,9.525001,-0.075,-156.944,-131.64328,47.056488,0.11163234,2.1824045,-0.9590302,2.912788,-2.9807358,-4.4634695,5.4830117,-7.16068,-3.8511846,-55.95,9.525001,-0.075,stand_to_sit
1001,stand_to_sit,9.225827,-8.967701,-3.6346977,-0.06673507,3.2794862,-0.9749122,-52.350002,10.125,0.15,-157.32057,-130.00447,46.868515,-0.06673507,3.2794862,-0.9749122,1.5407257,-0.5553889,-8.117512,5.7218537,-7.006396,-3.7869778,-52.350002,10.125,0.15,stand_to_sit
1020,stand_to_sit,8.201998,-7.4123664,-5.4050875,0.5819847,1.5300196,-0.56442285,-50.250004,11.025001,2.25,-158.12318,-126.4837,46.315212,0.5819847,1.5300196,-0.56442285,1.8738079,-0.5431628,-1.7296641,6.22735,-6.819556,-3.299114,-50.250004,11.025001,2.25,stand_to_sit
1039,stand_to_sit,12.841083,-9.984351,4.770391,0.73469657,1.7218257,-0.4886778,-50.250004,12.975,5.25,-159.64545,-121.713104,45.62091,0.73469657,1.7218257,-0.4886778,4.3487697,-1.9140472,4.9346776,6.436138,-6.802296,-2.911233,-50.250004,12.975,5.25,stand_to_sit
1058,stand_to_sit,13.972888,-8.233105,1.5215361,1.6705146,2.6857426,-1.1764919,-52.050003,14.400001,7.65,-160.32939,-120.07359,45.471443,1.6705146,2.6857426,-1.1764919,8.705408,-2.9551034,5.5151453,7.030533,-6.6011724,-1.7794731,-52.050003,14.400001,7.65,stand_to_sit
1078,stand_to_sit,5.7517476,-4.4982076,-2.8378878,2.0516832,3.4627404,-1.5553699,-55.65,15.450001,7.3500004,-162.35109,-116.02888,45.116272,2.0516832,3.4627404,-1.5553699,2.2389288,0.4783392,0.10692167,7.2602515,-6.4752874,-1.2368451,-55.65,15.450001,7.3500004,stand_to_sit
1096,stand_to_sit,9.213862,-5.9602222,1.5047864,2.0981076,3.8268054,-1.3023263,-61.275,18.6,4.3500004,-165.12276,-110.97683,44.575996,2.0981076,3.8268054,-1.3023263,1.2041945,0.7243562,2.660558,7.2602515,-6.4752874,-1.2368451,-61.275,18.6,4.3500004,stand_to_sit
1114,stand_to_sit,2.2875385,-6.352645,2.5286152,2.7482018,2.976506,-1.1154071,-67.125,22.125,-2.1750002,-168.34511,-105.079506,43.8635,2.7482018,2.976506,-1.1154071,-5.1566167,0.18612099,2.2204945,7.5844126,-6.20253,0.4191526,-67.125,22.125,-2.1750002,stand_to_sit
1134,stand_to_sit,5.551049,-3.7567315,0.042771704,1.8476603,0.48913595,-0.3090887,-71.850006,29.325,-14.475,-172.03334,-98.52739,42.92719,1.8476603,0.48913595,-0.3090887,-4.1391435,1.8105006,-1.0063484,7.6266603,-6.099277,0.89625394,-71.850006,29.325,-14.475,stand_to_sit
1151,stand_to_sit,9.029615,-6.988837,1.6456637,1.3821946,0.20448112,-0.11850437,-73.725006,33.600002,-22.650002,-175.51662,-93.234726,42.00512,1.3821946,0.20448112,-0.11850437,-0.12836742,0.2671857,-1.021983,7.649744,-6.0389676,1.0875014,-73.725006,33.600002,-22.650002,stand_to_sit
1172,stand_to_sit,10.7380905,-7.137192,2.9545379,0.82265854,-0.1485886,-0.11606098,-75.675,38.550003,-41.325,-179.37964,-88.362885,40.994884,0.82265854,-0.1485886,-0.11606098,2.1752548,-0.7683301,1.2458837,7.664879,-5.991552,1.2334164,-75.675,38.550003,-41.325,stand_to_sit
1191,stand_to_sit,9.400503,-6.1396837,1.576571,0.47081053,-0.5212054,-0.25899923,-75.525,41.925003,-59.850002,179.68266,-87.36114,40.71866,0.47081053,-0.5212054,-0.25899923,2.7475328,-0.94326496,1.5935023,7.697389,-5.935685,1.2993184,-75.525,41.925003,-59.850002,stand_to_sit
1210,stand_to_sit,8.381459,-6.0607204,0.9951151,0.08353336,-0.30007872,-0.31764057,-75.450005,44.4,-75.375,178.2668,-86.12757,40.210716,0.08353336,-0.30007872,-0.31764057,0.1787796,0.104394436,-0.29129994,7.783333,-5.838009,1.2279152,-75.450005,44.4,-75.375,stand_to_sit
1230,stand_to_sit,8.735298,-5.5893345,2.021337,0.14583978,-0.081395395,-0.30786702,-74.625,45.75,-86.025,177.0685,-85.40606,39.51644,0.14583978,-0.081395395,-0.30786702,0.43490887,0.47003222,0.6631038,7.8234854,-5.7822094,1.2367362,-74.625,45.75,-86.025,stand_to_sit
1249,stand_to_sit,7.9100733,-5.6730833,2.021337,0.31809872,0.48791423,-0.25777754,-72.675,48.975002,-93.525,176.52373,-84.97115,39.097683,0.31809872,0.48791423,-0.25777754,-0.057844162,0.31602573,0.35790312,7.8452306,-5.736778,1.3084863,-72.675,48.975002,-93.525,stand_to_sit
1269,stand_to_sit,8.075178,-5.3189454,2.2438695,0.4097258,0.73347485,-0.21623993,-69.15,52.425003,-100.575005,176.25415,-84.65008,38.90157,0.4097258,0.73347485,-0.21623993,0.054154396,0.57789946,0.29804504,7.861774,-5.6495,1.5639842,-69.15,52.425003,-100.575005,stand_to_sit
1287,stand_to_sit,7.8143606,-5.898009,2.2031915,0.3816268,0.7383616,-0.1575986,-64.05,56.325,-106.425,175.70218,-83.81569,38.532356,0.3816268,0.7383616,-0.1575986,-0.34863567,0.4767108,-0.14415085,7.861774,-5.6495,1.5639842,-64.05,56.325,-106.425,stand_to_sit
1306,stand_to_sit,7.591828,-4.936094,1.7940187,0.37918344,0.77745587,-0.14171657,-57.525,60.45,-112.05,175.15613,-82.82586,38.20487,0.37918344,0.77745587,-0.14171657,-0.3679633,0.35244513,0.3661821,7.8515034,-5.5809574,1.8377155,-57.525,60.45,-112.05,stand_to_sit
1339,stand_to_sit,7.591828,-4.936094,1.7940187,0.37918344,0.77745587,-0.14171657,-57.525,60.45,-112.05,175.15613,-82.82586,38.20487,0.37918344,0.77745587,-0.14171657,-0.685163,0.91190624,-0.12321532,7.8515034,-5.5809574,1.8377155,-57.525,60.45,-112.05,stand_to_sit
1373,stand_to_sit,7.481758,-5.2136617,2.2534406,0.46225867,0.82265854,-0.21746163,-43.275,67.65,-121.05,174.06865,-80.558304,37.61351,0.46225867,0.82265854,-0.21746163,-0.71343327,0.53666496,-0.23472238,7.8259215,-5.512024,2.1314166,-43.275,67.65,-121.05,stand_to_sit
1391,stand_to_sit,8.5678005,-4.625027,2.4999015,0.22769332,0.5661027,-0.25899923,-28.95,73.725006,-127.575005,172.68138,-77.50355,36.756355,0.22769332,0.5661027,-0.25899923,-0.35595846,0.6835084,-0.6707282,7.818262,-5.3699684,2.4917057,-28.95,73.725006,-127.575005,stand_to_sit
