elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
225,walking,0.0,0.0,0.0,-0.7427903,3.1443362,1.101663,0.0,0.0,0.0,0.0,0.0,0.0,-0.7427903,3.1443362,1.101663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
243,walking,2.1798615,-9.45823,-2.1822543,-0.21746163,1.630504,0.8365553,27.750002,-49.050003,-29.400002,6.4011817,-140.3463,72.16874,-0.21746163,1.630504,0.8365553,0.0,0.0,0.0,1.8862154,-9.233139,-2.7132494,27.750002,-49.050003,-29.400002,walking
266,walking,2.0386848,-9.754641,-2.5052853,-0.13560809,1.2358967,0.6386408,28.875002,-47.550003,-28.725,-0.62166476,-135.10138,71.99045,-0.13560809,1.2358967,0.6386408,0.12736261,-0.1618433,0.3491211,1.9132102,-9.3302765,-2.3357995,28.875002,-47.550003,-28.725,walking
285,walking,2.2492533,-9.680463,-1.5696917,-0.13927318,0.84617615,0.45905173,30.150002,-46.65,-28.125002,1.2681115,-135.35527,72.190346,-0.13927318,0.84617615,0.45905173,0.23092747,-0.1057024,0.50868356,1.9486482,-9.367936,-2.1482363,30.150002,-46.65,-28.125002,walking
304,walking,2.3569303,-9.5252285,-3.2063823,-0.07574506,1.0037748,0.42973104,31.800001,-46.350002,-28.500002,3.3849533,-135.60876,72.464516,-0.07574506,1.0037748,0.42973104,0.17087638,0.005970955,-0.14092016,1.9493632,-9.3619375,-2.1735945,31.800001,-46.350002,-28.500002,walking
324,walking,2.8902307,-9.116056,-3.8620157,-0.058641337,1.1100621,0.44927815,33.15,-46.350002,-28.650002,5.584061,-135.93571,72.671524,-0.058641337,1.1100621,0.44927815,0.724313,-0.21386147,0.021038294,1.9805039,-9.292619,-2.4280086,33.15,-46.350002,-28.650002,walking
342,walking,3.060121,-9.482158,-1.4380864,-0.16615045,0.9695673,0.46882528,33.9,-47.550003,-29.325,6.9329314,-136.21564,72.893936,-0.16615045,0.9695673,0.46882528,0.724313,-0.21386147,0.021038294,2.1542702,-9.297368,-2.2557642,33.9,-47.550003,-29.325,walking
361,walking,2.887838,-9.317053,-0.7827521,-0.02443389,0.6177193,0.46882528,33.75,-49.050003,-30.150002,7.527996,-136.53119,73.13301,-0.02443389,0.6177193,0.46882528,0.6092055,0.25152206,1.1612859,2.1542702,-9.297368,-2.2557642,33.75,-49.050003,-30.150002,walking
380,walking,1.9645073,-9.183055,-3.95055,-0.16248538,0.87305343,0.54945713,33.975002,-50.625004,-30.825,7.810773,-136.93031,73.40783,-0.16248538,0.87305343,0.54945713,-0.07686019,0.21305656,-1.6315503,2.132848,-9.300557,-2.262959,33.975002,-50.625004,-30.825,walking
399,walking,3.2539396,-8.362317,-2.3162522,-0.05619795,0.38681903,0.64719266,33.9,-53.250004,-32.325,7.806236,-137.88326,73.819405,-0.05619795,0.38681903,0.64719266,0.42553353,0.8350506,0.77780914,2.1320407,-9.315424,-2.201743,33.9,-53.250004,-32.325,walking
419,walking,2.5962126,-8.773883,-2.6823542,-0.009773556,0.4833329,0.66673976,33.675003,-55.050003,-33.600002,7.395475,-138.9493,74.142715,-0.009773556,0.4833329,0.66673976,0.5188229,1.1563654,-1.1874559,2.108824,-9.2928505,-2.3165033,33.675003,-55.050003,-33.600002,walking
439,walking,2.8950162,-9.44148,-2.8833513,-0.042759307,0.60305893,0.65085775,33.375,-58.65,-36.75,7.6359797,-140.14949,74.47243,-0.042759307,0.60305893,0.65085775,0.622231,0.23911667,-0.5073798,2.079966,-9.29353,-2.3397455,33.375,-58.65,-36.75,walking
457,walking,2.981158,-9.862318,-3.1896327,-0.1771457,0.9072609,0.8170082,33.45,-65.55,-43.125,8.134333,-140.81184,74.64406,-0.1771457,0.9072609,0.8170082,0.8165901,-0.10011673,-0.5364094,2.060411,-9.29235,-2.361635,33.45,-65.55,-43.125,walking
476,walking,3.074478,-9.005986,-2.9742785,-0.22967857,1.0538642,1.1248752,33.300003,-67.05,-44.850002,11.321911,-143.51918,75.15513,-0.22967857,1.0538642,1.1248752,1.032388,0.3701067,-0.46842432,1.9680467,-9.294862,-2.4295526,33.300003,-67.05,-44.850002,walking
495,walking,3.1175487,-8.391031,-2.3952155,-0.18814096,1.0062182,1.3217207,33.300003,-70.350006,-48.750004,14.82736,-146.20009,75.54469,-0.18814096,1.0062182,1.3217207,1.0298979,1.1739273,-0.25718522,1.8895409,-9.304157,-2.4561505,33.300003,-70.350006,-48.750004,walking
515,walking,2.5866413,-9.211769,-1.8113668,-0.07207998,0.8571714,1.1309837,33.300003,-72.825005,-52.350002,18.990862,-149.38713,75.97192,-0.07207998,0.8571714,1.1309837,0.977401,0.4307165,0.69471717,1.7960964,-9.3332815,-2.4154248,33.300003,-72.825005,-52.350002,walking
534,walking,2.899802,-9.780962,-4.113262,-0.076966755,1.0624161,0.53724015,32.850002,-75.0,-55.425003,20.991634,-150.88278,76.163605,-0.076966755,1.0624161,0.53724015,0.94901884,0.3466406,1.0250301,1.7257702,-9.3507185,-2.3992019,32.850002,-75.0,-55.425003,walking
553,walking,3.7013974,-9.108877,-4.4312086,-0.27488127,1.5950749,1.0198095,32.7,-76.725006,-57.750004,24.744991,-153.43112,76.46438,-0.27488127,1.5950749,1.0198095,1.6519958,0.23667908,-1.7156715,1.7328264,-9.36203,-2.3494887,32.7,-76.725006,-57.750004,walking
572,walking,2.5268207,-9.733106,-3.1657043,-0.10628742,0.6641437,0.50303274,32.775,-78.825005,-60.300003,28.736898,-156.01825,76.63865,-0.10628742,0.6641437,0.50303274,0.7474232,-0.23117638,-0.6714821,1.6939911,-9.345469,-2.4419208,32.775,-78.825005,-60.300003,walking
591,walking,2.3976083,-9.410374,-3.2063823,-0.09162709,0.6262711,0.5091412,32.850002,-80.025,-61.65,32.068394,-158.2101,76.73941,-0.09162709,0.6262711,0.5091412,0.7068907,0.11719322,-0.7667885,1.6753614,-9.340926,-2.4719737,32.850002,-80.025,-61.65,walking
610,walking,1.9477576,-8.929416,-3.0987053,-0.09529217,0.6580352,0.67162657,33.075,-80.700005,-62.325,36.363647,-161.06667,76.83079,-0.09529217,0.6580352,0.67162657,0.042223692,0.5122614,-0.11806917,1.6362748,-9.342655,-2.4915404,33.075,-80.700005,-62.325,walking
630,walking,-0.46630132,-9.716355,0.686441,0.025655584,0.94146836,1.1285403,33.15,-80.925,-62.7,39.757984,-163.51146,76.9373,0.025655584,0.94146836,1.1285403,0.042223692,0.5122614,-0.11806917,1.5416727,-9.357529,-2.4960573,33.15,-80.925,-62.7,walking
648,walking,-1.0908281,-10.087243,-0.9622138,0.5008947,1.1125056,1.9374548,32.850002,-82.125,-64.125,44.898167,-167.50887,77.35565,0.5008947,1.1125056,1.9374548,-1.9543817,-0.2016201,1.609659,1.3067154,-9.422846,-2.3817773,32.850002,-82.125,-64.125,walking
668,walking,-0.031106694,-11.676077,-1.0363913,1.0421054,1.5486505,2.620382,31.35,-85.125,-65.700005,52.908733,-174.1215,78.12537,1.0421054,1.5486505,2.620382,-0.7431142,-1.829545,1.060173,0.5857335,-9.584223,-1.9924839,31.35,-85.125,-65.700005,walking
