elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
241,running,0.0,0.0,0.0,-1.2100884,1.1329689,-1.3718102,0.0,0.0,0.0,0.0,0.0,0.0,-1.2100884,1.1329689,-1.3718102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
257,running,2.5387847,0.33230326,12.630216,-0.37567106,0.6296308,-1.8423153,0.0,0.0,0.0,0.0,0.0,0.0,-0.37567106,0.6296308,-1.8423153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
274,running,-0.91136634,0.32273194,11.03181,0.13255386,-0.13026318,-1.8362069,-37.95,-16.050001,-5.4750004,113.44815,-11.3649645,-1.4776943,0.13255386,-0.13026318,-1.8362069,-1.5264429,-0.055434465,-0.76123047,0.8708707,0.2528553,9.764632,-37.95,-16.050001,-5.4750004,running
293,running,-4.0528436,0.26051855,8.364112,0.8203679,-0.9892671,-1.5440692,-36.300003,-16.35,-5.625,113.36439,4.646546,-1.7251878,0.8203679,-0.9892671,-1.5440692,-2.7272973,-0.11404714,-2.0836477,-0.33974674,0.31173703,9.795804,-36.300003,-16.35,-5.625,running
312,running,-5.617749,0.88983095,5.906982,0.81914616,-0.78890926,-0.5752654,-34.65,-17.25,-6.0750003,114.38414,4.2111206,-2.078139,0.81914616,-0.78890926,-0.5752654,-3.1129432,0.22103423,-3.1028433,-2.5607555,0.6676258,9.442838,-34.65,-17.25,-6.0750003,running
332,running,-5.849853,0.9927223,5.198706,0.51860934,-0.35138988,-0.11835165,-33.15,-18.150002,-6.675,115.76011,3.569504,-2.6794214,0.51860934,-0.35138988,-0.11835165,-2.9473689,0.3076387,-3.2872677,-3.4326046,0.8931889,9.142747,-33.15,-18.150002,-6.675,running
351,running,-6.3544397,1.7033906,3.8973098,0.08735116,-0.023975754,-0.0413849,-31.95,-19.125,-6.675,118.17317,2.7784715,-3.6159737,0.08735116,-0.023975754,-0.0413849,-2.0068972,0.299913,-3.7496881,-4.0766864,1.0857195,8.852809,-31.95,-19.125,-6.675,running
370,running,-9.665807,4.356732,5.3327045,-0.08857285,0.072538115,0.062459134,-31.800001,-19.050001,-6.2250004,118.6728,2.6304233,-3.8472636,-0.08857285,0.072538115,0.062459134,-5.4980297,3.3198843,-0.60379505,-4.883947,1.4426765,8.3807,-31.800001,-19.050001,-6.2250004,running
389,running,-10.914861,6.3735824,8.897711,-0.1227803,0.42194274,0.52303797,-31.800001,-18.075,-4.8,118.79179,2.5513475,-4.1955895,-0.1227803,0.42194274,0.52303797,-5.4980297,3.3198843,-0.60379505,-5.544173,1.8999934,7.862732,-31.800001,-18.075,-4.8,running
408,running,-5.77089,6.160621,14.144573,0.3206948,1.2392564,1.0544751,-31.725,-16.875,-3.6000001,118.48866,2.6837738,-4.267802,0.3206948,1.2392564,1.0544751,-1.2672114,2.931276,5.0163746,-5.6918263,2.6318703,7.539679,-31.725,-16.875,-3.6000001,running
427,running,-4.7371907,6.498009,15.149558,1.4142641,2.6026676,0.7893674,-32.025,-15.525001,-3.075,117.40362,3.3962648,-4.5627584,1.4142641,2.6026676,0.7893674,0.8439579,3.188265,6.707,-5.51637,2.9746313,7.5426536,-32.025,-15.525001,-3.075,running
446,running,-3.906881,6.780362,16.3361,1.8357487,2.5611298,0.65131587,-32.7,-14.625001,-3.3750002,115.39158,5.864339,-5.875628,1.8357487,2.5611298,0.65131587,1.9329524,2.9872725,7.493396,-5.366125,3.319933,7.5068717,-32.7,-14.625001,-3.3750002,running
466,running,-1.8349959,7.282855,19.326828,2.5712087,1.7303776,0.59633964,-33.300003,-14.175,-4.275,114.853294,6.8991346,-6.6447477,2.5712087,1.7303776,0.59633964,5.8672056,2.639029,11.734816,-5.16087,3.662342,7.4915323,-33.300003,-14.175,-4.275,running
