elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
288,sitting,5.139484,2.1003,-6.663712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
314,sitting,4.94088,2.0431714,-7.443473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
337,sitting,7.8430743,1.2439687,-11.422438,-0.4007158,-0.6455128,1.0650122,2.7,20.025002,35.550003,41.702988,-149.33446,-7.2025247,-0.4007158,-0.6455128,1.0650122,0.7486582,-0.25843382,-1.0629244,5.0648456,1.4786232,-8.266281,2.7,20.025002,35.550003,sitting
356,sitting,8.27139,0.5883353,-13.903496,-1.2925528,0.5700732,0.19760908,3.6000001,19.050001,36.45,43.304607,-149.47147,-7.342477,-1.2925528,0.5700732,0.19760908,1.1254053,-0.8395196,-2.9197054,4.9112463,0.8442758,-8.446138,3.6000001,19.050001,36.45,sitting
375,sitting,7.522436,2.0644078,-11.1353,-1.6079026,0.9304731,-0.35704023,4.5,17.25,36.300003,45.150227,-149.03856,-8.09037,-1.6079026,0.9304731,-0.35704023,0.78654337,-0.05850506,-0.62527657,5.0782204,1.0422082,-8.324414,4.5,17.25,36.300003,sitting
394,sitting,5.235197,3.045465,-9.967901,-1.1764919,1.1760337,-0.36803547,4.9500003,15.000001,36.0,47.351063,-148.26602,-9.212055,-1.1764919,1.1760337,-0.36803547,-1.508831,0.7946012,0.60166454,5.091988,1.4057854,-8.262313,4.9500003,15.000001,36.0,sitting
413,sitting,6.7088766,2.4352953,-9.285947,-0.12583454,0.8632799,-0.2055501,4.5750003,13.8,35.100002,48.275936,-147.7838,-9.76714,-0.12583454,0.8632799,-0.2055501,-1.3224506,0.6711464,1.5186853,5.1968236,1.6699991,-8.147056,4.5750003,13.8,35.100002,sitting
432,sitting,6.704091,1.7847466,-10.546665,0.047646087,0.8095253,-0.31061584,3.9,12.825001,34.425003,50.146343,-146.26398,-10.91088,0.047646087,0.8095253,-0.31061584,-0.37452793,-0.042556524,1.3161306,5.3527923,1.746201,-8.029245,3.9,12.825001,34.425003,sitting
451,sitting,6.9529443,1.5430715,-10.23799,0.13560809,0.7899782,-0.7272137,2.625,12.525001,34.65,50.48174,-145.80031,-11.140918,0.13560809,0.7899782,-0.7272137,-0.42112398,-0.7040702,0.14287949,5.499852,1.7086679,-7.9374094,2.625,12.525001,34.65,sitting
470,sitting,6.0676003,1.7991035,-8.984451,0.37628192,0.7191199,-0.90802443,1.4250001,12.6,34.350002,50.573395,-144.9371,-11.514098,0.37628192,0.7191199,-0.90802443,-0.9246416,-0.56687415,1.0096178,5.56831,1.7315673,-7.884541,1.4250001,12.6,34.350002,sitting
489,sitting,5.809175,1.8206389,-8.960523,0.52655035,0.6995728,-0.9544488,0.675,12.0,34.800003,50.491364,-144.19914,-11.83702,0.52655035,0.6995728,-0.9544488,-1.5170217,-0.42391455,1.4368162,5.653376,1.7590057,-7.817649,0.675,12.0,34.800003,sitting
510,sitting,5.7206407,1.5143577,-8.304889,0.7427903,0.73255855,-1.0668447,-0.375,12.150001,34.95,50.330624,-143.5829,-12.071825,0.7427903,0.73255855,-1.0668447,-1.4106798,-0.5863099,1.22089,5.70004,1.743234,-7.7872376,-0.375,12.150001,34.95,sitting
527,sitting,5.5627146,1.3707882,-7.7258263,1.0384403,0.53342235,-1.2757545,-0.75,13.05,34.65,49.593708,-143.04953,-12.199058,1.0384403,0.53342235,-1.2757545,-1.5291901,-0.7031778,1.6401672,5.70004,1.743234,-7.7872376,-0.75,13.05,34.65,sitting
546,sitting,4.787739,1.2918252,-7.55115,1.2314681,0.45523393,-1.3209572,-1.125,13.8,35.025,48.419228,-142.64417,-12.233591,1.2314681,0.45523393,-1.3209572,-2.100165,-0.75697076,1.9471283,5.739472,1.6867908,-7.770687,-1.125,13.8,35.025,sitting
