elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
304,walking,-5.866603,-6.0080786,-9.250054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
324,walking,-6.5195446,-6.295217,-10.331311,2.4902716,-1.5646852,-3.038507,-5.1000004,22.650002,38.25,-77.095345,147.61653,28.744925,2.4902716,-1.5646852,-3.038507,0.0,0.0,0.0,0.0,0.0,0.0,-5.1000004,22.650002,38.25,walking
342,walking,-6.6391854,-6.1803617,-10.38156,2.308239,-1.3704358,-2.8955686,-5.1000004,23.1,38.025,-74.02752,147.74602,27.261728,2.308239,-1.3704358,-2.8955686,-0.1599021,0.3852005,-0.30068874,-4.637699,-4.5387273,-7.352693,-5.1000004,23.1,38.025,walking
361,walking,-5.981458,-5.366802,-9.455837,2.0614567,-1.3007993,-2.6365695,-5.4750004,23.25,37.350002,-75.350006,147.4408,28.52308,2.0614567,-1.3007993,-2.6365695,0.035310745,0.92242193,-0.16917229,-4.6463304,-4.8617697,-7.13759,-5.4750004,23.25,37.350002,walking
381,walking,-5.715855,-5.055735,-8.984451,1.8537687,-1.0967762,-2.4569805,-5.625,23.25,37.125,-79.13389,146.68512,31.96857,1.8537687,-1.0967762,-2.4569805,0.32977438,1.5152378,0.20724487,-4.617917,-5.0260777,-7.041575,-5.625,23.25,37.125,walking
400,walking,-5.36411,-4.5747776,-8.261818,1.7206041,-0.94039935,-2.2920516,-6.15,23.25,35.4,-81.28547,146.26935,34.641182,1.7206041,-0.94039935,-2.2920516,0.40955067,1.9503484,0.48807144,-4.5941167,-5.185306,-6.940971,-6.15,23.25,35.4,walking
419,walking,-5.2420764,-4.3211384,-8.072785,1.61676,-0.8011262,-2.1259012,-6.6000004,23.550001,34.5,-83.197495,145.97519,37.36278,1.61676,-0.8011262,-2.1259012,0.44751167,2.2581959,0.48177052,-4.5604224,-5.330643,-6.852531,-6.6000004,23.550001,34.5,walking
438,walking,-5.043472,-4.0220356,-7.7330046,1.4811519,-0.6875086,-1.9365386,-7.275,24.150002,33.975002,-84.81217,145.81926,40.015545,1.4811519,-0.6875086,-1.9365386,0.33475924,2.4543009,0.36626244,-4.5258765,-5.456779,-6.7757206,-7.275,24.150002,33.975002,walking
457,walking,-5.0793643,-3.9191444,-7.7904325,1.3443221,-0.633754,-1.7056383,-7.5750003,25.2,33.075,-85.69252,145.77673,42.51756,1.3443221,-0.633754,-1.7056383,0.17154884,2.7188368,0.04044628,-4.4658384,-5.6463065,-6.659272,-7.5750003,25.2,33.075,walking
477,walking,-5.0099726,-3.8042889,-7.9387875,1.120752,-0.530979,-1.4674078,-8.625,26.1,32.4,-86.24858,145.77043,43.69121,1.120752,-0.530979,-1.4674078,0.12493086,2.7959561,-0.23594427,-4.439056,-5.6965804,-6.6343164,-8.625,26.1,32.4,walking
