elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
372,running,0.0,0.0,0.0,-0.1395786,-0.14614521,-0.108425386,0.0,0.0,0.0,0.0,0.0,0.0,-0.1395786,-0.14614521,-0.108425386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
404,running,0.124426775,0.097806625,9.653843,-0.0015271181,-0.0056503373,-0.009468133,-34.125,30.225,-36.9,47.565826,-0.7390749,-0.58071697,-0.0015271181,-0.0056503373,-0.009468133,0.0,0.0,0.0,0.081928015,0.3105798,9.801388,-34.125,30.225,-36.9,running
420,running,0.41635114,0.15044872,9.940982,0.014354911,0.027335415,-9.162709E-4,-33.600002,30.45,-37.275,47.512486,-0.757149,-0.57370037,0.014354911,0.027335415,-9.162709E-4,0.17626646,-0.052094847,0.031802177,0.28077537,0.1724112,9.801114,-33.600002,30.45,-37.275,running
439,running,0.4331009,-0.08165507,9.57488,-0.011300675,-0.021532366,3.0542363E-4,-33.075,30.6,-37.350002,47.491684,-0.75994396,-0.57402295,-0.011300675,-0.021532366,3.0542363E-4,0.15082109,-0.11299787,-0.013674736,0.33311754,0.15709852,9.799731,-33.075,30.6,-37.350002,running
458,running,0.46660042,0.18873389,10.366605,0.00335966,0.009009997,0.0015271181,-33.15,30.150002,-37.95,47.47544,-0.76456285,-0.57374096,0.00335966,0.009009997,0.0015271181,0.04907006,0.04124485,0.2778778,0.375447,0.12695222,9.798638,-33.15,30.150002,-37.95,running
478,running,0.32542387,0.0738784,9.780663,-0.011300675,-0.021532366,0.0027488125,-33.300003,29.625002,-38.550003,47.473713,-0.7677291,-0.57396275,-0.011300675,-0.021532366,0.0027488125,-0.049193233,-0.05020111,-0.14431572,0.3709564,0.1281556,9.798794,-33.300003,29.625002,-38.550003,running
496,running,0.2440679,0.23898315,10.046266,0.008246438,0.024892027,3.0542363E-4,-33.375,28.95,-39.15,47.47814,-0.7717052,-0.5743016,0.008246438,0.024892027,3.0542363E-4,-0.10010743,0.06457052,0.09433174,0.35825717,0.13610555,9.799159,-33.375,28.95,-39.15,running
516,running,0.19381863,-2.9910283E-4,9.88834,0.00335966,0.010231691,3.0542363E-4,-33.375,28.650002,-39.45,47.484764,-0.7758277,-0.57548493,0.00335966,0.010231691,3.0542363E-4,-0.15387718,-0.048520476,0.00899601,0.33601847,0.1312042,9.800013,-33.375,28.650002,-39.45,running
535,running,0.23928227,0.16480567,10.04148,-0.0027488125,-0.009315421,3.0542363E-4,-33.225002,28.500002,-40.050003,47.492237,-0.779875,-0.5759432,-0.0027488125,-0.009315421,3.0542363E-4,-0.06049663,-0.0025967956,-0.017291069,0.32564244,0.1262844,9.800428,-33.225002,28.500002,-40.050003,running
554,running,0.4139583,0.16241284,9.993624,0.0021379655,4.5813544E-4,-0.0070247436,-33.0,28.35,-40.65,47.492363,-0.77996415,-0.5759594,0.0021379655,4.5813544E-4,-0.0070247436,-0.06049663,-0.0025967956,-0.017291069,0.3195055,0.12648804,9.800628,-33.0,28.35,-40.65,running
573,running,0.49292147,0.18873389,9.957731,-0.0027488125,-0.010537115,-0.00335966,-32.850002,28.125002,-40.95,47.498695,-0.78559303,-0.57672054,-0.0027488125,-0.010537115,-0.00335966,0.14931145,0.057917252,0.01388073,0.3373874,0.12852336,9.800002,-32.850002,28.125002,-40.95,running
592,running,0.4953143,0.05712864,9.950553,-0.0015271181,-7.635591E-4,0.003970507,-32.775,27.525002,-41.100002,47.498707,-0.78559947,-0.57672143,-0.0015271181,-7.635591E-4,0.003970507,0.1575754,-0.049949244,0.036631584,0.3488294,0.12478082,9.799649,-32.775,27.525002,-41.100002,running
612,running,0.38285163,0.16719848,9.986445,0.00335966,0.011453386,0.0027488125,-32.850002,27.300001,-41.4,47.49871,-0.7856134,-0.5767228,0.00335966,0.011453386,0.0027488125,0.056860894,0.0053476244,-0.0034589767,0.352512,0.12509322,9.799513,-32.850002,27.300001,-41.4,running
631,running,0.28953153,0.06669993,9.969695,-3.0542363E-4,0.0029015245,3.0542363E-4,-32.7,27.150002,-41.4,47.498825,-0.7857693,-0.5767426,-3.0542363E-4,0.0029015245,3.0542363E-4,-0.08318779,-0.06764166,-0.015022278,0.34748092,0.12542598,9.79969,-32.7,27.150002,-41.4,running
650,running,0.19381863,0.13848461,9.907482,9.162709E-4,4.5813544E-4,3.0542363E-4,-32.775,27.000002,-41.175003,47.498837,-0.7857853,-0.5767434,9.162709E-4,4.5813544E-4,3.0542363E-4,-0.14993067,0.039196968,-0.04342842,0.34274232,0.120966665,9.799912,-32.775,27.000002,-41.175003,running
669,running,0.18664017,0.1480559,10.039087,0.0021379655,0.0053449133,-0.0021379655,-32.775,27.45,-41.4,47.498905,-0.78586495,-0.57675123,0.0021379655,0.0053449133,-0.0021379655,-0.13921924,0.01998964,0.08182526,0.3335196,0.12377105,9.800196,-32.775,27.45,-41.4,running
687,running,0.33020952,0.15044872,9.890733,9.162709E-4,0.00167983,-0.00335966,-32.925003,27.45,-41.25,47.498974,-0.7859442,-0.5767624,9.162709E-4,0.00167983,-0.00335966,-0.0144093335,0.015974179,-0.041968346,0.32628205,0.12522182,9.800421,-32.925003,27.45,-41.25,running
706,running,0.3924229,0.030807592,9.969695,-0.003970507,-0.009315421,-9.162709E-4,-33.075,27.300001,-41.100002,47.49904,-0.7860297,-0.57677543,-0.003970507,-0.009315421,-9.162709E-4,0.04494074,-0.02587393,0.014600754,0.3280486,0.12410219,9.800376,-33.075,27.300001,-41.100002,running
727,running,0.5024927,0.102592275,10.005588,9.162709E-4,4.5813544E-4,-9.162709E-4,-32.850002,27.6,-41.25,47.499104,-0.7861265,-0.5767835,9.162709E-4,4.5813544E-4,-9.162709E-4,0.13916758,-0.01751741,0.0763855,0.3358915,0.12264621,9.800129,-32.850002,27.6,-41.25,running
745,running,0.4139583,0.40408793,10.206585,0.00335966,0.00167983,0.0015271181,-32.475002,27.45,-41.4,47.499115,-0.7861552,-0.5767853,0.00335966,0.00167983,0.0015271181,0.16951585,-0.18412396,-0.09141636,0.3438777,0.114507765,9.79995,-32.475002,27.45,-41.4,running
765,running,0.36370903,0.097806625,9.9960165,-0.0015271181,0.004123219,-9.162709E-4,-32.4,27.45,-41.475002,47.505283,-0.7959924,-0.57803196,-0.0015271181,0.004123219,-9.162709E-4,0.037245184,0.19860247,0.05834675,0.34406975,0.122613564,9.799846,-32.4,27.45,-41.475002,running
784,running,0.25124636,-0.07686943,10.010373,-0.003970507,0.00167983,0.0076355906,-32.25,27.750002,-41.100002,47.511402,-0.80672723,-0.579156,-0.003970507,0.00167983,0.0076355906,-0.068505526,-0.14728987,0.061743736,0.34167704,0.11596193,9.80001,-32.25,27.750002,-41.100002,running
803,running,0.12203395,0.16241284,9.771091,-0.0027488125,-0.003206948,-0.0045813546,-32.625,27.45,-40.95,47.51734,-0.8167048,-0.5802068,-0.0027488125,-0.003206948,-0.0045813546,-0.16982447,0.08418355,-0.093048096,0.3322083,0.12055762,9.800281,-32.625,27.45,-40.95,running
822,running,0.40917268,-0.012263216,9.957731,-0.01007898,-0.030084228,-0.0070247436,-32.625,27.300001,-40.95,47.529167,-0.835376,-0.5820795,-0.01007898,-0.030084228,-0.0070247436,-0.17370518,-0.06133764,0.036518097,0.32689607,0.11775276,9.800493,-32.625,27.300001,-40.95,running
841,running,0.3804588,0.29162526,9.974482,0.009468133,0.011453386,-0.0045813546,-33.0,27.225,-41.175003,47.540836,-0.8535087,-0.5829939,0.009468133,0.011453386,-0.0045813546,-0.016413182,-0.043712817,0.093019485,0.329215,0.11493242,9.800449,-33.0,27.225,-41.175003,running
860,running,0.39481574,0.13848461,9.869197,-0.0051922016,-0.01175881,3.0542363E-4,-33.075,26.925001,-41.175003,47.5466,-0.8627986,-0.5838801,-0.0051922016,-0.01175881,3.0542363E-4,0.046765953,0.09773657,-0.039811134,0.33305353,0.11947994,9.800263,-33.075,26.925001,-41.175003,running
879,running,0.5168497,0.13369897,10.098908,0.0070247436,0.017561859,0.0015271181,-32.775,26.85,-41.550003,47.552353,-0.87312937,-0.58485794,0.0070247436,0.017561859,0.0015271181,0.17022198,0.015018739,0.13599968,0.33846477,0.11944305,9.800079,-32.775,26.85,-41.550003,running
898,running,0.3924229,-0.031405795,9.742377,-0.003970507,-0.009315421,0.0015271181,-33.225002,26.625002,-42.0,47.557953,-0.88399506,-0.5856983,-0.003970507,-0.009315421,0.0015271181,0.06332019,-0.09602818,-0.10328674,0.3387611,0.11712935,9.800097,-33.225002,26.625002,-42.0,running
917,running,0.27038896,0.21984059,10.130014,0.0021379655,0.0029015245,3.0542363E-4,-33.075,26.550001,-42.075,47.558014,-0.88411736,-0.58569896,0.0021379655,0.0029015245,3.0542363E-4,-0.003347814,-0.01215703,0.024829865,0.33453634,0.1197835,9.80021,-33.075,26.550001,-42.075,running
936,running,0.23688944,0.09302098,9.866804,9.162709E-4,0.0053449133,3.0542363E-4,-33.225002,26.325,-42.0,47.563557,-0.8946504,-0.5864909,9.162709E-4,0.0053449133,3.0542363E-4,-0.09445268,0.079417616,0.00873661,0.33453634,0.1197835,9.80021,-33.225002,26.325,-42.0,running
955,running,0.2632105,0.18634106,9.998409,-0.0015271181,-0.004428643,3.0542363E-4,-33.375,26.325,-42.15,47.569027,-0.9042435,-0.5871839,-0.0015271181,-0.004428643,3.0542363E-4,-0.089485005,-0.013482042,-0.03475666,0.33049005,0.12056325,9.800338,-33.375,26.325,-42.15,running
974,running,0.3684947,0.040378883,9.957731,0.0021379655,0.004123219,-9.162709E-4,-33.375,26.550001,-41.550003,47.56908,-0.90434015,-0.5871964,0.0021379655,0.004123219,-9.162709E-4,-0.017130256,-0.033469796,0.03841114,0.32921413,0.12002913,9.800388,-33.375,26.550001,-41.550003,running
993,running,0.42592242,0.05712864,9.929018,0.0045813546,0.004123219,-0.0045813546,-33.375,26.400002,-41.475002,47.57452,-0.9136157,-0.5875836,0.0045813546,0.004123219,-0.0045813546,0.063085526,-0.06919518,-0.017595291,0.33323652,0.11739575,9.800283,-33.375,26.400002,-41.475002,running
1014,running,0.3924229,0.1480559,9.87159,0.005803049,0.009009997,-0.0045813546,-33.225002,27.150002,-41.475002,47.57996,-0.9233598,-0.58775705,0.005803049,0.009009997,-0.0045813546,0.09499678,0.013349138,-0.0066432953,0.33831143,0.119832225,9.800081,-33.225002,27.150002,-41.475002,running
1031,running,0.45942193,0.16241284,10.034302,-0.003970507,-0.009315421,0.0015271181,-33.075,27.45,-41.25,47.580067,-0.9235845,-0.5877718,-0.003970507,-0.009315421,0.0015271181,0.11772537,0.039686896,-1.7642975E-4,0.33831143,0.119832225,9.800081,-33.075,27.45,-41.25,running
1051,running,0.23928227,0.08584251,9.881161,0.00335966,0.01267508,0.003970507,-33.075,27.45,-41.25,47.580074,-0.9235961,-0.58777267,0.00335966,0.01267508,0.003970507,0.09937516,0.024451591,0.063809395,0.34146526,0.12006588,9.799968,-33.075,27.45,-41.25,running
1070,running,0.18424734,0.11694921,9.773484,-3.0542363E-4,-7.635591E-4,-9.162709E-4,-33.375,27.825,-40.800003,47.585426,-0.934925,-0.58839095,-3.0542363E-4,-7.635591E-4,-9.162709E-4,-0.15311354,-0.005956717,-0.17734337,0.3343614,0.11982857,9.800217,-33.375,27.825,-40.800003,running
1088,running,0.25124636,0.06909275,9.823733,-3.0542363E-4,-0.004428643,-0.00335966,-33.300003,27.225,-40.95,47.585438,-0.93494475,-0.588392,-3.0542363E-4,-0.004428643,-0.00335966,-0.09475641,-0.03846386,-0.08305359,0.33224562,0.11878784,9.800301,-33.300003,27.225,-40.95,running
1108,running,0.35653058,0.16002001,10.249656,9.162709E-4,0.004123219,-0.0045813546,-33.45,27.150002,-40.875,47.585445,-0.93496335,-0.58839315,9.162709E-4,0.004123219,-0.0045813546,0.0952546,-0.27630514,-0.044421196,0.3305276,0.12267251,9.800311,-33.45,27.150002,-40.875,running
1127,running,0.28713873,0.102592275,9.68495,0.0070247436,0.011453386,3.0542363E-4,-33.15,26.925001,-40.875,47.585506,-0.93506867,-0.5884007,0.0070247436,0.011453386,3.0542363E-4,0.0952546,-0.27630514,-0.044421196,0.33419755,0.11462972,9.800283,-33.15,26.925001,-40.875,running
1146,running,0.46660042,0.08344969,9.988838,0.008246438,0.018783553,-0.005803049,-33.15,26.925001,-40.95,47.590847,-0.94442993,-0.58892775,0.008246438,0.018783553,-0.005803049,0.111355186,-0.02981016,-0.05103779,0.33315915,0.11832442,9.800276,-33.15,26.925001,-40.95,running
1166,running,0.50488555,0.05712864,10.051051,-0.01007898,-0.02275406,-0.005803049,-33.075,27.150002,-40.65,47.606525,-0.9728054,-0.5898734,-0.01007898,-0.02275406,-0.005803049,0.111355186,-0.02981016,-0.05103779,0.33516052,0.11800696,9.800211,-33.075,27.150002,-40.65,running
1185,running,0.31345975,0.26769704,9.905089,0.008246438,0.016340164,0.006413896,-32.775,27.525002,-40.65,47.611652,-0.98280317,-0.59024525,0.008246438,0.016340164,0.006413896,0.029203176,0.05800788,-0.023077011,0.34185782,0.11724613,9.799989,-32.775,27.525002,-40.65,running
1203,running,0.29671,0.054735817,9.890733,-0.0015271181,0.0077883024,0.003970507,-32.7,27.750002,-40.800003,47.616676,-0.99235153,-0.5910693,-0.0015271181,0.0077883024,0.003970507,-0.0868583,0.09839889,-0.039886475,0.33630747,0.12084194,9.800136,-32.7,27.750002,-40.800003,running
1222,running,0.21535404,0.21505493,10.297512,-0.0051922016,-0.008093726,-0.0021379655,-32.775,27.750002,-40.5,47.62173,-1.0017086,-0.59102505,-0.0051922016,-0.008093726,-0.0021379655,-0.051671028,-0.056220174,-0.0449934,0.33896473,0.11723712,9.800089,-32.775,27.750002,-40.5,running
1243,running,0.2321038,-0.064905316,9.500702,0.00335966,0.009009997,-9.162709E-4,-32.925003,27.750002,-40.875,47.626698,-1.0100334,-0.59112775,0.00335966,0.009009997,-9.162709E-4,-0.09069261,-0.0022698864,0.25921345,0.33364868,0.117969744,9.800262,-32.925003,27.750002,-40.875,running
1261,running,0.4211368,0.13130614,10.37139,-0.003970507,-0.015423893,-0.00335966,-33.0,27.000002,-41.175003,47.63158,-1.0178789,-0.59042895,-0.003970507,-0.015423893,-0.00335966,-0.09157428,-0.14206257,-0.41460705,0.33593386,0.11432085,9.800227,-33.0,27.000002,-41.175003,running
1280,running,0.31585258,0.37058842,9.615558,-0.006413896,-0.008093726,-0.0070247436,-33.15,26.85,-41.175003,47.64125,-1.034368,-0.5897908,-0.006413896,-0.008093726,-0.0070247436,-0.007819951,0.22859529,-0.22081566,0.33354235,0.12206063,9.800217,-33.15,26.85,-41.175003,running
1299,running,0.57188463,-0.10079765,10.18505,-0.006413896,-0.010537115,0.01007898,-33.075,26.7,-41.25,47.650818,-1.0508931,-0.5904888,-0.006413896,-0.010537115,0.01007898,0.1594587,-0.11692229,0.05624962,0.3406276,0.11724388,9.800032,-33.075,26.7,-41.25,running
1318,running,0.3493521,0.18394823,9.909875,0.013133216,0.032222193,0.003970507,-32.925003,26.625002,-41.550003,47.66017,-1.0690255,-0.5901559,0.013133216,0.032222193,0.003970507,0.10589272,-0.031462766,0.11256313,0.34428328,0.11566107,9.799922,-32.925003,26.625002,-41.550003,running
1337,running,0.29192436,0.100199446,9.929018,-0.0051922016,-0.010537115,-9.162709E-4,-33.075,26.85,-41.100002,47.66916,-1.0863634,-0.59079576,-0.0051922016,-0.010537115,-9.162709E-4,-0.055967152,0.0039363354,-0.0720768,0.33943796,0.11612795,9.800085,-33.075,26.85,-41.100002,running
