elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
315,sit_to_stand,0.26081768,0.1480559,9.945767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
334,sit_to_stand,0.2656033,0.14327025,9.936196,-1.5271181E-4,4.5813544E-4,0.0,-29.625002,-7.05,-41.850002,102.61439,-1.5027308,-0.85283536,-1.5271181E-4,4.5813544E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.625002,-7.05,-41.850002,sit_to_stand
352,sit_to_stand,0.25603202,0.13609178,9.940982,-1.5271181E-4,4.5813544E-4,0.0,-29.85,-6.7500005,-41.25,102.142944,-1.5023692,-0.7975429,-1.5271181E-4,4.5813544E-4,0.0,0.0,0.0,0.0,0.26041922,0.139737,9.8021965,-29.85,-6.7500005,-41.25,sit_to_stand
370,sit_to_stand,0.2656033,0.13369897,9.94816,-1.5271181E-4,4.5813544E-4,0.0,-29.85,-7.3500004,-41.7,102.14297,-1.5023689,-0.79754406,-1.5271181E-4,4.5813544E-4,0.0,0.0023103356,-9.903461E-4,0.0021009445,0.2575055,0.13650306,9.802319,-29.85,-7.3500004,-41.7,sit_to_stand
390,sit_to_stand,0.24885355,0.14327025,9.94816,-1.5271181E-4,4.5813544E-4,0.0,-29.625002,-7.8750005,-41.7,102.143005,-1.5023686,-0.7975456,-1.5271181E-4,4.5813544E-4,0.0,-0.0034231544,0.0059523284,0.0049085617,0.25626346,0.13840447,9.802324,-29.625002,-7.8750005,-41.7,sit_to_stand
409,sit_to_stand,0.2632105,0.14566308,9.936196,-1.5271181E-4,4.5813544E-4,0.0,-29.7,-8.55,-42.15,102.14304,-1.5023671,-0.79754746,-1.5271181E-4,4.5813544E-4,0.0,-9.1415644E-4,-0.004875526,-0.0019836426,0.25642493,0.13818094,9.802323,-29.7,-8.55,-42.15,sit_to_stand
428,sit_to_stand,0.25603202,0.15044872,9.931411,0.0010689828,4.5813544E-4,-0.0012216945,-29.550001,-9.450001,-42.975002,102.14319,-1.5023655,-0.7975526,0.0010689828,4.5813544E-4,-0.0012216945,0.0031156242,0.0054995418,0.017503738,0.25642493,0.13818094,9.802323,-29.550001,-9.450001,-42.975002,sit_to_stand
447,sit_to_stand,0.26081768,0.13848461,9.960124,0.0010689828,4.5813544E-4,0.0,-29.025002,-9.900001,-43.5,102.143326,-1.5023649,-0.797556,0.0010689828,4.5813544E-4,0.0,-0.0026005507,0.004669726,-0.013543129,0.25597826,0.13906792,9.802322,-29.025002,-9.900001,-43.5,sit_to_stand
467,sit_to_stand,0.25603202,0.1480559,9.938589,0.0010689828,4.5813544E-4,0.0,-29.175001,-9.975,-43.350002,102.14347,-1.5023643,-0.7975589,0.0010689828,4.5813544E-4,0.0,-0.0021032095,0.0077147037,2.2506714E-4,0.25567588,0.14012522,9.802315,-29.175001,-9.975,-43.350002,sit_to_stand
485,sit_to_stand,0.27038896,0.13848461,9.957731,-1.5271181E-4,4.5813544E-4,0.0,-29.175001,-10.200001,-44.100002,102.143585,-1.5023638,-0.79756147,-1.5271181E-4,4.5813544E-4,0.0,0.006316036,0.0016826093,-6.7806244E-4,0.256294,0.14027801,9.802297,-29.175001,-10.200001,-44.100002,sit_to_stand
504,sit_to_stand,0.26081768,0.1480559,9.96491,0.0010689828,4.5813544E-4,0.0,-29.325,-10.650001,-44.550003,102.14368,-1.5023638,-0.79756284,0.0010689828,4.5813544E-4,0.0,-0.0051761866,0.0077317357,-0.017596245,0.2571482,0.1411043,9.802263,-29.325,-10.650001,-44.550003,sit_to_stand
524,sit_to_stand,0.26081768,0.14087744,9.952946,-1.5271181E-4,4.5813544E-4,-0.0012216945,-29.550001,-10.950001,-44.25,102.143814,-1.5023633,-0.79756516,-1.5271181E-4,4.5813544E-4,-0.0012216945,-0.0026459694,-0.006940916,0.0057411194,0.256651,0.14197898,9.802263,-29.550001,-10.950001,-44.25,sit_to_stand
544,sit_to_stand,0.25842485,0.15044872,9.984053,-1.5271181E-4,4.5813544E-4,0.0,-29.475,-10.950001,-44.850002,102.14397,-1.5023628,-0.7975662,-1.5271181E-4,4.5813544E-4,0.0,-9.717941E-4,0.007122755,0.031292915,0.25643286,0.14137304,9.802277,-29.475,-10.950001,-44.850002,sit_to_stand
561,sit_to_stand,0.27038896,0.16480567,9.902697,-0.0025961008,4.5813544E-4,0.0,-29.325,-10.950001,-44.4,102.14411,-1.5023628,-0.7975676,-0.0025961008,4.5813544E-4,0.0,0.0084608495,0.017784014,-0.032672882,0.25680184,0.14309835,9.802242,-29.325,-10.950001,-44.4,sit_to_stand
580,sit_to_stand,0.2943172,0.13609178,9.893126,-1.5271181E-4,0.00167983,-0.0012216945,-29.475,-10.650001,-44.475002,102.14426,-1.5023633,-0.7975697,-1.5271181E-4,0.00167983,-0.0012216945,-0.0073511302,-0.037287124,-0.018274307,0.25618348,0.14062476,9.802295,-29.475,-10.650001,-44.475002,sit_to_stand
600,sit_to_stand,0.27756742,0.12891331,10.091729,-1.5271181E-4,4.5813544E-4,-0.0012216945,-29.325,-10.650001,-44.550003,102.144394,-1.5023645,-0.79757065,-1.5271181E-4,4.5813544E-4,-0.0012216945,-0.020051017,0.024302319,0.13965702,0.25448787,0.14196989,9.802319,-29.325,-10.650001,-44.550003,sit_to_stand
620,sit_to_stand,0.24885355,0.12891331,9.967302,-1.5271181E-4,-7.635591E-4,-0.0012216945,-29.400002,-10.8,-44.25,102.1446,-1.5023671,-0.79757166,-1.5271181E-4,-7.635591E-4,-0.0012216945,0.017080665,-0.010961026,0.06320381,0.255306,0.14108995,9.802312,-29.400002,-10.8,-44.25,sit_to_stand
638,sit_to_stand,0.25842485,0.16959131,9.986445,0.0010689828,0.00167983,0.0,-29.475,-10.950001,-44.100002,102.14475,-1.5023681,-0.7975726,0.0010689828,0.00167983,0.0,-0.012096435,0.0038460493,-0.008983612,0.2544762,0.1413767,9.802328,-29.475,-10.950001,-44.100002,sit_to_stand
657,sit_to_stand,0.24885355,0.090628155,9.806984,-0.0013744063,0.00167983,0.0,-29.250002,-10.875,-43.800003,102.14489,-1.5023681,-0.79757416,-0.0013744063,0.00167983,0.0,-0.0065506995,-0.04231205,-0.13372612,0.25405908,0.14047134,9.802351,-29.250002,-10.875,-43.800003,sit_to_stand
677,sit_to_stand,0.27996024,0.1576272,10.005588,-1.5271181E-4,0.0029015245,0.0,-28.725,-10.575001,-43.575,102.145035,-1.5023682,-0.797575,-1.5271181E-4,0.0029015245,0.0,0.017359793,-0.0105676055,0.10918999,0.25428194,0.1399573,9.802354,-28.725,-10.575001,-43.575,sit_to_stand
696,sit_to_stand,0.2440679,0.19591236,10.053444,0.0010689828,-7.635591E-4,-0.0012216945,-28.800001,-10.35,-43.575,102.145164,-1.5023681,-0.79757655,0.0010689828,-7.635591E-4,-0.0012216945,-0.011470571,0.024734393,-0.02555561,0.25346562,0.14109582,9.802359,-28.800001,-10.35,-43.575,sit_to_stand
715,sit_to_stand,0.27038896,0.090628155,9.818948,-0.0013744063,-0.0019852535,-0.0012216945,-28.725,-10.05,-43.575,102.14524,-1.5023677,-0.7975781,-0.0013744063,-0.0019852535,-0.0012216945,-0.0025717914,0.052498057,-0.015985489,0.25348887,0.14333972,9.802325,-28.725,-10.05,-43.575,sit_to_stand
734,sit_to_stand,0.2727818,0.16241284,10.043873,0.0035123718,0.004123219,-0.0012216945,-28.725,-10.35,-43.65,102.145386,-1.5023676,-0.79758,0.0035123718,0.004123219,-0.0012216945,0.014970481,-0.07767105,-0.01646328,0.2542656,0.13994296,9.802355,-28.725,-10.35,-43.65,sit_to_stand
753,sit_to_stand,0.26081768,0.1911267,9.900304,-0.0038177953,-0.0056503373,0.0,-28.800001,-10.5,-43.65,102.14552,-1.5023677,-0.7975823,-0.0038177953,-0.0056503373,0.0,0.0013226271,0.04743345,-0.055849075,0.2542418,0.14365904,9.802301,-28.800001,-10.5,-43.65,sit_to_stand
772,sit_to_stand,0.2536392,0.1265205,9.967302,-1.5271181E-4,-0.0019852535,0.0,-28.800001,-10.5,-43.65,102.145676,-1.5023688,-0.7975859,-1.5271181E-4,-0.0019852535,0.0,-0.005509764,-0.052400038,0.01618576,0.25456104,0.14148188,9.802325,-28.800001,-10.5,-43.65,sit_to_stand
791,sit_to_stand,0.2727818,0.17437695,9.972089,-1.5271181E-4,-0.0019852535,0.0,-28.95,-10.875,-43.800003,102.14582,-1.5023687,-0.79758734,-1.5271181E-4,-0.0019852535,0.0,0.0012160242,-0.0037772954,0.010997772,0.25391313,0.14164388,9.802339,-28.95,-10.875,-43.800003,sit_to_stand
811,sit_to_stand,0.24885355,0.102592275,10.031909,-1.5271181E-4,4.5813544E-4,0.0,-28.875002,-10.875,-43.875,102.14596,-1.5023692,-0.7975897,-1.5271181E-4,4.5813544E-4,0.0,0.0097228885,0.04951401,-0.019338608,0.2545445,0.14330928,9.802299,-28.875002,-10.875,-43.875,sit_to_stand
830,sit_to_stand,0.24646074,0.11694921,9.912268,-1.5271181E-4,-7.635591E-4,0.0,-29.175001,-10.950001,-44.100002,102.14618,-1.5023711,-0.79759234,-1.5271181E-4,-7.635591E-4,0.0,3.6269426E-5,-0.020457864,0.039653778,0.25443727,0.14258699,9.802313,-29.175001,-10.950001,-44.100002,sit_to_stand
849,sit_to_stand,0.25842485,0.16002001,10.000802,0.0010689828,0.00167983,0.0,-29.1,-11.175,-44.550003,102.14626,-1.5023717,-0.79759306,0.0010689828,0.00167983,0.0,7.2568655E-5,0.015235439,0.04170227,0.25465035,0.14246571,9.802308,-29.1,-11.175,-44.550003,sit_to_stand
868,sit_to_stand,0.25842485,0.12173485,9.931411,-1.5271181E-4,-7.635591E-4,0.0,-28.95,-11.25,-45.075,102.14649,-1.5023725,-0.79759645,-1.5271181E-4,-7.635591E-4,0.0,-0.00403592,-0.008350894,-0.02357483,0.25453717,0.14225866,9.802314,-28.95,-11.25,-45.075,sit_to_stand
886,sit_to_stand,0.2656033,0.1480559,9.945767,0.0010689828,0.00167983,0.0,-28.95,-10.8,-44.850002,102.14656,-1.5023721,-0.7975972,0.0010689828,0.00167983,0.0,5.2273273E-4,-0.022507176,0.017744064,0.254842,0.14163324,9.802315,-28.95,-10.8,-44.850002,sit_to_stand
