elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
347,standing,0.0,0.0,0.0,-0.18966807,-0.211964,-0.13530266,0.0,0.0,0.0,0.0,0.0,0.0,-0.18966807,-0.211964,-0.13530266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
369,standing,0.23688944,0.15284155,9.972089,0.0010689828,6.1084726E-4,3.0542363E-4,-33.525,-7.05,-50.100002,101.0139,-1.4705862,-0.8364537,0.0010689828,6.1084726E-4,3.0542363E-4,0.0,0.0,0.0,0.2527636,0.14427674,9.802331,-33.525,-7.05,-50.100002,standing
392,standing,0.26081768,0.15284155,9.986445,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-33.300003,-7.05,-49.350002,101.01389,-1.4705857,-0.8364531,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,0.010272205,0.0021093339,0.0025987625,0.24806677,0.14615421,9.8024235,-33.300003,-7.05,-49.350002,standing
412,standing,0.25842485,0.1480559,9.993624,-1.5271181E-4,6.1084726E-4,3.0542363E-4,-33.300003,-7.3500004,-49.575,101.0139,-1.4705856,-0.8364538,-1.5271181E-4,6.1084726E-4,3.0542363E-4,0.010272205,0.0021093339,0.0025987625,0.25139937,0.14679165,9.802328,-33.300003,-7.3500004,-49.575,standing
431,standing,0.2656033,0.15044872,9.98166,-1.5271181E-4,6.1084726E-4,3.0542363E-4,-33.525,-8.700001,-50.250004,101.01394,-1.4705857,-0.83645606,-1.5271181E-4,6.1084726E-4,3.0542363E-4,0.00732103,5.957186E-4,-0.0011501312,0.25353965,0.14635472,9.802279,-33.525,-8.700001,-50.250004,standing
450,standing,0.25124636,0.14566308,9.967302,0.0010689828,6.1084726E-4,3.0542363E-4,-33.075,-9.375,-51.300003,101.01402,-1.4705856,-0.83645916,0.0010689828,6.1084726E-4,3.0542363E-4,-0.005004555,-0.0028087497,-0.0030813217,0.25275102,0.14586942,9.802307,-33.075,-9.375,-51.300003,standing
469,standing,0.25842485,0.14566308,9.969695,-1.5271181E-4,6.1084726E-4,3.0542363E-4,-33.075,-9.75,-51.45,101.0141,-1.4705849,-0.83646256,-1.5271181E-4,6.1084726E-4,3.0542363E-4,-0.003262788,-0.0040975213,0.015088081,0.25214586,0.14536858,9.80233,-33.075,-9.75,-51.45,standing
489,standing,0.2536392,0.15523437,9.988838,0.0010689828,6.1084726E-4,3.0542363E-4,-33.075,-10.200001,-51.600002,101.01418,-1.4705838,-0.83646506,0.0010689828,6.1084726E-4,3.0542363E-4,4.1541457E-4,-0.0022013038,-0.010696411,0.25231692,0.14526126,9.802328,-33.075,-10.200001,-51.600002,standing
507,standing,0.26081768,0.14566308,9.974482,-1.5271181E-4,6.1084726E-4,-9.162709E-4,-32.925003,-9.6,-51.375004,101.01429,-1.4705831,-0.8364669,-1.5271181E-4,6.1084726E-4,-9.162709E-4,0.0030193925,-0.0050896257,-0.003619194,0.2516104,0.14655526,9.802327,-32.925003,-9.6,-51.375004,standing
526,standing,0.26799613,0.15284155,10.003195,-1.5271181E-4,6.1084726E-4,3.0542363E-4,-33.525,-9.75,-51.600002,101.01438,-1.4705831,-0.8364677,-1.5271181E-4,6.1084726E-4,3.0542363E-4,0.010354191,0.0034416318,0.018742561,0.2526694,0.14627339,9.802303,-33.525,-9.75,-51.600002,standing
546,standing,0.2632105,0.15044872,9.991231,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-33.675003,-9.75,-51.750004,101.01446,-1.4705837,-0.8364684,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,0.006252408,0.0020973533,0.0066862106,0.25319642,0.14652373,9.802286,-33.675003,-9.75,-51.750004,standing
565,standing,0.25842485,0.14327025,9.976874,0.0010689828,6.1084726E-4,3.0542363E-4,-33.525,-10.05,-52.050003,101.014595,-1.4705848,-0.83646923,0.0010689828,6.1084726E-4,3.0542363E-4,-0.003986895,-0.0010062009,-0.0025968552,0.25293717,0.14647594,9.802294,-33.525,-10.05,-52.050003,standing
583,standing,0.26081768,0.14566308,10.003195,0.0010689828,6.1084726E-4,3.0542363E-4,-33.45,-10.200001,-52.050003,101.01469,-1.4705846,-0.83646905,0.0010689828,6.1084726E-4,3.0542363E-4,-0.0057679415,-0.0011789203,-2.8705597E-4,0.25243998,0.14654899,9.802305,-33.45,-10.200001,-52.050003,standing
603,standing,0.2656033,0.15284155,9.986445,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-33.075,-9.900001,-52.050003,101.014725,-1.4705851,-0.83646935,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,0.005151093,-4.6122074E-4,0.008616447,0.25266892,0.14666551,9.802298,-33.075,-9.900001,-52.050003,standing
622,standing,0.27038896,0.13848461,9.979267,-0.0013744063,-6.1084726E-4,-9.162709E-4,-33.075,-10.05,-51.750004,101.01486,-1.4705865,-0.83646995,-0.0013744063,-6.1084726E-4,-9.162709E-4,0.007860303,0.0016165972,6.67572E-4,0.25312164,0.14685509,9.802283,-33.075,-10.05,-51.750004,standing
641,standing,0.21296121,0.16002001,9.85484,-0.017256435,-0.03603999,3.0542363E-4,-33.225002,-10.275001,-51.750004,101.014915,-1.4705869,-0.8364694,-0.017256435,-0.03603999,3.0542363E-4,-0.029562041,0.004887685,-0.08806133,0.25291073,0.14616142,9.802299,-33.225002,-10.275001,-51.750004,standing
660,standing,0.31345975,0.13609178,10.094122,-0.016034741,-0.03603999,3.0542363E-4,-33.45,-10.35,-51.750004,101.10913,-1.4711682,-0.83631665,-0.016034741,-0.03603999,3.0542363E-4,0.0055645406,0.0060073882,0.046844482,0.258789,0.14379033,9.80218,-33.45,-10.35,-51.750004,standing
679,standing,0.22253251,0.1480559,9.873982,-0.00503949,-0.010384403,-9.162709E-4,-33.525,-10.650001,-52.2,101.10917,-1.4711692,-0.83631635,-0.00503949,-0.010384403,-9.162709E-4,0.014097124,-0.011113867,0.078967094,0.26090443,0.14300229,9.802135,-33.525,-10.650001,-52.2,standing
698,standing,0.27756742,0.15044872,9.98166,0.0035123718,0.007941014,-0.0021379655,-33.300003,-11.1,-52.350002,101.15599,-1.4723617,-0.8357769,0.0035123718,0.007941014,-0.0021379655,0.014097124,-0.011113867,0.078967094,0.26427385,0.14198294,9.80206,-33.300003,-11.1,-52.350002,standing
718,standing,1.1676974,0.16959131,9.984053,-0.023364907,-0.051922016,-0.019241689,-33.45,-10.875,-52.575,101.156494,-1.472374,-0.8357767,-0.023364907,-0.051922016,-0.019241689,-0.0022506118,0.018686906,-0.07526779,0.3105455,0.13969442,9.800737,-33.45,-10.875,-52.575,standing
736,standing,0.69152576,0.23659034,9.926624,-0.0062611843,0.028709821,-0.45294324,-33.45,-10.8,-52.350002,103.183975,-1.5616895,-0.84220296,-0.0062611843,0.028709821,-0.45294324,0.5964508,0.0797116,0.0011138916,0.33194217,0.14406842,9.799972,-33.45,-10.8,-52.350002,standing
755,standing,-1.1458629,-0.12233306,10.079765,0.0010689828,-0.0018325418,-0.06810947,-33.825,-10.950001,-52.2,104.49813,-1.6181524,-0.85520107,0.0010689828,-0.0018325418,-0.06810947,-1.2379532,-0.04789713,-0.0194273,0.2796899,0.14258724,9.801624,-33.825,-10.950001,-52.2,standing
775,standing,0.20338993,0.14566308,9.873982,0.0047340663,0.0030542363,3.0542363E-4,-33.825,-10.575001,-51.675003,105.00582,-1.6171603,-0.857742,0.0047340663,0.0030542363,3.0542363E-4,-0.24128911,-0.030952573,-0.0055761337,0.27096072,0.13951021,9.801913,-33.825,-10.575001,-51.675003,standing
795,standing,-0.22253251,0.13130614,9.986445,-1.5271181E-4,0.00671932,0.067498624,-33.75,-10.950001,-51.600002,105.02061,-1.6153251,-0.8576611,-1.5271181E-4,0.00671932,0.067498624,-0.24128911,-0.030952573,-0.0055761337,0.26143575,0.13802314,9.802193,-33.75,-10.950001,-51.600002,standing
813,standing,0.9068798,0.14327025,9.974482,-0.00503949,-0.021379653,0.11392301,-33.675003,-11.25,-51.675003,105.607376,-1.5735904,-0.8521915,-0.00503949,-0.021379653,0.11392301,-0.19657552,0.0024887025,-0.0019817352,0.25524992,0.13756889,9.802362,-33.675003,-11.25,-51.675003,standing
832,standing,0.30388847,0.12412767,10.043873,-0.008704574,-0.021379653,3.0542363E-4,-33.15,-10.950001,-51.675003,105.61454,-1.5738091,-0.8519407,-0.008704574,-0.021379653,3.0542363E-4,0.0043470263,-0.0076227337,0.023960114,0.28048226,0.1347789,9.801711,-33.15,-10.950001,-51.675003,standing
851,standing,0.31106696,0.11216356,10.096515,0.020616096,0.04459185,3.0542363E-4,-33.525,-11.55,-52.050003,105.621704,-1.5740252,-0.8512147,0.020616096,0.04459185,3.0542363E-4,0.021465242,-0.018745027,0.0833416,0.2808006,0.13440004,9.801708,-33.525,-11.55,-52.050003,standing
871,standing,0.25842485,0.13130614,9.9553385,0.016951011,0.03970507,-0.0021379655,-33.300003,-11.400001,-52.350002,105.635635,-1.5758628,-0.8495289,0.016951011,0.03970507,-0.0021379655,0.0062508583,-0.012712449,-1.1444092E-4,0.27423787,0.13745014,9.801851,-33.300003,-11.400001,-52.350002,standing
889,standing,0.25842485,0.11455639,9.8835535,0.015729317,0.032374904,-0.00335966,-33.15,-11.175,-52.2,105.64933,-1.5763878,-0.84810936,0.015729317,0.032374904,-0.00335966,0.0062508583,-0.012712449,-1.1444092E-4,0.27328297,0.13005269,9.801979,-33.15,-11.175,-52.2,standing
908,standing,0.09571291,-0.27786654,9.917053,-0.047798797,-0.09590302,0.038177952,-33.45,-10.950001,-52.275,105.656166,-1.5761845,-0.8470442,-0.047798797,-0.09590302,0.038177952,0.18315092,-0.36014688,-0.21663666,0.27328297,0.13005269,9.801979,-33.45,-10.950001,-52.275,standing
927,standing,0.0741775,0.41365921,10.017552,-0.019699825,-0.054365408,0.117588095,-33.375,-10.35,-52.275,105.95228,-1.5945681,-0.75348586,-0.019699825,-0.054365408,0.117588095,-0.21828339,0.0016801655,-0.0051136017,0.28316054,0.111395955,9.801928,-33.375,-10.35,-52.275,standing
946,standing,0.27756742,0.5404788,10.012766,-0.014813046,-0.034818295,0.13713521,-33.525,-10.200001,-52.050003,106.06704,-1.6032132,-0.6960657,-0.014813046,-0.034818295,0.13713521,-0.10547984,0.36502475,0.035025597,0.28837332,0.117501535,9.801705,-33.525,-10.200001,-52.050003,standing
965,standing,0.634098,0.22941187,9.756734,-0.07345438,0.004275931,0.012522369,-33.45,-9.75,-51.600002,106.038185,-1.6609547,-0.6894571,-0.07345438,0.004275931,0.012522369,0.34401393,0.26646313,-0.07653618,0.30295935,0.12157381,9.801216,-33.45,-9.75,-51.600002,standing
985,standing,0.55513483,0.08105687,9.835697,-0.19333316,0.02015796,-0.00335966,-33.45,-9.75,-51.45,106.02189,-1.6876867,-0.6900102,-0.19333316,0.02015796,-0.00335966,0.09831086,0.12217068,-0.6063318,0.3058577,0.114153855,9.801214,-33.45,-9.75,-51.45,standing
1004,standing,0.5407779,-0.05054838,10.617851,-0.3203894,0.083686076,-0.08521319,-33.45,-9.450001,-51.675003,106.01975,-1.7581455,-0.5156752,-0.3203894,0.083686076,-0.08521319,0.22793883,0.040195376,-0.2631235,0.30676556,0.07605652,9.801556,-33.45,-9.450001,-51.675003,standing
1023,standing,0.11246266,0.08823533,9.775877,-0.011147963,0.005497625,-0.031458635,-33.675003,-9.900001,-51.750004,106.04706,-1.7510898,-0.4137767,-0.011147963,0.005497625,-0.031458635,-0.19733071,0.038058445,-0.12035942,0.28860307,0.031625338,9.802352,-33.675003,-9.900001,-51.750004,standing
