elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
334,upstairs,0.0,0.0,0.0,-0.18233791,-0.20203774,-0.13026318,0.0,0.0,0.0,0.0,0.0,0.0,-0.18233791,-0.20203774,-0.13026318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
354,upstairs,0.42831525,0.054735817,9.974482,-0.18233791,-0.20203774,-0.13026318,0.0,0.0,0.0,0.0,0.0,0.0,-0.18233791,-0.20203774,-0.13026318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
378,upstairs,0.4211368,0.059521463,9.972089,9.162709E-4,7.635591E-4,4.5813544E-4,22.575,-0.75,-41.850002,-91.822655,-2.3792605,-0.25977913,9.162709E-4,7.635591E-4,4.5813544E-4,-8.2919E-4,9.812042E-5,9.6321106E-4,0.4149348,0.05699574,9.797702,22.575,-0.75,-41.850002,upstairs
401,upstairs,0.41874397,0.061914288,9.979267,9.162709E-4,7.635591E-4,4.5813544E-4,22.275002,-0.75,-42.0,-91.82265,-2.3792622,-0.25978008,9.162709E-4,7.635591E-4,4.5813544E-4,-0.0014410913,8.1864744E-4,0.007183075,0.41425458,0.05728232,9.7977295,22.275002,-0.75,-42.0,upstairs
420,upstairs,0.42592242,0.052342996,9.98166,9.162709E-4,7.635591E-4,0.00167983,22.125,-0.90000004,-42.15,-91.82265,-2.3792627,-0.25978082,9.162709E-4,7.635591E-4,0.00167983,-0.0042735934,-0.0014908537,7.801056E-4,0.41309035,0.057052974,9.79778,22.125,-0.90000004,-42.15,upstairs
440,upstairs,0.4235296,0.04995017,9.986445,-3.0542363E-4,7.635591E-4,4.5813544E-4,22.275002,-1.6500001,-42.75,-91.82265,-2.3792632,-0.2597837,-3.0542363E-4,7.635591E-4,4.5813544E-4,0.004144639,-0.006984763,0.010925293,0.41350612,0.056142934,9.797768,22.275002,-1.6500001,-42.75,upstairs
458,upstairs,0.43070808,0.04516453,9.976874,9.162709E-4,7.635591E-4,4.5813544E-4,22.050001,-2.1750002,-42.75,-91.82269,-2.3792639,-0.25978756,9.162709E-4,7.635591E-4,4.5813544E-4,0.00675866,-0.008568883,2.6893616E-4,0.4139985,0.05494353,9.797754,22.050001,-2.1750002,-42.75,upstairs
477,upstairs,0.42831525,0.04995017,9.984053,9.162709E-4,7.635591E-4,0.00167983,22.050001,-1.95,-42.9,-91.82275,-2.3792648,-0.25979033,9.162709E-4,7.635591E-4,0.00167983,-1.7464161E-4,-0.0018763207,0.0035934448,0.41468498,0.053793255,9.79773,22.050001,-1.95,-42.9,upstairs
496,upstairs,0.4139583,0.04755735,9.986445,-3.0542363E-4,-4.5813544E-4,4.5813544E-4,21.675001,-2.4,-42.675003,-91.8228,-2.379266,-0.25979352,-3.0542363E-4,-4.5813544E-4,4.5813544E-4,-4.145503E-4,-0.0054285564,0.007294655,0.4144972,0.05333803,9.797742,21.675001,-2.4,-42.675003,upstairs
515,upstairs,0.4235296,0.054735817,9.979267,9.162709E-4,7.635591E-4,4.5813544E-4,21.300001,-2.4750001,-43.050003,-91.82292,-2.3792677,-0.25979844,9.162709E-4,7.635591E-4,4.5813544E-4,0.006900072,0.007903915,0.008727074,0.41559651,0.054355484,9.7976885,21.300001,-2.4750001,-43.050003,upstairs
536,upstairs,0.4235296,0.059521463,9.991231,9.162709E-4,7.635591E-4,4.5813544E-4,21.45,-2.5500002,-43.2,-91.82297,-2.3792682,-0.25980055,9.162709E-4,7.635591E-4,4.5813544E-4,0.006179154,0.0013865121,0.009462357,0.41559651,0.054355484,9.7976885,21.45,-2.5500002,-43.2,upstairs
554,upstairs,0.42831525,0.059521463,9.991231,-3.0542363E-4,7.635591E-4,4.5813544E-4,21.6,-2.8500001,-43.65,-91.82304,-2.3792691,-0.25980237,-3.0542363E-4,7.635591E-4,4.5813544E-4,0.001383543,0.0026584417,0.006345749,0.4156732,0.054711744,9.797684,21.6,-2.8500001,-43.65,upstairs
573,upstairs,0.41874397,0.054735817,9.991231,-3.0542363E-4,-4.5813544E-4,4.5813544E-4,21.900002,-2.8500001,-43.95,-91.823074,-2.3792686,-0.25980303,-3.0542363E-4,-4.5813544E-4,4.5813544E-4,-0.005849391,-6.7891553E-4,0.008059502,0.41509074,0.054802965,9.7977085,21.900002,-2.8500001,-43.95,upstairs
592,upstairs,0.4235296,0.052342996,9.979267,9.162709E-4,7.635591E-4,4.5813544E-4,22.2,-2.1750002,-43.800003,-91.823135,-2.3792686,-0.25980443,9.162709E-4,7.635591E-4,4.5813544E-4,0.0016781986,-0.0043335557,1.6212463E-4,0.41528168,0.054574214,9.797701,22.2,-2.1750002,-43.800003,upstairs
611,upstairs,0.41635114,0.061914288,9.986445,-3.0542363E-4,7.635591E-4,4.5813544E-4,22.2,-2.1750002,-43.575,-91.82324,-2.37927,-0.25980633,-3.0542363E-4,7.635591E-4,4.5813544E-4,0.004636705,0.0023021027,0.008360863,0.41543415,0.054819465,9.797693,22.2,-2.1750002,-43.575,upstairs
630,upstairs,0.4354937,0.052342996,9.984053,9.162709E-4,7.635591E-4,4.5813544E-4,22.35,-2.1750002,-43.575,-91.82331,-2.3792698,-0.2598077,9.162709E-4,7.635591E-4,4.5813544E-4,-0.008314282,0.0016875044,-0.003657341,0.41485414,0.05504077,9.797717,22.35,-2.1750002,-43.575,upstairs
648,upstairs,0.4331009,0.061914288,9.986445,-3.0542363E-4,7.635591E-4,4.5813544E-4,22.125,-1.8750001,-43.275,-91.82333,-2.37927,-0.2598079,-3.0542363E-4,7.635591E-4,4.5813544E-4,0.003537774,-0.0074021816,0.007273674,0.41526675,0.05499868,9.7977,22.125,-1.8750001,-43.275,upstairs
667,upstairs,0.42831525,0.04995017,9.972089,-3.0542363E-4,7.635591E-4,4.5813544E-4,22.125,-1.95,-42.9,-91.8234,-2.3792703,-0.2598087,-3.0542363E-4,7.635591E-4,4.5813544E-4,0.005160272,-0.005468495,-0.008862495,0.41542825,0.054878417,9.797693,22.125,-1.95,-42.9,upstairs
687,upstairs,0.42592242,0.04995017,9.991231,9.162709E-4,-4.5813544E-4,4.5813544E-4,22.125,-1.8750001,-42.75,-91.82347,-2.3792722,-0.25980923,9.162709E-4,-4.5813544E-4,4.5813544E-4,0.0027480423,-0.00558668,0.006134987,0.41543528,0.054565117,9.797694,22.125,-1.8750001,-42.75,upstairs
706,upstairs,0.41635114,0.054735817,9.979267,9.162709E-4,7.635591E-4,4.5813544E-4,22.050001,-1.8000001,-42.600002,-91.82355,-2.3792737,-0.25980952,9.162709E-4,7.635591E-4,4.5813544E-4,0.0018863976,-0.0059743524,-0.0010385513,0.41533017,0.054649998,9.797699,22.050001,-1.8000001,-42.600002,upstairs
725,upstairs,0.4235296,0.052342996,9.993624,-3.0542363E-4,7.635591E-4,4.5813544E-4,21.900002,-2.25,-42.9,-91.82363,-2.3792737,-0.25981188,-3.0542363E-4,7.635591E-4,4.5813544E-4,-0.0037051141,0.0010184981,0.0035858154,0.41533017,0.054649998,9.797699,21.900002,-2.25,-42.9,upstairs
744,upstairs,0.42831525,0.052342996,9.986445,9.162709E-4,7.635591E-4,4.5813544E-4,22.050001,-2.1750002,-42.75,-91.82368,-2.3792741,-0.2598125,9.162709E-4,7.635591E-4,4.5813544E-4,-0.0037051141,0.0010184981,0.0035858154,0.41515845,0.054879405,9.797705,22.050001,-2.1750002,-42.75,upstairs
763,upstairs,0.4211368,0.04995017,9.986445,9.162709E-4,-4.5813544E-4,4.5813544E-4,21.45,-2.5500002,-42.975002,-91.823746,-2.3792753,-0.25981382,9.162709E-4,-4.5813544E-4,4.5813544E-4,-0.001575768,-0.005473368,0.0034914017,0.4151693,0.0548178,9.797706,21.45,-2.5500002,-42.975002,upstairs
782,upstairs,0.4211368,0.059521463,9.991231,9.162709E-4,7.635591E-4,4.5813544E-4,21.375,-1.95,-42.675003,-91.823845,-2.379276,-0.25981605,9.162709E-4,7.635591E-4,4.5813544E-4,-8.7708235E-4,9.900443E-4,0.0063438416,0.41508585,0.054998226,9.797707,21.375,-1.95,-42.675003,upstairs
801,upstairs,0.4235296,0.04995017,9.986445,-3.0542363E-4,-4.5813544E-4,0.00167983,21.375,-2.1750002,-42.675003,-91.82387,-2.3792763,-0.2598166,-3.0542363E-4,-4.5813544E-4,0.00167983,0.0022572875,-0.0042116083,0.00157547,0.41511473,0.054801874,9.797707,21.375,-2.1750002,-42.675003,upstairs
821,upstairs,0.4235296,0.04516453,9.986445,-3.0542363E-4,-4.5813544E-4,4.5813544E-4,21.675001,-1.95,-43.350002,-91.82396,-2.379277,-0.2598173,-3.0542363E-4,-4.5813544E-4,4.5813544E-4,0.0051505864,-0.0032772794,0.0054035187,0.41536385,0.054635994,9.797696,21.675001,-1.95,-43.350002,upstairs
840,upstairs,0.4211368,0.052342996,9.998409,-3.0542363E-4,-4.5813544E-4,0.00167983,22.050001,-1.95,-42.75,-91.824005,-2.379278,-0.25981742,-3.0542363E-4,-4.5813544E-4,0.00167983,0.011349171,-0.008505959,0.0060424805,0.4155561,0.054143462,9.797692,22.050001,-1.95,-42.75,upstairs
859,upstairs,0.4235296,0.059521463,9.984053,9.162709E-4,-4.5813544E-4,4.5813544E-4,22.35,-2.1000001,-42.75,-91.82407,-2.3792787,-0.25981784,9.162709E-4,-4.5813544E-4,4.5813544E-4,-0.0039214194,-0.003616169,0.01023674,0.4155561,0.054143462,9.797692,22.35,-2.1000001,-42.75,upstairs
