elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
300,walking,0.2727818,0.15284155,10.055838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
319,walking,0.27996024,0.1576272,10.00798,-1.5271181E-4,0.0018325418,-9.162709E-4,-31.275002,-8.25,-43.95,108.82936,-1.5544055,-0.87073034,-1.5271181E-4,0.0018325418,-9.162709E-4,0.0,0.0,0.0,0.27240154,0.1531999,9.801669,-31.275002,-8.25,-43.95,walking
343,walking,0.27517462,0.17916259,10.120443,0.0010689828,0.0018325418,3.0542363E-4,-30.900002,-7.8,-43.2,103.85807,-1.5037479,-0.67275435,0.0010689828,0.0018325418,3.0542363E-4,-0.0088967085,-0.020482786,-0.094854355,0.26603636,0.1344968,9.802118,-30.900002,-7.8,-43.2,walking
362,walking,0.29671,0.18873389,9.924232,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-30.375002,-7.5750003,-42.75,103.85805,-1.5037482,-0.6727547,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,0.015678555,0.024347052,-0.035490036,0.27172536,0.15472312,9.801664,-30.375002,-7.5750003,-42.75,walking
381,walking,0.2440679,0.09302098,9.912268,-1.5271181E-4,0.0030542363,3.0542363E-4,-29.85,-7.3500004,-42.600002,103.85804,-1.5037493,-0.6727572,-1.5271181E-4,0.0030542363,3.0542363E-4,-0.01774007,-0.042502128,-0.059617996,0.26760453,0.14446352,9.801933,-29.85,-7.3500004,-42.600002,walking
400,walking,0.27756742,0.18634106,10.039087,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-29.550001,-7.9500003,-42.9,103.85803,-1.503749,-0.6727583,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,0.0018263161,0.07421948,0.0018854141,0.26720107,0.14118333,9.801992,-29.550001,-7.9500003,-42.9,walking
419,walking,0.27038896,0.13369897,9.77827,-1.5271181E-4,6.1084726E-4,-9.162709E-4,-29.475,-8.475,-43.95,103.85806,-1.503749,-0.6727613,-1.5271181E-4,6.1084726E-4,-9.162709E-4,-0.0024443865,-0.042969927,-0.05372715,0.2672748,0.15346308,9.8018055,-29.475,-8.475,-43.95,walking
438,walking,0.24885355,0.10737792,10.034302,0.0010689828,0.0018325418,-9.162709E-4,-29.625002,-8.775001,-44.850002,103.8581,-1.5037491,-0.67276514,0.0010689828,0.0018325418,-9.162709E-4,-0.0024443865,-0.042969927,-0.05372715,0.2673485,0.14741197,9.801897,-29.625002,-8.775001,-44.850002,walking
457,walking,0.2847459,0.19591236,9.907482,0.0010689828,0.0018325418,3.0542363E-4,-30.000002,-9.075001,-45.075,103.85814,-1.5037487,-0.6727689,0.0010689828,0.0018325418,3.0542363E-4,0.012331784,0.04360406,-0.050400734,0.26684803,0.1495803,9.801878,-30.000002,-9.075001,-45.075,walking
477,walking,0.25842485,0.11216356,9.950553,-0.0013744063,-0.0030542363,-9.162709E-4,-30.375002,-9.375,-45.15,103.85818,-1.5037487,-0.6727739,-0.0013744063,-0.0030542363,-9.162709E-4,-0.01427561,-0.013284013,-5.2547455E-4,0.26517108,0.1483277,9.801942,-30.375002,-9.375,-45.15,walking
496,walking,0.27038896,0.16719848,9.890733,0.0010689828,6.1084726E-4,3.0542363E-4,-30.6,-9.450001,-44.850002,103.85822,-1.5037478,-0.67277765,0.0010689828,6.1084726E-4,3.0542363E-4,0.006857395,-0.021062762,0.0388422,0.2660542,0.14625281,9.8019495,-30.6,-9.450001,-44.850002,walking
515,walking,0.26081768,0.15284155,9.919446,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-30.6,-9.675,-45.45,103.85829,-1.5037478,-0.6727822,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,0.0017906427,0.017669946,-0.060934067,0.26540068,0.14777459,9.801944,-30.6,-9.675,-45.45,walking
533,walking,0.2632105,0.12173485,9.94816,0.0010689828,0.0018325418,3.0542363E-4,-30.6,-10.05,-45.375,103.85835,-1.5037478,-0.67278576,0.0010689828,0.0018325418,3.0542363E-4,-0.0074642003,-0.0027711987,0.02404499,0.2648008,0.14622524,9.801984,-30.6,-10.05,-45.375,walking
553,walking,0.2536392,0.16480567,9.921839,0.0010689828,6.1084726E-4,3.0542363E-4,-30.375002,-10.05,-45.45,103.85843,-1.5037473,-0.67278934,0.0010689828,6.1084726E-4,3.0542363E-4,-0.0138326585,0.012894347,-0.035765648,0.26388732,0.14724891,9.801993,-30.375002,-10.05,-45.45,walking
572,walking,0.28235307,0.12891331,9.9553385,-1.5271181E-4,-0.0018325418,3.0542363E-4,-29.925001,-9.900001,-45.9,103.8585,-1.5037475,-0.6727931,-1.5271181E-4,-0.0018325418,3.0542363E-4,0.006239444,2.925694E-4,0.0056591034,0.26433164,0.14730285,9.80198,-29.925001,-9.900001,-45.9,walking
591,walking,0.26081768,0.1480559,9.943375,0.0010689828,0.0018325418,-9.162709E-4,-29.325,-10.5,-46.050003,103.85851,-1.5037479,-0.67279416,0.0010689828,0.0018325418,-9.162709E-4,-7.0369244E-4,-0.012923047,0.009511948,0.2642749,0.14656988,9.801993,-29.325,-10.5,-46.050003,walking
611,walking,0.2656033,0.17198412,9.960124,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-29.325,-10.35,-46.575,103.85858,-1.5037485,-0.67279637,-1.5271181E-4,-6.1084726E-4,3.0542363E-4,-0.002263993,0.0052317083,0.0056791306,0.263756,0.14758785,9.801991,-29.325,-10.35,-46.575,walking
