elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
334,sit_to_stand,6.349953,0.389731,-11.338689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
352,sit_to_stand,8.831011,0.42083767,-9.163913,0.28862533,0.47752985,0.9553651,0.0,0.0,0.0,-93.72032,-143.23668,-1.286236,0.28862533,0.47752985,0.9553651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
368,sit_to_stand,9.950852,-1.1365907,-7.919645,0.48531815,0.7744016,0.8906153,-48.15,-2.8500001,12.750001,-93.25641,-136.05931,-1.89402,0.48531815,0.7744016,0.8906153,1.0571318,-0.74244964,1.2371645,6.8242764,-0.23696287,-7.0387135,-48.15,-2.8500001,12.750001,sit_to_stand
385,sit_to_stand,10.910374,-1.457229,-7.8023963,0.59527063,0.6681142,0.8026533,-48.525,-2.8500001,12.675,-93.4456,-135.9456,-1.7546886,0.59527063,0.6681142,0.8026533,1.0571318,-0.74244964,1.2371645,7.2405453,-0.67990774,-6.578952,-48.525,-2.8500001,12.675,sit_to_stand
405,sit_to_stand,10.424631,-2.778067,-6.163612,0.7980719,0.56427014,0.6047388,-48.750004,-3.15,12.225,-94.55293,-135.53806,-1.1821642,0.7980719,0.56427014,0.6047388,0.39071178,-1.4542726,1.9110932,7.2405453,-0.67990774,-6.578952,-48.750004,-3.15,12.225,sit_to_stand
423,sit_to_stand,7.768897,-3.9885364,-6.0990057,1.0680665,0.49341187,0.59374356,-49.125004,-3.7500002,11.625,-96.54228,-135.0407,-0.35140347,1.0680665,0.49341187,0.59374356,-1.5512524,-1.9042938,1.5179892,7.5030828,-1.6456593,-6.096387,-49.125004,-3.7500002,11.625,sit_to_stand
442,sit_to_stand,5.4720864,-3.8401814,-6.367002,1.1291511,0.43354884,0.70247436,-49.050003,-4.9500003,10.875,-99.438835,-134.51562,0.68954986,1.1291511,0.43354884,0.70247436,-3.1029925,-1.4026692,1.0578632,7.390985,-2.0913393,-6.096723,-49.050003,-4.9500003,10.875,sit_to_stand
462,sit_to_stand,6.053243,-3.1130621,-6.740282,1.1083823,0.49829865,0.759894,-48.750004,-5.25,9.825001,-102.5506,-134.01353,1.90022,1.1083823,0.49829865,0.759894,-1.8329968,0.020499945,0.15114737,7.2768507,-2.409084,-6.1167116,-48.750004,-5.25,9.825001,sit_to_stand
481,sit_to_stand,7.0558357,-2.9096723,-6.8862443,1.0363023,0.5948125,0.8063184,-48.825,-4.425,9.150001,-104.66478,-133.48068,3.2365704,1.0363023,0.5948125,0.8063184,-1.0170393,0.2510488,0.12812996,7.2180066,-2.6451511,-6.0888376,-48.825,-4.425,9.150001,sit_to_stand
499,sit_to_stand,7.326225,-3.0149565,-6.3191457,0.95689225,0.6424586,0.80754006,-48.750004,-3.825,8.775001,-106.29721,-132.8841,4.640653,0.95689225,0.6424586,0.80754006,-0.9332218,0.29199886,0.43417692,7.207787,-2.8367283,-6.0142465,-48.750004,-3.825,8.775001,sit_to_stand
519,sit_to_stand,6.945766,-3.5533416,-6.1253266,0.9654441,0.56182677,0.79654485,-49.050003,-2.25,8.625,-107.11057,-132.21779,6.054701,0.9654441,0.56182677,0.79654485,-1.1131587,0.054959774,0.38183737,7.2145324,-3.0231113,-5.9145336,-49.050003,-2.25,8.625,sit_to_stand
538,sit_to_stand,7.242476,-4.464708,-7.47458,0.90558106,0.5557183,0.8002099,-49.725002,-2.25,8.55,-107.979164,-131.56503,7.480066,0.90558106,0.5557183,0.8002099,-0.85828066,-0.422544,-0.7328458,7.1476374,-3.4447489,-5.763278,-49.725002,-2.25,8.55,sit_to_stand
555,sit_to_stand,9.393325,-5.488836,-8.886345,0.77363807,0.65467554,0.74401194,-50.025,-2.4,7.8750005,-109.34142,-130.93944,8.910117,0.77363807,0.65467554,0.74401194,0.7386942,-0.7847066,-1.9971714,7.1096873,-3.6158168,-5.7051387,-50.025,-2.4,7.8750005,sit_to_stand
573,sit_to_stand,7.845467,-3.4648073,-3.9601214,0.59282726,0.86251634,0.6621584,-50.475002,-2.25,7.275,-110.14378,-130.2348,10.245366,0.59282726,0.86251634,0.6621584,1.1477985,-0.70951796,0.042485714,7.164922,-3.766665,-5.535929,-50.475002,-2.25,7.275,sit_to_stand
596,sit_to_stand,8.142178,-6.043971,-5.244768,0.8359445,0.6033644,0.8136485,-50.625004,-1.6500001,6.7500005,-110.82754,-129.03354,12.096759,0.8359445,0.6033644,0.8136485,-0.511539,0.026949883,1.8033996,7.2183285,-3.9397514,-5.342703,-50.625004,-1.6500001,6.7500005,sit_to_stand
614,sit_to_stand,8.45803,-5.9961143,-4.6752763,0.90191597,0.55693996,0.85518616,-50.550003,-1.95,5.925,-110.988594,-128.64691,12.737881,0.90191597,0.55693996,0.85518616,0.17635822,-1.0606418,0.8258791,7.214258,-4.384787,-4.9898415,-50.550003,-1.95,5.925,sit_to_stand
634,sit_to_stand,7.888538,-5.7664037,-5.177769,0.94467527,0.7904363,0.7586723,-50.325,-1.0500001,5.925,-111.29396,-127.888,14.062962,0.94467527,0.7904363,0.7586723,-0.2112608,-0.60208035,0.3769374,7.207007,-4.5815215,-4.8206964,-50.325,-1.0500001,5.925,sit_to_stand
652,sit_to_stand,7.6013994,-5.622834,-5.2232327,0.90191597,0.891837,0.68659234,-50.475002,-0.3,6.15,-111.60984,-127.05516,15.4114275,0.90191597,0.891837,0.68659234,-0.46649885,-0.28970623,0.060179234,7.19969,-4.7568593,-4.659093,-50.475002,-0.3,6.15,sit_to_stand
672,sit_to_stand,7.0151577,-5.460122,-4.991129,0.8481614,0.9309312,0.6841489,-50.175003,0.0,5.625,-111.95529,-126.12766,16.742159,0.8481614,0.9309312,0.6841489,-0.81590223,0.10039282,-0.073495865,7.196188,-4.9107533,-4.5021963,-50.175003,0.0,5.625,sit_to_stand
691,sit_to_stand,6.6155562,-5.304589,-4.8858447,0.8444963,0.90038884,0.7110262,-49.95,1.0500001,4.7250004,-112.31799,-125.11369,18.030346,0.8444963,0.90038884,0.7110262,-1.3288798,0.27271366,0.0059432983,7.186045,-5.062357,-4.347837,-49.95,1.0500001,4.7250004,sit_to_stand
712,sit_to_stand,6.7519474,-4.950451,-5.1586266,0.845718,0.84296924,0.759894,-50.025,1.6500001,4.3500004,-112.68054,-124.068275,19.298826,0.845718,0.84296924,0.759894,-1.1950555,0.9977732,-0.60798883,7.166159,-5.20568,-4.2092085,-50.025,1.6500001,4.3500004,sit_to_stand
729,sit_to_stand,6.8572316,-4.792525,-4.8786664,0.829836,0.9651387,0.7904363,-49.65,2.25,3.3750002,-113.03721,-123.028915,20.568975,0.829836,0.9651387,0.7904363,-1.053194,1.2367516,-0.5527525,7.1297607,-5.4565535,-3.9449885,-49.65,2.25,3.3750002,sit_to_stand
747,sit_to_stand,6.7926254,-4.653741,-4.641777,0.829836,0.9651387,0.7904363,-49.65,2.7,3.15,-113.21855,-122.50405,21.208479,0.829836,0.9651387,0.7904363,-1.1588416,1.4527488,-0.52791405,7.1297607,-5.4565535,-3.9449885,-49.65,2.7,3.15,sit_to_stand
768,sit_to_stand,6.5724854,-4.732704,-4.792525,0.81517565,0.98346406,0.8063184,-49.65,3.15,2.8500001,-113.38746,-121.95498,21.844212,0.81517565,0.98346406,0.8063184,-1.1588416,1.4527488,-0.52791405,7.116302,-5.5757813,-3.7999082,-49.65,3.15,2.8500001,sit_to_stand
786,sit_to_stand,6.443273,-5.3069816,-4.254439,0.7198835,0.9321529,0.8698465,-50.175003,4.3500004,2.025,-114.23947,-119.15475,25.019556,0.7198835,0.9321529,0.8698465,-1.5355458,1.076088,-0.55152225,7.056709,-5.826758,-3.5245059,-50.175003,4.3500004,2.025,sit_to_stand
805,sit_to_stand,6.5054865,-5.838188,-4.304389,0.6930062,1.0286667,0.9419265,-50.175003,4.9500003,1.35,-114.526344,-118.0299,26.301126,0.6930062,1.0286667,0.9419265,-1.2079911,0.9398861,-0.5940912,7.014163,-5.9589043,-3.38576,-50.175003,4.9500003,1.35,sit_to_stand
825,sit_to_stand,7.5344005,-6.383752,-3.8500516,0.62459135,1.3792931,1.1178505,-50.175003,5.25,0.22500001,-114.65412,-117.44313,26.955265,0.62459135,1.3792931,1.1178505,-0.9685316,2.501678,-1.2626581,6.9372573,-6.2083673,-3.0823717,-50.175003,5.25,0.22500001,sit_to_stand
843,sit_to_stand,6.9242306,-7.6947193,-2.4071796,0.5891622,1.5381134,1.1092986,-50.325,6.3,-1.0500001,-118.43088,-116.19722,28.366373,0.5891622,1.5381134,1.1092986,-0.20613432,-0.24012995,0.015118122,6.879831,-6.379754,-2.8525503,-50.325,6.3,-1.0500001,sit_to_stand
863,sit_to_stand,7.0319076,-8.168498,-1.375873,0.8958075,1.291331,0.9309312,-49.725002,5.8500004,-3.15,-120.585754,-114.71328,29.808495,0.8958075,1.291331,0.9309312,-0.5372844,-1.359056,1.0987884,6.813592,-6.561126,-2.5878494,-49.725002,5.8500004,-3.15,sit_to_stand
882,sit_to_stand,8.154141,-8.247461,-2.172683,1.0045383,1.1935955,0.85518616,-49.65,5.7000003,-4.65,-121.99762,-113.072525,31.21968,1.0045383,1.1935955,0.85518616,0.0656085,-0.3829956,1.1990594,6.767163,-6.7082276,-2.318526,-49.65,5.7000003,-4.65,sit_to_stand
901,sit_to_stand,7.8000035,-8.340781,-2.4335005,0.8603784,2.0658855,0.7537855,-49.425003,6.3,-6.4500003,-123.17901,-111.33059,32.58039,0.8603784,2.0658855,0.7537855,0.8381257,-0.48288822,0.2593701,6.7298517,-6.828638,-2.0613585,-49.425003,6.3,-6.4500003,sit_to_stand
