elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
316,upstairs,0.0,0.0,0.0,0.09071082,1.3108783,0.30786702,0.0,0.0,0.0,0.0,0.0,0.0,0.09071082,1.3108783,0.30786702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
336,upstairs,8.66112,-2.3114667,-0.1486541,0.5317425,1.8203248,0.5949652,-18.975,37.725002,26.625002,39.90759,-90.98313,14.940468,0.5317425,1.8203248,0.5949652,0.0,0.0,0.0,0.0,0.0,0.0,-18.975,37.725002,26.625002,upstairs
358,upstairs,8.106285,-2.7421749,-1.4979069,0.6184828,1.4354911,0.5754181,-19.125,38.325,26.325,38.903976,-93.96157,16.312464,0.6184828,1.4354911,0.5754181,-0.10189533,-0.14978004,-0.34424415,9.387152,-2.7862625,-0.5371305,-19.125,38.325,26.325,upstairs
378,upstairs,8.027322,-2.7421749,-2.3401806,0.33382803,0.9272661,0.6694886,-19.35,38.325,25.275002,38.841564,-93.398476,16.55779,0.33382803,0.9272661,0.6694886,-0.2070837,-0.10856891,-1.0539081,9.303364,-2.9598887,-0.9256774,-19.35,38.325,25.275002,upstairs
397,upstairs,7.4123664,-2.457429,-3.5772698,0.043064732,0.6339067,0.66338015,-19.35,38.550003,24.375002,38.531517,-92.52013,17.015009,0.043064732,0.6339067,0.66338015,-0.20547915,0.1241498,-2.2337937,9.192043,-3.0122342,-1.6134334,-19.35,38.550003,24.375002,upstairs
416,upstairs,7.1802626,-2.9838498,-3.0699914,-0.44805646,0.14767233,0.6071822,-19.5,38.325,23.775002,38.27781,-91.75978,17.584663,-0.44805646,0.14767233,0.6071822,-0.61003685,-0.4220698,-0.7860365,9.085021,-3.0512567,-2.0790927,-19.5,38.325,23.775002,upstairs
436,upstairs,7.4865437,-4.098606,-1.6414764,-0.83899873,-0.12354386,0.71713465,-19.425001,37.95,22.800001,38.009617,-91.37256,18.205526,-0.83899873,-0.12354386,0.71713465,-0.3837223,-1.0457263,0.65042007,8.96941,-3.2378685,-2.2882915,-19.425001,37.95,22.800001,upstairs
454,upstairs,6.984051,-4.572385,1.5143577,-0.8402204,0.32115296,1.1031902,-18.825,38.100002,22.95,37.723793,-91.35649,18.918602,-0.8402204,0.32115296,1.1031902,-0.66926146,-1.1871624,2.9162107,8.830911,-3.8580983,-1.8167197,-18.825,38.100002,22.95,upstairs
474,upstairs,6.6275206,-6.7615185,1.0142577,-0.5714476,0.41766682,1.5820944,-18.900002,37.65,22.875,38.00379,-91.41267,19.795288,-0.5714476,0.41766682,1.5820944,-0.6699171,-2.4660184,2.3229508,8.659904,-4.356923,-1.4811065,-18.900002,37.65,22.875,upstairs
492,upstairs,3.7660038,-9.147162,1.4042878,-0.24647687,0.48363832,2.477749,-18.225,37.125,23.175001,38.720028,-91.38068,20.948599,-0.24647687,0.48363832,2.477749,-2.0125246,-3.7526116,2.400494,8.316592,-5.066221,-1.1567565,-18.225,37.125,23.175001,upstairs
511,upstairs,2.457429,-9.993923,2.4999015,-0.013133216,0.34070006,3.1008134,-16.725,36.0,22.650002,39.78541,-91.23509,22.596087,-0.013133216,0.34070006,3.1008134,-2.5757308,-4.8401504,2.8784163,7.757921,-5.941673,-0.8255817,-16.725,36.0,22.650002,upstairs
530,upstairs,7.1395845,-12.786048,2.0691934,0.8408313,-0.60000473,4.239433,-15.3,35.025,22.5,41.89571,-90.915276,26.677448,0.8408313,-0.60000473,4.239433,-2.5757308,-4.8401504,2.8784163,7.057543,-6.792076,-0.47872502,-15.3,35.025,22.5,upstairs
550,upstairs,14.137993,-13.709678,1.0070792,1.9159224,-1.7398458,4.1563573,-13.05,33.675003,21.675001,42.081734,-90.90766,28.547241,1.9159224,-1.7398458,4.1563573,7.8351984,-6.0384064,1.1405569,6.006254,-7.7517815,-0.07197509,-13.05,33.675003,21.675001,upstairs
567,upstairs,16.705193,-13.295719,-0.13429718,1.9159224,-1.7398458,4.1563573,-11.85,32.775,21.150002,41.53473,-91.056435,32.728256,1.9159224,-1.7398458,4.1563573,7.8351984,-6.0384064,1.1405569,6.006254,-7.7517815,-0.07197509,-11.85,32.775,21.150002,upstairs
588,upstairs,19.832312,-10.833803,-3.141776,1.8365123,-1.7251854,2.0646636,-7.8750005,30.975,19.5,40.022076,-91.22205,36.8184,1.8365123,-1.7251854,2.0646636,10.875214,-0.83331776,-3.4470518,5.9781685,-7.7734466,-0.07358081,-7.8750005,30.975,19.5,upstairs
607,upstairs,15.94906,-9.12802,-3.0867412,1.1560284,-2.0721467,0.37261683,-4.7250004,30.825,18.375,38.02377,-91.380104,40.093315,1.1560284,-2.0721467,0.37261683,7.4192996,-0.0037631989,-2.125021,6.1658106,-7.6220803,-0.23888703,-4.7250004,30.825,18.375,upstairs
626,upstairs,12.721441,-8.34796,-2.1128623,0.25808296,-2.5852582,-1.2131426,-2.8500001,31.95,17.550001,36.087315,-91.900764,42.115337,0.25808296,-2.5852582,-1.2131426,7.4192996,-0.0037631989,-2.125021,6.371706,-7.441826,-0.43701586,-2.8500001,31.95,17.550001,upstairs
645,upstairs,9.3765745,-7.2041907,-3.1369905,-0.4651602,-2.222415,-1.5234531,-1.125,33.825,16.800001,34.575172,-93.089455,42.8663,-0.4651602,-2.222415,-1.5234531,1.1779671,1.3713026,-1.8372991,6.7575965,-7.0284204,-1.0519512,-1.125,33.825,16.800001,upstairs
664,upstairs,7.12762,-6.606284,-2.225325,-0.84999394,-1.9548639,-1.5918679,-0.6,36.225002,17.175001,33.69225,-94.891655,42.615322,-0.84999394,-1.9548639,-1.5918679,-0.44763708,1.3150301,-1.0993667,6.904865,-6.820335,-1.4057931,-0.6,36.225002,17.175001,upstairs
684,upstairs,6.766304,-6.443572,-2.143969,-1.4571761,-1.49062,-1.711594,-0.3,36.675003,17.025002,33.622185,-97.136696,41.665367,-1.4571761,-1.49062,-1.711594,-1.4856958,1.4118156,-0.098259926,7.172011,-6.3584056,-2.0744462,-0.3,36.675003,17.025002,upstairs
703,upstairs,6.2087765,-6.1061845,-1.6414764,-1.9154643,-1.3366865,-1.8019994,0.0,37.800003,17.475,34.87945,-100.89176,39.345066,-1.9154643,-1.3366865,-1.8019994,-2.2283292,1.4143038,0.50915504,7.172011,-6.3584056,-2.0744462,0.0,37.800003,17.475,upstairs
722,upstairs,5.58425,-6.11097,-1.3019946,-2.2453218,-1.3354648,-1.8447587,-0.075,38.625,18.45,36.33604,-103.5079,37.35315,-2.2453218,-1.3354648,-1.8447587,-2.5970645,1.2107677,1.4069204,7.2931175,-6.0983987,-2.4063177,-0.075,38.625,18.45,upstairs
741,upstairs,5.486443,-7.000801,-0.66071814,-2.5641842,-1.3464601,-1.7018205,-0.82500005,38.25,19.2,37.19241,-104.843666,36.254005,-2.5641842,-1.3464601,-1.7018205,-3.0447354,0.51197433,1.9516833,7.449212,-5.5894027,-3.0721667,-0.82500005,38.25,19.2,upstairs
