elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
303,walking,0.0,0.0,0.0,-0.4007158,-0.05054761,-0.057266932,0.0,0.0,0.0,0.0,0.0,0.0,-0.4007158,-0.05054761,-0.057266932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
320,walking,2.8399813,-5.6730833,0.15523437,-0.20890976,0.5358658,0.84678704,-28.95,16.95,-17.625,-140.05646,-86.87155,63.371758,-0.20890976,0.5358658,0.84678704,0.2117784,0.08169079,0.4253512,4.4075203,-8.751308,0.39843023,-28.95,16.95,-17.625,walking
341,walking,5.445765,-5.436194,2.3252254,0.39476004,1.9359276,1.3843327,-28.875002,16.95,-17.85,-154.00195,-74.89751,59.927494,0.39476004,1.9359276,1.3843327,1.2619302,0.13104439,1.0278616,4.964649,-8.37138,1.2010994,-28.875002,16.95,-17.85,walking
360,walking,8.024929,-4.9121656,3.775276,0.76493347,2.5150108,1.2682716,-28.875002,17.025002,-18.525002,-155.52661,-73.67621,60.565784,0.76493347,2.5150108,1.2682716,3.4703627,0.658236,1.3896804,5.7217846,-7.672917,2.1349273,-28.875002,17.025002,-18.525002,walking
379,walking,8.393424,-5.165805,4.4285164,1.3049225,3.0537782,1.006829,-28.050001,17.85,-19.575,-158.57735,-70.79307,61.366356,1.3049225,3.0537782,1.006829,3.0674481,0.15906715,2.0692258,6.229875,-7.0353827,2.804004,-28.050001,17.85,-19.575,walking
396,walking,8.883654,-7.0678,5.677271,1.7496192,2.2926624,0.9359707,-27.45,18.225,-21.150002,-163.00269,-66.278,62.00951,1.7496192,2.2926624,0.9359707,3.0674481,0.15906715,2.0692258,6.341547,-6.5909495,3.5375924,-27.45,18.225,-21.150002,walking
417,walking,8.395817,-7.5702925,4.6746783,2.7929463,0.94269,0.5780142,-26.250002,18.075,-23.325,-167.52823,-60.712315,62.256233,2.7929463,0.94269,0.5780142,2.6015525,-1.711349,0.7537141,6.1822414,-6.2359443,4.366151,-26.250002,18.075,-23.325,walking
436,walking,8.474779,-6.955337,2.315654,2.7123146,-0.679873,0.37154785,-24.45,17.325,-25.875002,-173.61662,-51.75313,61.374855,2.7123146,-0.679873,0.37154785,2.4162416,-1.1771979,-1.4145229,6.2764564,-6.1070943,4.413602,-24.45,17.325,-25.875002,walking
456,walking,9.127721,-7.307082,-1.4380864,2.4252164,-1.392121,0.2677038,-23.925001,16.425001,-26.85,-175.15932,-49.226192,60.76244,2.4252164,-1.392121,0.2677038,2.3736086,-1.1910014,-3.9079223,6.9460917,-5.9915957,3.467415,-23.925001,16.425001,-26.85,walking
475,walking,11.953345,-6.0894346,-2.3832514,0.98743457,-3.4062371,-0.24189551,-23.025002,14.55,-28.575,-176.05911,-45.672546,59.31242,0.98743457,-3.4062371,-0.24189551,3.4960475,-1.1021357,-5.859949,6.9460917,-5.9915957,3.467415,-23.025002,14.55,-28.575,walking
495,walking,14.276776,-4.938487,-2.1798615,0.20188501,-3.7996228,-0.7831062,-22.95,12.900001,-29.7,-174.11833,-44.56745,57.93409,0.20188501,-3.7996228,-0.7831062,5.167774,-0.0632391,-5.075739,7.441777,-5.7877502,2.7004244,-22.95,12.900001,-29.7,walking
