elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
208,sit_to_stand,0.87495005,2.4060001,9.373051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
229,sit_to_stand,0.91800004,2.3830502,9.44205,0.0268125,-0.01155,0.051425,19.29375,-20.00625,-33.131252,-118.61216,-5.5572753,-14.188834,0.0268125,-0.01155,0.051425,-0.00367,-0.009581,-0.037719,0.883222,2.427561,9.453406,19.29375,-20.00625,-33.131252,sit_to_stand
249,sit_to_stand,0.88500005,2.3710501,9.483001,0.0235125,0.0396,0.051425,19.29375,-20.00625,-34.275,-118.860954,-5.489043,-14.033309,0.0235125,0.0396,0.051425,-2.08E-4,-5.45E-4,-0.002169,0.870354,2.408539,9.459461,19.29375,-20.00625,-34.275,sit_to_stand
269,sit_to_stand,0.83205,2.36295,9.507001,0.02035,0.0429,0.048125,19.3125,-20.831251,-34.256252,-118.555,-5.4675612,-14.034479,0.02035,0.0429,0.048125,-0.048484,-0.011138,0.036116,0.830381,2.387948,9.46827,19.3125,-20.831251,-34.256252,sit_to_stand
289,sit_to_stand,0.80805004,2.3389502,9.5140505,0.0171875,0.017324999,0.051425,19.3125,-20.831251,-34.256252,-118.697845,-5.4178486,-14.036904,0.0171875,0.017324999,0.051425,-0.0634,-0.027109,0.040974,0.814649,2.381452,9.471273,19.3125,-20.831251,-34.256252,sit_to_stand
308,sit_to_stand,0.79605,2.33205,9.528001,0.01925,-8.25E-4,0.0620125,19.29375,-20.00625,-34.275,-118.36488,-5.3828654,-14.027009,0.01925,-8.25E-4,0.0620125,-0.081047,-0.028223,0.055399,0.790317,2.377134,9.474419,19.29375,-20.00625,-34.275,sit_to_stand
328,sit_to_stand,0.80805004,2.31795,9.5140505,0.0416625,0.0012375,0.0790625,19.3125,-20.831251,-34.256252,-117.94194,-5.320351,-14.007557,0.0416625,0.0012375,0.0790625,-0.05353,-0.046384,0.053789,0.830994,2.367289,9.473403,19.3125,-20.831251,-34.256252,sit_to_stand
344,sit_to_stand,0.78705,2.32695,9.50205,0.0587125,0.0045375,0.09185,18.300001,-20.775002,-34.256252,-118.21979,-5.2804227,-14.014914,0.0587125,0.0045375,0.09185,-0.077933,-0.047077,0.034031,0.769832,2.370182,9.477847,18.300001,-20.775002,-34.256252,sit_to_stand
361,sit_to_stand,0.79905003,2.3710501,9.459001,0.061875,-0.003025,0.1035375,19.3125,-20.831251,-35.41875,-118.69212,-5.2525196,-14.046029,0.061875,-0.003025,0.1035375,-0.064173,-0.014723,-0.006526,0.802818,2.374554,9.474013,19.3125,-20.831251,-35.41875,sit_to_stand
378,sit_to_stand,0.89205,2.3749502,9.394051,0.0587125,-0.0072875,0.1035375,19.3125,-20.831251,-34.256252,-118.57417,-5.2411323,-14.057069,0.0587125,-0.0072875,0.1035375,-0.015668,-0.009984,-0.037697,0.854105,2.390403,9.465537,19.3125,-20.831251,-34.256252,sit_to_stand
