elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
236,sitting,2.76705,-3.5779502,8.86695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
259,sitting,2.673,-3.4699502,8.89395,0.02255,0.033275,-0.016775,15.01875,4.6875,-33.73125,-128.89745,-17.088417,20.23555,0.02255,0.033275,-0.016775,-0.028211,-0.081177,0.105142,2.694456,-3.507682,8.74506,15.01875,4.6875,-33.73125,sitting
280,sitting,2.6160002,-3.288,8.89605,0.0257125,0.0077,0.0077,15.01875,4.6875,-33.73125,-128.89745,-17.088417,20.23555,0.0257125,0.0077,0.0077,-0.085672,0.06008,0.112325,2.578164,-3.224341,8.888008,15.01875,4.6875,-33.73125,sitting
299,sitting,2.62995,-3.279,8.89095,0.0160875,-0.036025,0.02255,15.01875,4.6875,-33.73125,-128.8982,-17.087818,20.234428,0.0160875,-0.036025,0.02255,-0.066716,0.097932,0.096559,2.608435,-3.216993,8.881838,15.01875,4.6875,-33.73125,sitting
320,sitting,2.70705,-3.3240001,8.87205,0.0097624995,-0.0625625,0.02585,15.01875,4.6875,-33.73125,-128.9351,-17.077707,20.173275,0.0097624995,-0.0625625,0.02585,0.004779,0.03932,0.073948,2.78008,-3.214028,8.830695,15.01875,4.6875,-33.73125,sitting
340,sitting,2.76195,-3.3979502,8.84805,0.0055,-0.066825,0.0215875,15.01875,4.6875,-34.893753,-128.96219,-17.120926,20.119286,0.0055,-0.066825,0.0215875,0.038985,-0.037789,0.055335,2.75568,-3.425018,8.758735,15.01875,4.6875,-34.893753,sitting
359,sitting,2.7910502,-3.4630501,8.86305,0.0012375,-0.0616,0.016224999,15.01875,4.6875,-33.73125,-128.97156,-17.159363,20.112932,0.0012375,-0.0616,0.016224999,0.051498,-0.090653,0.079253,2.762691,-3.417808,8.759344,15.01875,4.6875,-33.73125,sitting
379,sitting,2.8189502,-3.4939501,8.887051,0.0064625,-0.0573375,0.0088,15.01875,4.6875,-33.73125,-128.97206,-17.164066,20.114378,0.0064625,-0.0573375,0.0088,0.065338,-0.110308,0.112272,2.774896,-3.425087,8.752641,15.01875,4.6875,-33.73125,sitting
399,sitting,2.841,-3.4660501,8.82705,0.014025,-0.0488125,-0.0039875,15.01875,4.6875,-33.73125,-128.9725,-17.170979,20.117075,0.014025,-0.0488125,-0.0039875,0.068509,-0.094578,0.089479,2.800547,-3.422659,8.745419,15.01875,4.6875,-33.73125,sitting
419,sitting,2.8459501,-3.42,8.80305,0.014025,-0.0243375,-0.014712499,15.01875,4.6875,-33.73125,-128.97212,-17.179943,20.120201,0.014025,-0.0243375,-0.014712499,0.056411,-0.045249,0.048438,2.824591,-3.414009,8.741065,15.01875,4.6875,-33.73125,sitting
