elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
213,upstairs,2.8650002,-6.4680004,-0.42105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
235,upstairs,1.7560501,-7.215,-1.5679501,-0.070125,2.0882125,1.3712875,-4.33125,29.1,30.112501,123.78022,-131.7564,71.92396,-0.070125,2.0882125,1.3712875,-0.511544,2.100988,0.456671,2.268339,-9.316328,-2.025013,-4.33125,29.1,30.112501,upstairs
254,upstairs,1.3060501,-7.9860005,-2.085,-0.45581248,3.439975,1.7004625,-5.3250003,29.156252,30.112501,145.61548,-147.93044,72.8725,-0.45581248,3.439975,1.7004625,-0.225649,1.379132,0.36014,1.833965,-9.386159,-2.139297,-5.3250003,29.156252,30.112501,upstairs
273,upstairs,1.2390001,-9.33405,-1.7910001,-0.9948125,4.1856375,2.276725,-5.3250003,29.156252,30.112501,148.49281,-149.10072,73.017586,-0.9948125,4.1856375,2.276725,-0.098237,0.051935,0.688993,1.396364,-9.458881,-2.149359,-5.3250003,29.156252,30.112501,upstairs
293,upstairs,1.03995,-10.80405,0.279,-1.3847625,3.657225,3.1246874,-4.33125,28.275002,30.13125,154.25037,-152.66257,73.25303,-1.3847625,3.657225,3.1246874,0.047772,-1.414003,2.902368,0.980136,-9.518332,-2.11676,-4.33125,28.275002,30.13125,upstairs
313,upstairs,2.19195,-11.304001,2.56605,-1.371975,1.8228375,4.3209376,-2.325,28.2,31.29375,163.99513,-160.0094,73.44249,-1.371975,1.8228375,4.3209376,1.820516,-1.933193,5.40856,0.340795,-9.543589,-2.200858,-2.325,28.2,31.29375,upstairs
334,upstairs,6.2569504,-13.33905,2.5129502,-0.90749997,0.152625,5.2339373,1.66875,28.0125,32.456253,176.906,-171.98726,73.32873,-0.90749997,0.152625,5.2339373,6.79012,-4.034252,5.541183,-0.507118,-9.513768,-2.295877,1.66875,28.0125,32.456253,upstairs
354,upstairs,10.255951,-15.460051,1.1700001,-0.306625,-0.2490125,5.2584124,4.6687503,27.88125,32.4375,-168.48137,173.12592,72.48847,-0.306625,-0.2490125,5.2584124,11.768858,-6.288625,4.272229,-1.405555,-9.415664,-2.325878,4.6687503,27.88125,32.4375,upstairs
374,upstairs,12.355051,-17.745,0.37305,0.382525,0.3570875,4.8461876,7.6687503,28.575,32.41875,-153.83945,158.67664,70.80682,0.382525,0.3570875,4.8461876,14.743806,-8.749779,3.443091,-2.22534,-9.270136,-2.269895,7.6687503,28.575,32.41875,upstairs
394,upstairs,12.516001,-19.67205,-1.05495,1.243275,1.4532375,4.64585,9.675,28.48125,31.275002,-141.07155,146.60658,68.54815,1.243275,1.4532375,4.64585,15.650576,-10.868423,1.894779,-2.959064,-9.096221,-2.131363,9.675,28.48125,31.275002,upstairs
415,upstairs,12.339001,-20.898,-5.7769504,1.7375875,2.780525,4.9644375,10.668751,28.425001,31.275002,-130.32048,137.00206,65.89521,1.7375875,2.780525,4.9644375,16.014956,-12.162477,-1.427355,-3.683642,-8.859327,-1.995766,10.668751,28.425001,31.275002,upstairs
