elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
250,downstairs,-1.401805,-13.04002,5.3444567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
271,downstairs,0.09995792,-9.825804,2.9131448,1.3161333,0.013448954,3.0565076,-2.11875,6.7875004,-38.8875,179.10277,-0.954382,73.3818,1.3161333,0.013448954,3.0565076,0.3670425,0.28790474,-0.37310147,-0.35437614,-9.297888,3.0974355,-2.11875,6.7875004,-38.8875,downstairs
291,downstairs,0.45070848,-9.006389,2.6138697,1.1547458,-0.23409168,3.0353355,-1.8937501,6.0937505,-39.037502,-170.39311,-10.09311,73.51143,1.1547458,-0.23409168,3.0353355,0.7983443,0.7685385,-0.6982169,-0.47412792,-9.287977,3.1111197,-1.8937501,6.0937505,-39.037502,downstairs
312,downstairs,0.97264445,-8.349778,2.6138697,1.0146636,-0.45966128,2.9831376,-1.5562501,5.25,-39.037502,-155.08698,-23.895754,70.79034,1.0146636,-0.45966128,2.9831376,1.2701596,1.0028772,-0.70048785,-0.5357039,-9.260154,3.1832333,-1.5562501,5.25,-39.037502,downstairs
332,downstairs,1.441908,-7.876325,2.5127146,0.84195775,-0.7775093,2.6955166,-1.21875,4.2562504,-39.0,-145.02379,-33.615875,69.15304,0.84195775,-0.7775093,2.6955166,2.1112516,1.1968365,-0.81081414,-0.49141046,-9.198858,3.3630223,-1.21875,4.2562504,-39.0,downstairs
352,downstairs,1.7669208,-7.678205,2.4259248,0.7388935,-0.81985354,2.4988422,-1.3875,3.4687502,-39.075,-140.38794,-37.76323,67.35826,0.7388935,-0.81985354,2.4988422,2.2913084,1.148552,-0.8303685,-0.44363376,-9.17526,3.4333944,-1.3875,3.4687502,-39.075,downstairs
372,downstairs,2.1571758,-6.9246297,2.6024973,0.6436856,-0.79655087,2.2742047,-1.5562501,3.05625,-39.28125,-147.88875,-32.85124,68.06151,0.6436856,-0.79655087,2.2742047,2.4354162,1.3589001,-0.7525737,-0.38561115,-9.1463175,3.5166173,-1.5562501,3.05625,-39.28125,downstairs
392,downstairs,2.2864625,-6.6145806,3.004723,0.5853624,-0.67218137,2.0271966,-1.9875001,2.53125,-39.54375,-154.08344,-27.789095,68.59714,0.5853624,-0.67218137,2.0271966,2.5119798,1.4506006,-0.45213342,-0.31932718,-9.10398,3.631248,-1.9875001,2.53125,-39.54375,downstairs
413,downstairs,2.5899277,-6.187216,3.1441853,0.6178529,-0.3917507,1.7801887,-2.3625002,2.3812501,-39.768753,-159.70177,-22.824291,68.69684,0.6178529,-0.3917507,1.7801887,2.9521997,1.8255005,-0.41714883,-0.13479397,-8.9864235,3.9238262,-2.3625002,2.3812501,-39.768753,downstairs
432,downstairs,3.1244333,-5.6179943,2.6952724,0.8269109,0.101865835,1.2397006,-2.625,1.85625,-40.425003,-164.46696,-18.31177,68.3465,0.8269109,0.101865835,1.2397006,3.4656045,2.2116241,-1.1931069,0.03737845,-8.941191,4.027916,-2.625,1.85625,-40.425003,downstairs
452,downstairs,4.006098,-4.4568067,0.51834464,0.81958723,0.07403582,0.9319725,-2.68125,1.3125,-40.36875,-167.96393,-14.969004,67.73214,0.81958723,0.07403582,0.9319725,3.6918237,2.5298748,-2.267264,0.26347154,-8.924809,4.0557046,-2.68125,1.3125,-40.36875,downstairs
472,downstairs,3.815759,-4.4759603,-0.23642741,0.67404556,-0.078030564,0.60600185,-2.7562501,1.0125,-40.65,-170.00397,-13.189594,67.15956,0.67404556,-0.078030564,0.60600185,3.570818,2.6928349,-3.0831008,0.5283086,-8.935733,4.0054917,-2.7562501,1.0125,-40.65,downstairs
492,downstairs,3.3500867,-5.0122614,-0.4165911,0.40173754,-0.19241324,0.3218428,-2.4562502,0.54375005,-41.006252,-170.78207,-12.725684,66.88467,0.40173754,-0.19241324,0.3218428,2.4776204,1.3254423,-3.105667,1.0144817,-9.029793,3.6883674,-2.4562502,0.54375005,-41.006252,downstairs
512,downstairs,3.151368,-5.847239,-0.142455,-0.27137592,-0.34634385,-0.1865543,-2.4,0.375,-40.875,-170.37349,-13.457665,67.00316,-0.27137592,-0.34634385,-0.1865543,2.136299,0.3873515,-2.2858036,1.2451817,-9.08094,3.4866076,-2.4,0.375,-40.875,downstairs
532,downstairs,2.8987796,-7.4788876,1.9662381,-0.53156656,-0.43595913,-0.43569282,-2.4375,0.46875003,-40.93125,-168.81702,-15.371965,67.4211,-0.53156656,-0.43595913,-0.43569282,1.868293,-0.43646765,-1.019566,1.4722686,-9.111518,3.3140702,-2.4375,0.46875003,-40.93125,downstairs
552,downstairs,2.545635,-7.9068513,3.0466216,-0.690424,-0.52304447,-0.70520455,-2.6625001,0.46875003,-40.59375,-166.06075,-18.520168,67.92156,-0.690424,-0.52304447,-0.70520455,1.490799,-0.86243486,0.1585598,1.6953874,-9.118288,3.1863585,-2.6625001,0.46875003,-40.59375,downstairs
573,downstairs,1.95307,-8.412626,3.9707835,-0.76153034,-0.56645393,-0.96512884,-3.2250001,1.0125,-40.21875,-162.19495,-22.747938,68.2931,-0.76153034,-0.56645393,-0.96512884,0.79029846,-1.3054409,1.2455721,1.8941501,-9.107077,3.105436,-3.2250001,1.0125,-40.21875,downstairs
592,downstairs,1.401805,-8.423999,4.2119994,-0.7804388,-0.5147886,-1.4093438,-3.24375,1.725,-39.975002,-157.42558,-27.784208,68.40598,-0.7804388,-0.5147886,-1.4093438,-0.74755764,-1.3324447,1.8149252,2.2344463,-9.063278,3.0057652,-3.24375,1.725,-39.975002,downstairs
612,downstairs,0.55126494,-8.426393,4.131195,-0.87711143,-0.45340285,-1.5118754,-3.7687502,2.3625002,-39.91875,-152.0341,-33.32507,68.35053,-0.87711143,-0.45340285,-1.5118754,-1.7908902,-1.5385346,1.8367739,2.3527822,-9.054287,2.9418838,-3.7687502,2.3625002,-39.91875,downstairs
632,downstairs,-0.587178,-10.1226845,4.466982,-1.0539452,-0.42397493,-1.5158702,-4.0125003,3.3937502,-39.693752,-146.2736,-39.160057,68.27728,-1.0539452,-0.42397493,-1.5158702,-2.439176,-2.2839751,2.0420156,2.4333751,-9.061157,2.8538554,-4.0125003,3.3937502,-39.693752,downstairs
652,downstairs,-0.1436521,-11.950059,5.203199,-1.3255874,-0.5155876,-1.4590117,-4.2937503,4.0687504,-39.43125,-140.01389,-45.62386,68.31893,-1.3255874,-0.5155876,-1.4590117,-2.480992,-3.7223873,2.5962558,2.4955242,-9.0825815,2.729369,-4.2937503,4.0687504,-39.43125,downstairs
671,downstairs,0.7080852,-13.922283,6.273407,-1.6357123,-0.7973498,-1.4242575,-5.1375003,4.93125,-38.5875,-132.87885,-53.38879,68.3705,-1.6357123,-0.7973498,-1.4242575,-1.1848323,-7.0740275,4.8781366,2.6899319,-9.125765,2.378043,-5.1375003,4.93125,-38.5875,downstairs
692,downstairs,1.483208,-15.699978,7.4896617,-2.246641,-1.5780549,-1.6082817,-5.9625,6.2625003,-37.575,-124.64392,-62.740135,68.1349,-2.246641,-1.5780549,-1.6082817,-0.7550303,-8.315281,6.1944623,2.83754,-9.134849,2.161781,-5.9625,6.2625003,-37.575,downstairs
711,downstairs,1.1546037,-16.889896,9.592968,-2.5924523,-1.6679366,-1.8189377,-7.2937503,7.74375,-36.975002,-115.39144,-73.208145,67.28883,-2.5924523,-1.6679366,-1.8189377,-1.187613,-8.569933,7.2780724,2.9996831,-9.136398,1.9231517,-7.2937503,7.74375,-36.975002,downstairs
732,downstairs,-0.17298107,-16.625935,12.3355255,-3.0138972,-1.479518,-1.9788604,-8.700001,9.50625,-35.625,-105.65001,-83.78392,65.72055,-3.0138972,-1.479518,-1.9788604,-2.5130525,-8.048048,9.165702,3.14348,-9.133584,1.6930927,-8.700001,9.50625,-35.625,downstairs
751,downstairs,-1.8357542,-15.808914,15.729905,-3.059171,-1.2346406,-1.9656777,-10.40625,11.325001,-34.818752,-97.76803,-92.272026,63.63071,-3.059171,-1.2346406,-1.9656777,-6.0741796,-5.8560076,14.913883,3.270555,-9.109013,1.5810565,-10.40625,11.325001,-34.818752,downstairs
772,downstairs,-3.4494462,-13.924079,16.200964,-1.9053571,-0.65380555,-1.4787191,-12.093751,12.637501,-34.0125,-92.89654,-97.61419,61.609146,-1.9053571,-0.65380555,-1.4787191,-6.8460236,-3.4648972,13.269191,3.2680738,-9.098347,1.6462605,-12.093751,12.637501,-34.0125,downstairs
792,downstairs,-3.3506854,-9.864111,11.246164,-1.6359786,0.29667592,-1.4250565,-13.14375,13.8,-33.075,-89.61369,-100.28977,59.66739,-1.6359786,0.29667592,-1.4250565,-6.5309744,-1.3769894,10.414499,3.2724,-9.083336,1.7189493,-13.14375,13.8,-33.075,downstairs
812,downstairs,-3.638588,-8.811261,10.338163,-1.5736607,1.1788474,-1.4046832,-13.837501,14.55,-32.9625,-86.82973,-101.25338,57.735146,-1.5736607,1.1788474,-1.4046832,-6.780195,-0.13017464,8.780147,3.2622578,-9.070487,1.8039759,-13.837501,14.55,-32.9625,downstairs
832,downstairs,-3.696049,-8.08462,10.331579,-1.4835128,1.5863107,-1.2876375,-13.8,15.243751,-32.775,-84.43766,-101.44976,56.017326,-1.4835128,1.5863107,-1.2876375,-6.9594326,0.65404797,8.373746,3.2278595,-9.060479,1.9128579,-13.8,15.243751,-32.775,downstairs
852,downstairs,-3.115455,-7.5165963,10.210671,-0.96326464,0.8865657,-0.88949513,-13.218751,16.03125,-32.550003,-82.68818,-101.58495,54.66194,-0.96326464,0.8865657,-0.88949513,-5.771902,1.6635551,7.7334175,3.1415758,-9.034754,2.1619675,-13.218751,16.03125,-32.550003,downstairs
872,downstairs,-2.308609,-7.1724296,9.493608,-0.7041393,0.41398808,-0.817723,-12.825001,16.78125,-32.4375,-81.59571,-101.875206,53.54177,-0.7041393,0.41398808,-0.817723,-5.0269213,1.7781339,6.7909107,3.1273124,-9.013516,2.2686641,-12.825001,16.78125,-32.4375,downstairs
893,downstairs,-1.3042414,-6.9605427,7.5566993,-0.51612025,0.16791219,-0.88550043,-12.50625,17.1375,-31.893751,-81.01766,-102.12879,52.40168,-0.51612025,0.16791219,-0.88550043,-4.508709,1.8089938,5.7131476,3.1457303,-8.983833,2.3591335,-12.50625,17.1375,-31.893751,downstairs
911,downstairs,-1.2886791,-6.938995,6.6732388,-0.4354265,0.16205323,-1.0572742,-12.543751,17.325,-31.3875,-80.70457,-102.15334,51.03688,-0.4354265,0.16205323,-1.0572742,-4.3821526,1.8166413,4.685752,3.1949377,-8.946305,2.4344168,-12.543751,17.325,-31.3875,downstairs
931,downstairs,-1.4616601,-6.9838862,6.022016,-0.43662494,0.27537066,-1.2650006,-12.900001,17.15625,-31.368752,-80.45908,-101.9472,49.38287,-0.43662494,0.27537066,-1.2650006,-4.9444494,1.6442719,3.2554696,3.3598309,-8.855388,2.5424457,-12.900001,17.15625,-31.368752,downstairs
951,downstairs,-2.0147207,-6.9228344,5.507262,-0.55367076,0.33902016,-1.540238,-12.937501,17.081251,-31.125002,-80.13785,-101.76271,47.526722,-0.55367076,0.33902016,-1.540238,-5.7273355,1.5015717,2.9314816,3.451085,-8.811666,2.5719538,-12.937501,17.081251,-31.125002,downstairs
967,downstairs,-2.724003,-6.899491,5.3755813,-0.628905,0.19174746,-1.5026876,-13.06875,16.96875,-31.181252,-79.91409,-101.771965,46.580097,-0.628905,0.19174746,-1.5026876,-5.7273355,1.5015717,2.9314816,3.451085,-8.811666,2.5719538,-13.06875,16.96875,-31.181252,downstairs
987,downstairs,-3.0603883,-6.7564373,5.4521956,-0.68363297,0.036218964,-1.405349,-13.406251,16.931252,-31.48125,-79.07302,-102.25482,43.929203,-0.68363297,0.036218964,-1.405349,-6.6274376,1.430932,3.0508184,3.6062706,-8.746845,2.5802934,-13.406251,16.931252,-31.48125,downstairs
1005,downstairs,-3.4344823,-6.523601,5.2648497,-0.7286403,-0.09054741,-1.3013527,-13.781251,16.9125,-31.331251,-78.73624,-102.540306,43.098198,-0.7286403,-0.09054741,-1.3013527,-6.834654,1.5760007,2.9649785,3.667469,-8.726987,2.5612001,-13.781251,16.9125,-31.331251,downstairs
1021,downstairs,-3.7301662,-6.559514,5.3636103,-0.8123967,-0.22437115,-1.2036147,-14.118751,17.1375,-30.956251,-77.95042,-103.32099,41.529007,-0.8123967,-0.22437115,-1.2036147,-7.0097437,1.6143017,2.9152486,3.7196271,-8.716621,2.5209668,-14.118751,17.1375,-30.956251,downstairs
1037,downstairs,-3.7301662,-6.559514,5.3636103,-0.8874978,-0.3416833,-1.0631331,-14.625001,17.081251,-30.712502,-77.01806,-104.35217,40.12828,-0.8874978,-0.3416833,-1.0631331,-7.447754,1.52178,3.231696,3.750024,-8.718767,2.4679549,-14.625001,17.081251,-30.712502,downstairs
1056,downstairs,-4.5286326,-5.9843073,6.0585275,-0.9438236,-0.47750443,-0.87071985,-14.925,17.325,-30.2625,-75.97381,-105.64559,38.9907,-0.9438236,-0.47750443,-0.87071985,-7.807667,1.835423,3.6185062,3.755981,-8.73329,2.4067907,-14.925,17.325,-30.2625,downstairs
1072,downstairs,-4.8638206,-5.501277,6.645107,-0.9342362,-0.6394245,-0.61998343,-15.618751,17.643751,-29.75625,-75.453354,-106.365456,38.565784,-0.9342362,-0.6394245,-0.61998343,-8.101179,2.2046738,4.2410045,3.730996,-8.759892,2.3482618,-15.618751,17.643751,-29.75625,downstairs
1091,downstairs,-4.973954,-4.875193,7.074866,-0.835433,-0.77577823,-0.3214433,-16.1625,18.09375,-29.118752,-74.478035,-107.89208,38.04068,-0.835433,-0.77577823,-0.3214433,-8.260706,2.7276578,4.837387,3.6694853,-8.7969,2.3064752,-16.1625,18.09375,-29.118752,downstairs
1111,downstairs,-4.921282,-4.4556093,7.4268136,-0.46591967,-0.92970884,0.30479857,-16.5,18.75,-28.29375,-73.65342,-109.43132,37.997738,-0.46591967,-0.92970884,0.30479857,-7.862588,3.5469885,5.519875,3.4371662,-8.890817,2.3042686,-16.5,18.75,-28.29375,downstairs
1127,downstairs,-4.7046065,-4.2173862,7.626131,-0.2311622,-0.93263835,0.6056024,-16.743752,19.087502,-28.06875,-73.30716,-110.18534,38.16654,-0.2311622,-0.93263835,0.6056024,-7.862588,3.5469885,5.519875,3.2658465,-8.942149,2.3542743,-16.743752,19.087502,-28.06875,downstairs
1147,downstairs,-4.3394904,-4.3329067,7.767389,0.02210422,-0.8763125,0.86672515,-17.23125,19.575,-27.468752,-72.78498,-111.553604,38.87108,0.02210422,-0.8763125,0.86672515,-6.723357,3.3365955,5.6685076,3.0626025,-8.990097,2.4431574,-17.23125,19.575,-27.468752,downstairs
1167,downstairs,-3.252523,-5.179257,7.617751,0.24967116,-0.7901593,1.0566083,-17.79375,19.96875,-27.056252,-72.49407,-112.67782,39.991447,0.24967116,-0.7901593,1.0566083,-5.934693,2.917451,5.4230347,2.8383386,-9.02989,2.5642366,-17.79375,19.96875,-27.056252,downstairs
