elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
283,sit_to_stand,7.1365166,-5.9729347,1.0606314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
303,sit_to_stand,7.1365166,-5.9729347,1.0606314,-0.28415906,-0.083889514,0.023169484,0.0,0.0,0.0,0.0,0.0,0.0,-0.28415906,-0.083889514,0.023169484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
323,sit_to_stand,7.740454,-6.0303955,0.5422867,-0.3028012,-0.057657395,-0.09400952,-24.13125,8.400001,34.818752,97.794464,-86.58649,37.37018,-0.3028012,-0.057657395,-0.09400952,0.02687931,0.062203407,-0.10129976,7.679101,-6.065557,0.6409474,-24.13125,8.400001,34.818752,sit_to_stand
342,sit_to_stand,7.9702973,-6.132149,0.42197806,-0.34354752,0.021438431,-0.05339634,-23.737501,8.587501,35.006252,99.836205,-87.21021,37.828365,-0.34354752,0.021438431,-0.05339634,0.13973093,-0.041775227,-0.09344709,7.730458,-6.0126038,0.50893104,-23.737501,8.587501,35.006252,sit_to_stand
362,sit_to_stand,7.900267,-6.196194,0.48243165,-0.36272228,0.03701791,-0.040213704,-23.325,8.775001,35.30625,99.07787,-85.453445,38.519524,-0.36272228,0.03701791,-0.040213704,0.055126667,-0.08993006,-0.0013942719,7.7295556,-6.0164003,0.47674376,-23.325,8.775001,35.30625,sit_to_stand
382,sit_to_stand,7.9170265,-6.291962,0.81402856,-0.32543805,0.056458972,-0.05206476,-23.268751,8.493751,35.550003,97.162,-85.50187,38.515953,-0.32543805,0.056458972,-0.05206476,0.058810234,-0.14127159,0.29667592,7.712077,-6.0362673,0.5076759,-23.268751,8.493751,35.550003,sit_to_stand
403,sit_to_stand,7.8829093,-6.0531406,0.7368156,-0.20200062,0.040080544,-0.06511424,-23.025002,8.45625,35.775,97.46673,-85.628456,38.4355,-0.20200062,0.040080544,-0.06511424,0.016168118,0.08049059,0.20869726,7.7228165,-6.0216174,0.518274,-23.025002,8.45625,35.775,sit_to_stand
422,sit_to_stand,7.856573,-5.9280434,0.6027403,-0.17297219,0.07962846,-0.047936864,-23.362501,8.306251,36.018753,97.679214,-85.64231,38.12735,-0.17297219,0.07962846,-0.047936864,-0.01288414,0.18080997,0.07521701,7.735735,-6.004974,0.5187269,-23.362501,8.306251,36.018753,sit_to_stand
442,sit_to_stand,7.920019,-5.8933277,0.6063316,-0.15752587,0.08988162,-0.055660024,-23.90625,8.325001,36.225002,97.9361,-85.72826,37.917187,-0.15752587,0.08988162,-0.055660024,0.041666508,0.19106579,0.07541138,7.7505937,-5.98545,0.52257484,-23.90625,8.325001,36.225002,sit_to_stand
462,sit_to_stand,7.7703815,-5.9226565,0.5327099,-0.1764343,0.10013478,-0.06511424,-23.98125,8.137501,36.24375,98.13026,-85.662254,37.83573,-0.1764343,0.10013478,-0.06511424,-0.10392332,0.14197016,0.005773902,7.75862,-5.9753184,0.51940775,-23.98125,8.137501,36.24375,sit_to_stand
