elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
327,standing,-0.80325466,-9.336189,2.8413188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
350,standing,-0.30885202,-9.436746,3.7594953,-0.13222586,-0.4542018,0.123970054,47.006252,-37.5,-24.956251,-132.21533,4.31614,67.52056,-0.13222586,-0.4542018,0.123970054,0.10376543,-0.16961384,0.19940734,-0.9825475,-9.504476,2.2067947,47.006252,-37.5,-24.956251,standing
372,standing,-0.86251116,-9.157822,3.7594953,-0.0075900033,0.054594763,0.030093698,47.04375,-37.612503,-24.45,-143.87283,19.15847,67.88396,-0.0075900033,0.054594763,0.030093698,0.41822284,-0.00564003,0.8232782,-0.72411394,-9.340345,2.8989642,47.04375,-37.612503,-24.45,standing
394,standing,-2.3415294,-9.102157,2.0775685,0.036085807,0.43462756,-0.050999496,47.550003,-37.800003,-24.112501,-158.90826,41.326622,70.3397,0.036085807,0.43462756,-0.050999496,-0.52445173,0.31638432,0.30534887,-0.8713879,-9.298776,2.9906256,47.550003,-37.800003,-24.112501,standing
413,standing,-2.5929205,-9.309255,1.661576,-0.064847924,0.28988487,-0.0117179,48.506252,-38.025,-22.800001,-170.59348,55.410053,72.33209,-0.064847924,0.28988487,-0.0117179,-1.02545,0.28219414,-0.49400902,-1.0937827,-9.302853,2.9036124,48.506252,-38.025,-22.800001,standing
434,standing,-2.3666685,-9.540894,1.9165585,-0.14460954,0.042477388,0.052996866,49.406254,-38.49375,-22.06875,-170.90251,55.533733,72.45511,-0.14460954,0.042477388,0.052996866,-1.2674488,0.100969315,-0.99572337,-1.3212161,-9.326483,2.7279108,49.406254,-38.49375,-22.06875,standing
453,standing,-2.195483,-9.137471,2.1278467,-0.15046848,-0.27750117,0.009321057,50.11875,-38.925003,-21.768751,-171.10759,55.58813,72.49486,-0.15046848,-0.27750117,0.009321057,-0.99423325,-0.15608406,-0.8211417,-1.4673973,-9.344815,2.586804,50.11875,-38.925003,-21.768751,standing
475,standing,-1.8489223,-9.154829,2.2098482,-0.1992043,-0.3499391,0.03728423,50.250004,-39.318752,-21.900002,-171.61705,55.72065,72.595955,-0.1992043,-0.3499391,0.03728423,-0.63760614,0.38299084,-0.30473566,-1.6149255,-9.35083,2.4747462,50.250004,-39.318752,-21.900002,standing
494,standing,-1.3640964,-9.44752,2.3582888,-0.22956431,-0.41878176,0.07709846,49.95,-40.10625,-22.35,-172.40976,56.018574,72.678276,-0.22956431,-0.41878176,0.07709846,-0.4080621,0.2513733,-0.24249458,-1.6533012,-9.355212,2.432486,49.95,-40.10625,-22.35,standing
514,standing,-1.0103531,-9.646238,2.4331074,-0.19893798,-0.42796966,0.09507478,50.081253,-40.55625,-22.331251,-173.16231,56.256153,72.71989,-0.19893798,-0.42796966,0.09507478,0.0933162,-0.03199005,-0.08758378,-1.6416161,-9.364941,2.4027834,50.081253,-40.55625,-22.331251,standing
