elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
292,downstairs,0.0,0.0,0.0,-0.6127929,-1.8144103,-0.3087933,0.0,0.0,0.0,0.0,0.0,0.0,-0.6127929,-1.8144103,-0.3087933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
310,downstairs,-13.18008,-15.646707,-0.7966706,-0.6127929,-1.8144103,-0.3087933,0.0,0.0,0.0,0.0,0.0,0.0,-0.6127929,-1.8144103,-0.3087933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
332,downstairs,-5.2486887,-6.161478,5.1505265,-0.73809457,1.396028,-0.46299022,-2.7,40.74375,-27.243752,43.57859,50.843727,39.505424,-0.73809457,1.396028,-0.46299022,1.547852,1.0735354,0.75587463,-6.444645,-6.757951,2.9945028,-2.7,40.74375,-27.243752,downstairs
355,downstairs,-8.389283,-8.388684,3.9043443,0.15859112,-0.28935224,-0.19241324,-2.53125,40.612503,-26.400002,47.071487,67.89053,44.170544,0.15859112,-0.28935224,-0.19241324,-0.41974258,-0.021982193,0.6854358,-6.175093,-6.656688,3.705012,-2.53125,40.612503,-26.400002,downstairs
375,downstairs,-7.7943234,-8.69155,2.8832173,0.553005,-0.8624641,0.080560565,-2.8125,40.537502,-26.118752,49.881245,74.240395,50.72937,0.553005,-0.8624641,0.080560565,-1.3720555,-0.99404144,-0.3271525,-6.2401133,-6.647208,3.6119244,-2.8125,40.537502,-26.118752,downstairs
395,downstairs,-5.083489,-7.3938932,0.66379243,0.802543,-0.9380978,0.15100113,-3.6000001,40.40625,-26.5125,50.005566,77.93858,53.756485,0.802543,-0.9380978,0.15100113,0.8570461,-0.44358206,-2.3734524,-6.1673446,-6.8194785,3.4101272,-3.6000001,40.40625,-26.5125,downstairs
415,downstairs,-4.2730513,-6.3823433,-0.12569559,0.8775109,-0.3395528,0.13875058,-3.6562502,40.21875,-27.112501,51.67269,76.049866,53.38939,0.8775109,-0.3395528,0.13875058,1.7226377,0.28955555,-3.0311978,-6.118028,-6.927128,3.2794852,-3.6562502,40.21875,-27.112501,downstairs
435,downstairs,-3.6822822,-5.412093,-0.825401,0.70493823,0.06844319,0.17150745,-4.2000003,39.825,-27.91875,52.988968,75.01933,53.007668,0.70493823,0.06844319,0.17150745,2.2175016,1.1144967,-3.4888585,-6.1099734,-7.0132294,3.1069634,-4.2000003,39.825,-27.91875,downstairs
455,downstairs,-3.0585926,-4.5100775,-1.1881226,0.46032706,0.5215797,0.20453063,-3.73125,39.787502,-28.743752,53.72807,75.085106,52.662594,0.46032706,0.5215797,0.20453063,2.5520043,1.8114538,-3.7817383,-6.14455,-7.082725,2.872263,-3.73125,39.787502,-28.743752,downstairs
474,downstairs,-2.372654,-3.105878,-1.2413936,0.21105535,0.9403615,0.21997695,-3.5062501,39.318752,-29.437502,53.910885,76.138,52.384144,0.21105535,0.9403615,0.21997695,2.9297612,2.4177523,-3.6832457,-6.202496,-7.1400995,2.5919914,-3.5062501,39.318752,-29.437502,downstairs
494,downstairs,-2.2266076,-2.6234465,-0.99179804,-0.17843166,1.1046784,0.26911223,-2.79375,39.112503,-29.550001,53.638985,77.694855,52.14043,-0.17843166,1.1046784,0.26911223,3.1412413,3.2056499,-2.9242694,-6.359427,-7.198773,1.9762934,-2.79375,39.112503,-29.550001,downstairs
516,downstairs,-2.088941,-2.4426842,-0.5722142,-0.2837596,0.7837677,0.29308066,-1.8937501,39.075,-29.531252,53.083904,79.13425,51.891804,-0.2837596,0.7837677,0.29308066,3.1234317,3.363395,-2.3490858,-6.4333005,-7.2003336,1.7141244,-1.8937501,39.075,-29.531252,downstairs
535,downstairs,-2.4486697,-2.873042,-0.12030864,-0.34887385,0.5127913,0.35459962,-1.1812501,38.90625,-29.23125,52.36559,80.30184,51.57215,-0.34887385,0.5127913,0.35459962,3.0302196,3.2377982,-1.7121476,-6.4912558,-7.1906586,1.5259156,-1.1812501,38.90625,-29.23125,downstairs
555,downstairs,-4.496909,-5.1505265,1.8950106,-0.3791007,0.6351634,0.50080705,-0.112500004,39.206253,-28.931252,51.554203,81.805855,51.0297,-0.3791007,0.6351634,0.50080705,2.4875126,2.4940503,-1.0743864,-6.5466256,-7.169745,1.3808825,-0.112500004,39.206253,-28.931252,downstairs
575,downstairs,-5.7885814,-6.4350157,3.6254199,-0.35699648,1.148221,0.71159613,0.675,39.3375,-28.7625,50.872578,83.90017,50.1928,-0.35699648,1.148221,0.71159613,0.36317062,-0.06473684,1.2621349,-6.7118273,-7.0530014,1.1734271,0.675,39.3375,-28.7625,downstairs
595,downstairs,-7.3322425,-7.0341644,4.955399,0.20519641,0.7483477,0.73516506,1.6875001,39.525,-28.875002,50.919426,85.05399,49.31596,0.20519641,0.7483477,0.73516506,-0.8056159,-1.2415013,2.9512384,-6.794711,-6.962769,1.2337506,1.6875001,39.525,-28.875002,downstairs
615,downstairs,-8.887277,-6.7480574,4.6112323,0.5364934,-0.54581445,0.5316997,2.15625,39.3375,-29.175001,51.761963,83.897255,48.65234,0.5364934,-0.54581445,0.5316997,-2.2364311,-1.7179675,3.8447235,-6.866358,-6.841603,1.4886179,2.15625,39.3375,-29.175001,downstairs
635,downstairs,-9.045893,-5.7879825,2.961029,0.58456343,-1.7076176,0.25646222,2.3625002,38.9625,-29.643751,52.72148,81.03091,48.34949,0.58456343,-1.7076176,0.25646222,-3.480842,-1.2436495,2.9912462,-6.9323173,-6.6917076,1.8260388,2.3625002,38.9625,-29.643751,downstairs
654,downstairs,-6.0483522,-7.4226236,-0.52612585,0.45832968,-2.62188,-0.032756858,1.95,38.5125,-30.35625,53.486435,77.195404,48.423695,0.45832968,-2.62188,-0.032756858,-1.7048016,-0.46704292,-1.3943152,-6.878221,-6.5583816,2.4182851,1.95,38.5125,-30.35625,downstairs
675,downstairs,-5.1200004,-9.977237,-1.6160861,0.18176061,-2.5257401,-0.4376902,0.80625004,38.2125,-30.6,54.07876,73.548904,48.78048,0.18176061,-2.5257401,-0.4376902,-0.35447788,-2.3029943,-2.8653183,-6.7012296,-6.6703396,2.6020143,0.80625004,38.2125,-30.6,downstairs
695,downstairs,-4.623802,-11.934497,-2.1218612,0.08562057,-1.1748526,-0.6182524,-0.91875005,38.04375,-31.087502,54.59038,71.57311,49.411358,0.08562057,-1.1748526,-0.6182524,0.36972237,-4.5795894,-3.8949378,-6.4750023,-6.8871875,2.6098626,-0.91875005,38.04375,-31.087502,downstairs
716,downstairs,-4.2173862,-13.776237,-1.958457,0.14833796,0.5910882,-0.79801565,-2.1937501,37.74375,-31.25625,55.371323,71.836685,50.248215,0.14833796,0.5910882,-0.79801565,0.733623,-6.2090845,-4.192737,-6.2551746,-7.153547,2.4227946,-2.1937501,37.74375,-31.25625,downstairs
735,downstairs,-5.228338,-16.270994,-0.3561375,0.40080544,2.022403,-0.89961517,-2.9625,37.59375,-31.575,56.77754,73.349,51.06243,0.40080544,2.022403,-0.89961517,0.9969225,-7.6241264,-3.6984534,-6.041179,-7.4325995,2.1049953,-2.9625,37.59375,-31.575,downstairs
755,downstairs,-6.7318964,-17.939753,1.7441759,1.0833731,1.6684692,-0.43782336,-2.9437501,37.0875,-32.006252,58.885056,74.018654,51.448914,1.0833731,1.6684692,-0.43782336,-0.27454948,-9.327599,-1.536241,-5.6520686,-7.8546076,1.5904858,-2.9437501,37.0875,-32.006252,downstairs
774,downstairs,-8.262989,-18.624495,1.3275849,0.33768857,1.7672724,-0.09853689,-1.9875001,36.787502,-32.362503,60.02375,75.09649,51.439465,0.33768857,1.7672724,-0.09853689,-1.8242726,-10.703134,0.5053719,-5.5242357,-7.9579453,1.5245742,-1.9875001,36.787502,-32.362503,downstairs
