elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
113,downstairs,3.317765,9.0842,-0.3585317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
132,downstairs,2.8161798,9.904813,-0.39504328,-0.9818785,-2.269479,-0.48947456,-34.3125,-34.162502,-15.0375,0.0,0.0,0.0,-0.9818785,-2.269479,-0.48947456,0.0,0.0,0.0,2.807265,9.388857,-0.37284118,-34.3125,-34.162502,-15.0375,downstairs
150,downstairs,1.620276,11.152191,0.623091,-0.5585816,-1.383205,-0.41211203,-34.068752,-33.693752,-13.931251,-31.996508,-93.7735,-76.301895,-0.5585816,-1.383205,-0.41211203,-0.5734799,0.50161743,0.5007919,1.9530536,9.609551,0.11182785,-34.068752,-33.693752,-13.931251,downstairs
168,downstairs,1.1420342,10.8385515,0.79846627,0.0516638,-0.51983374,-0.25179446,-34.29375,-33.80625,-13.687501,-21.270739,-86.72294,-78.49331,0.0516638,-0.51983374,-0.25179446,-0.5734799,0.50161743,0.5007919,1.9530536,9.609551,0.11182785,-34.29375,-33.80625,-13.687501,downstairs
194,downstairs,0.9008184,9.634866,0.6739678,0.43834338,-0.069905914,0.040079392,-34.575,-33.91875,-13.406251,-11.298932,-79.44269,-80.88747,0.43834338,-0.069905914,0.040079392,-0.6849029,-0.9059849,0.3244891,1.5268295,9.682882,0.28456113,-34.575,-33.91875,-13.406251,downstairs
211,downstairs,1.3329718,8.810063,0.29448682,0.543402,0.12796111,0.29533586,-34.256252,-33.956253,-12.8625,-13.117723,-81.62321,-80.9019,0.543402,0.12796111,0.29533586,-0.29512072,-1.2717371,0.07760073,1.5341362,9.683273,0.22590691,-34.256252,-33.956253,-12.8625,downstairs
227,downstairs,1.4036007,8.934562,0.053869538,0.49773014,0.3099828,0.43967494,-34.65,-34.5,-12.4125,-16.789368,-84.98473,-80.66396,0.49773014,0.3099828,0.43967494,-0.18480742,-1.0782738,-0.054589055,1.5847868,9.67675,0.13907641,-34.65,-34.5,-12.4125,downstairs
243,downstairs,1.2294226,9.36492,0.020949265,0.45791703,0.41996813,0.49093926,-34.912502,-34.631252,-12.187501,-19.388712,-87.62019,-80.58881,0.45791703,0.41996813,0.49093926,-0.44362104,-0.36974525,-0.02366769,1.6021852,9.674656,0.06658492,-34.912502,-34.631252,-12.187501,downstairs
260,downstairs,0.8619126,11.286865,0.26994625,0.4142425,0.5363448,0.53394806,-35.006252,-34.068752,-11.475,-20.750797,-89.01807,-80.675316,0.4142425,0.5363448,0.53394806,-0.69838554,0.6139288,0.12197623,1.5887277,9.677065,0.027230382,-35.006252,-34.068752,-11.475,downstairs
277,downstairs,0.9247604,11.795633,0.40940848,0.2949364,0.94992155,0.5081161,-35.30625,-34.36875,-11.418751,-20.977127,-89.18334,-80.77048,0.2949364,0.94992155,0.5081161,-0.75063,1.4543371,0.30816728,1.5727249,9.679691,0.022418773,-35.30625,-34.36875,-11.418751,downstairs
