elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
145,sit_to_stand,1.8668787,9.858724,-1.2120646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
166,sit_to_stand,2.0847511,9.928156,-0.37708676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
188,sit_to_stand,2.0410569,9.917382,-0.3172317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
214,sit_to_stand,1.9129672,9.910199,-0.53570265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
234,sit_to_stand,1.9063832,10.122087,-0.47644615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
253,sit_to_stand,1.9859903,10.375273,-0.24480712,-0.39466885,-0.036084767,-0.22316632,-20.56875,-17.400002,42.99375,0.0,0.0,0.0,-0.39466885,-0.036084767,-0.22316632,0.018074155,0.30857468,0.4918186,1.854169,9.592869,-0.8422045,-20.56875,-17.400002,42.99375,sit_to_stand
273,sit_to_stand,2.1092918,10.597335,-0.061052144,-0.40119338,-0.08508549,-0.2290251,-20.75625,-17.75625,43.55625,46.90188,-110.914825,-78.50948,-0.40119338,-0.08508549,-0.2290251,0.26426244,0.5828161,0.57599837,1.8248205,9.610103,-0.6973734,-20.75625,-17.75625,43.55625,sit_to_stand
293,sit_to_stand,2.1757307,10.714651,-0.05626374,-0.38508174,-0.19280718,-0.22529678,-21.112501,-18.9375,43.575,53.582672,-105.137596,-79.09248,-0.38508174,-0.19280718,-0.22529678,0.26426244,0.5828161,0.57599837,1.8063394,9.622004,-0.56971246,-21.112501,-18.9375,43.575,sit_to_stand
313,sit_to_stand,2.1170728,10.210671,-0.8194155,-0.3651086,-0.42476168,-0.16338012,-21.056252,-19.35,43.818752,54.910984,-104.208046,-79.18892,-0.3651086,-0.42476168,-0.16338012,0.27390897,0.25704193,-0.13828138,1.7831812,9.632592,-0.4514812,-21.056252,-19.35,43.818752,sit_to_stand
334,sit_to_stand,1.9692309,9.746197,-0.88944596,-0.4130441,-0.41370988,-0.12822743,-21.018751,-19.48125,43.893753,55.77347,-103.81569,-79.23815,-0.4130441,-0.41370988,-0.12822743,0.18283057,-0.19784355,-0.4423014,1.7781883,9.634169,-0.43728164,-21.018751,-19.48125,43.893753,sit_to_stand
