elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
187,sitting,1.8971058,-6.8429284,-9.920076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
206,sitting,1.0181344,-7.008128,-8.670901,-0.21505,-0.212025,-0.320925,24.9,19.275,21.6875,0.0,0.0,0.0,-0.21505,-0.212025,-0.320925,0.0,0.0,0.0,0.0,0.0,0.0,24.9,19.275,21.6875,sitting
222,sitting,1.2240357,-7.0299754,-7.4639244,-0.2629,1.221825,-0.9186375,23.862501,19.6,22.875,80.83536,-168.34012,40.108486,-0.2629,1.221825,-0.9186375,-0.397281,-0.738365,-0.12807,2.27091,-5.055096,-8.082634,23.862501,19.6,22.875,sitting
243,sitting,2.3178868,-4.293103,-8.090906,-0.170225,1.2463,-0.7055125,22.0125,19.8125,23.1625,80.68286,-167.2657,39.88334,-0.170225,1.2463,-0.7055125,-0.464318,1.274606,-0.252342,2.550763,-4.985218,-8.042462,22.0125,19.8125,23.1625,sitting
263,sitting,0.83587575,-4.2790375,-7.31309,-0.2916375,1.4049749,-0.1494625,21.550001,19.325,23.85,80.36143,-165.86774,39.574604,-0.2916375,1.4049749,-0.1494625,-0.060427,1.763613,-0.622211,2.795849,-4.93564,-7.991413,21.550001,19.325,23.85,sitting
284,sitting,1.7839798,-4.791097,-7.9260054,-0.4973375,0.4175875,-0.1665125,20.875,19.237501,24.25,79.87032,-164.62892,39.14793,-0.4973375,0.4175875,-0.1665125,-1.407444,1.751633,-0.086352,2.924904,-4.850515,-7.997339,20.875,19.237501,24.25,sitting
302,sitting,3.0939074,-5.931037,-8.244135,-0.5047625,0.0947375,0.0369875,21.1875,18.625,24.6375,80.1541,-163.90619,38.626537,-0.5047625,0.0947375,0.0369875,0.404903,0.599957,-0.855791,2.942913,-4.770671,-8.038653,21.1875,18.625,24.6375,sitting
322,sitting,3.2378588,-5.7580557,-8.239945,-0.54835,0.1640375,-0.087725,21.125,18.3375,25.4375,80.857666,-163.47017,38.043625,-0.54835,0.1640375,-0.087725,0.903978,-0.039513,-0.722183,2.969674,-4.68154,-8.081102,21.125,18.3375,25.4375,sitting
342,sitting,3.696947,-5.4761386,-8.222886,-0.55055,0.4398625,-0.1835625,21.3375,17.737501,26.0375,80.96056,-163.0484,37.410362,-0.55055,0.4398625,-0.1835625,1.123491,0.056262,-0.848846,3.041933,-4.583074,-8.110615,21.3375,17.737501,26.0375,sitting
362,sitting,3.1109662,-4.111144,-7.642891,-0.5687,0.69025,-0.2827,19.987501,17.75,26.525,81.55765,-162.46077,36.718086,-0.5687,0.69025,-0.2827,0.921935,0.910036,-0.259762,3.171412,-4.476603,-8.120478,19.987501,17.75,26.525,sitting
382,sitting,2.724901,-3.3120792,-7.758112,-0.557975,0.5484875,-0.3146,19.325,17.6625,27.2125,81.823456,-161.75916,35.980923,-0.557975,0.5484875,-0.3146,0.275928,1.920593,-0.148858,3.295483,-4.365807,-8.13139,19.325,17.6625,27.2125,sitting
403,sitting,3.9181116,-3.5871131,-8.558075,-0.611325,0.140525,-0.2464,19.125,17.050001,27.125,82.001854,-161.16376,35.204662,-0.611325,0.140525,-0.2464,0.229748,2.386674,-0.270487,3.360611,-4.250034,-8.165997,19.125,17.050001,27.125,sitting
422,sitting,4.2960963,-4.393959,-8.326137,-0.6219125,0.308825,-0.061049998,18.85,16.550001,27.737501,82.14637,-160.74544,34.424915,-0.6219125,0.308825,-0.061049998,1.692985,1.229249,-1.01445,3.405474,-4.144243,-8.201707,18.85,16.550001,27.737501,sitting
