elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
169,running,8.716092,-6.7711024,-0.7239468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
186,running,7.0009456,-5.913978,-1.3248914,-0.4802875,-0.3771625,0.84975,-12.175,46.1875,6.15,6.516434,-100.720215,39.691532,-0.4802875,-0.3771625,0.84975,-0.407513,0.344232,0.077154,7.472265,-6.25259,-1.053754,-12.175,46.1875,6.15,running
203,running,5.517139,-4.9829326,-1.4350247,-0.677325,-0.5124625,1.1235125,-11.5125,46.3875,5.75,6.9993353,-102.88582,40.318817,-0.677325,-0.5124625,1.1235125,-1.703694,1.412282,0.293918,7.257459,-6.427391,-1.434552,-11.5125,46.3875,5.75,running
223,running,3.9270897,-4.209007,-1.2129625,-1.2227875,-0.043725,0.8859125,-11.175,46.5875,7.2625003,6.642199,-103.68832,40.80165,-1.2227875,-0.043725,0.8859125,-3.149231,2.29573,0.692962,6.973089,-6.65456,-1.769986,-11.175,46.5875,7.2625003,running
241,running,2.840122,-3.6110551,-0.8059482,-1.42615,0.4239125,0.703725,-10.675,46.4875,7.775,7.129459,-104.166885,41.05524,-1.42615,0.4239125,0.703725,-3.757624,2.643871,0.955711,6.836514,-6.771728,-1.856283,-10.675,46.4875,7.775,running
258,running,2.0569186,-3.127127,-0.63985044,-1.620025,1.3613875,0.41085,-11.2375,46.100002,8.0625,8.632689,-104.954384,41.43752,-1.620025,1.3613875,0.41085,-4.536731,3.188625,1.308554,6.647791,-6.94898,-1.88641,-11.2375,46.100002,8.0625,running
278,running,1.8561051,-2.7679968,-0.5039795,-1.6658125,2.1624625,0.1584,-10.725,46.100002,9.2625,9.837015,-105.25712,41.588383,-1.6658125,2.1624625,0.1584,-5.203871,3.59524,1.398494,6.548458,-7.056705,-1.833198,-10.725,46.100002,9.2625,running
297,running,2.4669259,-2.5860374,-0.31513682,-1.5807,2.7077875,-0.0653125,-12.0625,45.5125,9.650001,12.302549,-104.9151,41.518364,-1.5807,2.7077875,-0.0653125,-5.062435,3.801332,1.345539,6.541509,-7.103788,-1.668789,-12.0625,45.5125,9.650001,running
317,running,3.6418805,-2.451962,0.014963762,-1.251525,2.74615,-0.3785375,-12.6125,45.025,10.9375,14.13572,-103.90226,41.205475,-1.251525,2.74615,-0.3785375,-4.223965,3.928272,1.390585,6.711454,-6.999307,-1.416364,-12.6125,45.025,10.9375,running
337,running,4.9230776,-2.888006,0.3519477,-0.5654,2.0505376,-0.70661247,-13.587501,45.025,10.725,15.872591,-102.41733,40.64691,-0.5654,2.0505376,-0.70661247,-3.169834,3.661575,1.518268,6.904262,-6.855736,-1.170494,-13.587501,45.025,10.725,running
357,running,6.8189864,-3.708918,0.462081,0.097075,0.9629125,-0.93665,-14.7875,44.9375,9.8125,17.131004,-100.834015,39.890778,0.097075,0.9629125,-0.93665,-1.675303,2.840401,1.570562,7.076481,-6.708278,-0.981036,-14.7875,44.9375,9.8125,running
373,running,7.644986,-4.159028,0.44292736,0.6021125,-0.6722375,-1.080475,-16.0375,45.05,10.0,16.710417,-99.61506,38.980545,0.6021125,-0.6722375,-1.080475,-0.043731,1.815705,1.541108,7.219559,-6.559593,-0.943239,-16.0375,45.05,10.0,running
393,running,9.156027,-4.5660424,0.24211366,0.9450375,-2.2584374,-1.0965625,-16.375,44.2125,10.587501,15.711065,-99.231964,37.896294,0.9450375,-2.2584374,-1.0965625,1.380425,1.257779,1.525501,7.531588,-6.195483,-0.964968,-16.375,44.2125,10.587501,running
413,running,11.28507,-5.4091005,-0.29299048,1.1858,-3.1692374,-1.24245,-17.3125,44.350002,9.35,14.267047,-99.868614,36.69759,1.1858,-3.1692374,-1.24245,3.455395,0.257934,1.323857,7.635397,-6.011479,-1.266038,-17.3125,44.350002,9.35,running
433,running,15.503057,-6.76392,-1.2321162,1.3264625,-2.945525,-1.7336,-17.362501,43.850002,9.2625,12.469266,-101.14512,35.306404,1.3264625,-2.945525,-1.7336,7.603534,-1.302955,0.71673,7.761054,-5.774261,-1.569695,-17.362501,43.850002,9.2625,running
453,running,19.885044,-7.5659776,-1.9399021,1.4117125,-1.9909999,-2.498375,-20.3375,42.975002,8.6875,10.349693,-102.417175,33.539658,1.4117125,-1.9909999,-2.498375,11.830669,-2.418469,0.218494,8.059386,-5.305273,-1.714755,-20.3375,42.975002,8.6875,running
473,running,21.256023,-6.604107,-2.0739775,1.5618625,-0.4048,-2.79455,-22.025,42.3875,8.05,7.918657,-103.009155,31.336142,1.5618625,-0.4048,-2.79455,12.960462,-1.847311,0.065256,8.418065,-4.743355,-1.636081,-22.025,42.3875,8.05,running
493,running,19.091965,-4.6070433,-1.5909472,1.7994624,0.9532875,-1.959375,-24.225,41.775,5.4125,5.2637625,-102.51581,29.058022,1.7994624,0.9532875,-1.959375,10.56136,-0.161365,0.27703,8.662127,-4.378625,-1.354688,-24.225,41.775,5.4125,running
513,running,14.68394,-2.7709894,-1.0740988,1.98165,1.4092375,-0.2272875,-23.237501,41.8125,3.9125001,2.8145194,-101.11964,27.440744,1.98165,1.4092375,-0.2272875,6.048129,1.622365,0.390257,8.752666,-4.304348,-0.95047,-23.237501,41.8125,3.9125001,running
533,running,11.142915,-2.0329766,-1.1959039,1.8057874,0.7392,1.2491875,-22.725,42.8625,2.05,0.5951509,-99.39313,26.979544,1.8057874,0.7392,1.2491875,2.565566,2.567642,-0.064299,8.686209,-4.49511,-0.61952,-22.725,42.8625,2.05,running
553,running,9.320928,-1.894113,-1.1288662,1.4606625,-0.0757625,1.8330125,-20.0875,43.05,0.9375,-1.4274843,-97.963455,27.571539,1.4606625,-0.0757625,1.8330125,0.902428,3.025648,-0.158311,8.702867,-4.472413,-0.545538,-20.0875,43.05,0.9375,running
574,running,8.078935,-1.6481087,-1.3440452,1.1709499,-0.1896125,1.8211875,-19.175001,44.15,-0.5375,-3.1643934,-96.95378,28.839056,1.1709499,-0.1896125,1.8211875,-0.15347,3.595035,-0.466683,8.694148,-4.48277,-0.59713,-19.175001,44.15,-0.5375,running
594,running,6.9249296,-1.4110827,-1.4739306,0.874775,-0.1417625,1.498475,-18.125,44.5125,-1.325,-4.6254964,-96.22473,30.378946,0.874775,-0.1417625,1.498475,-1.138457,4.099684,-0.669447,8.69494,-4.465577,-0.704754,-18.125,44.5125,-1.325,running
614,running,5.615002,-1.0899605,-1.9949688,0.5242875,0.2278375,1.1320375,-16.987501,45.287502,-1.2875,-5.784439,-95.61317,31.874361,0.5242875,0.2278375,1.1320375,-2.31768,4.617774,-1.274603,8.695735,-4.43698,-0.858719,-16.987501,45.287502,-1.2875,running
633,running,4.399047,-0.5150527,-2.489072,0.0427625,0.6774625,0.8188125,-16.275,44.9625,-1.4875001,-6.5457144,-94.97436,33.1728,0.0427625,0.6774625,0.8188125,-3.44156,5.330804,-1.874249,8.736065,-4.289538,-1.14936,-16.275,44.9625,-1.4875001,running
653,running,3.3019037,-0.37888247,-2.3208795,-0.524975,0.92455,0.553575,-15.8,45.537502,-1.475,-6.7751436,-94.34768,34.203735,-0.524975,0.92455,0.553575,-4.478447,5.554499,-1.789982,8.78812,-4.027166,-1.609612,-15.8,45.537502,-1.475,running
673,running,2.5579054,-0.3070564,-1.4948798,-0.9851875,1.1578875,0.3949,-15.6875,45.4375,-1.2625,-6.399101,-93.77752,34.972965,-0.9851875,1.1578875,0.3949,-5.185399,5.680395,-1.023948,8.799507,-3.992288,-1.634102,-15.6875,45.4375,-1.2625,running
693,running,1.8489225,-0.0029927525,-0.8059482,-1.2557875,1.2175624,0.2127125,-15.4875,45.8375,-0.7625,-5.4784837,-93.26447,35.522305,-1.2557875,1.2175624,0.2127125,-5.873707,6.014075,-0.379381,8.816968,-4.000671,-1.515156,-15.4875,45.8375,-0.7625,running
713,running,1.1189902,-0.16101009,-0.09008185,-1.39205,0.9139625,0.0592625,-15.4125,45.575,0.96250004,-4.1339507,-92.95212,35.875893,-1.39205,0.9139625,0.0592625,-6.601499,5.858558,0.345272,8.839321,-3.976666,-1.446566,-15.4125,45.575,0.96250004,running
734,running,0.46806648,-0.15412675,0.12509705,-1.4218875,0.48785,-0.0163625,-15.45,45.7125,2.5625,-2.504325,-92.94142,36.045982,-1.4218875,0.48785,-0.0163625,-7.258473,5.852185,0.638915,8.856559,-3.935589,-1.453458,-15.45,45.7125,2.5625,running
753,running,0.3241151,-0.22086513,0.21308397,-1.4337125,0.1266375,-0.0248875,-15.2,45.25,3.8875,-0.70459265,-93.31591,36.0943,-1.4337125,0.1266375,-0.0248875,-7.407648,5.764559,0.866051,8.864806,-3.888545,-1.52788,-15.2,45.25,3.8875,running
774,running,1.4230537,-0.32591075,0.44801503,-1.3985125,-0.2066625,-0.086625,-15.7375,44.9875,5.7000003,1.1803136,-94.05186,36.043175,-1.3985125,-0.2066625,-0.086625,-6.314038,5.629161,1.286241,8.865682,-3.833364,-1.656817,-15.7375,44.9875,5.7000003,running
793,running,4.5208516,-1.097143,1.007959,-1.3079,-0.7330125,-0.356125,-15.7,44.350002,7.425,3.0606155,-95.194984,35.85235,-1.3079,-0.7330125,-0.356125,-3.236847,4.79068,2.094028,8.865722,-3.738581,-1.860647,-15.7,44.350002,7.425,running
813,running,11.897986,-3.7861311,1.5280994,-1.1768625,-1.9494749,-0.87065,-16.4625,44.2375,9.8,4.7997313,-96.914955,35.368256,-1.1768625,-1.9494749,-0.87065,4.0951,1.958241,2.996687,8.854876,-3.560719,-2.225414,-16.4625,44.2375,9.8,running
834,running,25.43211,-9.763855,0.26396075,-0.963875,-4.1982875,-1.3925999,-15.8625,43.7625,12.275001,6.41854,-99.747086,34.434563,-0.963875,-4.1982875,-1.3925999,17.616743,-4.255761,2.410935,8.756201,-3.283845,-2.93007,-15.8625,43.7625,12.275001,running
853,running,32.33699,-16.130037,-4.1739917,-0.2660625,-5.6588125,-0.795025,-14.6,44.0625,13.4375,7.6884623,-103.961205,33.261288,-0.2660625,-5.6588125,-0.795025,24.684027,-10.809297,-1.14981,8.459405,-3.07023,-3.879708,-14.6,44.0625,13.4375,running
873,running,30.42911,-19.736006,-9.920076,1.0751125,-4.9066873,1.260875,-10.975,44.575,12.5625,8.319024,-108.96124,32.79349,1.0751125,-4.9066873,1.260875,23.214273,-14.26003,-6.179717,7.956704,-3.248996,-4.70902,-10.975,44.575,12.5625,running
893,running,21.012115,-13.992016,-9.662101,1.9922374,-1.8621625,1.936275,-9.2375,45.4875,10.9375,8.22266,-113.124504,33.668198,1.9922374,-1.8621625,1.936275,14.212493,-8.106843,-5.769429,7.574191,-3.725162,-4.979436,-9.2375,45.4875,10.9375,running
914,running,11.924024,-9.033922,-6.7241163,2.0295,-0.7447,1.0745625,-8.9375,46.037502,9.25,7.497897,-115.6678,35.2918,2.0295,-0.7447,1.0745625,5.35271,-2.817662,-2.955258,7.380167,-4.122984,-4.957233,-8.9375,46.037502,9.25,running
933,running,5.6850324,-5.8451447,-5.120001,1.9570374,0.1692625,0.24145,-9.475,46.625,6.8,6.2191687,-116.71689,36.953293,1.9570374,0.1692625,0.24145,-0.824364,0.571952,-1.586618,7.32006,-4.397191,-4.808473,-9.475,46.625,6.8,running
953,running,-1.2120647,-3.3620582,-7.5791454,1.84635,2.352075,-0.3881625,-10.55,46.4625,4.275,4.429948,-116.05107,38.29104,1.84635,2.352075,-0.3881625,-7.861116,3.146847,-4.502344,7.135244,-4.69297,-4.806696,-10.55,46.4625,4.275,running
973,running,-7.1401086,-1.9399021,-10.85591,0.7352125,6.4021373,0.0848375,-9.9875,46.8125,3.325,2.5718315,-112.92639,39.24571,0.7352125,6.4021373,0.0848375,-14.083628,4.612842,-8.645016,7.235201,-4.863717,-4.476172,-9.9875,46.8125,3.325,running
998,running,-0.4339491,-1.9231427,-5.8960214,-0.61875,7.19895,0.8102875,-8.925,46.775,1.9,1.5477979,-107.710724,40.05224,-0.61875,7.19895,0.8102875,-7.534033,4.718522,-4.662978,7.382139,-5.000212,-4.067174,-8.925,46.775,1.9,running
1015,running,2.6219504,-2.0329766,-2.544139,-1.4133625,4.444275,0.561,-8.7875,46.275,3.2125,1.6582168,-102.430214,40.738262,-1.4133625,4.444275,0.561,-4.484942,4.679876,-1.874991,7.547979,-5.000687,-3.749821,-8.7875,46.275,3.2125,running
1033,running,2.6919808,-1.7770964,-0.8678982,-1.7777375,1.8225625,0.0529375,-9.2875,46.5125,4.7625003,2.7696025,-98.72054,41.16132,-1.7777375,1.8225625,0.0529375,-4.421547,4.939577,-0.307263,7.700917,-4.912032,-3.550748,-9.2875,46.5125,4.7625003,running
1054,running,2.2490535,-1.4110827,-0.03711013,-1.93545,0.1948375,-0.39765,-9.075,45.675,6.8875003,4.6123867,-97.00554,41.209255,-1.93545,0.1948375,-0.39765,-4.914393,5.235264,0.70129,7.811704,-4.759174,-3.516748,-9.075,45.675,6.8875003,running
1074,running,1.1620858,-0.7858968,0.5581483,-1.992925,-0.8342125,-0.6747125,-9.35,45.9625,7.5750003,6.8856683,-97.04298,40.87017,-1.992925,-0.8342125,-0.6747125,-5.887343,5.49837,1.512159,7.901866,-4.641258,-3.472638,-9.35,45.9625,7.5750003,running
1094,running,0.7290345,-0.49410343,0.5889737,-1.923625,-1.1398749,-0.8226625,-10.5375,45.25,10.575,9.369406,-98.34663,40.1855,-1.923625,-1.1398749,-0.8226625,-6.351585,5.747953,2.068611,7.953971,-4.435963,-3.618918,-10.5375,45.25,10.575,running
1113,running,0.7568671,-0.47704473,0.62997437,-1.8288875,-0.971575,-0.89196247,-11.0,44.65,12.775001,11.880562,-100.29076,39.207474,-1.8288875,-0.971575,-0.89196247,-6.723974,5.724909,2.477656,7.95245,-4.157198,-3.939067,-11.0,44.65,12.775001,running
1134,running,1.9689318,-0.8858547,0.81193376,-1.688225,-0.8331125,-0.914375,-11.1375,44.25,14.0625,14.26204,-102.397934,38.01118,-1.688225,-0.8331125,-0.914375,-6.284218,5.329107,2.877002,7.955638,-3.873288,-4.212534,-11.1375,44.25,14.0625,running
1154,running,5.1699796,-1.930026,1.3871408,-1.5060375,-0.93747497,-1.0272624,-12.150001,43.25,15.650001,16.41212,-104.473076,36.65389,-1.5060375,-0.93747497,-1.0272624,-4.30742,4.405134,3.572321,7.951368,-3.582991,-4.469667,-12.150001,43.25,15.650001,running
1173,running,12.395981,-3.5128927,1.9970636,-1.184425,-1.205875,-1.3618,-13.475,42.275,16.725,18.213602,-106.48564,35.112442,-1.184425,-1.205875,-1.3618,0.582896,2.806348,4.562013,7.932852,-3.266672,-4.736949,-13.475,42.275,16.725,running
1192,running,24.252068,-5.6961055,1.669058,-0.6122875,-1.2783375,-2.0978374,-14.4875,41.825,18.3875,19.434456,-108.32059,33.275536,-0.6122875,-1.2783375,-2.0978374,10.04623,0.558624,5.145209,7.924295,-2.89589,-4.985917,-14.4875,41.825,18.3875,running
1212,running,34.155983,-7.190088,0.81193376,0.1408,-1.0929875,-3.274975,-16.725,40.5875,18.025,19.754591,-109.7228,30.925488,0.1408,-1.0929875,-3.274975,22.413109,-2.083791,4.47533,7.961762,-2.421899,-5.175397,-16.725,40.5875,18.025,running
