elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
197,standing,7.431902,-6.792949,-1.3991117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
216,standing,8.282143,-7.642891,-2.7859533,0.3474625,-0.044825,-0.8993875,-16.0625,42.3625,-14.4875,-36.590477,-108.59117,41.173775,0.3474625,-0.044825,-0.8993875,1.291113,-1.191418,-0.43429,7.187114,-6.493811,-1.488561,-16.0625,42.3625,-14.4875,standing
233,standing,6.716036,-7.03207,-2.0859485,0.587125,0.311025,-1.1614625,-16.275,41.9625,-15.400001,-41.22409,-107.25994,44.99582,0.587125,0.311025,-1.1614625,0.098903,-0.103553,-0.030728,7.181168,-6.469412,-1.617877,-16.275,41.9625,-15.400001,standing
253,standing,7.0419464,-7.506122,-2.0838535,0.7715125,0.86913747,-0.63414997,-17.0,41.5625,-16.9125,-41.965508,-106.552635,44.754406,0.7715125,0.86913747,-0.63414997,0.279844,-0.65696,-0.244518,7.108058,-6.573675,-1.517334,-17.0,41.5625,-16.9125,standing
273,standing,7.697958,-6.728007,-2.352004,0.452925,0.9108,0.0785125,-16.325,41.55,-17.2125,-43.01048,-105.38872,44.577198,0.452925,0.9108,0.0785125,0.889369,0.123997,-0.704714,7.112667,-6.571292,-1.506018,-16.325,41.55,-17.2125,standing
290,standing,8.708012,-4.967969,-2.3980925,0.217525,0.8042375,0.2734875,-16.125,41.55,-17.1,-43.24429,-104.807655,44.559013,0.217525,0.8042375,0.2734875,1.357585,0.942952,-0.84506,7.162003,-6.518624,-1.501083,-16.125,41.55,-17.1,standing
312,standing,9.07193,-3.8169565,-1.8758572,-0.593175,0.563475,0.265925,-15.425,42.15,-16.2875,-43.32387,-103.543205,44.653004,-0.593175,0.563475,0.265925,2.283124,3.084266,-0.357061,7.328251,-6.33131,-1.500406,-15.425,42.15,-16.2875,standing
332,standing,7.9879556,-4.048895,-1.2770075,-0.83393747,0.3738625,0.1967625,-15.0375,42.05,-16.2875,-41.981106,-103.27981,44.679165,-0.83393747,0.3738625,0.1967625,1.203229,2.844368,0.296187,7.423019,-6.209913,-1.54135,-15.0375,42.05,-16.2875,standing
353,standing,6.869863,-5.119103,-1.0429742,-0.72627497,0.174625,0.2946625,-14.225,42.05,-15.175,-41.374268,-103.38681,44.687187,-0.72627497,0.174625,0.2946625,0.102889,1.77496,0.602123,7.471084,-6.148229,-1.556331,-14.225,42.05,-15.175,standing
373,standing,6.534974,-6.224925,-1.0570401,-0.405625,0.14795,0.3969625,-13.837501,42.25,-15.1625,-40.29447,-103.65611,44.77444,-0.405625,0.14795,0.3969625,-0.191366,0.698557,0.630247,7.400948,-6.234395,-1.548637,-13.837501,42.25,-15.1625,standing
393,standing,6.6331363,-6.9009876,-1.0211271,-0.171325,1.051325,0.267025,-13.55,42.05,-15.3625,-39.586597,-103.649895,44.954407,-0.171325,1.051325,0.267025,-0.077548,0.058581,0.58163,7.359236,-6.308961,-1.441753,-13.55,42.05,-15.3625,standing
413,standing,6.476915,-7.6500735,-0.8059482,0.097075,1.6181,0.07535,-12.6,42.025,-16.2625,-39.42886,-102.94349,45.142876,0.097075,1.6181,0.07535,-0.25917,-0.669084,0.578769,7.376889,-6.337216,-1.208799,-12.6,42.025,-16.2625,standing
433,standing,6.441002,-8.104972,-0.7820062,0.505175,0.8457625,0.0188375,-12.275001,41.575,-16.375,-39.78058,-101.728905,45.32427,0.505175,0.8457625,0.0188375,-0.317284,-1.107038,0.393137,7.37147,-6.382293,-0.983754,-12.275001,41.575,-16.375,standing
453,standing,6.8821335,-7.8649535,-1.0019735,0.672375,-0.0724625,0.0209,-12.8625,41.3375,-16.875,-40.424114,-100.57263,45.53089,0.672375,-0.0724625,0.0209,0.12967,-0.844151,0.064867,7.342073,-6.430694,-0.883254,-12.8625,41.3375,-16.875,standing
473,standing,6.9539595,-7.354988,-0.90590614,0.59785,-0.548625,-0.1079375,-12.875,40.8,-17.3875,-41.26034,-99.73457,45.700684,0.59785,-0.548625,-0.1079375,0.204303,-0.326702,0.128652,7.318263,-6.459975,-0.867035,-12.875,40.8,-17.3875,standing
494,standing,7.020997,-6.8138986,-0.9879076,0.56265,-0.9609875,-0.2239875,-13.85,40.5,-17.425001,-42.18317,-99.31842,45.734337,0.56265,-0.9609875,-0.2239875,0.259892,0.198227,0.081559,7.304421,-6.467335,-0.926832,-13.85,40.5,-17.425001,standing
515,standing,6.7600293,-6.4858932,-1.0669162,0.521125,-1.176175,-0.3188625,-14.35,40.662502,-17.7125,-43.119106,-99.30936,45.608654,0.521125,-1.176175,-0.3188625,-0.025118,0.490906,0.078639,7.303629,-6.452309,-1.031858,-14.35,40.662502,-17.7125,standing
534,standing,6.792949,-6.5840554,-1.5050552,0.4219875,-0.7723375,-0.1942875,-14.6375,40.5,-17.925001,-43.994484,-99.58703,45.42361,0.4219875,-0.7723375,-0.1942875,-0.002456,0.370105,-0.288387,7.29291,-6.447617,-1.132116,-14.6375,40.5,-17.925001,standing
554,standing,7.149985,-6.605902,-1.4709378,0.17379999,0.1991,-0.1431375,-14.225,40.3125,-17.112501,-44.6917,-99.72623,45.240925,0.17379999,0.1991,-0.1431375,0.326605,0.325397,-0.277823,7.30092,-6.440007,-1.123787,-14.225,40.3125,-17.112501,standing
573,standing,7.79612,-5.371093,-1.7459718,-0.043449998,0.4984375,-0.0675125,-14.25,40.225002,-17.8125,-45.13316,-99.592415,45.059063,-0.043449998,0.4984375,-0.0675125,0.946084,1.5442,-0.612703,7.330899,-6.413946,-1.076668,-14.25,40.225002,-17.8125,standing
