elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
288,walking,0.0,0.0,0.0,3.192593,-3.068133,-3.8869739,0.0,0.0,0.0,0.0,0.0,0.0,3.192593,-3.068133,-3.8869739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
306,walking,1.4063815,-8.895318,1.4404793,0.7772268,-1.4200672,-2.4544606,-27.25,26.8125,29.925001,0.0,0.0,0.0,0.7772268,-1.4200672,-2.4544606,-1.6282569,0.49242592,-0.39461267,3.0507302,-9.140834,1.8189498,-27.25,26.8125,29.925001,walking
322,walking,0.9445667,-8.251649,1.9334008,0.4437042,-1.1768736,-1.9358513,-27.5625,26.2,30.475,0.0,0.0,0.0,0.4437042,-1.1768736,-1.9358513,-1.8111645,0.6690273,-0.12431741,2.9157925,-9.175718,1.864066,-27.5625,26.2,30.475,walking
346,walking,0.8105687,-7.524231,2.510071,0.2836622,-1.1243408,-1.4123552,-27.800001,25.775,30.7875,0.0,0.0,0.0,0.2836622,-1.1243408,-1.4123552,-1.5720122,1.1697779,0.6323621,2.793252,-9.183014,2.0100703,-27.800001,25.775,30.7875,walking
366,walking,1.3657036,-7.0815587,2.9096723,0.23235102,-1.1585482,-1.001255,-28.1,25.0125,31.0,0.0,0.0,0.0,0.23235102,-1.1585482,-1.001255,-1.5720122,1.1697779,0.6323621,2.7972434,-9.095964,2.3683865,-28.1,25.0125,31.0,walking
382,walking,1.1814562,-6.502496,2.6823542,0.21158221,-0.8628981,-0.7446992,-28.237501,24.5,31.5875,0.0,0.0,0.0,0.21158221,-0.8628981,-0.7446992,-1.1281195,1.2501369,0.7682743,2.7972434,-9.095964,2.3683865,-28.237501,24.5,31.5875,walking
401,walking,0.7268199,-6.4354963,2.2755744,0.13392825,-0.31130302,-0.5015056,-28.2125,24.050001,32.275,0.0,0.0,0.0,0.13392825,-0.31130302,-0.5015056,-1.3701527,1.3810167,0.2555039,2.7690115,-9.036088,2.6176484,-28.2125,24.050001,32.275,walking
420,walking,0.49950173,-6.437889,2.0937197,-0.006566608,0.18775918,-0.19119519,-28.2,23.8125,32.787502,0.0,0.0,0.0,-0.006566608,0.18775918,-0.19119519,-1.5825609,1.257091,-0.037148952,2.6550117,-9.0531,2.6763182,-28.2,23.8125,32.787502,walking
440,walking,0.3894319,-6.5838513,1.995614,-0.10613471,0.6666634,0.20768806,-28.3125,23.6875,33.3375,0.0,0.0,0.0,-0.10613471,0.6666634,0.20768806,-1.4901282,0.89362335,-0.2670467,2.484888,-9.089695,2.7153575,-28.3125,23.6875,33.3375,walking
459,walking,0.46121657,-6.672386,2.0315065,-0.15439165,1.0728768,0.67437536,-28.5125,23.65,33.4625,0.0,0.0,0.0,-0.15439165,1.0728768,0.67437536,-1.0499446,0.78751373,-0.22946215,2.2545223,-9.142598,2.7386897,-28.5125,23.65,33.4625,walking
478,walking,2.0644078,-6.995417,1.4811572,-0.1085781,1.2940036,1.1404518,-28.825,23.862501,33.037502,0.0,0.0,0.0,-0.1085781,1.2940036,1.1404518,-1.0499446,0.78751373,-0.22946215,1.9978561,-9.194655,2.7635632,-28.825,23.862501,33.037502,walking
497,walking,3.8255253,-7.4715886,0.77766734,-0.084755056,1.2329189,1.4819155,-29.15,24.25,32.5,0.0,0.0,0.0,-0.084755056,1.2329189,1.4819155,1.3138366,0.25853348,-0.9788897,1.6219616,-9.284962,2.7072337,-29.15,24.25,32.5,walking
517,walking,5.947959,-7.880761,-0.4426722,-0.12629268,1.0777637,1.7079289,-29.35,24.925001,31.6875,0.0,0.0,0.0,-0.12629268,1.0777637,1.7079289,2.9413671,-0.014921665,-1.4801633,1.568247,-9.32684,2.5924973,-29.35,24.925001,31.6875,walking
533,walking,6.5724854,-8.155936,-1.2897314,-0.3345916,1.0698227,1.8191031,-29.425001,25.7125,30.95,56.32555,-19.399216,74.579155,-0.3345916,1.0698227,1.8191031,4.642631,-0.3083129,-2.3736598,1.6137931,-9.372683,2.3914185,-29.425001,25.7125,30.95,walking
553,walking,6.955337,-8.622537,-2.4646072,-0.9032904,1.6801354,2.0720704,-29.375,26.1375,30.625,44.86025,-6.1399527,76.23305,-0.9032904,1.6801354,2.0720704,5.435183,-0.6164713,-3.4090908,1.667957,-9.437994,2.076671,-29.375,26.1375,30.625,walking
573,walking,8.369495,-10.043873,-3.1393833,-1.6729579,2.9036624,2.537536,-29.1625,27.375,29.6375,32.9738,8.243767,77.76832,-1.6729579,2.9036624,2.537536,5.7872,-1.0606403,-3.9673228,1.6500762,-9.521404,1.670481,-29.1625,27.375,29.6375,walking
593,walking,9.491729,-11.637493,-3.062813,-2.6064088,3.4827456,2.9052658,-29.0875,28.0375,28.6875,14.069635,30.485264,79.169975,-2.6064088,3.4827456,2.9052658,8.009901,-3.099061,-3.6593308,1.5457734,-9.663868,0.6250094,-29.0875,28.0375,28.6875,walking
612,walking,12.087942,-15.5952215,-0.076570325,-3.5623848,3.3025458,3.245508,-29.075,28.3125,28.175001,1.1926737,45.061703,79.46877,-3.5623848,3.3025458,3.245508,9.172884,-4.693906,-2.132013,1.4941938,-9.692018,0.050616764,-29.075,28.3125,28.175001,walking
