elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
253,downstairs,0.0,0.0,0.0,-4.0125794,3.2744467,-2.4025385,0.0,0.0,0.0,0.0,0.0,0.0,-4.0125794,3.2744467,-2.4025385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
270,downstairs,9.226126,-7.732406,-1.8281165,-0.08108997,-1.4109044,-0.5192202,-11.0125,20.6375,-15.6375,0.0,0.0,0.0,-0.08108997,-1.4109044,-0.5192202,0.0,0.0,0.0,5.471066,-7.91786,1.8829049,-11.0125,20.6375,-15.6375,downstairs
290,downstairs,5.964709,-6.5001025,-1.7754744,-0.6308525,-0.11155598,-1.0733349,-11.1875,20.625,-15.75,0.0,0.0,0.0,-0.6308525,-0.11155598,-1.0733349,0.14532423,0.7399974,-1.3463347,6.959327,-6.8842773,-0.5872614,-11.1875,20.625,-15.75,downstairs
308,downstairs,2.8253253,-5.066802,-0.011964113,-0.5117373,0.28610557,-0.5247178,-11.625,20.575,-15.95,0.0,0.0,0.0,-0.5117373,0.28610557,-0.5247178,-2.625072,1.005436,-0.108338416,6.8005733,-7.0251865,-0.75454706,-11.625,20.575,-15.95,downstairs
327,downstairs,1.4973087,-3.068795,0.81595254,-0.27045262,0.30626354,-0.22906773,-12.175,20.575,-15.8625,0.0,0.0,0.0,-0.27045262,0.30626354,-0.22906773,-3.3724654,1.9212999,0.95116043,6.655207,-7.178048,-0.5951875,-12.175,20.575,-15.8625,downstairs
347,downstairs,1.4973087,-3.0927234,0.5886344,0.2720561,-0.015042114,0.38972056,-12.650001,20.525,-16.1875,0.0,0.0,0.0,0.2720561,-0.015042114,0.38972056,-3.4887094,2.5060015,1.1798607,6.317951,-7.497861,-0.18962176,-12.650001,20.525,-16.1875,downstairs
365,downstairs,2.480759,-3.4133615,-0.2440679,0.5396072,-0.615505,0.98407495,-12.8125,20.575,-16.0,0.0,0.0,0.0,0.5396072,-0.615505,0.98407495,-3.086399,2.365614,0.6831231,6.149107,-7.63662,-0.20224579,-12.8125,20.575,-16.0,downstairs
384,downstairs,3.8877387,-4.60738,0.03589234,0.7173638,-1.5849959,1.5527737,-12.75,20.6625,-16.0,0.0,0.0,0.0,0.7173638,-1.5849959,1.5527737,-0.48259926,0.93704414,0.061090276,6.009502,-7.74614,-0.23151918,-12.75,20.6625,-16.0,downstairs
404,downstairs,6.328418,-5.8636117,0.38763726,0.82853794,-1.8342216,1.587592,-12.425,20.75,-16.4125,0.0,0.0,0.0,0.82853794,-1.8342216,1.587592,2.6939983,-0.85326004,0.26206672,5.9374523,-7.8019524,-0.21583505,-12.425,20.75,-16.4125,downstairs
423,downstairs,7.9244304,-7.07438,-0.61016977,1.152287,-1.8751484,1.1990932,-11.9375,20.825,-16.6,0.0,0.0,0.0,1.152287,-1.8751484,1.1990932,2.6939983,-0.85326004,0.26206672,5.93084,-7.8064075,-0.23564298,-11.9375,20.825,-16.6,downstairs
439,downstairs,8.168498,-8.299505,-1.4859428,1.2426924,-1.5831634,0.9486458,-11.55,20.775,-17.050001,0.0,0.0,0.0,1.2426924,-1.5831634,0.9486458,3.7487473,-1.5790691,-0.6828561,5.96937,-7.772842,-0.34632877,-11.55,20.775,-17.050001,downstairs
459,downstairs,6.189634,-8.438289,-0.76331043,1.4228923,-1.0174425,0.40804598,-11.25,20.5875,-17.4,0.0,0.0,0.0,1.4228923,-1.0174425,0.40804598,1.780911,-2.247313,-0.53520525,5.919189,-7.808796,-0.39534095,-11.25,20.5875,-17.4,downstairs
479,downstairs,4.325625,-7.7682986,-0.8757731,1.4790903,-0.9172635,-0.019547112,-11.175,20.2625,-17.737501,0.0,0.0,0.0,1.4790903,-0.9172635,-0.019547112,0.12789583,-1.6741691,-0.5134982,5.843417,-7.868317,-0.3383005,-11.175,20.2625,-17.737501,downstairs
499,downstairs,3.045465,-6.792027,-1.5960127,1.2854517,-1.0944092,-0.17164809,-11.2625,19.8375,-18.0375,-90.87644,-91.74985,56.867496,1.2854517,-1.0944092,-0.17164809,-1.0985882,-0.85217285,-0.8715191,5.7630296,-7.9275537,-0.33432308,-11.2625,19.8375,-18.0375,downstairs
519,downstairs,2.3826532,-5.9712887,-3.3284163,0.948264,-0.9636879,-0.131943,-11.5625,19.3125,-18.2,-92.019,-91.39343,56.79864,0.948264,-0.9636879,-0.131943,-1.6371284,-0.051725388,-1.7871066,5.6887007,-7.9762645,-0.4339108,-11.5625,19.3125,-18.2,downstairs
539,downstairs,0.7603194,-5.925825,-4.7976093,0.3276432,-0.11644276,0.20341213,-11.725,19.0625,-18.325,-93.78061,-90.85506,56.71249,0.3276432,-0.11644276,0.20341213,-2.4001105,0.45519686,-3.255611,5.5831933,-8.036174,-0.6467246,-11.725,19.0625,-18.325,downstairs
555,downstairs,0.61675006,-6.5479593,-2.8785655,0.16149275,-0.051692948,0.2974826,-11.95,18.6,-18.3875,-94.89831,-90.24793,57.04106,0.16149275,-0.051692948,0.2974826,-3.448663,-0.06751537,-2.4035964,5.180733,-8.258217,-1.0640721,-11.95,18.6,-18.3875,downstairs
578,downstairs,1.3657036,-7.0097737,-0.64845496,0.08322794,-0.18974443,0.2858765,-12.0125,18.1875,-18.5875,-95.01296,-90.27683,57.399986,0.08322794,-0.18974443,0.2858765,-2.6377568,-0.47174788,-0.41547787,4.9953337,-8.366962,-1.1004438,-12.0125,18.1875,-18.5875,downstairs
597,downstairs,1.939981,-7.3112698,0.15314065,0.14255647,-0.19524206,0.25533417,-11.900001,17.737501,-18.9375,-95.22744,-90.29711,57.685326,0.14255647,-0.19524206,0.25533417,-1.532161,-0.96190786,1.0530331,4.8476543,-8.458153,-1.063147,-11.900001,17.737501,-18.9375,downstairs
616,downstairs,2.3060827,-7.9334035,0.38524446,0.37467843,-0.08406785,0.3811687,-11.6625,17.4375,-19.1875,-95.43569,-90.21783,57.83117,0.37467843,-0.08406785,0.3811687,-1.532161,-0.96190786,1.0530331,4.7188754,-8.539903,-0.98623943,-11.6625,17.4375,-19.1875,downstairs
635,downstairs,2.681756,-8.79482,0.29192436,0.47607908,-0.039476003,0.47768256,-11.4125,17.0875,-19.550001,-96.10809,-89.770325,58.202244,0.47607908,-0.039476003,0.47768256,-1.1540966,-1.4632354,1.0500304,4.44088,-8.7102165,-0.76229244,-11.4125,17.0875,-19.550001,downstairs
651,downstairs,3.181856,-9.637094,-0.7322037,0.74301934,0.022830416,0.6774296,-11.1375,16.6875,-20.0625,-98.108696,-88.08095,59.155308,0.74301934,0.022830416,0.6774296,-0.27511764,-2.6223006,0.008532286,4.2827997,-8.798034,-0.6500863,-11.1375,16.6875,-20.0625,downstairs
669,downstairs,4.356732,-9.71127,-3.5581272,0.9360471,0.07536328,0.81487024,-10.75,16.225,-20.475,-100.044014,-86.33984,59.934772,0.9360471,0.07536328,0.81487024,0.623389,-2.6962757,-1.9329334,4.143428,-8.86782,-0.6034545,-10.75,16.225,-20.475,downstairs
689,downstairs,5.9527445,-10.4362955,-6.3696938,0.656279,-0.28076068,0.74034685,-10.3125,15.6375,-21.0625,-101.10419,-85.42221,60.349953,0.656279,-0.28076068,0.74034685,1.948837,-2.6604319,-4.8629804,4.052839,-8.902031,-0.7061952,-10.3125,15.6375,-21.0625,downstairs
709,downstairs,7.003194,-12.113665,-5.0129633,0.12293301,-1.02294,0.48806697,-9.85,15.0625,-21.575,-102.42713,-84.79077,61.05537,0.12293301,-1.02294,0.48806697,3.0042427,-3.6295424,-5.151023,3.999409,-8.908097,-0.9060381,-9.85,15.0625,-21.575,downstairs
729,downstairs,7.7090764,-13.604393,-2.8187451,-0.17271706,-0.5770216,0.14599249,-9.5625,14.5125,-21.9625,-102.658226,-85.66212,61.514915,-0.17271706,-0.5770216,0.14599249,3.7908835,-4.8582034,-3.9955492,3.978882,-8.895386,-1.1004514,-9.5625,14.5125,-21.9625,downstairs
747,downstairs,6.7447686,-13.355539,1.9908284,-0.20387027,-0.13660072,-0.25044736,-9.4875,14.2875,-22.2125,-101.965355,-86.82789,61.478874,-0.20387027,-0.13660072,-0.25044736,3.3652592,-5.536461,2.4633057,4.0675325,-8.853279,-1.1158124,-9.4875,14.2875,-22.2125,downstairs
763,downstairs,6.1513486,-14.166706,1.7922242,-0.21853061,-0.4774535,-0.40743512,-9.475,13.95,-22.875,-101.47507,-87.652245,61.07327,-0.21853061,-0.4774535,-0.40743512,2.3653915,-5.5384417,2.88451,4.1152925,-8.839547,-1.0474595,-9.475,13.95,-22.875,downstairs
