elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
77,walking,2.0820549,-12.42204,-0.118145615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
97,walking,1.3462619,-12.667304,-0.8967103,0.06627882,-0.53969896,-0.30222532,0.0,0.0,0.0,0.0,0.0,0.0,0.06627882,-0.53969896,-0.30222532,0.0,0.0,0.0,1.6210108,-9.671311,-0.091873154,0.0,0.0,0.0,walking
114,walking,0.28893334,-12.2019,-1.0139586,-0.095753044,-0.3623955,-0.43172863,0.0,0.0,0.0,0.0,0.0,0.0,-0.095753044,-0.3623955,-0.43172863,-0.40127861,-0.12835884,-0.38486868,1.3526188,-9.704835,-0.39621407,0.0,0.0,0.0,walking
131,walking,-1.244866,-11.0557375,-0.29491538,-0.2935205,0.038942628,-0.5105302,18.525002,28.425001,-25.725,3.6065037,-148.42674,84.145515,-0.2935205,0.038942628,-0.5105302,-1.0355678,0.2145729,-0.30966222,1.0384642,-9.735859,-0.55229557,18.525002,28.425001,-25.725,walking
148,walking,-2.0775683,-10.025927,0.53629136,-0.5004509,0.32604906,-0.49403685,17.85,28.725,-26.025002,2.6817546,-147.41122,83.97617,-0.5004509,0.32604906,-0.49403685,-2.0097013,1.0081768,0.35872546,0.6196068,-9.772717,-0.5296074,17.85,28.725,-26.025002,walking
165,walking,-2.707778,-9.523434,0.8712866,-0.7238747,0.36667156,-0.43111777,17.85,28.725,-26.025002,2.6817546,-147.41122,83.97617,-0.7238747,0.36667156,-0.43111777,-2.3541303,1.6198854,1.0411022,0.23271313,-9.794693,-0.42450964,17.85,28.725,-26.025002,walking
183,walking,-3.2449665,-9.131011,0.89042914,-0.96104294,0.24327688,-0.39492404,17.7,29.400002,-24.525002,0.7983844,-145.50856,83.23325,-0.96104294,0.24327688,-0.39492404,-2.5580044,1.7600889,1.2778615,-0.13016467,-9.799428,-0.3530641,17.7,29.400002,-24.525002,walking
199,walking,-3.0260234,-8.812766,0.77677006,-1.1931715,0.011759146,-0.35262167,17.7,30.375002,-24.0,0.84752876,-145.5158,82.64067,-1.1931715,0.011759146,-0.35262167,-2.716022,1.8377562,1.2859635,-0.47209185,-9.788919,-0.35295343,17.7,30.375002,-24.0,walking
224,walking,-2.2618155,-9.093923,-0.6203393,-1.3538289,-0.18249583,-0.28466296,17.7,30.375002,-24.0,1.5983855,-146.28073,81.9064,-1.3538289,-0.18249583,-0.28466296,-2.2363493,1.8791294,1.232524,-0.7217342,-9.771184,-0.41645926,17.7,30.375002,-24.0,walking
241,walking,-2.2618155,-9.093923,-0.6203393,-1.4558433,-0.1302669,-0.2217439,17.175001,31.125002,-23.550001,3.0469527,-147.84645,81.01043,-1.4558433,-0.1302669,-0.2217439,-1.6374865,1.7554502,0.9300372,-0.99091244,-9.72483,-0.78497416,17.175001,31.125002,-23.550001,walking
257,walking,-2.2806592,-9.400204,-0.7686943,-1.4895936,0.22983785,-0.18096867,17.475,32.025,-22.725,6.599999,-151.88504,78.90298,-1.4895936,0.22983785,-0.18096867,-1.2109782,1.217515,0.2118817,-1.0743679,-9.694862,-1.0127944,17.475,32.025,-22.725,walking
