elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
194,sit_to_stand,2.629712,2.236691,-9.561121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
211,sit_to_stand,2.513062,2.2594228,-9.159127,-0.012370011,0.049785476,0.048563745,0.0,0.0,0.0,0.0,0.0,0.0,-0.012370011,0.049785476,0.048563745,0.0,0.0,0.0,2.6800735,2.2257886,-9.166976,0.0,0.0,0.0,sit_to_stand
229,sit_to_stand,2.3102703,2.356332,-9.430713,0.28451025,0.35369068,0.048563745,13.575001,-9.525001,38.625,93.68269,-164.6573,-13.381367,0.28451025,0.35369068,0.048563745,-0.11588788,0.03427577,0.019906998,2.629601,2.2257333,-9.181596,13.575001,-9.525001,38.625,sit_to_stand
250,sit_to_stand,2.3102703,2.356332,-9.430713,0.053756095,0.062155485,0.0065667955,13.575001,-9.525001,38.625,93.6673,-164.70467,-13.387498,0.053756095,0.062155485,0.0065667955,-0.21870232,0.09292984,-0.16825294,2.4555583,2.28884,-9.214219,13.575001,-9.525001,38.625,sit_to_stand
272,sit_to_stand,2.6321049,2.498406,-9.527023,-0.067500554,0.028863357,0.04520399,13.575001,-9.525001,38.625,93.66152,-164.70848,-13.391003,-0.067500554,0.028863357,0.04520399,0.11133075,0.1375897,-0.15880966,2.4758887,2.318743,-9.201293,13.575001,-9.525001,38.625,sit_to_stand
289,sit_to_stand,2.7675984,2.5698915,-9.137292,-0.114995286,0.03390299,0.03405571,13.575001,-9.525001,38.625,93.60095,-164.72269,-13.430225,-0.114995286,0.03390299,0.03405571,0.20043683,0.16092944,0.18762875,2.5258775,2.3700159,-9.174603,13.575001,-9.525001,38.625,sit_to_stand
321,sit_to_stand,2.7909286,2.559722,-8.755637,-0.11255182,0.028557926,0.008552106,13.575001,-9.525001,38.625,93.49304,-164.69835,-13.504665,-0.11255182,0.028557926,0.008552106,0.18774056,0.11518717,0.4831791,2.578578,2.4604437,-9.136057,13.575001,-9.525001,38.625,sit_to_stand
341,sit_to_stand,2.3057837,2.629114,-9.001201,-0.0021380265,-0.012217294,0.03313941,13.575001,-9.450001,38.625,93.25309,-164.61688,-13.672031,-0.0021380265,-0.012217294,0.03313941,-0.25044084,0.140311,0.15024567,2.552217,2.4849775,-9.136819,13.575001,-9.450001,38.625,sit_to_stand
359,sit_to_stand,2.7382865,2.5725834,-9.4381895,-0.0021380265,-0.012217294,0.03313941,13.650001,-9.525001,38.325,93.23382,-164.61508,-13.683299,-0.0021380265,-0.012217294,0.03313941,-0.13054514,0.13728881,-0.23661804,2.5309184,2.4929125,-9.140582,13.650001,-9.525001,38.325,sit_to_stand
379,sit_to_stand,2.9222345,2.41376,-9.08465,-0.044134974,-0.0018325942,0.052228935,13.575001,-9.375,38.25,92.96004,-164.59645,-13.837283,-0.044134974,-0.0018325942,0.052228935,0.17754889,0.059209585,-0.23813438,2.5431097,2.4959843,-9.136358,13.575001,-9.375,38.25,sit_to_stand
398,sit_to_stand,2.7846475,2.3632114,-8.837293,-0.068875,0.012217294,0.018478658,13.500001,-9.450001,38.325,92.62167,-164.48836,-14.071216,-0.068875,0.012217294,0.018478658,0.17327523,-0.14815998,0.31972122,2.6005783,2.5009055,-9.118818,13.500001,-9.450001,38.325,sit_to_stand
418,sit_to_stand,2.7335007,2.312364,-8.986844,-0.030237803,0.008093958,0.01557705,13.425,-9.450001,38.325,92.59593,-164.47578,-14.088033,-0.030237803,0.008093958,0.01557705,0.11165452,-0.18827581,0.15667725,2.6142864,2.49344,-9.116942,13.425,-9.450001,38.325,sit_to_stand
437,sit_to_stand,2.7711878,2.3321047,-9.252148,-0.03634645,0.04321868,0.017867792,13.275001,-9.375,38.325,92.59593,-164.47578,-14.088033,-0.03634645,0.04321868,0.017867792,0.13602185,-0.15926409,-0.10290146,2.6256804,2.4826348,-9.116617,13.275001,-9.375,38.325,sit_to_stand
458,sit_to_stand,2.8965118,2.3264217,-9.17468,-0.03634645,0.04321868,0.017867792,13.125001,-9.375,38.100002,92.49229,-164.33835,-14.142911,-0.03634645,0.04321868,0.017867792,0.23849487,-0.15908313,-0.027044296,2.6666398,2.4710069,-9.107884,13.125001,-9.375,38.100002,sit_to_stand
477,sit_to_stand,2.8803604,2.315654,-9.205488,-0.036804598,0.052534364,-0.003359756,13.200001,-9.375,38.100002,92.419235,-164.08925,-14.200281,-0.036804598,0.052534364,-0.003359756,0.18508649,-0.16099048,-0.06254864,2.683907,2.4660656,-9.10415,13.200001,-9.375,38.100002,sit_to_stand
497,sit_to_stand,2.8929226,2.3967109,-9.262018,-0.05238165,0.07391463,-0.010690132,13.425,-9.675,38.25,92.419235,-164.08925,-14.200281,-0.05238165,0.07391463,-0.010690132,0.17732954,-0.08340073,-0.1179266,2.7019663,2.4676218,-9.098385,13.425,-9.675,38.25,sit_to_stand
517,sit_to_stand,3.2033913,2.228017,-8.919247,-0.07559451,0.1047633,-0.014660753,13.425,-9.675,38.25,92.41352,-163.96439,-14.219505,-0.07559451,0.1047633,-0.014660753,0.3537779,-0.13392043,-0.035147667,2.7337391,2.4709651,-9.087981,13.425,-9.675,38.25,sit_to_stand
537,sit_to_stand,3.2033913,2.228017,-8.919247,-0.08353575,0.14614938,-0.034972005,13.425,-9.825001,37.95,92.427055,-163.67079,-14.287244,-0.08353575,0.14614938,-0.034972005,0.4137118,-0.25751472,0.1995058,2.8198423,2.476161,-9.060215,13.425,-9.825001,37.95,sit_to_stand
557,sit_to_stand,3.094817,2.2546372,-8.599206,-0.04596757,0.1869246,-0.05161807,13.125001,-10.200001,37.65,92.43092,-163.48994,-14.332243,-0.04596757,0.1869246,-0.05161807,0.23007989,-0.22835612,0.4598055,2.860784,2.4795723,-9.046436,13.125001,-10.200001,37.65,sit_to_stand
577,sit_to_stand,3.0287154,2.298007,-8.650353,-0.012370011,0.1537852,-0.04230238,12.900001,-10.35,37.425003,92.428406,-163.28886,-14.377522,-0.012370011,0.1537852,-0.04230238,0.13736892,-0.18077922,0.3844118,2.8919115,2.4794033,-9.036581,12.900001,-10.35,37.425003,sit_to_stand
595,sit_to_stand,2.9030921,2.3024936,-9.008678,0.015729766,0.10995565,-0.030085087,12.900001,-10.35,37.425003,92.42001,-163.08241,-14.412683,0.015729766,0.10995565,-0.030085087,0.107884884,-0.14258552,0.21522522,2.9136207,2.4747105,-9.030892,12.900001,-10.35,37.425003,sit_to_stand
615,sit_to_stand,2.9030921,2.3024936,-9.008678,0.04917461,0.030543236,-0.016493347,12.675,-10.575001,37.050003,92.395065,-162.71991,-14.418554,0.04917461,0.030543236,-0.016493347,-0.01616764,-0.15920043,0.010081291,2.9230201,2.4650178,-9.030505,12.675,-10.575001,37.050003,sit_to_stand
635,sit_to_stand,2.5848467,2.283351,-9.05833,0.04917461,0.030543236,-0.016493347,12.450001,-10.575001,36.75,92.37774,-162.63573,-14.393496,0.04917461,0.030543236,-0.016493347,-0.32551193,-0.1657424,-0.037596703,2.8922975,2.4348755,-9.048556,12.450001,-10.575001,36.75,sit_to_stand
655,sit_to_stand,2.1831515,2.251646,-9.337093,0.09239329,-0.06398808,0.06475166,12.225,-10.575001,36.45,92.33312,-162.62091,-14.269628,0.09239329,-0.06398808,0.06475166,-0.6720593,-0.15613008,-0.29104424,2.8611443,2.4126215,-9.064408,12.225,-10.575001,36.45,sit_to_stand
