elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
176,sitting,1.0588241,-8.589037,-5.037789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
194,sitting,0.81655073,-8.712566,-5.1236315,0.004886918,-0.004886918,0.01679878,0.0,0.0,0.0,0.0,0.0,0.0,0.004886918,-0.004886918,0.01679878,0.0,0.0,0.0,1.0370874,-8.411496,-4.9337177,0.0,0.0,0.0,sitting
214,sitting,0.7893324,-8.780462,-5.0440702,0.23991711,0.31154102,0.22586723,-25.875002,26.250002,2.325,0.0,0.0,0.0,0.23991711,0.31154102,0.22586723,-0.0942179,-0.07065678,-0.002017498,0.85753554,-8.454579,-4.8943973,-25.875002,26.250002,2.325,sitting
234,sitting,0.95653087,-8.632706,-4.726423,-0.06459895,-0.018936805,0.23732094,-25.875002,26.250002,2.325,-72.89765,-171.10788,59.823326,-0.06459895,-0.018936805,0.23732094,0.08161646,-0.019482613,0.11841011,0.85134333,-8.468865,-4.8707223,-25.875002,26.250002,2.325,sitting
255,sitting,0.86261255,-8.479864,-4.8245287,-0.15073086,-0.07987056,0.20387611,-25.875002,26.250002,2.325,-74.47061,-169.41074,60.179607,-0.15073086,-0.07987056,0.20387611,0.09220433,0.058045387,0.24618196,0.84332794,-8.480308,-4.852173,-25.875002,26.250002,2.325,sitting
274,sitting,0.875474,-8.466703,-5.1343994,-0.21731512,-0.12965603,0.15729767,-25.800001,26.325,2.025,-74.05251,-169.6445,60.124092,-0.21731512,-0.12965603,0.15729767,0.025390506,0.16285133,0.14986277,0.82034343,-8.469593,-4.874775,-25.800001,26.325,2.025,sitting
294,sitting,0.951147,-8.499306,-5.2310095,-0.32314745,-0.13133591,0.105374165,-25.650002,26.550001,1.725,-72.28428,-170.29872,59.789917,-0.32314745,-0.13133591,0.105374165,0.13946271,0.066474915,-0.13362885,0.795858,-8.399506,-4.9985313,-25.650002,26.550001,1.725,sitting
314,sitting,0.9667004,-8.402397,-5.133502,-0.31871867,-0.10858121,0.08231402,-25.575,26.625002,1.4250001,-71.2686,-170.60455,59.536373,-0.31871867,-0.10858121,0.08231402,0.15571707,0.12291336,0.007938862,0.7961473,-8.369972,-5.0477805,-25.575,26.625002,1.4250001,sitting
336,sitting,1.000499,-8.254042,-5.125127,-0.21441352,-0.121867515,0.05009091,-25.500002,26.7,1.125,-71.2686,-170.60455,59.536373,-0.21441352,-0.121867515,0.05009091,0.18667519,0.22469234,0.049444675,0.8007686,-8.342934,-5.0916204,-25.500002,26.7,1.125,sitting
353,sitting,0.88265246,-7.936095,-5.297111,-0.21441352,-0.121867515,0.05009091,-25.425001,26.625002,1.0500001,-69.76049,-171.09723,59.003086,-0.21441352,-0.121867515,0.05009091,0.09832889,0.40452957,0.014122009,0.79653406,-8.314836,-5.1380377,-25.425001,26.625002,1.0500001,sitting
373,sitting,0.8117651,-7.954939,-5.421837,-0.12095121,-0.098501936,0.058948446,-25.2,26.925001,0.6,-69.051674,-171.31758,58.756493,-0.12095121,-0.098501936,0.058948446,0.028434336,0.37319708,-0.1579113,0.77712846,-8.263508,-5.2231126,-25.2,26.925001,0.6,sitting
393,sitting,0.9317053,-8.114361,-5.4382877,-0.07574722,-0.0623082,0.06994401,-25.2,27.075,0.375,-68.26371,-171.52983,58.535446,-0.07574722,-0.0623082,0.06994401,0.1513744,0.19339848,-0.151793,0.7746476,-8.247752,-5.248324,-25.2,27.075,0.375,sitting
