elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
215,stand_to_sit,1.9312229,0.7062895,8.634389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
237,stand_to_sit,1.5840636,0.15801731,9.355043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
258,stand_to_sit,1.3685856,-0.023942016,9.2425165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
280,stand_to_sit,1.2800001,-0.023942016,8.99352,-0.45569205,0.45920444,0.18905723,0.0,0.0,0.0,0.0,0.0,0.0,-0.45569205,0.45920444,0.18905723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
302,stand_to_sit,1.0860697,0.272939,8.081328,-0.3865136,0.40285376,0.17409147,-11.925,14.250001,-42.600002,24.765272,-8.152653,-0.20326322,-0.3865136,0.40285376,0.17409147,-0.2739619,-0.28282207,-0.3274517,1.6338375,0.36925477,9.662537,-11.925,14.250001,-42.600002,stand_to_sit
320,stand_to_sit,0.911293,0.4189853,7.741352,-0.2959555,0.23120569,0.10384403,-11.55,14.925,-42.975002,20.934883,-8.210774,-0.9643069,-0.2959555,0.23120569,0.10384403,-0.29960334,-0.028630167,-0.68923473,1.5422684,0.3120123,9.679589,-11.55,14.925,-42.975002,stand_to_sit
338,stand_to_sit,0.7508815,0.5315128,7.152378,-0.32252735,0.020310672,0.0452027,-11.475,15.225,-42.375,20.55764,-8.048656,-0.81665725,-0.32252735,0.020310672,0.0452027,-0.4583165,0.21210626,-1.0525384,1.4609274,0.3095541,9.692278,-11.475,15.225,-42.375,stand_to_sit
359,stand_to_sit,0.6335656,0.49081135,7.2122335,-0.43538138,-0.17561859,-0.00167983,-11.85,15.6,-42.9,20.493544,-7.932468,-0.6028752,-0.43538138,-0.17561859,-0.00167983,-0.5172007,0.25776803,-1.1297412,1.3868173,0.28732276,9.703842,-11.85,15.6,-42.9,stand_to_sit
380,stand_to_sit,1.1938088,0.01436521,7.6048822,-0.5323534,-0.3578038,-0.0027488125,-11.475,15.825001,-42.45,20.089634,-7.935141,-0.29424518,-0.5323534,-0.3578038,-0.0027488125,-0.4649312,0.082676485,-0.83464336,1.3885858,0.22327253,9.705276,-11.475,15.825001,-42.45,stand_to_sit
399,stand_to_sit,1.8163012,-0.32800564,7.8203607,-0.6100837,-0.45584476,-0.0070247436,-11.625,16.125,-41.475002,19.253073,-8.107288,0.12059167,-0.6100837,-0.45584476,-0.0070247436,-0.08539832,-0.07285126,-0.5722089,1.4525813,0.12801498,9.697629,-11.625,16.125,-41.475002,stand_to_sit
419,stand_to_sit,1.8737621,-0.50038815,7.8873982,-0.6911737,-0.40361732,-0.13484453,-12.0,17.025002,-41.4,18.982801,-8.468214,0.66066,-0.6911737,-0.40361732,-0.13484453,0.49697888,-0.31380963,-0.21876192,1.6805253,-0.1279663,9.660738,-12.0,17.025002,-41.4,stand_to_sit
437,stand_to_sit,1.8737621,-0.50038815,7.8873982,-0.73378026,-0.3397838,-0.22005773,-11.925,17.325,-41.625,18.421228,-8.917716,1.3146356,-0.73378026,-0.3397838,-0.22005773,0.49697888,-0.31380963,-0.21876192,1.6805253,-0.1279663,9.660738,-11.925,17.325,-41.625,stand_to_sit
459,stand_to_sit,1.7325042,-1.2090719,8.579323,-0.9969027,-0.21074231,-0.38834614,-12.900001,18.0,-40.575,18.580612,-9.356652,2.0827818,-0.9969027,-0.21074231,-0.38834614,0.17215955,-0.30820414,-0.05735159,1.8159528,-0.42281577,9.6277685,-12.900001,18.0,-40.575,stand_to_sit
479,stand_to_sit,1.8091186,-1.5729905,9.077316,-1.2311627,-0.16492876,-0.4202629,-13.275001,18.75,-40.425003,19.190113,-9.921338,3.55182,-1.2311627,-0.16492876,-0.4202629,0.17099965,-0.5980134,0.4064045,1.8553575,-0.62244046,9.609402,-13.275001,18.75,-40.425003,stand_to_sit
501,stand_to_sit,1.7372926,-2.3104045,10.592846,-1.3951751,-9.162709E-4,-0.40544987,-13.425,19.800001,-39.825,19.401693,-10.076467,4.1463933,-1.3951751,-9.162709E-4,-0.40544987,0.25124657,-1.2220527,1.9456329,1.8802686,-1.136327,9.557391,-13.425,19.800001,-39.825,stand_to_sit
519,stand_to_sit,1.6199768,-2.528277,10.511443,-1.3463074,0.2791572,-0.3170297,-13.500001,20.475,-38.775,19.937132,-10.286209,5.471829,-1.3463074,0.2791572,-0.3170297,0.07181728,-1.2033081,2.2248306,1.8381602,-1.394305,9.531394,-13.500001,20.475,-38.775,stand_to_sit
539,stand_to_sit,1.4260464,-2.7820623,10.607211,-1.2940799,0.30160582,-0.33398074,-13.8,21.825,-38.625,20.541565,-10.3271885,6.904993,-1.2940799,0.30160582,-0.33398074,-0.033319354,-1.1351999,2.0648384,1.7770548,-1.6357095,9.504575,-13.8,21.825,-38.625,stand_to_sit
559,stand_to_sit,1.5122377,-2.9592333,10.518626,-1.1853491,-0.12033691,-0.38407022,-13.8,22.35,-37.725002,21.168856,-10.240311,8.354671,-1.1853491,-0.12033691,-0.38407022,-0.12249243,-1.0783837,2.090189,1.7200512,-1.8540802,9.474925,-13.8,22.35,-37.725002,stand_to_sit
579,stand_to_sit,1.409287,-3.4955344,10.245687,-1.1641221,-0.28648737,-0.3787253,-14.025001,23.400002,-37.2,21.821058,-10.210274,9.772648,-1.1641221,-0.28648737,-0.3787253,0.04137528,-1.2851651,1.8411322,1.7471024,-2.2689164,9.379234,-14.025001,23.400002,-37.2,stand_to_sit
602,stand_to_sit,0.79876554,-3.3255463,9.26167,-1.0628742,-0.54533386,-0.35215345,-14.1,24.300001,-36.525,22.48335,-10.393172,11.149042,-1.0628742,-0.54533386,-0.35215345,-0.42094505,-1.2130027,1.4370756,1.7993251,-2.4608114,9.320795,-14.1,24.300001,-36.525,stand_to_sit
