elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
213,standing,-0.59705406,4.2425256,8.761282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
236,standing,-0.71915835,4.1946416,8.847473,-0.004275931,0.018630842,-0.056961507,0.0,0.0,0.0,0.0,0.0,0.0,-0.004275931,0.018630842,-0.056961507,0.0,0.0,0.0,-0.7205668,4.272541,8.797532,0.0,0.0,0.0,standing
258,standing,-0.72155255,4.1683054,8.85705,0.016951011,-0.011147963,-0.049478628,23.475,-22.875,-37.2,-99.84698,4.6466618,-25.293129,0.016951011,-0.011147963,-0.049478628,5.136132E-4,-0.022281647,0.058036804,-0.72196996,4.2301397,8.8178835,23.475,-22.875,-37.2,standing
275,standing,-0.74788874,4.185065,8.761282,0.028709821,-0.012216945,-0.040926766,23.625,-22.35,-37.425003,-101.589676,4.6573524,-25.12959,0.028709821,-0.012216945,-0.040926766,-0.0075474977,-0.026002884,0.027898788,-0.72743034,4.2149816,8.824691,23.625,-22.35,-37.425003,standing
295,standing,-0.6736685,4.1156325,8.763676,0.021226943,-0.009009997,-0.03466558,23.775002,-23.025002,-37.65,-100.7383,4.685026,-25.151062,0.021226943,-0.009009997,-0.03466558,0.029505849,-0.0667181,-0.04815483,-0.72803646,4.2108254,8.826625,23.775002,-23.025002,-37.65,standing
316,standing,-0.62339026,4.187459,8.763676,0.016951011,-0.007941014,-0.019699825,23.925001,-22.650002,-37.2,-100.73666,4.6851764,-25.152765,0.016951011,-0.007941014,-0.019699825,0.052350044,-0.054451942,-0.0012140274,-0.7185672,4.2043343,8.830493,23.925001,-22.650002,-37.2,standing
336,standing,-0.6760627,4.285621,8.603265,0.044744562,-0.005803049,-0.0132859275,23.85,-22.425001,-36.9,-100.72174,4.6836815,-25.154312,0.044744562,-0.005803049,-0.0132859275,0.077142775,0.004131794,-0.006863594,-0.7055954,4.2095976,8.829032,23.85,-22.425001,-36.9,standing
355,standing,-0.70958155,4.31914,8.46919,0.05635066,-0.006872032,-0.027182704,23.775002,-22.425001,-37.5,-100.704636,4.68143,-25.157955,0.05635066,-0.006872032,-0.027182704,0.03892386,0.06807423,-0.11463261,-0.70148057,4.2312016,8.819027,23.775002,-22.425001,-37.5,standing
376,standing,-0.71915835,4.307169,8.495525,0.015882028,-0.035734564,-0.044133715,23.625,-22.650002,-37.725002,-99.85014,4.624574,-25.365608,0.015882028,-0.035734564,-0.044133715,-0.018350482,0.080905914,-0.21332264,-0.7059566,4.2755375,8.79726,23.625,-22.650002,-37.725002,standing
396,standing,-0.74310035,4.2640734,8.706215,-0.05650337,-0.035734564,-0.040926766,23.85,-22.35,-37.5,-99.40044,4.61607,-25.461458,-0.05650337,-0.035734564,-0.040926766,-0.036777437,0.043463707,-0.05620098,-0.70780593,4.276014,8.79688,23.85,-22.35,-37.5,standing
