elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
273,running,4.033332,1.6424223,9.015067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
291,running,4.363732,0.6943185,10.087669,0.39598173,-1.8365123,0.09422319,0.0,0.0,0.0,0.0,0.0,0.0,0.39598173,-1.8365123,0.09422319,0.0,0.0,0.0,4.1223793,0.9760095,8.844421,0.0,0.0,0.0,running
309,running,3.9830537,0.4429273,9.699809,1.7392348,-3.2330618,-0.027182704,-30.675001,14.925,-36.825,35.46635,-23.392796,-3.6146586,1.7392348,-3.2330618,-0.027182704,-0.28968096,-0.25421858,0.20688248,4.161684,0.8471427,8.839294,-30.675001,14.925,-36.825,running
329,running,3.475483,0.49799395,7.2696943,2.2761695,-3.697611,-0.028251685,-33.0,14.625001,-36.0,40.166733,-22.79841,-2.6591382,2.2761695,-3.697611,-0.028251685,-1.3725317,-0.59638816,-1.6158929,4.3422976,0.8644863,8.750286,-33.0,14.625001,-36.0,running
349,running,3.0660746,0.2705448,4.159626,3.0441573,-4.421923,0.15714046,-35.025,12.825001,-34.5,37.899574,-24.966284,-3.901195,3.0441573,-4.421923,0.15714046,-1.8172064,-0.9273678,-2.9486718,5.355796,1.3507607,8.103164,-35.025,12.825001,-34.5,running
369,running,3.082834,-0.61291564,2.0599113,3.068744,-4.444372,0.28389126,-38.325,11.1,-31.725,35.945152,-28.46425,-5.8523116,3.068744,-4.444372,0.28389126,-2.1761713,-1.4340808,-3.5243738,6.0195656,1.5522302,7.584577,-38.325,11.1,-31.725,running
389,running,1.3997102,-0.2657564,2.0479403,3.1518192,-4.678632,0.56075776,-40.800003,9.75,-29.175001,33.184303,-32.84057,-8.166808,3.1518192,-4.678632,0.56075776,-2.02311,-1.8486509,-3.2372425,6.7003183,1.6361376,6.971311,-40.800003,9.75,-29.175001,running
410,running,-0.0104746325,-0.36391866,1.5044565,3.3402655,-4.970617,1.1360232,-43.425003,7.8750005,-25.425001,30.77324,-37.873833,-10.447392,3.3402655,-4.970617,1.1360232,-4.1279774,-1.4207306,-2.5786586,7.1121125,1.8199147,6.502011,-43.425003,7.8750005,-25.425001,running
429,running,1.2009914,-0.9744401,0.44861355,3.4393754,-5.0376573,1.4428213,-45.300003,7.1250005,-21.975,27.792027,-43.47744,-12.557014,3.4393754,-5.0376573,1.4428213,-4.0141487,-2.0394583,-2.103656,7.991269,1.8712122,5.367361,-45.300003,7.1250005,-21.975,running
450,running,2.13473,-0.7637503,-0.22894554,3.5693333,-4.855472,1.9041636,-47.325,6.8250003,-17.1,23.525812,-49.651024,-14.232015,3.5693333,-4.855472,1.9041636,-2.974802,-1.812078,-2.1706488,9.04321,1.5011948,3.4838417,-47.325,6.8250003,-17.1,running
