elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
221,sitting,9.3317,-3.0214825,-0.64793086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
250,sitting,9.0994625,-2.6168625,-0.8610148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
276,sitting,9.621399,-2.8514943,-0.38935706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
298,sitting,9.630976,-2.8299465,-0.35823244,-0.029931515,0.0015271181,0.015423893,-26.025002,27.300001,-2.25,-9.681893,-92.13052,16.363985,-0.029931515,0.0015271181,0.015423893,0.0,0.0,0.0,0.0,0.0,0.0,-26.025002,27.300001,-2.25,sitting
315,sitting,9.595062,-2.7940333,-0.44202948,-0.0,0.007941014,-0.007941014,-25.725,27.225,-3.15,-11.007078,-92.09409,16.331821,-0.0,0.007941014,-0.007941014,0.33508205,0.030393362,0.32375503,9.350867,-2.8747368,-0.6837803,-25.725,27.225,-3.15,sitting
336,sitting,9.57112,-2.7964275,-0.47794253,0.027640838,-4.5813544E-4,-0.017561859,-26.175001,27.375002,-2.775,-11.007677,-92.09402,16.331558,0.027640838,-4.5813544E-4,-0.017561859,0.22171879,0.040798426,0.14788023,9.366716,-2.838867,-0.6130737,-26.175001,27.375002,-2.775,sitting
356,sitting,9.398738,-2.8299465,-0.6407482,-0.006413896,-0.022906773,-0.007941014,-25.500002,27.525002,-2.775,-11.010289,-92.09464,16.330814,-0.006413896,-0.022906773,-0.007941014,0.086933136,0.011921167,0.034299433,9.369086,-2.8322225,-0.60755736,-25.500002,27.525002,-2.775,sitting
376,sitting,9.525631,-2.873042,-0.67426705,-0.018172706,-0.030389652,0.0038177953,-26.400002,27.675001,-3.0,-11.014902,-92.09678,16.33007,-0.018172706,-0.030389652,0.0038177953,0.011789322,0.0079443455,-0.033896267,9.369448,-2.8295212,-0.6145191,-26.400002,27.675001,-3.0,sitting
396,sitting,9.654918,-2.908955,-0.68144965,-0.008551862,-0.028251685,0.0132859275,-25.575,27.675001,-2.8500001,-11.036552,-92.100876,16.32962,-0.008551862,-0.028251685,0.0132859275,0.2107935,-0.062129974,-0.03326702,9.368185,-2.8304093,-0.6295029,-25.575,27.675001,-2.8500001,sitting
416,sitting,9.633369,-2.8921957,-0.69581485,-0.003206948,-0.0025961008,6.1084726E-4,-25.575,27.150002,-3.15,-11.049153,-92.106995,16.329834,-0.003206948,-0.0025961008,6.1084726E-4,0.22580814,-0.05361128,-0.051310003,9.367693,-2.8307328,-0.63534933,-25.575,27.150002,-3.15,sitting
437,sitting,9.484929,-2.8538885,-0.66947865,-0.0010689828,0.016492875,-0.009009997,-26.1,27.300001,-2.325,-11.06588,-92.11055,16.330053,-0.0010689828,0.016492875,-0.009009997,0.12539768,-0.029767275,-0.04847914,9.367706,-2.829957,-0.6386109,-26.1,27.300001,-2.325,sitting
457,sitting,9.3317,-2.8562827,-0.6359598,-0.007482879,0.017561859,-0.0036650836,-25.500002,27.6,-1.95,-11.051837,-92.11506,16.330536,-0.007482879,0.017561859,-0.0036650836,-0.014929771,0.008530617,-0.020256042,9.368229,-2.8283737,-0.6379448,-25.500002,27.6,-1.95,sitting
476,sitting,9.353249,-2.858677,-0.6359598,-0.02779355,0.018630842,0.02183779,-26.175001,27.375002,-1.95,-11.038306,-92.12442,16.331972,-0.02779355,0.018630842,0.02183779,-0.062895775,-0.0105547905,0.0039958954,9.366478,-2.8344305,-0.6367675,-26.175001,27.375002,-1.95,sitting
497,sitting,9.286211,-2.8179753,-0.49709612,-0.022448637,0.040010497,0.030389652,-25.575,27.45,-2.8500001,-11.007511,-92.13482,16.334253,-0.022448637,0.040010497,0.030389652,-0.06097889,0.041158915,0.049844325,9.366113,-2.8369977,-0.63068146,-25.575,27.45,-2.8500001,sitting
517,sitting,9.176077,-2.801216,-0.39653966,-0.007482879,0.048409645,0.044286426,-25.875002,27.525002,-2.8500001,-10.102356,-92.438446,16.455896,-0.007482879,0.048409645,0.044286426,-0.13275146,0.038450956,0.13646778,9.365372,-2.8426323,-0.616154,-25.875002,27.525002,-2.8500001,sitting
537,sitting,9.367614,-2.834735,-0.4540005,0.02015796,0.011147963,0.09529217,-25.800001,27.45,-2.625,-9.937673,-92.47754,16.504227,0.02015796,0.011147963,0.09529217,-0.18082714,0.058175802,0.22854531,9.363801,-2.8511844,-0.60029685,-25.800001,27.45,-2.625,sitting
558,sitting,9.75308,-2.858677,-0.4707599,0.034054734,0.030389652,0.10384403,-25.725,27.675001,-2.5500002,-9.6522,-92.56776,16.655767,0.034054734,0.030389652,0.10384403,0.33736134,0.027248144,0.1108785,9.358464,-2.8728013,-0.58012635,-25.725,27.675001,-2.5500002,sitting
577,sitting,10.480917,-3.0430303,-0.36541504,0.03298575,-0.044133715,0.020768806,-26.025002,27.375002,-2.325,-9.607822,-92.57564,16.693642,0.03298575,-0.044133715,0.020768806,0.8861933,-0.08172417,0.17091662,9.357146,-2.8799248,-0.565872,-26.025002,27.375002,-2.325,sitting
598,sitting,9.875184,-3.0262709,-0.39414546,0.04367558,-0.087809294,-0.036803547,-25.500002,27.525002,-2.5500002,-9.568122,-92.56773,16.753675,0.04367558,-0.087809294,-0.036803547,0.75437164,-0.14706206,0.22537088,9.359283,-2.8720157,-0.57073,-25.500002,27.525002,-2.5500002,sitting
618,sitting,9.427468,-2.8921957,-0.77961195,0.058488626,-0.08261709,-0.044133715,-25.575,27.750002,-2.5500002,-9.573165,-92.58818,16.782763,0.058488626,-0.08261709,-0.044133715,0.22329998,-0.07345748,0.047816098,9.359283,-2.8720157,-0.57073,-25.575,27.750002,-2.5500002,sitting
637,sitting,9.121011,-2.8323407,-0.9184756,0.051158458,-0.052685577,-0.019699825,-25.800001,27.45,-2.4750001,-9.599343,-92.670975,16.777176,0.051158458,-0.052685577,-0.019699825,-0.31603718,0.07764006,-0.3088354,9.359757,-2.8623326,-0.6102412,-25.800001,27.45,-2.4750001,sitting
659,sitting,9.288605,-2.9161377,-0.7508815,0.018019995,-0.031458635,0.020768806,-25.725,27.300001,-2.4750001,-9.631598,-92.76747,16.769772,0.018019995,-0.031458635,0.020768806,-0.28133297,0.02684474,-0.24625331,9.357627,-2.8663952,-0.62367976,-25.725,27.300001,-2.4750001,sitting
681,sitting,9.350854,-2.896984,-0.7077859,-0.007482879,0.012216945,0.0132859275,-25.800001,27.45,-2.5500002,-9.632468,-92.771805,16.770336,-0.007482879,0.012216945,0.0132859275,-0.1525135,-0.015817642,-0.109674335,9.3557205,-2.870896,-0.6315412,-25.800001,27.45,-2.5500002,sitting
698,sitting,9.55915,-2.930503,-0.55216277,-0.0053449133,0.046271678,0.015423893,-25.425001,27.150002,-2.9250002,-9.632812,-92.77764,16.77155,-0.0053449133,0.046271678,0.015423893,-8.878708E-4,-0.009129763,-0.04461807,9.355151,-2.874887,-0.62174284,-25.425001,27.150002,-2.9250002,sitting
718,sitting,9.609427,-2.9496565,-0.49470192,0.0010689828,0.064444385,6.1084726E-4,-25.725,27.525002,-3.0,-9.632844,-92.78306,16.773806,0.0010689828,0.064444385,6.1084726E-4,0.089466095,-0.036269188,0.14706954,9.355922,-2.8754961,-0.607149,-25.725,27.525002,-3.0,sitting
738,sitting,9.70759,-2.956839,-0.49709612,-0.008551862,0.02183779,-0.0047340663,-25.725,27.45,-2.775,-9.633173,-92.78745,16.778734,-0.008551862,0.02183779,-0.0047340663,0.19509125,-0.046925783,0.10905701,9.356786,-2.8745246,-0.5983587,-25.725,27.45,-2.775,sitting
758,sitting,9.580697,-2.930503,-0.602441,-0.0010689828,-4.5813544E-4,-0.018630842,-25.725,27.525002,-3.075,-9.633053,-92.78915,16.78011,-0.0010689828,-4.5813544E-4,-0.018630842,0.21893883,-0.045130253,0.06707102,9.357536,-2.8724225,-0.5967279,-25.725,27.525002,-3.075,sitting
778,sitting,9.336489,-2.789245,-0.7149685,0.007482879,0.012216945,-0.017561859,-26.025002,27.675001,-2.5500002,-9.632392,-92.79363,16.782526,0.007482879,0.012216945,-0.017561859,0.045930862,0.018304586,-0.038577557,9.358525,-2.8688219,-0.5985347,-26.025002,27.675001,-2.5500002,sitting
798,sitting,9.384373,-2.8395233,-0.68384385,0.0053449133,0.017561859,-4.5813544E-4,-25.800001,27.525002,-2.8500001,-9.631502,-92.79907,16.784197,0.0053449133,0.017561859,-4.5813544E-4,-0.088217735,0.06396127,-0.08351761,9.360254,-2.8630862,-0.598969,-25.800001,27.525002,-2.8500001,sitting
820,sitting,9.549573,-2.885013,-0.48991352,0.004275931,0.017561859,0.009009997,-25.500002,27.825,-2.5500002,-9.630371,-92.80533,16.785723,0.004275931,0.017561859,0.009009997,0.09715462,0.0012104511,0.04672253,9.360284,-2.8638256,-0.5949689,-25.500002,27.825,-2.5500002,sitting
838,sitting,9.475352,-2.882619,-0.5210382,0.021226943,0.025044737,-0.014354911,-25.800001,27.150002,-2.325,-9.629572,-92.81039,16.78692,0.021226943,0.025044737,-0.014354911,0.07902336,0.011346102,0.104644775,9.360902,-2.8631678,-0.5883646,-25.800001,27.150002,-2.325,sitting
859,sitting,9.472959,-2.8802247,-0.56892216,0.015882028,0.022906773,-0.011147963,-25.800001,27.375002,-2.325,-9.629038,-92.815346,16.788177,0.015882028,0.022906773,-0.011147963,-0.041825294,0.027384043,0.05898297,9.361893,-2.8611877,-0.5822065,-25.800001,27.375002,-2.325,sitting
879,sitting,9.535208,-2.834735,-0.5354034,0.007482879,0.030389652,0.006872032,-25.800001,27.6,-2.325,-9.628506,-92.82089,16.789381,0.007482879,0.030389652,0.006872032,0.04041004,0.02136302,0.023053408,9.362972,-2.8596735,-0.5721833,-25.800001,27.6,-2.325,sitting
898,sitting,9.54239,-2.861071,-0.5880758,0.022295926,0.036803547,-4.5813544E-4,-26.175001,27.300001,-2.1750002,-9.627895,-92.82667,16.789986,0.022295926,0.036803547,-4.5813544E-4,0.064409256,0.06474233,0.029020667,9.363832,-2.858368,-0.5645945,-26.175001,27.300001,-2.1750002,sitting
919,sitting,9.590274,-2.9137435,-0.57371056,0.006413896,-0.017561859,-0.007941014,-25.875002,27.750002,-2.7,-9.627504,-92.83234,16.789343,0.006413896,-0.017561859,-0.007941014,0.06911278,0.028856754,-0.018741429,9.364659,-2.8561003,-0.5623386,-25.875002,27.750002,-2.7,sitting
939,sitting,9.549573,-2.8921957,-0.56413376,0.018019995,-0.016492875,-0.01007898,-25.500002,27.675001,-2.9250002,-9.626939,-92.83945,16.788902,0.018019995,-0.016492875,-0.01007898,0.117982864,-0.01935172,0.013738036,9.364859,-2.8548167,-0.56553084,-25.500002,27.675001,-2.9250002,sitting
959,sitting,9.460987,-2.930503,-0.602441,0.025502874,-0.0036650836,-0.005803049,-25.875002,27.45,-2.25,-9.625992,-92.852974,16.789253,0.025502874,-0.0036650836,-0.005803049,-0.009380341,-0.037778854,-0.023370266,9.3649645,-2.8536963,-0.5694308,-25.875002,27.45,-2.25,sitting
980,sitting,9.458593,-2.9017725,-0.56652796,0.02443389,0.005803049,0.004886778,-25.800001,27.525002,-2.625,-9.625842,-92.857864,16.78995,0.02443389,0.005803049,0.004886778,0.04026413,-0.050869465,0.075703114,9.36459,-2.8552606,-0.56775016,-25.800001,27.525002,-2.625,sitting
999,sitting,9.530419,-2.942474,-0.5186439,0.013744064,-0.009009997,0.004886778,-25.500002,27.675001,-2.4750001,-9.625922,-92.86736,16.792389,0.013744064,-0.009009997,0.004886778,0.04026413,-0.050869465,0.075703114,9.364146,-2.8573017,-0.5647715,-25.500002,27.675001,-2.4750001,sitting
1020,sitting,9.477747,-2.930503,-0.5330092,0.0053449133,-0.025044737,-0.0132859275,-25.500002,27.45,-2.25,-9.626664,-92.87563,16.795767,0.0053449133,-0.025044737,-0.0132859275,0.060012817,-0.05754137,0.066910625,9.363977,-2.8574548,-0.5668117,-25.500002,27.45,-2.25,sitting
1040,sitting,9.561543,-2.8634653,-0.4707599,0.018019995,-0.015423893,-4.5813544E-4,-25.875002,27.675001,-2.5500002,-9.627775,-92.8835,16.799572,0.018019995,-0.015423893,-4.5813544E-4,0.053855896,0.019226313,0.057693124,9.364298,-2.8563728,-0.56696266,-25.875002,27.675001,-2.5500002,sitting
1059,sitting,9.590274,-2.9041667,-0.49949032,0.008551862,-0.087809294,0.00167983,-25.575,27.225,-2.8500001,-9.629544,-92.8906,16.802046,0.008551862,-0.087809294,0.00167983,0.08787918,0.015254974,0.0956783,9.364375,-2.8557823,-0.5686529,-25.575,27.225,-2.8500001,sitting
1081,sitting,9.695619,-2.9831753,-0.55695117,0.008551862,-0.09529217,-0.01007898,-25.800001,27.300001,-2.5500002,-9.659879,-92.99185,16.839622,0.008551862,-0.09529217,-0.01007898,0.13736725,-0.054383755,0.043607652,9.363503,-2.8564413,-0.5795982,-25.800001,27.300001,-2.5500002,sitting
1100,sitting,9.501689,-2.9041667,-0.5976526,0.038330667,-0.029320668,-0.027182704,-25.575,27.45,-2.25,-9.700482,-93.16126,16.917511,0.038330667,-0.029320668,-0.027182704,0.1892271,-0.08302164,0.039045513,9.362725,-2.8562658,-0.59287673,-25.575,27.45,-2.25,sitting
1120,sitting,9.283816,-2.822764,-0.78440034,0.042606596,0.043217443,-0.006872032,-25.575,27.45,-2.4750001,-9.72953,-93.30777,16.953331,0.042606596,0.043217443,-0.006872032,-0.1862545,0.060457468,-0.14685023,9.363887,-2.8501632,-0.60380286,-25.575,27.45,-2.4750001,sitting
1140,sitting,9.379584,-2.8419175,-0.7532757,0.03298575,0.06658235,0.004886778,-26.025002,27.375002,-2.7,-9.749349,-93.3669,16.958895,0.03298575,0.06658235,0.004886778,-0.13445473,0.029439688,-0.17008072,9.364157,-2.8502247,-0.5993045,-26.025002,27.375002,-2.7,sitting
1159,sitting,9.472959,-2.9520507,-0.65750766,0.03298575,0.072996244,0.0132859275,-25.800001,27.675001,-2.5500002,-9.782819,-93.42619,16.956139,0.03298575,0.072996244,0.0132859275,-0.041589737,0.041198492,-0.015372932,9.364631,-2.8513849,-0.58624226,-25.800001,27.675001,-2.5500002,sitting
1180,sitting,9.444228,-2.930503,-0.638354,-0.009620844,-0.012216945,0.006872032,-25.800001,28.050001,-2.7,-9.798345,-93.436775,16.958935,-0.009620844,-0.012216945,0.006872032,0.0026550293,-0.037961245,-0.03733462,9.364255,-2.8542922,-0.5780483,-25.800001,28.050001,-2.7,sitting
1199,sitting,9.561543,-2.9281087,-0.5976526,-0.014965758,-0.02611372,0.0038177953,-25.725,27.675001,-2.625,-9.798683,-93.43895,16.960175,-0.014965758,-0.02611372,0.0038177953,0.059246063,-0.030086756,6.766319E-4,9.362634,-2.8574767,-0.58846724,-25.725,27.675001,-2.625,sitting
1219,sitting,9.501689,-2.9400797,-0.55934536,-0.010689827,-0.0132859275,-4.5813544E-4,-26.175001,27.45,-2.5500002,-9.79833,-93.442474,16.961174,-0.010689827,-0.0132859275,-4.5813544E-4,0.0767107,-0.05914569,-0.004581213,9.36203,-2.8586268,-0.5924864,-26.175001,27.45,-2.5500002,sitting
1245,sitting,9.501689,-2.9400797,-0.55934536,-0.010689827,-0.0132859275,-4.5813544E-4,-25.875002,27.750002,-3.0,-9.798069,-93.44429,16.962301,-0.010689827,-0.0132859275,-4.5813544E-4,0.0767107,-0.05914569,-0.004581213,9.36203,-2.8586268,-0.5924864,-25.875002,27.750002,-3.0,sitting
1274,sitting,9.4657755,-2.9281087,-0.54019177,-0.04902049,-0.065513365,-0.0047340663,-25.800001,27.525002,-3.075,-9.797607,-93.44712,16.964626,-0.04902049,-0.065513365,-0.0047340663,-0.008350372,-0.024178505,0.06604797,9.361869,-2.8584592,-0.59582937,-25.800001,27.525002,-3.075,sitting
1290,sitting,9.535208,-2.8323407,-0.55695117,-0.041537613,-0.040010497,-0.009009997,-26.1,27.750002,-2.8500001,-9.726089,-93.618286,17.022331,-0.041537613,-0.040010497,-0.009009997,0.06257534,0.047069073,-0.06614286,9.360928,-2.8555064,-0.62410915,-26.1,27.750002,-2.8500001,sitting
1310,sitting,9.535208,-2.882619,-0.5114613,-0.0053449133,-0.028251685,-0.011147963,-25.425001,27.45,-2.4750001,-9.6979265,-93.67167,17.01231,-0.0053449133,-0.028251685,-0.011147963,0.04692459,0.013446093,0.11763817,9.36265,-2.8488073,-0.6288708,-25.425001,27.45,-2.4750001,sitting
1330,sitting,9.4418335,-2.8491,-0.54737437,-0.012827792,-0.05054761,-0.011147963,-25.875002,27.45,-2.8500001,-9.69584,-93.674706,17.009691,-0.012827792,-0.05054761,-0.011147963,-0.013938904,0.01745987,0.11660993,9.363071,-2.8467817,-0.63176465,-25.875002,27.45,-2.8500001,sitting
1351,sitting,9.45141,-2.8778305,-0.69820905,-0.008551862,-0.03466558,-0.0015271181,-25.875002,27.150002,-2.625,-9.676718,-93.70926,16.971619,-0.008551862,-0.03466558,-0.0015271181,-0.044685364,0.03534031,0.02266848,9.363053,-2.8447309,-0.64119345,-25.875002,27.150002,-2.625,sitting
1371,sitting,9.43944,-2.8562827,-0.80115974,-0.003206948,-0.007941014,6.1084726E-4,-25.800001,27.45,-2.025,-9.6750345,-93.713264,16.969309,-0.003206948,-0.007941014,6.1084726E-4,-0.032536507,0.009397984,-0.07550591,9.362606,-2.8441565,-0.6502069,-25.800001,27.45,-2.025,sitting
1390,sitting,9.472959,-2.8658595,-0.70299745,-0.017103724,0.005803049,0.012216945,-25.875002,27.750002,-2.25,-9.672512,-93.71945,16.966938,-0.017103724,0.005803049,0.012216945,-0.019213676,0.01865244,-0.05048734,9.3619175,-2.8451471,-0.6557628,-25.875002,27.750002,-2.25,sitting
1410,sitting,9.628581,-2.89459,-0.6072294,-0.021379653,-0.019699825,0.0132859275,-25.800001,27.45,-2.25,-9.671122,-93.7224,16.965675,-0.021379653,-0.019699825,0.0132859275,0.09487152,-0.0017004013,0.038016558,9.361406,-2.8464558,-0.6573725,-25.800001,27.45,-2.25,sitting
1431,sitting,9.614216,-2.956839,-0.6311714,-0.009620844,-0.025044737,-0.014354911,-26.025002,27.375002,-2.775,-9.668295,-93.72774,16.963215,-0.009620844,-0.025044737,-0.014354911,0.15633869,-0.050617218,0.041606665,9.36095,-2.8471434,-0.6608846,-26.025002,27.375002,-2.775,sitting
1451,sitting,9.415498,-2.896984,-0.68623805,-0.01175881,-0.018630842,-0.018630842,-26.025002,27.300001,-2.25,-9.665548,-93.73266,16.961685,-0.01175881,-0.018630842,-0.018630842,0.07045078,-0.06536174,0.03413701,9.36089,-2.8465407,-0.66431284,-26.025002,27.300001,-2.25,sitting
1471,sitting,9.386767,-2.858677,-0.7053917,-0.008551862,0.012216945,0.005955761,-25.875002,27.075,-2.25,-9.662377,-93.73877,16.960787,-0.008551862,0.012216945,0.005955761,-0.104379654,0.019796133,-0.027012706,9.361271,-2.843943,-0.6700607,-25.875002,27.075,-2.25,sitting
1491,sitting,9.516054,-2.8491,-0.68623805,-0.004275931,0.023975754,0.011147963,-25.725,27.675001,-2.25,-9.660407,-93.74258,16.96,-0.004275931,0.023975754,0.011147963,-0.015047073,0.036120176,-0.019803405,9.361293,-2.8442342,-0.66851413,-25.725,27.675001,-2.25,sitting
1511,sitting,9.604639,-2.8921957,-0.6072294,-0.003206948,0.017561859,0.0038177953,-25.575,27.375002,-2.775,-9.656558,-93.74931,16.957607,-0.003206948,0.017561859,0.0038177953,0.12214756,-0.01484704,0.06578696,9.36145,-2.8449361,-0.66331005,-25.575,27.375002,-2.775,sitting
