elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
259,stand_to_sit,5.287894,-7.589619,0.3696049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
291,stand_to_sit,4.6534305,-7.2927384,0.71676415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
310,stand_to_sit,4.780323,-6.9743094,0.19003975,-1.8015413,1.1974133,1.4843588,0.0,0.0,0.0,0.0,0.0,0.0,-1.8015413,1.1974133,1.4843588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
326,stand_to_sit,5.436334,-7.062895,-0.3438672,-1.8751484,1.0770764,1.3704358,-15.750001,41.925003,-11.925,-141.39838,-89.66636,53.690884,-1.8751484,1.0770764,1.3704358,0.47855902,0.4530406,-0.49734718,5.3168797,-8.225294,0.49568334,-15.750001,41.925003,-11.925,stand_to_sit
345,stand_to_sit,5.6015344,-7.285556,-0.55455697,-1.937913,0.96086276,1.1732849,-14.025001,43.050003,-9.975,-41.9836,-93.61992,52.35878,-1.937913,0.96086276,1.1732849,0.7478442,0.25507402,-0.56262004,5.293098,-8.253208,0.19506347,-14.025001,43.050003,-9.975,stand_to_sit
367,stand_to_sit,5.668572,-7.9463553,-0.69820905,-1.9006512,1.0077453,1.0700517,-13.35,43.425003,-9.150001,-38.33273,-94.88595,53.088924,-1.9006512,1.0077453,1.0700517,0.9578433,-0.038779736,-0.57962674,5.26742,-8.2714615,-0.0871505,-13.35,43.425003,-9.150001,stand_to_sit
384,stand_to_sit,5.850531,-9.102755,-0.56892216,-1.7739004,1.1771027,1.2021474,-11.700001,44.025,-6.6000004,-37.453278,-95.562195,53.45883,-1.7739004,1.1771027,1.2021474,1.0994616,-1.2406998,-0.13935554,5.0673246,-8.383314,-0.46114135,-11.700001,44.025,-6.6000004,stand_to_sit
404,stand_to_sit,5.632659,-9.387665,0.06314707,-1.5512466,1.4232742,1.3544011,-11.1,43.65,-5.7000003,-33.487804,-97.00644,54.394527,-1.5512466,1.4232742,1.3544011,1.1988196,-1.3655272,0.27359146,4.935636,-8.457884,-0.5235248,-11.1,43.65,-5.7000003,stand_to_sit
425,stand_to_sit,5.386056,-9.205706,0.3911527,-1.2412416,1.4243431,1.2980504,-10.35,43.575,-4.65,-30.074738,-98.37039,55.46601,-1.2412416,1.4243431,1.2980504,0.9295716,-1.0740662,0.62124515,4.7949796,-8.5381975,-0.5270107,-10.35,43.575,-4.65,stand_to_sit
446,stand_to_sit,5.1538186,-9.3182335,0.12539631,-0.8768712,1.2826265,1.1285403,-8.325001,44.025,-3.825,-26.331753,-99.49877,56.602196,-0.8768712,1.2826265,1.1285403,0.8006768,-0.7707367,0.8583808,4.6661005,-8.611594,-0.48819238,-8.325001,44.025,-3.825,stand_to_sit
