elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
245,standing,6.7435684,-7.381324,0.30496144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
263,standing,7.0428433,-7.668628,0.32411507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
282,standing,6.542455,-7.764396,0.29299045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
302,standing,5.7451863,-7.350199,0.37678748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
326,standing,5.5105543,-7.1969705,0.252289,-0.09376506,0.9616263,-0.76859856,-37.65,26.550001,22.425001,142.7115,-86.248375,51.92749,-0.09376506,0.9616263,-0.76859856,-1.3100977,0.15400743,-0.16619629,6.667965,-7.1787434,0.4174663,-37.65,26.550001,22.425001,standing
344,standing,5.4985833,-7.275979,-0.13796587,-0.21730891,0.72843534,-0.5523586,-39.075,25.35,20.925001,123.16354,-89.48812,52.755745,-0.21730891,0.72843534,-0.5523586,-1.1993308,0.04984474,-0.4666872,6.6240983,-7.219302,0.41640618,-39.075,25.35,20.925001,standing
363,standing,5.4866123,-7.4507556,-0.1858499,-0.39414918,0.55373305,-0.3669665,-40.125,24.750002,20.85,124.04574,-89.277145,52.49272,-0.39414918,0.55373305,-0.3669665,-1.0356345,-0.17647791,-0.61057925,6.5762854,-7.265411,0.369674,-40.125,24.750002,20.85,standing
385,standing,5.3836617,-7.216124,0.28101942,-0.48684525,0.35978904,-0.1783674,-40.125,24.225,20.325,125.022,-89.07815,52.139782,-0.48684525,0.35978904,-0.1783674,-1.0276132,-0.13603306,-0.37706414,6.528764,-7.309708,0.33734968,-40.125,24.225,20.325,standing
403,standing,5.7020907,-7.07726,0.63296705,-0.4538595,0.16172181,-0.027182704,-40.5,23.925001,19.800001,126.18322,-88.9999,51.83131,-0.4538595,0.16172181,-0.027182704,-0.6277914,0.09765053,0.28616855,6.463822,-7.3671227,0.33896837,-40.5,23.925001,19.800001,standing
423,standing,6.2790933,-6.931214,0.5228338,-0.4164451,0.06795676,0.019699825,-40.725002,23.550001,19.5,127.38002,-89.085625,51.615025,-0.4164451,0.06795676,0.019699825,-0.34392023,0.23776197,0.31016392,6.4552426,-7.374917,0.3329001,-40.725002,23.550001,19.5,standing
