elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
203,sitting,-0.29209262,4.458602,8.599374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
223,sitting,-0.21068975,4.396353,8.762179,-0.01304948,-0.005992108,0.005060002,1.1223999,-43.773598,-29.8778,-179.60155,1.644694,-27.01925,-0.01304948,-0.005992108,0.005060002,0.036758453,-0.021383762,0.04977131,-0.25074372,4.4550614,8.732694,1.1223999,-43.773598,-29.8778,sitting
244,sitting,-0.22505496,4.3915644,8.800487,-0.003462107,-6.6578976E-4,0.0018642114,1.3054,-43.737,-30.0364,-179.14748,1.5821724,-26.907557,-0.003462107,-6.6578976E-4,0.0018642114,0.024912924,-0.02001524,0.080994606,-0.24145368,4.438022,8.741627,1.3054,-43.737,-30.0364,sitting
263,sitting,-0.22505496,4.377199,8.776545,0.013582111,-6.6578976E-4,0.002929475,1.4518,-43.7614,-30.219398,-178.79915,1.5574069,-26.831285,0.013582111,-6.6578976E-4,0.002929475,0.012236431,-0.021814346,0.079652786,-0.23380518,4.421891,8.750006,1.4518,-43.7614,-30.219398,sitting
283,sitting,-0.20590134,4.396353,8.733449,0.024234748,3.9947388E-4,-0.0023968432,1.6592,-43.773598,-30.439,-178.53287,1.5306118,-26.801916,0.024234748,3.9947388E-4,-0.0023968432,0.018738031,-0.027934551,0.03249836,-0.2305221,4.4237957,8.74913,1.6592,-43.773598,-30.439,sitting
303,sitting,-0.23463176,4.425083,8.680777,0.023169484,-0.0070573715,-0.005592634,1.708,-43.8834,-30.5854,-178.3569,1.512872,-26.856592,0.023169484,-0.0070573715,-0.005592634,-0.0030198097,0.008934498,-0.032938957,-0.23098452,4.430242,8.745856,1.708,-43.8834,-30.5854,sitting
323,sitting,-0.23463176,4.4394484,8.623316,0.016777903,-0.008122635,-0.005592634,1.7324,-43.858997,-30.622,-178.318,1.5153445,-26.908812,0.016777903,-0.008122635,-0.005592634,-0.006246507,0.014975071,-0.06923866,-0.23125504,4.4382143,8.741805,1.7324,-43.858997,-30.622,sitting
343,sitting,-0.23463176,4.449025,8.594585,0.012516848,-0.008122635,-0.0045273704,1.7202,-43.858997,-30.560999,-178.24632,1.5103449,-26.966698,0.012516848,-0.008122635,-0.0045273704,-0.008779764,0.027267933,-0.08604145,-0.23037389,4.4470463,8.737338,1.7202,-43.858997,-30.560999,sitting
362,sitting,-0.22505496,4.458602,8.608951,0.0039947387,-0.008122635,-0.0013315795,1.708,-43.8224,-30.5,-178.18109,1.5120069,-27.012291,0.0039947387,-0.008122635,-0.0013315795,0.0064637363,0.02518177,-0.067287445,-0.23053391,4.4540005,8.733792,1.708,-43.8224,-30.5,sitting
382,sitting,-0.21547815,4.4442368,8.618527,-0.0045273704,-0.002796317,-0.0013315795,1.7324,-43.737,-30.5,-178.13737,1.4953555,-27.057539,-0.0045273704,-0.002796317,-0.0013315795,0.011208221,0.012258053,-0.055233955,-0.22790378,4.4608984,8.730339,1.7324,-43.737,-30.5,sitting
402,sitting,-0.22026655,4.4442368,8.642469,-0.0023968432,-0.009187899,-0.003462107,1.6714,-43.773598,-30.5,-178.16968,1.4886389,-27.064718,-0.0023968432,-0.009187899,-0.003462107,0.0073426217,0.009809494,-0.032927513,-0.22686586,4.4619927,8.729807,1.6714,-43.773598,-30.5,sitting
423,sitting,-0.21547815,4.4538136,8.656835,-2.663159E-4,-0.010253162,-0.0023968432,1.6958,-43.798,-30.4268,-178.095,1.4777383,-27.072422,-2.663159E-4,-0.010253162,-0.0023968432,0.008454084,0.01660204,-0.017375946,-0.22325647,4.464526,8.728606,1.6958,-43.798,-30.4268,sitting
442,sitting,-0.19632454,4.43466,8.642469,7.9894776E-4,-0.009187899,-0.0013315795,1.5982,-43.8224,-30.3536,-178.09694,1.465167,-27.081337,7.9894776E-4,-0.009187899,-0.0013315795,0.010326624,0.011972904,-0.02338028,-0.22325647,4.464526,8.728606,1.5982,-43.8224,-30.3536,sitting
462,sitting,-0.17717093,4.420295,8.675988,-0.003462107,-0.0070573715,0.0018642114,1.586,-43.8712,-30.365799,-178.09358,1.4462847,-27.085457,-0.003462107,-0.0070573715,0.0018642114,0.026640192,-0.001581192,-0.01922512,-0.2203718,4.465154,8.728358,1.586,-43.8712,-30.365799,sitting
482,sitting,-0.15801731,4.4059296,8.709507,-0.003462107,-0.0049268445,-0.0045273704,1.6592,-43.92,-30.329199,-178.03474,1.3978711,-27.063927,-0.003462107,-0.0049268445,-0.0045273704,0.0501502,-0.023753643,0.033745766,-0.21303737,4.4618726,8.730218,1.6592,-43.92,-30.329199,sitting
502,sitting,-0.17238252,4.410718,8.714295,7.9894776E-4,3.9947388E-4,-0.006657898,1.6592,-43.8956,-30.378,-177.97485,1.378535,-27.048084,7.9894776E-4,3.9947388E-4,-0.006657898,0.05145721,-0.030018806,0.038124084,-0.2107003,4.4593277,8.731574,1.6592,-43.8956,-30.378,sitting
522,sitting,-0.23463176,4.4442368,8.723872,0.011451584,0.0046605286,-0.0045273704,1.7567999,-43.8834,-30.4268,-177.95186,1.3823274,-27.047234,0.011451584,0.0046605286,-0.0045273704,-0.023143709,0.013431549,0.042155266,-0.2107003,4.4593277,8.731574,1.7567999,-43.8834,-30.4268,sitting
542,sitting,-0.22505496,4.449025,8.685565,0.017843166,-0.002796317,-0.006657898,1.7811999,-43.8102,-30.414598,-177.91037,1.3947341,-27.05729,0.017843166,-0.002796317,-0.006657898,-0.023143709,0.013431549,0.042155266,-0.21257195,4.4608607,8.730746,1.7811999,-43.8102,-30.414598,sitting
562,sitting,-0.22984336,4.4394484,8.632893,0.012516848,-0.002796317,-0.003462107,1.8421999,-43.8346,-30.4756,-177.88837,1.4058219,-27.094355,0.012516848,-0.002796317,-0.003462107,-0.016755149,0.002784729,-0.029280663,-0.21419069,4.46651,8.7278185,1.8421999,-43.8346,-30.4756,sitting
582,sitting,-0.22026655,4.4442368,8.628104,0.008255793,-0.002796317,-0.003462107,1.8177999,-43.8834,-30.5732,-177.86395,1.4072334,-27.10994,0.008255793,-0.002796317,-0.003462107,-0.014684215,0.011498928,-0.035526276,-0.21437584,4.4688845,8.726598,1.8177999,-43.8834,-30.5732,sitting
603,sitting,-0.23463176,4.4538136,8.647258,-0.0013315795,-0.0038615807,-0.0023968432,1.7933999,-43.92,-30.6098,-177.86285,1.4117179,-27.120243,-0.0013315795,-0.0038615807,-0.0023968432,-0.014684215,0.011498928,-0.035526276,-0.21503903,4.4704537,8.725777,1.7933999,-43.92,-30.6098,sitting
