elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
216,running,-3.1484518,5.318939,8.06393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
233,running,-3.1484518,5.318939,8.06393,0.0,0.0,0.0,41.5,-21.5,-14.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,-21.5,-14.375,running
249,running,-3.0881178,5.062214,7.4289203,0.1052259,0.3770435,-0.19175932,41.5625,-21.625,-13.875,-98.413536,23.449055,-29.215994,0.1052259,0.3770435,-0.19175932,0.2678,0.26369998,-0.4285,-3.4059,4.7866,7.8522,41.5625,-21.625,-13.875,running
269,running,-3.4875376,5.127135,7.282692,0.18050195,0.4910833,-0.19350465,41.625,-21.375,-13.75,-98.10199,24.09801,-29.273565,0.18050195,0.4910833,-0.19350465,-0.0769,0.3139,-0.6401,-3.4926,4.7952,7.8086996,41.625,-21.375,-13.75,running
285,running,-3.7015219,4.832514,6.5409684,0.23305382,0.5161113,-0.17898351,41.875,-21.3125,-13.5,-97.76236,24.845032,-29.413357,0.23305382,0.5161113,-0.17898351,-0.1078,0.1068,-1.0833,-3.5892,4.8160996,7.7518997,41.875,-21.3125,-13.5,running
301,running,-3.5146496,4.468816,6.164954,0.2623579,0.5044176,-0.1736079,42.0,-21.5,-13.125,-97.553566,25.298626,-29.52096,0.2623579,0.5044176,-0.1736079,-0.0111,-0.0955,-1.2818999,-3.6466,4.8321,7.7149997,42.0,-21.5,-13.125,running
317,running,-3.2431567,4.076952,5.8126907,0.31824332,0.47914523,-0.20518091,42.0,-21.3125,-12.8125,-97.121185,26.124361,-29.750404,0.31824332,0.47914523,-0.20518091,0.3656,-0.6101,-1.7013999,-3.7489,4.8662,7.6442,42.0,-21.3125,-12.8125,running
333,running,-2.9821985,3.7196891,5.5307875,0.45183083,0.5456597,-0.26125833,42.375,-21.0625,-12.125,-96.67311,26.837421,-30.003502,0.45183083,0.5456597,-0.26125833,0.8034,-1.0892,-1.9584999,-3.8337,4.904,7.5776997,42.375,-21.0625,-12.125,running
349,running,-2.9821985,3.7196891,5.5307875,0.70813245,0.7391993,-0.32276374,42.875,-20.875,-11.0625,-96.30022,27.410694,-30.247887,0.70813245,0.7391993,-0.32276374,1.0364,-1.4291999,-2.1952999,-3.8999999,4.94,7.5204,42.875,-20.875,-11.0625,running
365,running,-2.4034815,2.324923,4.0394106,1.0562907,1.0371095,-0.38760272,43.25,-21.0625,-10.3125,-95.29246,28.976921,-30.98616,1.0562907,1.0371095,-0.38760272,1.6015999,-2.4205,-2.9515,-4.0729,5.0487,7.3546996,43.25,-21.0625,-10.3125,running
381,running,-2.2642539,1.663137,3.0700464,1.4111161,1.3485636,-0.48391,43.5625,-20.8125,-8.1875,-94.46957,30.252338,-31.6013,1.4111161,1.3485636,-0.48391,1.8543999,-3.0105999,-3.4394,-4.2079997,5.1387,7.2149,43.5625,-20.8125,-8.1875,running
397,running,-2.0797377,1.0647589,2.083415,1.7076476,1.6401906,-0.57983327,43.875,-20.625,-6.9375,-92.81753,32.773827,-32.76155,1.7076476,1.6401906,-0.57983327,2.2968,-3.9436,-4.3743,-4.4641,5.3068,6.9339,43.875,-20.625,-6.9375,running
413,running,-1.866941,0.30639076,1.0979234,1.9136662,1.921398,-0.69064426,44.375,-20.125,-4.375,-90.48269,36.31521,-34.1683,1.9136662,1.921398,-0.69064426,2.8831,-5.0172997,-5.2335997,-4.8052998,5.5076,6.5379,44.375,-20.125,-4.375,running
430,running,-1.866941,0.30639076,1.0979234,2.0076523,2.1648192,-0.8506909,44.9375,-19.375,-1.125,-89.45741,37.860962,-34.674267,2.0076523,2.1648192,-0.8506909,3.1258,-5.5692997,-5.5924997,-4.9498,5.5790997,6.3673,44.9375,-19.375,-1.125,running
446,running,-2.1844888,-1.3604907,-0.08471643,2.0354378,2.466377,-1.3960365,44.9375,-18.9375,0.25,-86.57128,42.14373,-35.732445,2.0354378,2.466377,-1.3960365,3.3114998,-6.7862,-5.8436,-5.3413997,5.7269998,5.9024,44.9375,-18.9375,0.25,running
462,running,-3.1062756,-1.784906,0.01598369,1.9683474,2.7562065,-1.8425441,45.375,-17.1875,3.0,-83.18054,46.95112,-36.308044,1.9683474,2.7562065,-1.8425441,3.2705998,-7.3058996,-5.7302,-5.5948,5.7858996,5.6026998,45.375,-17.1875,3.0,running
478,running,-4.568855,-2.0683508,1.0333661,1.9660959,3.164631,-2.3308349,45.6875,-16.3125,4.4375,-81.28629,49.623608,-36.298927,1.9660959,3.164631,-2.3308349,2.2747998,-7.6981997,-4.7276,-6.0209,5.8055,5.1198997,45.6875,-16.3125,4.4375,running
499,running,-6.5744104,-2.1586792,2.7279246,2.1430898,3.4591901,-2.883825,46.3125,-12.4375,9.8125,-77.18366,55.546013,-35.654476,2.1430898,3.4591901,-2.883825,0.5492,-7.9227,-2.2231,-6.5705,5.7162,4.508,46.3125,-12.4375,9.8125,running
519,running,-9.458188,-0.95639735,3.6601021,2.3478692,3.5091066,-3.4301653,46.375,-8.9375,13.4375,-72.02065,62.867653,-33.872585,2.3478692,3.5091066,-3.4301653,-2.1975,-6.4070997,-0.055299997,-7.2461996,5.4656997,3.7131999,46.375,-8.9375,13.4375,running
539,running,-14.388826,1.1398603,2.626535,2.092318,2.9468315,-3.7173069,46.5,-5.5625,16.5625,-67.66088,68.68282,-31.49452,2.092318,2.9468315,-3.7173069,-7.9986997,-3.25,-0.6666,-7.7899,5.1231,3.0398,46.5,-5.5625,16.5625,running
557,running,-20.440937,6.127174,1.7857201,1.2593772,1.8016161,-3.4773765,46.25,-4.125,17.3125,-63.74702,73.52522,-27.848255,1.2593772,1.8016161,-3.4773765,-12.1221,0.9989,-0.8408,-8.314899,4.581,2.4589,46.25,-4.125,17.3125,running
