elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
152,upstairs,-1.5164514,-11.149357,-4.331009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
173,upstairs,-0.62871414,-11.099706,-0.35174492,-1.6154319,0.4592176,0.0033597562,16.1528,31.378399,-25.6078,62.905743,143.95656,83.8476,-1.6154319,0.4592176,0.0033597562,0.2016539,-0.012116432,1.1181833,-0.9381894,-9.497884,-2.2539766,16.1528,31.378399,-25.6078,upstairs
189,upstairs,-0.58504516,-11.545967,-0.26021945,-1.7631085,0.6977603,-0.00641408,16.2382,31.6712,-24.9734,105.583496,104.68441,86.70681,-1.7631085,0.6977603,-0.00641408,0.2016539,-0.012116432,1.1181833,-0.75713336,-9.647857,-1.5861938,16.2382,31.6712,-24.9734,upstairs
207,upstairs,-0.4528417,-12.172887,-0.8925229,-1.9423972,0.64843297,-0.032986697,16.3846,32.0616,-24.107199,63.11691,150.11792,85.967155,-1.9423972,0.64843297,-0.032986697,0.14875835,-0.27596378,1.297159,-0.6685623,-9.69688,-1.3015045,16.3846,32.0616,-24.107199,upstairs
228,upstairs,-0.34516466,-13.054044,-1.1880364,-2.1197007,0.2698495,-0.076358095,16.4822,32.3666,-23.424,57.875538,157.86717,87.26426,-2.1197007,0.2698495,-0.076358095,0.22810012,-1.2381353,0.52600753,-0.51526177,-9.678325,-1.4949613,16.4822,32.3666,-23.424,upstairs
247,upstairs,0.1902294,-13.060624,1.2352947,-2.0207407,-0.004123337,-0.06139191,16.6164,33.2938,-21.654999,-126.38836,-13.263671,88.32625,-2.0207407,-0.004123337,-0.06139191,0.3127057,-1.6047764,1.2639863,-0.34834826,-9.689429,-1.4710542,16.6164,33.2938,-21.654999,upstairs
263,upstairs,0.1902294,-13.060624,1.2352947,-1.8336633,0.29352054,-0.06704241,16.6042,33.6842,-20.7278,-122.08128,-6.0539236,81.91187,-1.8336633,0.29352054,-0.06704241,0.57123613,-1.3304253,2.5880284,-0.34834826,-9.689429,-1.4710542,16.6042,33.6842,-20.7278,upstairs
285,upstairs,0.7465607,-11.073385,2.620739,-1.700342,0.67790717,-0.17867795,16.787199,34.9652,-17.921799,-86.879974,-17.65862,74.700775,-1.700342,0.67790717,-0.17867795,0.5463009,-0.61409473,3.4928188,-0.254293,-9.712975,-1.3281001,16.787199,34.9652,-17.921799,upstairs
304,upstairs,0.5688936,-10.613963,2.6865416,-1.6416991,1.1064289,-0.40683594,16.8482,35.6972,-16.091799,-100.93286,-4.494544,77.45223,-1.6416991,1.1064289,-0.40683594,0.71873474,1.0273838,4.05386,0.044967443,-9.746766,-1.081159,16.8482,35.6972,-16.091799,upstairs
323,upstairs,-0.31764722,-10.867602,2.196013,-1.5972587,1.3999493,-0.52855074,16.8604,36.1852,-14.249599,-142.697,30.868292,81.28681,-1.5972587,1.3999493,-0.52855074,-0.08979947,0.8692589,3.6081061,0.14073044,-9.752504,-1.0194306,16.8604,36.1852,-14.249599,upstairs
340,upstairs,-0.6329016,-10.735997,-0.42951167,-1.368948,0.8182534,-0.3743074,16.836,36.6732,-12.505,-179.40125,57.443382,84.25731,-1.368948,0.8182534,-0.3743074,-0.94645095,0.39629173,2.8972297,0.14842676,-9.753266,-1.0110085,16.836,36.6732,-12.505,upstairs
358,upstairs,0.07836494,-10.3136635,-1.6576279,-1.3808599,0.33689192,-0.3460549,16.653,36.9904,-10.845799,49.95706,178.29628,81.75549,-1.3808599,0.33689192,-0.3460549,-1.0006211,0.4681902,1.5836641,0.13916883,-9.742691,-1.109501,16.653,36.9904,-10.845799,upstairs
374,upstairs,0.4743771,-10.002597,-1.2107682,-1.3842196,0.07040217,-0.3856084,16.555399,37.1368,-10.065,43.132107,-173.01485,80.52402,-1.3842196,0.07040217,-0.3856084,0.05744511,1.0580101,0.27349734,0.17353651,-9.71616,-1.3177704,16.555399,37.1368,-10.065,upstairs
390,upstairs,0.9068798,-9.790234,-0.7848458,-1.2851068,0.04092794,-0.48624837,16.2748,37.6858,-8.7108,7.8020105,-126.05608,82.767136,-1.2851068,0.04092794,-0.48624837,0.30379423,1.298234,1.0337285,0.24571659,-9.686442,-1.5109115,16.2748,37.6858,-8.7108,upstairs
407,upstairs,1.2358929,-9.963116,-1.0157533,-1.1817179,-0.08811724,-0.6508764,15.8966,38.2348,-7.686,11.803144,-128.50386,81.4135,-1.1817179,-0.08811724,-0.6508764,0.30379423,1.298234,1.0337285,0.35308105,-9.660778,-1.6477518,15.8966,38.2348,-7.686,upstairs
428,upstairs,1.7724833,-10.142577,-1.3172488,-1.1314743,-0.4384482,-0.8455896,15.652599,38.5276,-7.1858,3.7676964,-116.79543,76.55456,-1.1314743,-0.4384482,-0.8455896,0.7548623,0.81309986,0.90755486,0.6647843,-9.596063,-1.9089346,15.652599,38.5276,-7.1858,upstairs
446,upstairs,2.6739793,-10.481161,-1.4207385,-1.2394446,-0.5560397,-1.3426808,14.9572,39.1742,-6.3073997,5.177559,-119.63807,73.12652,-1.2394446,-0.5560397,-1.3426808,1.2766119,0.50145054,1.0617223,0.8938635,-9.548632,-2.048178,14.9572,39.1742,-6.3073997,upstairs
