elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
62,running,-0.86979103,5.049454,8.380861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
82,running,-0.8650054,5.0362935,8.364112,-0.025809037,-0.033597562,-0.042760536,28.725,-3.9750001,-52.425003,0.0,0.0,0.0,-0.025809037,-0.033597562,-0.042760536,0.0,0.0,0.0,-0.8594935,5.047103,8.364114,28.725,-3.9750001,-52.425003,running
98,running,-0.90807617,5.017151,8.373683,-0.050243627,0.033902995,-0.028405212,29.156252,-4.7625003,-52.237503,0.0,0.0,0.0,-0.050243627,0.033902995,-0.028405212,0.0,0.0,0.0,-0.8754324,5.035549,8.369424,29.156252,-4.7625003,-52.237503,running
115,running,-0.9487542,4.9896336,8.455039,-0.049938194,0.064140804,-0.016798781,46.537502,-17.71875,-75.1875,0.0,0.0,0.0,-0.049938194,0.064140804,-0.016798781,-0.0070280433,-0.0050678253,-7.095337E-4,-0.90025914,5.016177,8.378418,46.537502,-17.71875,-75.1875,running
132,running,-0.9631111,4.9920263,8.472985,-0.037110034,0.032070402,-0.021074835,44.5875,-20.212502,-74.5875,0.0,0.0,0.0,-0.037110034,0.032070402,-0.021074835,-0.039092958,-0.026107788,0.06678772,-0.90025914,5.016177,8.378418,44.5875,-20.212502,-74.5875,running
149,running,-0.98943216,5.017151,8.455039,-0.028863361,-0.02443459,-0.029932374,45.318752,-20.587502,-76.70625,0.0,0.0,0.0,-0.028863361,-0.02443459,-0.029932374,-0.039092958,-0.026107788,0.06678772,-0.9250053,4.9868,8.393246,45.318752,-20.587502,-76.70625,running
166,running,-0.9667004,5.006383,8.499306,-0.019089524,-0.06017018,-0.032375835,44.943752,-18.65625,-75.58125,0.0,0.0,0.0,-0.019089524,-0.06017018,-0.032375835,-0.04958743,0.012245655,0.0444479,-0.92935437,4.9814153,8.395963,44.943752,-18.65625,-75.58125,running
192,running,-0.91166544,4.980062,8.480164,-0.009926553,-0.047952887,-0.029932374,46.350002,-19.125,-73.6125,0.0,0.0,0.0,-0.009926553,-0.047952887,-0.029932374,-0.056344807,0.009541035,0.040088654,-0.9263159,4.974394,8.40046,46.350002,-19.125,-73.6125,running
208,running,-0.8925229,4.963312,8.414361,-0.013286309,0.004581486,-0.021074835,45.05625,-19.63125,-75.693756,0.0,0.0,0.0,-0.013286309,0.004581486,-0.021074835,0.030829728,-0.019696236,0.009233475,-0.9262235,4.9692645,8.403505,45.05625,-19.63125,-75.693756,running
224,running,-0.92482597,5.023133,8.347362,-0.0386372,0.056199558,-0.0058032153,45.581253,-19.44375,-73.275,0.0,0.0,0.0,-0.0386372,0.056199558,-0.0058032153,0.03745234,-0.021155834,-0.070985794,-0.93132,4.9647326,8.405621,45.581253,-19.44375,-73.275,running
242,running,-0.90089774,5.014758,8.414361,-0.067958705,0.054061532,-0.0,46.050003,-18.862501,-73.912506,0.0,0.0,0.0,-0.067958705,0.054061532,-0.0,0.015002549,0.025806904,-0.10208702,-0.9371707,4.9615326,8.40686,46.050003,-18.862501,-73.912506,running
258,running,-0.8925229,4.988437,8.496913,-0.075594515,0.016493348,-0.009468404,45.412502,-19.59375,-73.725006,0.0,0.0,0.0,-0.075594515,0.016493348,-0.009468404,0.028133512,0.0491724,-0.059028625,-0.9362196,4.957565,8.409307,45.412502,-19.59375,-73.725006,running
275,running,-0.85184485,4.946563,8.517252,-0.053603385,-0.029626941,-0.019547673,44.71875,-16.725,-74.756256,0.0,0.0,0.0,-0.053603385,-0.029626941,-0.019547673,0.031479657,0.040471554,0.024053574,-0.9296846,4.9525676,8.412975,44.71875,-16.725,-74.756256,running
291,running,-0.8219346,4.9345984,8.488539,-0.025809037,-0.03848448,-0.021380268,45.131252,-18.7875,-73.762505,0.0,0.0,0.0,-0.025809037,-0.03848448,-0.021380268,0.053735256,3.862381E-4,0.058894157,-0.9216974,4.947677,8.416731,45.131252,-18.7875,-73.762505,running
308,running,-0.8219346,4.9345984,8.488539,-0.010231985,-0.019547673,-0.01924224,44.643753,-18.956251,-74.34375,0.0,0.0,0.0,-0.010231985,-0.019547673,-0.01924224,0.077362895,-0.02987957,0.065711975,-0.91519296,4.941946,8.420807,44.643753,-18.956251,-74.34375,running
325,running,-0.8243274,4.9752765,8.452646,-0.032223117,0.0033597562,-0.021380268,45.24375,-18.91875,-75.262505,-57.981873,5.6235237,-30.022242,-0.032223117,0.0033597562,-0.021380268,0.10733932,-0.0011644363,-0.0052480698,-0.9105911,4.936526,8.424484,45.24375,-18.91875,-75.262505,running
341,running,-0.8650054,4.9489555,8.49811,-0.054519683,0.012522728,-0.027488915,45.73125,-18.056252,-76.21875,-57.970993,5.618893,-30.01298,-0.054519683,0.012522728,-0.027488915,0.10353011,0.030265331,-0.035970688,-0.9081437,4.93109,8.427931,45.73125,-18.056252,-76.21875,running
358,running,-0.8650054,4.9489555,8.49811,-0.047494736,0.012217295,-0.030237807,43.3875,-19.181252,-74.775,-57.95743,5.6145597,-30.037313,-0.047494736,0.012217295,-0.030237807,0.067219615,0.01757431,0.018210411,-0.9076219,4.9252825,8.431382,43.3875,-19.181252,-74.775,running
374,running,-0.91405827,4.9202414,8.507681,-0.025503604,-0.005497783,-0.029626941,44.8875,-17.268751,-73.51875,-57.911987,5.6542673,-29.97779,-0.025503604,-0.005497783,-0.029626941,0.012524962,-0.0038266182,0.04475689,-0.90776867,4.920531,8.43414,44.8875,-17.268751,-73.51875,running
390,running,-0.89491564,4.923831,8.437093,-0.01970039,-0.0140498895,-0.02687805,44.04375,-18.45,-74.8125,-57.828354,5.759245,-29.950596,-0.01970039,-0.0140498895,-0.02687805,0.0018807054,-0.02039957,0.009706497,-0.9079022,4.915644,8.436975,44.04375,-18.45,-74.8125,running
407,running,-0.8662018,4.9429736,8.410771,-0.04382955,-0.0073303776,-0.028405212,44.04375,-18.84375,-73.14375,-57.809864,5.76398,-29.937681,-0.04382955,-0.0073303776,-0.028405212,0.033331037,0.009336472,-0.061767578,-0.90849507,4.910021,8.440185,44.04375,-18.84375,-73.14375,running
424,running,-0.9200403,4.9058847,8.49811,-0.058490302,0.015577052,-0.032375835,43.74375,-18.1875,-74.83125,-57.773228,5.7810745,-29.941475,-0.058490302,0.015577052,-0.032375835,0.048606873,0.012646198,-0.034581184,-0.9119247,4.9026513,8.4440975,43.74375,-18.1875,-74.83125,running
442,running,-0.9284152,4.8879385,8.495717,-0.049938194,0.032375835,-0.028710645,43.3875,-19.462502,-74.756256,-57.748978,5.8084207,-29.91189,-0.049938194,0.032375835,-0.028710645,0.02660209,-0.004181862,-7.266998E-4,-0.91744155,4.895698,8.447534,43.3875,-19.462502,-74.756256,running
459,running,-0.95473623,4.8855457,8.462217,-0.033444848,0.015577052,-0.029626941,45.375,-19.612501,-75.693756,-57.71817,5.857033,-29.852364,-0.033444848,0.015577052,-0.029626941,-0.0030869842,-0.014302254,0.027935028,-0.9211657,4.8898935,8.450491,45.375,-19.612501,-75.693756,running
475,running,-0.9619147,4.883153,8.420342,-0.026419902,-0.013439025,-0.03176497,46.050003,-18.581251,-74.981255,-57.67793,5.9282084,-29.81758,-0.026419902,-0.013439025,-0.03176497,-0.024803638,-0.010772705,-0.003112793,-0.92220056,4.8853073,8.453029,46.050003,-18.581251,-74.981255,running
492,running,-0.92602235,4.8915277,8.410771,-0.03161225,-0.018936807,-0.023518294,45.28125,-18.6375,-73.912506,-57.61398,5.999834,-29.787376,-0.03161225,-0.018936807,-0.023518294,-0.033480406,-0.0075035095,-0.03931427,-0.923227,4.8803787,8.455765,45.28125,-18.6375,-73.912506,running
509,running,-0.95712906,4.889135,8.507681,-0.05299252,-0.0061086477,-0.023212861,45.768753,-17.493752,-75.787506,-57.55283,6.0547123,-29.776844,-0.05299252,-0.0061086477,-0.023212861,-0.009909153,-0.0068035126,-0.08162212,-0.92553025,4.872776,8.459896,45.768753,-17.493752,-75.787506,running
525,running,-0.9738788,4.8233323,8.602198,-0.066736974,0.0015271619,-0.026267186,45.600002,-17.38125,-76.6875,-57.519955,6.07717,-29.756935,-0.066736974,0.0015271619,-0.026267186,-0.01096338,0.019867897,-0.04446125,-0.9281574,4.8646,8.464312,45.600002,-17.38125,-76.6875,running
544,running,-0.9379865,4.8245287,8.5938225,-0.047189303,-0.010690134,-0.022601997,46.050003,-18.16875,-75.61875,-57.488956,6.122089,-29.710072,-0.047189303,-0.010690134,-0.022601997,-0.03644687,-0.018838882,0.07485294,-0.92878693,4.856788,8.468728,46.050003,-18.16875,-75.61875,running
