elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
62,stand_to_sit,-2.2863421,-7.42792,0.39481574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
80,stand_to_sit,-2.2743778,-8.065607,0.41874397,-1.3498584,0.32406378,0.15485422,-7.0312505,70.068756,9.712501,0.0,0.0,0.0,-1.3498584,0.32406378,0.15485422,0.0,0.0,0.0,0.0,0.0,0.0,-7.0312505,70.068756,9.712501,stand_to_sit
96,stand_to_sit,-1.9166509,-9.415159,-1.2323036,-2.190103,-1.9614868,-0.013439025,-6.7312503,68.30625,14.00625,0.0,0.0,0.0,-2.190103,-1.9614868,-0.013439025,0.0,0.0,0.0,-2.9113705,-9.346433,0.58180827,-6.7312503,68.30625,14.00625,stand_to_sit
113,stand_to_sit,-2.1176481,-10.956137,-5.625526,-3.1558802,-2.5075998,-0.022907428,-8.15625,69.881256,17.118752,0.0,0.0,0.0,-3.1558802,-2.5075998,-0.022907428,0.17485428,-0.50069237,-0.08606811,-2.2990887,-9.429489,-1.4033121,-8.15625,69.881256,17.118752,stand_to_sit
130,stand_to_sit,-0.91884387,-12.194423,-6.0287166,-3.0837982,-0.76907873,-0.06963859,-5.1000004,68.15625,19.425001,0.0,0.0,0.0,-3.0837982,-0.76907873,-0.06963859,0.07395744,-1.3185778,-2.2346568,-1.9273169,-9.19455,-2.8135545,-5.1000004,68.15625,19.425001,stand_to_sit
146,stand_to_sit,-1.9214365,-10.316056,-4.705486,-2.4390304,0.12705988,-0.4630355,-6.6937504,65.55,21.975,0.0,0.0,0.0,-2.4390304,0.12705988,-0.4630355,0.42070377,-2.33255,-3.5673876,-1.9273169,-9.19455,-2.8135545,-6.6937504,65.55,21.975,stand_to_sit
164,stand_to_sit,-2.928815,-8.481958,-5.099105,-2.0547965,0.54489136,-0.77182764,-8.1,68.943756,23.34375,0.0,0.0,0.0,-2.0547965,0.54489136,-0.77182764,0.59954727,-1.6487389,-1.403858,-1.5915996,-8.893797,-3.8128154,-8.1,68.943756,23.34375,stand_to_sit
180,stand_to_sit,-3.4683964,-7.451848,-5.85763,-1.921017,0.618806,-0.8683443,-6.43125,66.975006,25.3875,0.0,0.0,0.0,-1.921017,0.618806,-0.8683443,-0.76080644,0.39677715,-0.7723484,-1.6699724,-8.665352,-4.2770615,-6.43125,66.975006,25.3875,stand_to_sit
197,stand_to_sit,-2.3150558,-7.0678,-5.386244,-1.7347033,1.2452478,-0.91049397,-8.325001,66.3,25.593752,0.0,0.0,0.0,-1.7347033,1.2452478,-0.91049397,-1.5441335,1.4434762,-0.7708063,-1.62992,-8.430589,-4.7369733,-8.325001,66.3,25.593752,stand_to_sit
214,stand_to_sit,-1.0360922,-6.608378,-3.5449667,-1.4427099,1.3970478,-0.9899064,-10.950001,65.700005,26.550001,0.0,0.0,0.0,-1.4427099,1.3970478,-0.9899064,-1.3369381,1.7164874,-1.0137911,-1.4294648,-8.327453,-4.978007,-10.950001,65.700005,26.550001,stand_to_sit
231,stand_to_sit,0.10887343,-6.422934,-4.382455,-1.4958551,1.1838559,-1.0256419,-13.181251,64.59375,26.325,0.0,0.0,0.0,-1.4958551,1.1838559,-1.0256419,0.71188056,1.8660583,1.459053,-1.4294648,-8.327453,-4.978007,-13.181251,64.59375,26.325,stand_to_sit
247,stand_to_sit,0.62093747,-6.719644,-4.3944187,-1.6898047,1.020755,-0.9343177,-13.44375,64.03125,29.98125,0.0,0.0,0.0,-1.6898047,1.020755,-0.9343177,0.71188056,1.8660583,1.459053,-0.8252939,-8.100597,-5.465309,-13.44375,64.03125,29.98125,stand_to_sit
