elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
65,walking,-0.75254273,-9.824331,1.2490535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
85,walking,-0.7908279,-9.619745,0.8111669,0.48976085,0.003970621,0.25686863,30.112501,60.225002,-6.4875,0.0,0.0,0.0,0.48976085,0.003970621,0.25686863,0.0,0.0,0.0,-0.7913535,-9.730447,0.928739,30.112501,60.225002,-6.4875,walking
102,walking,-0.7800602,-9.587442,0.48095736,0.45585784,0.18081598,0.27763805,28.031252,58.968754,-7.3125005,0.0,0.0,0.0,0.45585784,0.18081598,0.27763805,0.0,0.0,0.0,-0.823944,-9.741412,0.7722647,28.031252,58.968754,-7.3125005,walking
118,walking,-0.74416786,-9.638887,0.4019942,0.3657553,0.43646288,0.26572618,27.54375,58.800003,-8.3625,0.0,0.0,0.0,0.3657553,0.43646288,0.26572618,0.02190429,0.03129673,-0.2222535,-0.8324483,-9.747812,0.6764493,27.54375,58.800003,-8.3625,walking
135,walking,-0.87338024,-9.412766,0.6723832,0.251829,0.7480039,0.2196059,28.687502,59.850002,-7.51875,0.0,0.0,0.0,0.251829,0.7480039,0.2196059,0.03590989,0.102440834,-0.089660466,-0.8324483,-9.747812,0.6764493,28.687502,59.850002,-7.51875,walking
152,walking,-1.302892,-9.327821,1.3591232,0.13729186,1.0027345,0.17470732,29.025002,60.43125,-6.9375005,0.0,0.0,0.0,0.13729186,1.0027345,0.17470732,0.03590989,0.102440834,-0.089660466,-0.9674835,-9.728118,0.77336144,29.025002,60.43125,-6.9375005,walking
168,walking,-1.707279,-9.695119,2.0901306,0.08384119,0.996015,0.16554436,29.587502,58.93125,-6.8812504,0.0,0.0,0.0,0.08384119,0.996015,0.16554436,-0.23289585,0.21699238,0.40247607,-1.1114266,-9.695086,0.96975976,29.587502,58.93125,-6.8812504,walking
185,walking,-1.9932213,-10.546964,2.5794628,0.13637556,0.729678,0.1707367,30.187502,58.8375,-8.25,0.0,0.0,0.0,0.13637556,0.729678,0.1707367,-0.6719918,-0.6658497,1.2979604,-1.1114266,-9.695086,0.96975976,30.187502,58.8375,-8.25,walking
202,walking,-2.2002003,-11.254043,2.7230322,0.2686278,0.365908,0.15851942,30.768751,58.312504,-8.53125,0.0,0.0,0.0,0.2686278,0.365908,0.15851942,-0.8157588,-1.3587608,1.295235,-1.2432059,-9.654011,1.1936905,30.768751,58.312504,-8.53125,walking
219,walking,-1.8831514,-11.319846,2.6955147,0.28359398,0.1301142,0.10567961,28.462502,58.443752,-8.512501,0.0,0.0,0.0,0.28359398,0.1301142,0.10567961,-0.8157588,-1.3587608,1.295235,-1.4107335,-9.583724,1.5272323,28.462502,58.443752,-8.512501,walking
