elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
295,running,0.0,0.0,0.0,0.0,0.0,0.0,7.0125003,40.55625,26.156252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0125003,40.55625,26.156252,running
320,running,8.691,-11.65005,-9.26595,0.0,0.0,0.0,7.0125003,40.55625,26.156252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0125003,40.55625,26.156252,running
345,running,12.08895,-15.096001,-6.08895,0.15235,1.824075,-0.1485,7.14375,40.74375,26.1,48.93502,-125.165924,45.07033,0.15235,1.824075,-0.1485,5.738483,-7.031599,-3.842779,5.661747,-6.942877,-3.98892,7.14375,40.74375,26.1,running
364,running,9.040951,-14.193001,6.7770004,0.535975,0.106425,-1.8271,7.4437504,40.85625,26.1,28.720613,-66.0467,54.455605,0.535975,0.106425,-1.8271,4.460514,-6.866824,2.234696,5.209932,-7.979355,2.314499,7.4437504,40.85625,26.1,running
386,running,3.55605,-12.108001,2.805,0.2206875,-1.4708375,-1.492425,7.14375,41.15625,26.156252,18.884329,-47.824703,56.146664,0.2206875,-1.4708375,-1.492425,2.298509,-4.904184,2.107203,4.048573,-8.144109,3.667824,7.14375,41.15625,26.156252,running
405,running,-6.3250504,-4.695,-1.19505,-0.899525,1.9047875,0.0323125,6.7875004,41.2125,26.04375,21.17754,-50.427013,55.32717,-0.899525,1.9047875,0.0323125,-12.840245,3.052847,-10.473222,4.300287,-8.065136,3.554084,6.7875004,41.2125,26.04375,running
433,running,-1.1580001,-4.73295,8.985001,0.7118375,1.1155375,0.92785,4.9875,41.34375,25.687502,21.47219,-48.451008,56.184624,0.7118375,1.1155375,0.92785,-6.181925,3.571277,4.402592,4.084391,-8.147714,3.619791,4.9875,41.34375,25.687502,running
449,running,-2.2780502,-9.859051,1.59105,1.2359875,-0.3040125,1.0231375,4.9875,41.34375,25.687502,18.049309,-44.01023,56.51081,1.2359875,-0.3040125,1.0231375,-5.925191,-0.647326,-1.440081,3.759555,-8.178658,3.891743,4.9875,41.34375,25.687502,running
470,running,-2.3689501,-12.907051,0.36495003,1.1199375,-1.0542125,1.2442375,2.4,41.8875,25.612501,15.57927,-42.610836,56.45289,1.1199375,-1.0542125,1.2442375,-6.011697,-3.74462,-3.361939,3.668997,-8.173183,3.988475,2.4,41.8875,25.612501,running
486,running,-2.22795,-15.244051,0.15705001,0.326975,-1.7615125,1.461625,2.4,41.8875,25.612501,13.19512,-41.745132,56.653202,0.326975,-1.7615125,1.461625,-5.83662,-6.395306,-3.8859,3.589263,-8.192086,4.022103,2.4,41.8875,25.612501,running
505,running,-2.3070002,-16.09695,1.3470001,0.02035,-1.8984625,1.4628625,1.6875001,41.943752,25.687502,9.2987995,-41.36836,57.864536,0.02035,-1.8984625,1.4628625,-6.008116,-7.985719,-2.757011,3.447491,-8.304216,3.914741,1.6875001,41.943752,25.687502,running
522,running,-1.57395,-14.445001,1.7209501,-0.093225,-1.8885624,1.2907125,1.0125,42.487503,25.25625,7.7655473,-41.62965,58.64957,-0.093225,-1.8885624,1.2907125,-5.173659,-6.730054,-2.192743,3.389393,-8.374911,3.813565,1.0125,42.487503,25.25625,running
544,running,-1.488,-12.352051,1.86195,0.1621125,-1.4353625,0.56374997,1.0125,42.487503,25.25625,6.566359,-42.05976,59.270264,0.1621125,-1.4353625,0.56374997,-4.85519,-4.577748,-1.881699,3.356951,-8.429683,3.720445,1.0125,42.487503,25.25625,running
563,running,-3.18105,-9.0379505,0.22395001,0.392975,-1.081025,0.38775,2.15625,42.9,24.54375,4.7917213,-42.78917,59.653915,0.392975,-1.081025,0.38775,-5.99435,-0.989468,-2.559885,3.365623,-8.463053,3.635892,2.15625,42.9,24.54375,running
582,running,-5.23995,-7.4820004,-3.9769502,0.5212625,-0.555775,0.4929375,3.35625,43.143753,24.112501,3.73733,-42.522224,59.59792,0.5212625,-0.555775,0.4929375,-8.039631,0.503918,-6.463436,3.354231,-8.458201,3.657644,3.35625,43.143753,24.112501,running
601,running,-4.9290004,-7.2310505,-3.2610002,0.4552625,1.292775,1.3798125,5.4,43.143753,23.04375,2.3175092,-41.243637,59.692074,0.4552625,1.292775,1.3798125,-8.710761,1.424628,-7.711868,3.262622,-8.466348,3.721107,5.4,43.143753,23.04375,running
620,running,-0.028050002,-8.920951,1.04505,0.48345,1.4234,1.6693875,5.4,43.143753,23.04375,-2.2310312,-35.289875,60.509903,0.48345,1.4234,1.6693875,-3.538046,-0.344327,-3.218504,2.788927,-8.536139,3.940383,5.4,43.143753,23.04375,running
644,running,0.771,-8.36505,1.8139501,0.5322625,0.55605,1.5423375,6.7875004,43.2,22.5,-5.0169945,-31.858685,60.933544,0.5322625,0.55605,1.5423375,-1.888184,0.004389,-2.439332,2.51472,-8.571589,4.046533,6.7875004,43.2,22.5,running
662,running,1.521,-8.04,1.6030501,0.6007375,0.0160875,1.4348125,8.887501,43.0875,21.487501,-10.457516,-26.30589,61.36576,0.6007375,0.0160875,1.4348125,-0.638889,0.680241,-2.319565,2.082645,-8.607284,4.212794,8.887501,43.0875,21.487501,running
680,running,2.05695,-8.835,0.84000003,0.7057875,-0.22715,1.301575,9.543751,42.956253,21.487501,-13.037945,-24.17431,61.344406,0.7057875,-0.22715,1.301575,-0.100705,0.106429,-3.227888,1.925832,-8.605527,4.290276,9.543751,42.956253,21.487501,running
701,running,2.5450501,-9.55095,0.34605002,0.8828875,-0.0303875,0.9791375,10.9875,43.0875,21.35625,-15.433319,-22.24474,61.147957,0.8828875,-0.0303875,0.9791375,0.564869,-0.726974,-3.944136,1.79145,-8.589343,4.379988,10.9875,43.0875,21.35625,running
717,running,3.039,-10.05795,0.034950003,0.8633625,0.078375,0.8496125,10.9875,43.0875,21.35625,-17.590578,-20.421328,60.79728,0.8633625,0.078375,0.8496125,1.956775,-1.691456,-5.069103,1.557273,-8.523804,4.592391,10.9875,43.0875,21.35625,running
735,running,3.8430002,-9.94305,-1.197,0.7558375,0.3482875,0.737275,11.700001,43.0125,21.112501,-21.117924,-17.131407,59.93503,0.7558375,0.3482875,0.737275,2.393755,-1.591805,-5.784585,1.447182,-8.487251,4.694957,11.700001,43.0125,21.112501,running
