elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
100,sit_to_stand,3.4977086,-3.9816568,-8.229515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sit_to_stand
120,sit_to_stand,3.3577285,-4.0031924,-8.146963,-0.12980877,-0.075289086,0.09468404,-31.112501,12.425,23.375,0.0,0.0,0.0,-0.12980877,-0.075289086,0.09468404,0.0,0.0,0.0,0.0,0.0,0.0,-31.112501,12.425,23.375,sit_to_stand
136,sit_to_stand,3.2165518,-4.01396,-8.186444,-0.115453444,-0.06276636,0.112399116,-31.5,12.8625,23.625,0.0,0.0,0.0,-0.115453444,-0.06276636,0.112399116,0.0,0.0,0.0,3.3504941,-4.054932,-8.2766,-31.5,12.8625,23.625,sit_to_stand
153,sit_to_stand,3.165106,-4.022335,-8.3013,-0.10873393,-0.07315106,0.1310305,-31.475,13.075,23.737501,0.0,0.0,0.0,-0.10873393,-0.07315106,0.1310305,-0.06848073,-0.011376381,-0.01048851,3.2893715,-4.047565,-8.304676,-31.475,13.075,23.737501,sit_to_stand
170,sit_to_stand,3.1423743,-4.0271206,-8.222337,-0.10140356,-0.08567379,0.14385866,-31.625,12.962501,23.7875,0.0,0.0,0.0,-0.10140356,-0.08567379,0.14385866,-0.066090584,-0.015454769,-0.06451893,3.2429204,-4.0499754,-8.321753,-31.625,12.962501,23.7875,sit_to_stand
187,sit_to_stand,3.1112676,-3.9481573,-8.111071,-0.083688475,-0.07467822,0.14630212,-31.6875,12.8875,24.0125,0.0,0.0,0.0,-0.083688475,-0.07467822,0.14630212,-0.06833601,-0.027926445,-0.029382706,3.2205722,-4.0531454,-8.328883,-31.6875,12.8875,24.0125,sit_to_stand
204,sit_to_stand,3.039483,-3.859623,-8.120642,-0.064140804,-0.049327333,0.14813471,-31.6625,12.6125,24.0,0.0,0.0,0.0,-0.064140804,-0.049327333,0.14813471,-0.049253702,0.022586107,0.09812832,3.2205722,-4.0531454,-8.328883,-31.6625,12.6125,24.0,sit_to_stand
222,sit_to_stand,3.1232316,-3.8165522,-8.186444,-0.04367683,-0.03008509,0.15271619,-31.5625,12.375,23.8125,0.0,0.0,0.0,-0.04367683,-0.03008509,0.15271619,-0.095675945,0.10414791,0.095541,3.1800847,-4.0321712,-8.354582,-31.5625,12.375,23.8125,sit_to_stand
239,sit_to_stand,3.3182468,-3.8560338,-8.169695,-0.020769402,-0.020922119,0.14966187,-31.6625,12.05,23.5375,0.0,0.0,0.0,-0.020769402,-0.020922119,0.14966187,0.1388998,0.10594773,0.018214226,3.1800847,-4.0321712,-8.354582,-31.6625,12.05,23.5375,sit_to_stand
256,sit_to_stand,3.478566,-3.8703907,-8.113463,0.007941242,-0.007788526,0.13316852,-31.7,12.1375,23.4625,0.0,0.0,0.0,0.007941242,-0.007788526,0.13316852,0.29672837,0.08270693,0.061574936,3.1888547,-4.0243106,-8.355029,-31.7,12.1375,23.4625,sit_to_stand
273,sit_to_stand,3.4450665,-3.9074793,-8.113463,0.037568185,0.008399391,0.11636974,-31.6875,12.2,23.5,0.0,0.0,0.0,0.037568185,0.008399391,0.11636974,0.27504277,0.058280468,0.07629585,3.2177725,-4.0232487,-8.344447,-31.6875,12.2,23.5,sit_to_stand
293,sit_to_stand,3.441477,-3.9553359,-8.136195,0.06597339,0.021838415,0.10293072,-31.550001,12.425,23.487501,0.0,0.0,0.0,0.06597339,0.021838415,0.10293072,0.27504277,0.058280468,0.07629585,3.2632937,-4.042174,-8.317579,-31.550001,12.425,23.487501,sit_to_stand
314,sit_to_stand,3.4953158,-4.091727,-8.300103,0.08888082,0.034666575,0.08643737,-31.625,12.85,23.7,0.0,0.0,0.0,0.08888082,0.034666575,0.08643737,0.23292804,-0.017122746,-0.016893387,3.282188,-4.0577006,-8.302571,-31.625,12.85,23.7,sit_to_stand
332,sit_to_stand,3.527619,-4.1001015,-8.320442,0.09834923,0.038331766,0.047952887,-31.575,12.9875,23.800001,0.0,0.0,0.0,0.09834923,0.038331766,0.047952887,0.23000646,-0.078642845,-0.11440563,3.297528,-4.074255,-8.288374,-31.575,12.9875,23.800001,sit_to_stand
348,sit_to_stand,3.5001013,-4.098905,-8.227122,0.09834923,0.038331766,0.047952887,-31.487501,13.075,23.7625,-95.554634,-158.27312,24.80181,0.09834923,0.038331766,0.047952887,0.2599299,-0.06920338,-0.16237068,3.3139052,-4.087734,-8.275195,-31.487501,13.075,23.7625,sit_to_stand
366,sit_to_stand,3.5001013,-4.098905,-8.227122,0.10384701,0.042607818,0.031154104,-31.5625,13.125,23.7625,-95.57953,-158.20464,24.86003,0.10384701,0.042607818,0.031154104,0.2599299,-0.06920338,-0.16237068,3.3139052,-4.087734,-8.275195,-31.5625,13.125,23.7625,sit_to_stand
384,sit_to_stand,3.6771703,-4.398008,-8.241479,0.12370012,0.034361143,0.015577052,-31.65,13.087501,23.6625,-95.70962,-157.93457,25.11422,0.12370012,0.034361143,0.015577052,0.27242565,-0.072787285,-0.016320229,3.3497565,-4.1212454,-8.2440815,-31.65,13.087501,23.6625,sit_to_stand
403,sit_to_stand,3.9415772,-4.4889355,-7.963912,0.14569125,0.007177661,0.008246674,-31.5,12.900001,23.6375,-95.76249,-157.83746,25.21952,0.14569125,0.007177661,0.008246674,0.3154056,-0.23323584,-0.0654974,3.365952,-4.147999,-8.224042,-31.5,12.900001,23.6375,sit_to_stand
419,sit_to_stand,3.8721852,-4.741378,-7.77129,0.18081598,1.527162E-4,-0.010384701,-31.487501,12.9125,23.3875,-95.95267,-157.53508,25.518267,0.18081598,1.527162E-4,-0.010384701,0.5214455,-0.32596922,0.037675858,3.391202,-4.1835938,-8.195589,-31.487501,12.9125,23.3875,sit_to_stand
438,sit_to_stand,3.4570305,-5.1828537,-8.418549,0.13775001,-0.016340632,-0.010079269,-31.575,12.95,23.2625,-96.05149,-157.40523,25.715553,0.13775001,-0.016340632,-0.010079269,0.5343549,-0.4472413,0.37138462,3.4202616,-4.2297316,-8.159754,-31.575,12.95,23.2625,sit_to_stand
454,sit_to_stand,2.99043,-5.3383875,-8.647063,0.0736092,-0.059712034,0.020158539,-31.5125,13.05,23.325,-96.110916,-157.42409,26.08111,0.0736092,-0.059712034,0.020158539,0.18641162,-0.8294549,-0.143219,3.4148214,-4.2756467,-8.138073,-31.5125,13.05,23.325,sit_to_stand
474,sit_to_stand,2.5489542,-5.2486563,-8.239086,0.04214967,-0.100945406,0.050396346,-31.5125,12.95,23.0,-96.070656,-157.55869,26.25044,0.04214967,-0.100945406,0.050396346,-0.29467773,-1.0224695,-0.5401354,3.3723838,-4.3189588,-8.132896,-31.5125,12.95,23.0,sit_to_stand
