elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
294,sitting,7.740183,-0.51445687,-4.458427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
316,sitting,6.943373,-1.1186446,-5.703891,0.3990474,-0.3773617,1.0306816,-39.3625,-3.0,9.225,0.0,0.0,0.0,0.3990474,-0.3773617,1.0306816,0.0,0.0,0.0,7.8231225,-1.0447614,-5.8204484,-39.3625,-3.0,9.225,sitting
333,sitting,7.8346996,-1.4500505,-3.6293137,0.11988221,-0.1375973,0.9534072,-38.475002,-2.575,8.650001,0.0,0.0,0.0,0.11988221,-0.1375973,0.9534072,-0.29219627,-0.046889305,-0.19853163,7.554495,-1.2486713,-6.127055,-38.475002,-2.575,8.650001,sitting
353,sitting,8.66142,-1.7994026,-2.781058,0.14767656,0.36636615,0.802829,-38.45,-2.4125001,8.6375,0.0,0.0,0.0,0.14767656,0.36636615,0.802829,0.745677,-0.4543575,1.3860419,7.922354,-1.3684717,-5.6155124,-38.45,-2.4125001,8.6375,sitting
370,sitting,7.498508,-3.621537,-4.136592,0.36147922,0.8287908,0.70753413,-38.65,-1.8125,8.587501,0.0,0.0,0.0,0.36147922,0.8287908,0.70753413,0.745677,-0.4543575,1.3860419,8.401365,-2.0497508,-4.624495,-38.65,-1.8125,8.587501,sitting
387,sitting,7.0450683,-4.362116,-10.416555,0.27351472,-0.17119485,0.80832684,-38.2,-1.3375,6.0,0.0,0.0,0.0,0.27351472,-0.17119485,0.80832684,0.42764664,-0.9288969,1.240715,7.824885,-2.5063088,-5.353502,-38.2,-1.3375,6.0,sitting
404,sitting,7.9351983,-3.9900317,-1.5595222,-0.13423753,1.0914626,0.85627973,-37.625,-0.85,5.1,0.0,0.0,0.0,-0.13423753,1.0914626,0.85627973,-0.782485,-2.1445992,-4.7541604,7.824885,-2.5063088,-5.353502,-37.625,-0.85,5.1,sitting
421,sitting,9.930812,-5.959325,-2.7068806,0.24572036,1.261283,0.74174255,-36.6875,-0.5625,3.2125,0.0,0.0,0.0,0.24572036,1.261283,0.74174255,0.03160429,-0.8209002,1.098649,8.13951,-3.2589765,-4.3929315,-36.6875,-0.5625,3.2125,sitting
439,sitting,10.252646,-6.8685975,-4.9716873,0.27229297,0.90392715,0.491288,-37.475002,0.0125,3.275,0.0,0.0,0.0,0.27229297,0.90392715,0.491288,1.523057,-2.757087,2.6760943,8.144115,-3.566166,-4.138385,-37.475002,0.0125,3.275,sitting
455,sitting,9.896116,-7.9657063,-6.467201,0.016646065,1.0123557,0.32024586,-37.4625,0.275,1.75,0.0,0.0,0.0,0.016646065,1.0123557,0.32024586,1.9299698,-2.921206,-0.33984184,8.045157,-3.84988,-4.077286,-37.4625,0.275,1.75,sitting
473,sitting,8.565707,-7.941778,-4.883153,0.053908817,0.61346096,0.23411393,-37.4625,0.475,1.2,0.0,0.0,0.0,0.053908817,0.61346096,0.23411393,1.7241793,-3.6824074,-2.0715265,7.9187894,-4.1414146,-4.038793,-37.4625,0.475,1.2,sitting
489,sitting,9.664013,-5.048856,-3.3864422,0.16722423,0.1443168,0.025503604,-37.75,0.96250004,-0.425,0.0,0.0,0.0,0.16722423,0.1443168,0.025503604,0.30062008,-1.2746153,0.78208375,7.9187894,-4.1414146,-4.038793,-37.75,0.96250004,-0.425,sitting
507,sitting,11.3880415,-4.130012,-2.801397,0.012675445,0.23838998,-0.47601637,-37.675,1.125,-0.575,0.0,0.0,0.0,0.012675445,0.23838998,-0.47601637,0.30062008,-1.2746153,0.78208375,8.1066,-4.0389647,-3.7603438,-37.675,1.125,-0.575,sitting
524,sitting,11.352149,-4.755735,-2.39701,0.09575305,0.423482,-0.97356576,-37.7625,0.975,-0.825,0.0,0.0,0.0,0.09575305,0.423482,-0.97356576,2.458664,-0.35254478,1.6564491,8.1066,-4.0389647,-3.7603438,-37.7625,0.975,-0.825,sitting
541,sitting,8.813364,-4.5678983,-2.30369,0.40240717,0.13545926,-1.1394155,-37.2,0.6375,-0.675,-112.793365,-117.14064,15.398094,0.40240717,0.13545926,-1.1394155,2.458664,-0.35254478,1.6564491,8.364345,-3.8005443,-3.4298685,-37.2,0.6375,-0.675,sitting
558,sitting,4.0731826,-3.2817562,-5.343771,0.4231766,-0.59666216,-0.64064443,-37.375,0.8625,-1.275,-113.94302,-116.570854,14.94692,0.4231766,-0.59666216,-0.64064443,-3.6450195,0.55834675,-0.43036866,8.364345,-3.8005443,-3.4298685,-37.375,0.8625,-1.275,sitting
574,sitting,0.58564335,-3.2075787,-9.5048895,-0.1962403,-1.6070325,0.4735729,-36.575,0.0375,-2.5,-114.25045,-116.952736,14.808267,-0.1962403,-1.6070325,0.4735729,-3.6450195,0.55834675,-0.43036866,8.247943,-3.8324142,-3.6680274,-36.575,0.0375,-2.5,sitting
