elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
171,upstairs,0.0,0.0,0.0,0.0,0.0,0.0,27.2625,37.7,8.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2625,37.7,8.125,upstairs
195,upstairs,-3.3038898,-2.9455647,0.61794645,-1.5511384,-0.5717694,-0.30863944,27.112501,37.675,9.125,0.0,0.0,0.0,-1.5511384,-0.5717694,-0.30863944,0.0,0.0,0.0,0.0,0.0,0.0,27.112501,37.675,9.125,upstairs
211,upstairs,-2.1445673,-1.4763715,0.60717875,-0.9824233,-0.25106543,-0.5053379,26.95,37.9,9.25,0.0,0.0,0.0,-0.9824233,-0.25106543,-0.5053379,0.83277225,0.58139753,0.3024317,-6.757853,-6.6534624,2.4966464,26.95,37.9,9.25,upstairs
229,upstairs,-1.4267205,-1.1389836,-0.4959125,0.21151192,-0.10384701,-0.69287336,26.8375,37.8125,9.3625,0.0,0.0,0.0,0.21151192,-0.10384701,-0.69287336,0.17694354,0.63631535,-0.19952881,-7.0245533,-6.3930764,2.4402072,26.8375,37.8125,9.3625,upstairs
247,upstairs,-1.3812568,-0.81954175,-2.1565313,0.56275916,-0.13377939,-0.69440055,26.0375,37.8,10.1125,0.0,0.0,0.0,0.56275916,-0.13377939,-0.69440055,0.6514319,0.7462523,-0.991016,-7.152665,-6.4891267,1.7032324,26.0375,37.8,10.1125,upstairs
264,upstairs,-1.1455638,-1.0013963,-3.5144582,0.8828523,-0.36896232,-0.75762504,25.4625,37.9,10.087501,0.0,0.0,0.0,0.8828523,-0.36896232,-0.75762504,0.5371183,0.86814183,-2.1459851,-7.362591,-6.4777265,-0.041293506,25.4625,37.9,10.087501,upstairs
281,upstairs,-0.66101724,-1.6007984,-4.5541396,1.2249366,-0.8411608,-0.7518218,25.125,38.2375,9.6875,0.0,0.0,0.0,1.2249366,-0.8411608,-0.7518218,0.6254158,0.59242225,-2.9612958,-7.1001325,-6.3903933,-2.2184205,25.125,38.2375,9.6875,upstairs
298,upstairs,0.36430725,-3.0245278,-4.366303,1.6632321,-1.2586869,-0.73899364,24.0875,38.525,9.1375,0.0,0.0,0.0,1.6632321,-1.2586869,-0.73899364,0.94235647,0.02369225,-3.4909673,-6.2443047,-6.3270035,-4.1410246,24.0875,38.525,9.1375,upstairs
315,upstairs,0.90388876,-4.258028,-4.3471603,1.8269439,-1.0131192,-0.78022707,22.8875,38.2,9.475,0.0,0.0,0.0,1.8269439,-1.0131192,-0.78022707,1.7222055,-1.1778469,-2.967466,-4.958818,-6.74405,-5.10865,22.8875,38.2,9.475,upstairs
332,upstairs,1.1180464,-7.192825,-13.991432,1.8269439,-1.0131192,-0.78022707,22.612501,39.675,7.3875003,0.0,0.0,0.0,1.8269439,-1.0131192,-0.78022707,1.9928865,-2.1003754,-2.6620364,-3.6245952,-7.1814895,-5.608824,22.612501,39.675,7.3875003,upstairs
349,upstairs,-5.395217,-17.481962,-6.257829,1.539532,-0.22143848,-0.5401572,22.175001,39.912502,6.9125,0.0,0.0,0.0,1.539532,-0.22143848,-0.5401572,1.9335456,-4.4838815,-11.104677,-1.9787397,-6.5726376,-7.0039563,22.175001,39.912502,6.9125,upstairs
366,upstairs,-13.293924,-23.401806,-8.6961155,1.37918,-0.73212147,0.3575086,21.0,40.5625,5.375,0.0,0.0,0.0,1.37918,-0.73212147,0.3575086,-4.1249804,-13.364286,-3.1393108,-2.3419194,-7.5914345,-5.749428,21.0,40.5625,5.375,upstairs
382,upstairs,-7.335796,-17.763119,-1.4362918,1.37918,-0.73212147,0.3575086,20.325,39.7625,4.1375003,0.0,0.0,0.0,1.37918,-0.73212147,0.3575086,-10.984991,-17.61651,-5.2103243,-3.1721623,-7.9481297,-4.789051,20.325,39.7625,4.1375003,upstairs
399,upstairs,-3.886542,-5.729614,2.1744776,1.514792,-0.2837467,-0.090560704,20.487501,40.037502,2.4875,0.0,0.0,0.0,1.514792,-0.2837467,-0.090560704,-10.984991,-17.61651,-5.2103243,-3.1721623,-7.9481297,-4.789051,20.487501,40.037502,2.4875,upstairs
416,upstairs,-4.508676,-0.70348984,-0.03888337,2.132987,-0.054672398,-0.8327614,20.375,40.600002,1.4875001,-27.775576,62.202312,44.21961,2.132987,-0.054672398,-0.8327614,-1.2613604,1.1703053,4.6953897,-3.300139,-8.673854,-3.1691844,20.375,40.600002,1.4875001,upstairs
