elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
76,upstairs,0.0,0.0,0.0,0.0,0.0,0.0,-6.525,54.5875,7.7000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.525,54.5875,7.7000003,upstairs
94,upstairs,-4.6642094,-8.111669,0.6646065,0.9808961,0.7038689,-0.09987639,-6.8375,55.1375,8.975,0.0,0.0,0.0,0.9808961,0.7038689,-0.09987639,0.0,0.0,0.0,-4.5216665,-8.649929,0.95060253,-6.8375,55.1375,8.975,upstairs
110,upstairs,-6.041279,-9.0029955,1.1694921,0.8477276,1.1937824,-0.10445788,-7.1875,55.0125,8.587501,0.0,0.0,0.0,0.8477276,1.1937824,-0.10445788,0.0,0.0,0.0,-4.933346,-8.416596,0.9966901,-7.1875,55.0125,8.587501,upstairs
127,upstairs,-5.9156556,-9.339187,1.8275183,0.79427695,1.7334815,-0.054672398,-7.2875,54.8125,8.2375,0.0,0.0,0.0,0.79427695,1.7334815,-0.054672398,-0.6924386,-0.34391594,0.09109217,-5.083451,-8.309869,1.129157,-7.2875,54.8125,8.2375,upstairs
145,upstairs,-6.3044896,-9.468399,0.86919284,0.80924314,1.7383684,0.0754418,-7.3625,54.9,7.35,0.0,0.0,0.0,0.80924314,1.7383684,0.0754418,-0.6985388,-0.69239044,0.062324524,-5.083451,-8.309869,1.129157,-7.3625,54.9,7.35,upstairs
162,upstairs,-6.3714886,-9.784252,0.4863412,1.0126611,1.3932298,0.2357938,-7.6125,54.8,5.8625,0.0,0.0,0.0,1.0126611,1.3932298,0.2357938,-0.52456427,-0.67695427,-0.36953473,-5.192932,-8.247345,1.0886512,-7.6125,54.8,5.8625,upstairs
178,upstairs,-6.326025,-10.310673,-0.7495517,1.1852304,0.834594,0.45265082,-7.675,54.4875,4.4,0.0,0.0,0.0,1.1852304,0.834594,0.45265082,-0.52456427,-0.67695427,-0.36953473,-5.2780175,-8.2020645,1.0193435,-7.675,54.4875,4.4,upstairs
196,upstairs,-6.170491,-9.870394,-1.4422739,1.2896882,0.17119485,0.70677054,-7.5875,54.3125,3.8500001,0.0,0.0,0.0,1.2896882,0.17119485,0.70677054,-0.27842283,-1.0835905,-2.0446765,-5.344844,-8.17178,0.90832174,-7.5875,54.3125,3.8500001,upstairs
213,upstairs,-7.405188,-9.471989,-4.433302,1.2371539,-0.28084508,1.0290017,-7.625,54.2,2.775,0.0,0.0,0.0,1.2371539,-0.28084508,1.0290017,0.043508053,-0.5839691,-2.6266775,-5.4218764,-8.135138,0.77018845,-7.625,54.2,2.775,upstairs
230,upstairs,-10.688141,-9.315259,-12.546167,0.43508843,-1.0706933,1.7510439,-7.3,54.2625,1.7125,0.0,0.0,0.0,0.43508843,-1.0706933,1.7510439,0.043508053,-0.5839691,-2.6266775,-5.9771476,-7.772972,-0.15813977,-7.3,54.2625,1.7125,upstairs
