elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
222,downstairs,1.3892355,3.4626143,9.520543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
239,downstairs,1.4377182,3.4165258,8.884883,-0.34261543,0.57630765,0.0037284228,-3.6375,-36.825,-30.056252,-175.70363,-11.901063,-20.322495,-0.34261543,0.57630765,0.0037284228,0.20723844,0.01545763,-0.1262064,1.303405,3.4364421,9.0918865,-3.6375,-36.825,-30.056252,downstairs
257,downstairs,1.846528,3.3871968,8.893861,-0.5006739,0.2793654,0.02157159,-3.075,-35.79375,-30.54375,-174.69261,-12.955244,-18.839998,-0.5006739,0.2793654,0.02157159,0.43023443,0.023647308,-0.078915596,1.5878935,3.2806647,9.104187,-3.075,-35.79375,-30.54375,downstairs
281,downstairs,2.146402,3.0891187,9.172785,-0.55939656,0.17816535,-0.0041278964,-2.775,-35.362503,-30.393751,-173.77095,-12.97745,-16.551159,-0.55939656,0.17816535,-0.0041278964,0.4826727,-0.078757286,0.10762024,1.6797417,3.1653345,9.128501,-2.775,-35.362503,-30.393751,downstairs
301,downstairs,2.168548,2.9317,9.369708,-0.58296555,0.09587373,-0.03968107,-3.6750002,-35.625,-30.375002,-173.82704,-12.943048,-16.017015,-0.58296555,0.09587373,-0.03968107,0.4280367,-0.13071227,0.23061562,1.7904086,2.9184384,9.189534,-3.6750002,-35.625,-30.375002,downstairs
321,downstairs,2.203264,2.7862523,9.507974,-0.4930839,0.011318427,-0.10346373,-3.6937501,-34.74375,-31.0125,-173.09337,-13.476699,-15.301405,-0.4930839,0.011318427,-0.10346373,0.40929234,-0.15955758,0.27366543,1.8409935,2.8199396,9.21027,-3.6937501,-34.74375,-31.0125,downstairs
341,downstairs,2.3971944,2.6282349,9.48044,-0.38216335,-0.013582111,-0.15925692,-2.8125,-34.331253,-31.48125,-172.53035,-13.402645,-14.831876,-0.38216335,-0.013582111,-0.15925692,0.497285,-0.15506792,0.13245583,1.8924075,2.7485716,9.221417,-2.8125,-34.331253,-31.48125,downstairs
361,downstairs,2.3481133,2.5659857,9.070433,-0.26138908,-0.0049268445,-0.2311622,-2.9437501,-34.912502,-31.312502,-172.34235,-13.358154,-14.771508,-0.26138908,-0.0049268445,-0.2311622,0.48679686,-0.13669181,-0.08047867,1.936028,2.7078955,9.224397,-2.9437501,-34.912502,-31.312502,downstairs
381,downstairs,2.3481133,2.5659857,9.070433,-0.07017424,-0.01304948,-0.37377438,-2.79375,-34.7625,-31.63125,-170.33173,-14.189479,-15.362036,-0.07017424,-0.01304948,-0.37377438,0.34909272,-0.1508975,-0.26174164,1.9622904,2.6905842,9.223913,-2.79375,-34.7625,-31.63125,downstairs
400,downstairs,2.2511482,2.552219,8.827422,-0.048469495,-0.015446323,-0.43209755,-2.34375,-34.93125,-31.781252,-169.65672,-14.274043,-15.560655,-0.048469495,-0.015446323,-0.43209755,0.4590795,-0.1239512,-0.84751415,1.9800335,2.691419,9.219877,-2.34375,-34.93125,-31.781252,downstairs
