elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
254,sitting,2.629432,-8.361151,-4.4861355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
274,sitting,2.5875335,-8.423999,-4.5100775,0.0105194785,0.0047936863,-0.0013315795,-45.24375,42.75,-11.3625,-74.95935,-149.78593,58.220238,0.0105194785,0.0047936863,-0.0013315795,-0.0026361942,-0.009660721,-0.03230095,2.5544238,-8.357395,-4.449637,-45.24375,42.75,-11.3625,sitting
299,sitting,2.618658,-8.406042,-4.5286326,0.006657898,0.019973693,0.002530001,-45.73125,43.95,-11.53125,-74.70141,-149.94614,58.00646,0.006657898,0.019973693,0.002530001,0.027972937,0.036888123,-0.038956642,2.5718393,-8.345411,-4.4620795,-45.73125,43.95,-11.53125,sitting
316,sitting,2.6114755,-8.354567,-4.5232453,0.0074568456,0.021971062,0.0043942127,-45.881252,44.25,-11.85,-74.6208,-150.76888,58.522156,0.0074568456,0.021971062,0.0043942127,0.011292696,0.0205822,-0.01802063,2.5753615,-8.34307,-4.4644237,-45.881252,44.25,-11.85,sitting
336,sitting,2.5498247,-8.491635,-4.537611,0.0051931604,0.03715107,0.008122635,-45.2625,43.350002,-11.681251,-74.55037,-150.90816,58.572544,0.0051931604,0.03715107,0.008122635,-0.01826477,-0.05253601,-0.030933857,2.5629663,-8.348793,-4.4608593,-45.2625,43.350002,-11.681251,sitting
356,sitting,2.5378537,-8.566454,-4.5513773,-0.0022636852,0.04807002,0.016777903,-44.79375,43.03125,-12.150001,-74.48378,-150.91695,58.579906,-0.0022636852,0.04807002,0.016777903,-0.06897092,-0.122136116,-0.04773903,2.5629663,-8.348793,-4.4608593,-44.79375,43.03125,-12.150001,sitting
377,sitting,2.4917655,-8.543709,-4.553173,-0.01571264,0.054594763,0.027430538,-45.54375,42.91875,-13.218751,-74.32607,-150.93092,58.567562,-0.01571264,0.054594763,0.027430538,-0.08368516,-0.0738163,-0.032321453,2.5405226,-8.354976,-4.462118,-45.54375,42.91875,-13.218751,sitting
396,sitting,2.486977,-8.548497,-4.5358152,-0.03382212,0.08322372,0.0468716,-45.54375,42.91875,-12.6,-74.19418,-151.00453,58.58458,-0.03382212,0.08322372,0.0468716,-0.061632156,-0.063773155,-0.009550571,2.5330124,-8.357163,-4.462293,-45.54375,42.91875,-12.6,sitting
416,sitting,2.4355016,-8.6095495,-4.5525746,-0.04820318,0.1130511,0.058456343,-45.112503,43.631252,-11.83125,-73.83394,-151.65567,58.793297,-0.04820318,0.1130511,0.058456343,-0.08325291,-0.119963646,-0.03188467,2.5085173,-8.363307,-4.4646177,-45.112503,43.631252,-11.83125,sitting
437,sitting,2.3546975,-8.637681,-4.5364137,-0.06910898,0.13821796,0.06897582,-44.662502,43.48125,-12.618751,-73.561935,-151.74078,58.864456,-0.06910898,0.13821796,0.06897582,-0.1647861,-0.15324402,-0.024027348,2.494967,-8.36687,-4.4655356,-44.662502,43.48125,-12.618751,sitting
457,sitting,2.3588872,-8.556877,-4.3544545,-0.09387636,0.15619428,0.08016109,-45.412502,43.65,-12.76875,-73.34166,-151.73087,58.939938,-0.09387636,0.15619428,0.08016109,-0.16308284,-0.092764854,0.153234,2.484458,-8.370909,-4.4638247,-45.412502,43.65,-12.76875,sitting
476,sitting,2.3588872,-8.556877,-4.3544545,-0.12117374,0.20559588,0.10572742,-46.162502,43.818752,-12.750001,-73.03706,-151.69417,58.939575,-0.12117374,0.20559588,0.10572742,-0.1497488,-0.067650795,0.14516735,2.475911,-8.373482,-4.463748,-46.162502,43.818752,-12.750001,sitting
496,sitting,2.4917655,-8.592192,-4.5100775,-0.12596743,0.23329274,0.11917637,-45.5625,43.350002,-12.3,-72.93308,-151.61145,58.911346,-0.12596743,0.23329274,0.11917637,0.020570993,-0.10629463,-0.008221626,2.472886,-8.372973,-4.4663777,-45.5625,43.350002,-12.3,sitting
516,sitting,2.5420437,-8.57184,-4.561553,-0.13928322,0.2609896,0.12903006,-45.09375,43.050003,-12.150001,-72.74442,-151.50424,58.783955,-0.13928322,0.2609896,0.12903006,0.020570993,-0.10629463,-0.008221626,2.4781082,-8.363341,-4.4815054,-45.09375,43.050003,-12.150001,sitting
532,sitting,2.5677812,-8.511986,-4.5322237,-0.18761955,0.3175817,0.14168006,-45.28125,44.23125,-12.3,-72.534,-151.39503,58.654453,-0.18761955,0.3175817,0.14168006,0.04285097,-0.0041828156,0.05022669,2.484196,-8.356199,-4.491445,-45.28125,44.23125,-12.3,sitting
549,sitting,2.553416,-8.477868,-4.4915223,-0.18761955,0.3175817,0.14168006,-44.850002,44.5125,-12.150001,-72.45159,-151.39597,58.59453,-0.18761955,0.3175817,0.14168006,0.020900965,-0.0028848648,0.0744853,2.490233,-8.349149,-4.501205,-44.850002,44.5125,-12.150001,sitting
569,sitting,2.540248,-8.456919,-4.484938,-0.21012326,0.36312175,0.15779218,-44.662502,43.631252,-12.3,-72.19572,-151.28523,58.49762,-0.21012326,0.36312175,0.15779218,0.009875059,0.040717125,0.10328436,2.4967437,-8.341618,-4.5115485,-44.662502,43.631252,-12.3,sitting
