elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
245,upstairs,-0.3321955,4.8524485,7.7703815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upstairs
268,upstairs,-0.64823014,4.911705,7.768586,-0.19108167,-0.17963009,-0.046472125,21.056252,-42.506252,-30.16875,-139.20084,5.550749,-32.357445,-0.19108167,-0.17963009,-0.046472125,-0.1407764,-0.0149559975,0.16895676,-0.6189666,5.277597,8.242223,21.056252,-42.506252,-30.16875,upstairs
289,upstairs,-0.74399817,4.9667716,7.73806,-0.16737954,-0.15819165,-0.015313165,20.90625,-42.6375,-30.7875,-137.80939,5.3711677,-32.942837,-0.16737954,-0.15819165,-0.015313165,-0.12947077,0.10680199,-0.010634899,-0.65709007,5.2450514,8.260028,20.90625,-42.6375,-30.7875,upstairs
309,upstairs,-0.9528923,4.927267,7.7159133,-0.17656745,-0.13036163,0.010120004,20.90625,-42.35625,-30.7875,-138.65208,6.548779,-32.568775,-0.17656745,-0.13036163,0.010120004,-0.23463291,0.05629587,-0.048859596,-0.7039784,5.230224,8.265565,20.90625,-42.35625,-30.7875,upstairs
329,upstairs,-0.9528923,4.927267,7.7159133,-0.21864536,-0.035153702,0.052597392,21.1875,-41.90625,-30.6375,-142.19463,7.8216105,-30.008263,-0.21864536,-0.035153702,0.052597392,-0.31588596,0.048435688,0.10977125,-0.75217205,5.196406,8.282631,21.1875,-41.90625,-30.6375,upstairs
350,upstairs,-1.1641805,4.7560816,8.350377,-0.19054903,0.12450269,0.16231954,20.587502,-41.8875,-30.487501,-142.47597,7.8717422,-29.794077,-0.19054903,0.12450269,0.16231954,-0.38936174,-0.010766506,0.41968536,-0.8095178,5.13525,8.315304,20.587502,-41.8875,-30.487501,upstairs
369,upstairs,-1.1378443,4.5753193,8.309077,-0.11065426,0.1054611,0.2201101,20.56875,-41.60625,-30.16875,-142.59387,7.8547363,-29.683146,-0.11065426,0.1054611,0.2201101,-0.2184825,-0.23340416,0.21155405,-0.8543398,5.0711026,8.350115,20.56875,-41.60625,-30.16875,upstairs
389,upstairs,-0.78769237,4.565144,7.619547,-0.096006885,0.06378266,0.24980432,20.56875,-41.756252,-30.31875,-142.78154,7.554408,-29.72488,-0.096006885,0.06378266,0.24980432,-0.015720844,-0.19047737,-0.16100693,-0.86417365,5.010324,8.385716,20.56875,-41.756252,-30.31875,upstairs
410,upstairs,-0.78769237,4.565144,7.619547,-0.21225378,0.024634222,0.249538,19.5,-40.96875,-31.10625,-139.11366,5.6662736,-30.139963,-0.21225378,0.024634222,0.249538,0.08213693,-0.10525417,-0.3651595,-0.841602,4.986868,8.4019785,19.5,-40.96875,-31.10625,upstairs
430,upstairs,-0.6500258,4.559159,8.176199,-0.4351602,-0.028229486,0.22477064,19.050001,-40.5,-31.556252,-139.27927,5.425997,-29.636497,-0.4351602,-0.028229486,0.22477064,0.12866497,-0.054893017,-0.09911537,-0.78027093,4.809597,8.510543,19.050001,-40.5,-31.556252,upstairs
