elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
268,downstairs,-1.513734,2.2170308,9.209297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
285,downstairs,-1.4443022,1.9949685,7.6626425,0.1764343,-0.25752747,0.042876862,28.837502,-33.2625,-36.46875,-133.85725,10.348197,-14.13891,0.1764343,-0.25752747,0.042876862,0.016180158,-0.045564413,-0.08790159,-1.752051,2.4395528,9.335378,28.837502,-33.2625,-36.46875,downstairs
303,downstairs,-1.4263457,1.9135658,7.7464395,0.11345058,-0.35073805,0.016378429,28.425001,-33.825,-37.0875,-135.12892,9.953171,-12.823478,0.11345058,-0.35073805,0.016378429,-0.0174582,-0.08881664,0.03002119,-1.7057521,2.3993137,9.3543625,28.425001,-33.825,-37.0875,downstairs
323,downstairs,-1.2856863,1.6400281,8.321048,0.0,-0.42903492,-0.015313165,28.875002,-33.975002,-37.3875,-136.52592,8.888317,-10.834445,0.0,-0.42903492,-0.015313165,0.03537953,-0.24526012,0.4021473,-1.6323857,2.3112583,9.389557,28.875002,-33.975002,-37.3875,downstairs
342,downstairs,-1.1815386,1.5933412,8.480861,-0.042077914,-0.39947388,-0.014247901,28.556252,-33.225002,-37.55625,-136.3875,7.9188833,-10.448775,-0.042077914,-0.39947388,-0.014247901,0.073493004,-0.22119391,0.45866966,-1.5427575,2.213914,9.428089,28.556252,-33.225002,-37.55625,downstairs
362,downstairs,-1.0384849,1.6418238,8.654441,-0.057657395,-0.3997402,-0.010386321,27.956251,-33.35625,-38.006252,-134.7722,5.47414,-10.611627,-0.057657395,-0.3997402,-0.010386321,0.15490782,-0.13183093,0.5378132,-1.3508965,2.079934,9.487852,27.956251,-33.35625,-38.006252,downstairs
383,downstairs,-0.8996213,1.6962919,8.850166,-0.053662658,-0.40200385,-0.022370536,27.50625,-33.05625,-37.537502,-134.67136,5.0184216,-10.570137,-0.053662658,-0.40200385,-0.022370536,0.20280999,-0.06052792,0.63067913,-1.2461969,2.0419295,9.51041,27.50625,-33.05625,-37.537502,downstairs
402,downstairs,-0.8888474,1.8076223,9.105747,-0.038216334,-0.381897,-0.045939494,27.7875,-32.775,-37.3875,-134.69325,4.8226857,-10.556859,-0.038216334,-0.381897,-0.045939494,0.18455452,0.01608181,0.6537056,-1.1546983,2.0198636,9.526658,27.7875,-32.775,-37.3875,downstairs
423,downstairs,-0.93732995,1.8058267,9.173384,0.034621067,-0.3294328,-0.09920268,27.956251,-33.35625,-37.706253,-134.62761,4.6488695,-10.6313715,0.034621067,-0.3294328,-0.09920268,0.05563855,0.041526794,0.71187496,-1.0369009,1.99777,9.544849,27.956251,-33.35625,-37.706253,downstairs
443,downstairs,-1.0708067,1.7477672,8.573038,0.097871095,-0.2897517,-0.11345058,27.825,-33.80625,-37.6875,-135.69405,5.7996454,-11.053855,0.097871095,-0.2897517,-0.11345058,-0.1459167,-0.051656485,0.29348278,-1.0095166,2.0011764,9.5470705,27.825,-33.80625,-37.6875,downstairs
