elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
257,standing,-2.030283,2.1092918,9.424775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
285,standing,-2.0045455,2.0883424,9.467871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standing
302,standing,-1.1402385,2.3451207,8.991425,0.20612851,-0.045939494,0.051532127,-19.462502,36.80625,-30.69375,27.729609,7.235683,-14.516977,0.20612851,-0.045939494,0.051532127,0.25902307,-0.024954796,-0.33166885,-1.4816478,2.3328905,9.409183,-19.462502,36.80625,-30.69375,standing
318,standing,-1.4425066,2.1613655,8.834005,0.216648,-0.074701615,-0.034354754,-19.85625,35.475002,-30.69375,30.5402,10.851561,-13.16019,0.216648,-0.074701615,-0.034354754,0.040206194,-0.13421822,-0.29239845,-1.409854,2.4021199,9.402794,-19.85625,35.475002,-30.69375,standing
335,standing,-1.6915035,2.088941,8.759786,0.2077264,-0.07123951,-0.015446323,-19.85625,35.34375,-30.675001,31.037462,11.6889515,-12.836494,0.2077264,-0.07123951,-0.015446323,-0.21978927,-0.2164092,-0.31803703,-1.4458115,2.409888,9.395342,-19.85625,35.34375,-30.675001,standing
355,standing,-1.804031,2.0548236,8.76996,0.1798964,-0.04833634,0.038615808,-19.725,36.075,-31.462502,31.345215,11.728131,-12.993654,0.1798964,-0.04833634,0.038615808,-0.30882764,-0.24320912,-0.20368671,-1.528048,2.4110677,9.382014,-19.725,36.075,-31.462502,standing
374,standing,-1.7345991,2.1092918,8.876503,0.16631429,-0.04061318,0.10599373,-19.143751,36.1875,-30.54375,31.257267,11.637679,-13.226572,0.16631429,-0.04061318,0.10599373,-0.18227088,-0.15114355,-0.020723343,-1.5366262,2.4238367,9.377323,-19.143751,36.1875,-30.54375,standing
395,standing,-1.6472107,2.259528,9.305065,0.236888,-0.075367406,0.18961693,-19.425001,35.90625,-30.393751,31.11676,11.390369,-13.500907,0.236888,-0.075367406,0.18961693,-0.1375829,-0.10649252,0.19935417,-1.5306039,2.4438784,9.373104,-19.425001,35.90625,-30.393751,standing
414,standing,-1.6861166,2.2589293,9.296086,0.3233075,-0.09667268,0.24208117,-19.837502,34.893753,-31.143751,30.809875,10.295534,-13.671806,0.3233075,-0.09667268,0.24208117,-0.2381779,-0.13724995,0.2652588,-1.5274303,2.4734612,9.36586,-19.837502,34.893753,-31.143751,standing
438,standing,-1.6262615,2.3343468,9.209297,0.4053328,-0.08548741,0.30027118,-19.96875,34.4625,-31.44375,30.543612,10.074799,-14.331871,0.4053328,-0.08548741,0.30027118,-0.14914,-0.08295393,0.0952692,-1.4984899,2.5881662,9.339502,-19.96875,34.4625,-31.44375,standing
