elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
263,walking,0.82480246,0.37708676,8.428787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
284,walking,0.80684596,0.47465047,7.969699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking
302,walking,1.6430209,0.53450555,8.467094,-0.38722333,-0.5081307,-0.6566019,33.975002,-15.168751,-46.706253,-108.00912,-13.562014,-3.7416766,-0.38722333,-0.5081307,-0.6566019,0.4358908,0.07731873,0.500854,1.4670076,0.5556302,9.68037,33.975002,-15.168751,-46.706253,walking
321,walking,2.8892028,0.7314286,9.431957,-0.46072653,-0.49428234,-0.64834607,33.375,-14.700001,-47.325,-107.026306,-17.565702,-3.7540388,-0.46072653,-0.49428234,-0.64834607,1.1357832,0.2697169,1.0668411,2.0087905,0.52873594,9.584132,33.375,-14.700001,-47.325,walking
341,walking,3.0137014,0.61650693,10.503962,-0.61811924,-0.34248227,-0.7564703,33.525,-15.000001,-47.925003,-106.946075,-16.945435,-3.563107,-0.61811924,-0.34248227,-0.7564703,1.1339614,0.24972889,1.3758211,2.2091534,0.49473026,9.541765,33.525,-15.000001,-47.925003,walking
361,walking,3.0137014,0.61650693,10.503962,-0.6476803,-0.20066904,-0.794953,33.65625,-14.418751,-47.475002,-106.07549,-15.811008,-2.7254834,-0.6476803,-0.20066904,-0.794953,0.8711288,0.20437863,1.68048,2.3114865,0.4447211,9.51996,33.65625,-14.418751,-47.475002,walking
381,walking,2.7862523,0.56682724,10.931925,-0.61199397,-0.016644744,-0.80320877,33.61875,-13.2375,-47.34375,-105.68032,-15.748936,-2.5336936,-0.61199397,-0.016644744,-0.80320877,0.5654497,0.19137055,1.8731966,2.276947,0.35429266,9.532071,33.61875,-13.2375,-47.34375,walking
401,walking,1.9536686,0.8158242,10.377667,-0.50440234,0.12197269,-0.75420666,33.318752,-12.918751,-47.34375,-104.539055,-15.002915,-2.7191384,-0.50440234,0.12197269,-0.75420666,-0.2098118,0.46092802,1.0245914,2.2086365,0.3623446,9.547828,33.318752,-12.918751,-47.34375,walking
421,walking,2.1206641,1.246182,9.857527,-0.1640506,0.0077231615,-0.6768419,33.28125,-12.187501,-47.8125,-103.733055,-11.538518,-6.112818,-0.1640506,0.0077231615,-0.6768419,0.2762897,1.0924406,0.012929916,2.184011,0.42596364,9.550866,33.28125,-12.187501,-47.8125,walking
441,walking,2.4540567,1.6166847,9.41041,-0.025566328,-0.10679268,-0.7246456,33.54375,-10.856251,-47.831253,-102.804924,-11.945679,-6.728087,-0.025566328,-0.10679268,-0.7246456,0.2762897,1.0924406,0.012929916,2.2638202,0.65758675,9.51909,33.54375,-10.856251,-47.831253,walking
